,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,AU200_AUD,2023-07-10T06:00:00.000000000Z,312,7010.3,7013.3,7001.3,7010.3,7010.8,7014.3,7001.8,7010.8,7011.3,7015.3,7002.3,7011.3,,
1,AU200_AUD,2023-07-10T07:00:00.000000000Z,854,7020.2,7032.2,7013.2,7028.2,7021.8,7033.8,7014.8,7030.3,7023.4,7035.4,7016.4,7032.4,,
2,AU200_AUD,2023-07-10T08:00:00.000000000Z,439,7029.2,7039.2,7027.2,7033.2,7030.8,7040.8,7028.8,7034.8,7032.4,7042.4,7030.4,7036.4,,
3,AU200_AUD,2023-07-10T09:00:00.000000000Z,310,7033.2,7045.2,7033.2,7034.2,7035.3,7046.8,7034.8,7035.8,7037.4,7048.4,7036.4,7037.4,,
4,AU200_AUD,2023-07-10T10:00:00.000000000Z,216,7033.2,7040.2,7031.2,7037.2,7034.8,7041.8,7032.8,7038.8,7036.4,7043.4,7034.4,7040.4,,
5,AU200_AUD,2023-07-10T11:00:00.000000000Z,290,7037.2,7043.2,7036.2,7042.2,7039.3,7044.8,7037.8,7043.8,7041.4,7046.4,7039.4,7045.4,,
6,AU200_AUD,2023-07-10T12:00:00.000000000Z,259,7041.2,7046.2,7033.2,7039.2,7043.3,7047.8,7034.8,7040.8,7045.4,7049.4,7036.4,7042.4,,
7,AU200_AUD,2023-07-10T13:00:00.000000000Z,843,7040.2,7052.2,7035.2,7049.2,7041.8,7053.8,7036.8,7050.8,7043.4,7055.4,7038.4,7052.4,7035.7375,
8,AU200_AUD,2023-07-10T14:00:00.000000000Z,849,7048.2,7060.2,7044.2,7051.2,7050.3,7061.8,7045.8,7052.8,7052.4,7063.4,7047.4,7054.4,7040.9875,
9,AU200_AUD,2023-07-10T15:00:00.000000000Z,624,7051.2,7052.2,7041.2,7045.2,7053.3,7053.8,7042.8,7046.8,7055.4,7055.4,7044.4,7048.4,7043.05,
10,AU200_AUD,2023-07-10T16:00:00.000000000Z,494,7044.2,7052.2,7038.2,7051.2,7046.3,7053.8,7039.8,7052.8,7048.4,7055.4,7041.4,7054.4,7045.3,
11,AU200_AUD,2023-07-10T17:00:00.000000000Z,316,7050.2,7055.2,7050.2,7054.2,7052.3,7056.8,7051.8,7055.8,7054.4,7058.4,7053.4,7057.4,7047.800000000001,
12,AU200_AUD,2023-07-10T18:00:00.000000000Z,254,7054.2,7055.2,7048.2,7051.2,7056.3,7056.8,7049.8,7052.8,7058.4,7058.4,7051.4,7054.4,7049.55,
13,AU200_AUD,2023-07-10T19:00:00.000000000Z,341,7051.2,7052.2,7044.2,7051.2,7053.3,7053.8,7045.8,7052.8,7055.4,7055.4,7047.4,7054.4,7050.675,
