,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,AUD_CAD,2023-07-11T18:00:00.000000000Z,1785,0.88388,0.88466,0.88352,0.88462,0.88396,0.88474,0.88361,0.88470,0.88403,0.88482,0.88370,0.88477,,
1,AUD_CAD,2023-07-11T19:00:00.000000000Z,1542,0.88464,0.88487,0.88443,0.88476,0.88472,0.88494,0.88452,0.88484,0.88480,0.88502,0.88459,0.88491,,
2,AUD_CAD,2023-07-11T20:00:00.000000000Z,1014,0.88477,0.88503,0.88435,0.88435,0.88485,0.88511,0.88446,0.88448,0.88493,0.88519,0.88456,0.88460,,
3,AUD_CAD,2023-07-11T21:00:00.000000000Z,409,0.88362,0.88475,0.88350,0.88452,0.88418,0.88492,0.88415,0.88475,0.88473,0.88519,0.88468,0.88498,,
4,AUD_CAD,2023-07-11T22:00:00.000000000Z,494,0.88460,0.88499,0.88442,0.88491,0.88479,0.88509,0.88468,0.88500,0.88498,0.88521,0.88489,0.88510,,
5,AUD_CAD,2023-07-11T23:00:00.000000000Z,911,0.88495,0.88550,0.88484,0.88536,0.88503,0.88558,0.88494,0.88546,0.88511,0.88567,0.88503,0.88555,,
6,AUD_CAD,2023-07-12T00:00:00.000000000Z,3648,0.88537,0.88782,0.88522,0.88711,0.88546,0.88792,0.88531,0.88720,0.88554,0.88802,0.88540,0.88730,,
7,AUD_CAD,2023-07-12T01:00:00.000000000Z,4241,0.88707,0.88833,0.88696,0.88793,0.88717,0.88842,0.88708,0.88808,0.88727,0.88851,0.88717,0.88822,0.88556375,
8,AUD_CAD,2023-07-12T02:00:00.000000000Z,3549,0.88794,0.88987,0.88730,0.88938,0.88809,0.88996,0.88739,0.88948,0.88824,0.89004,0.88748,0.88957,0.88616125,
9,AUD_CAD,2023-07-12T03:00:00.000000000Z,2110,0.88939,0.88941,0.88707,0.88725,0.88948,0.88950,0.88716,0.88734,0.88956,0.88960,0.88725,0.88743,0.88647375,
10,AUD_CAD,2023-07-12T04:00:00.000000000Z,1687,0.88726,0.88810,0.88721,0.88758,0.88734,0.88818,0.88730,0.88766,0.88743,0.88827,0.88738,0.88773,0.88687125,
11,AUD_CAD,2023-07-12T05:00:00.000000000Z,2600,0.88758,0.88768,0.88546,0.88622,0.88766,0.88776,0.88561,0.88631,0.88775,0.88785,0.88576,0.88640,0.88706625,
12,AUD_CAD,2023-07-12T06:00:00.000000000Z,2515,0.88618,0.88705,0.88570,0.88611,0.88628,0.88715,0.88579,0.88618,0.88637,0.88725,0.88588,0.88626,0.88721375,
13,AUD_CAD,2023-07-12T07:00:00.000000000Z,3341,0.88611,0.88630,0.88367,0.88399,0.88620,0.88638,0.88375,0.88408,0.88628,0.88647,0.88383,0.88416,0.88704125,
14,AUD_CAD,2023-07-12T08:00:00.000000000Z,1990,0.88398,0.88407,0.88314,0.88348,0.88406,0.88416,0.88322,0.88356,0.88413,0.88424,0.88329,0.88363,0.88658625,
15,AUD_CAD,2023-07-12T09:00:00.000000000Z,1494,0.88349,0.88412,0.88315,0.88401,0.88357,0.88420,0.88322,0.88409,0.88365,0.88428,0.88330,0.88417,0.8860875,
16,AUD_CAD,2023-07-12T10:00:00.000000000Z,1459,0.88403,0.88457,0.88371,0.88393,0.88410,0.88465,0.88378,0.88402,0.88418,0.88473,0.88386,0.88410,0.8854050000000001,
17,AUD_CAD,2023-07-12T11:00:00.000000000Z,1958,0.88392,0.88446,0.88356,0.88413,0.88400,0.88454,0.88364,0.88421,0.88408,0.88461,0.88371,0.88429,0.8850137499999999,
18,AUD_CAD,2023-07-12T12:00:00.000000000Z,9605,0.88411,0.89136,0.88362,0.88966,0.88420,0.89146,0.88370,0.88975,0.88429,0.89156,0.88377,0.88984,0.885275,
19,AUD_CAD,2023-07-12T13:00:00.000000000Z,7390,0.88963,0.89392,0.88963,0.89349,0.88972,0.89401,0.88972,0.89366,0.88982,0.89410,0.88982,0.89383,0.88619375,
20,AUD_CAD,2023-07-12T14:00:00.000000000Z,8172,0.89346,0.89386,0.89001,0.89373,0.89362,0.89395,0.89016,0.89383,0.89378,0.89404,0.89030,0.89393,0.88715,
21,AUD_CAD,2023-07-12T15:00:00.000000000Z,5590,0.89374,0.89444,0.89267,0.89378,0.89383,0.89452,0.89276,0.89388,0.89392,0.89462,0.89286,0.89397,0.888375,
22,AUD_CAD,2023-07-12T16:00:00.000000000Z,3725,0.89377,0.89592,0.89369,0.89577,0.89387,0.89600,0.89380,0.89585,0.89397,0.89610,0.89391,0.89593,0.8899112499999999,
23,AUD_CAD,2023-07-12T17:00:00.000000000Z,2465,0.89574,0.89604,0.89481,0.89531,0.89582,0.89613,0.89490,0.89539,0.89589,0.89622,0.89499,0.89547,0.8913237500000001,
24,AUD_CAD,2023-07-12T18:00:00.000000000Z,2305,0.89532,0.89581,0.89509,0.89564,0.89540,0.89588,0.89517,0.89572,0.89549,0.89597,0.89525,0.89581,0.89278625,
25,AUD_CAD,2023-07-12T19:00:00.000000000Z,2227,0.89566,0.89605,0.89492,0.89508,0.89574,0.89612,0.89500,0.89516,0.89581,0.89620,0.89507,0.89523,0.894155,
26,AUD_CAD,2023-07-12T20:00:00.000000000Z,743,0.89505,0.89553,0.89495,0.89506,0.89514,0.89562,0.89505,0.89516,0.89523,0.89571,0.89515,0.89525,0.89483125,
27,AUD_CAD,2023-07-12T21:00:00.000000000Z,788,0.89360,0.89528,0.89354,0.89470,0.89475,0.89549,0.89430,0.89494,0.89590,0.89595,0.89481,0.89519,0.89499125,
28,AUD_CAD,2023-07-12T22:00:00.000000000Z,661,0.89480,0.89536,0.89470,0.89517,0.89505,0.89545,0.89498,0.89528,0.89530,0.89555,0.89515,0.89540,0.8951724999999999,
29,AUD_CAD,2023-07-12T23:00:00.000000000Z,461,0.89518,0.89547,0.89485,0.89540,0.89528,0.89556,0.89494,0.89548,0.89539,0.89566,0.89504,0.89557,0.8953724999999999,
30,AUD_CAD,2023-07-13T00:00:00.000000000Z,2719,0.89544,0.89608,0.89509,0.89511,0.89552,0.89618,0.89518,0.89522,0.89560,0.89629,0.89527,0.89533,0.89529375,
31,AUD_CAD,2023-07-13T01:00:00.000000000Z,3376,0.89510,0.89689,0.89484,0.89671,0.89522,0.89698,0.89494,0.89679,0.89535,0.89708,0.89502,0.89687,0.8954687499999999,
32,AUD_CAD,2023-07-13T02:00:00.000000000Z,3118,0.89671,0.89718,0.89586,0.89698,0.89680,0.89727,0.89595,0.89708,0.89688,0.89736,0.89604,0.89718,0.8956387499999999,
33,AUD_CAD,2023-07-13T03:00:00.000000000Z,2866,0.89696,0.89815,0.89655,0.89791,0.89707,0.89824,0.89664,0.89798,0.89718,0.89833,0.89674,0.89806,0.89599125,
34,AUD_CAD,2023-07-13T04:00:00.000000000Z,1985,0.89789,0.89796,0.89717,0.89731,0.89797,0.89805,0.89725,0.89740,0.89805,0.89814,0.89733,0.89748,0.8962712500000001,
