,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,AUD_CHF,2023-06-29T16:00:00.000000000Z,2318,0.59586,0.59598,0.59543,0.59568,0.59592,0.59602,0.59548,0.59573,0.59597,0.59607,0.59552,0.59578,,
1,AUD_CHF,2023-06-29T17:00:00.000000000Z,2479,0.59568,0.59577,0.59488,0.59495,0.59574,0.59582,0.59492,0.59499,0.59579,0.59587,0.59497,0.59503,,
2,AUD_CHF,2023-06-29T18:00:00.000000000Z,1672,0.59495,0.59570,0.59481,0.59558,0.59500,0.59576,0.59486,0.59562,0.59504,0.59581,0.59492,0.59567,,
3,AUD_CHF,2023-06-29T19:00:00.000000000Z,1257,0.59559,0.59575,0.59532,0.59548,0.59564,0.59580,0.59537,0.59552,0.59569,0.59585,0.59542,0.59556,,
4,AUD_CHF,2023-06-29T20:00:00.000000000Z,674,0.59547,0.59560,0.59510,0.59517,0.59552,0.59565,0.59518,0.59526,0.59557,0.59570,0.59525,0.59534,,
5,AUD_CHF,2023-06-29T21:00:00.000000000Z,274,0.59490,0.59508,0.59449,0.59487,0.59533,0.59544,0.59496,0.59512,0.59576,0.59589,0.59530,0.59537,,
6,AUD_CHF,2023-06-29T22:00:00.000000000Z,878,0.59482,0.59545,0.59482,0.59538,0.59506,0.59551,0.59506,0.59544,0.59530,0.59558,0.59521,0.59550,,
7,AUD_CHF,2023-06-29T23:00:00.000000000Z,435,0.59540,0.59545,0.59492,0.59495,0.59546,0.59550,0.59498,0.59500,0.59551,0.59556,0.59504,0.59506,0.595335,
8,AUD_CHF,2023-06-30T00:00:00.000000000Z,2262,0.59497,0.59507,0.59361,0.59392,0.59502,0.59512,0.59367,0.59399,0.59508,0.59518,0.59373,0.59406,0.5951175000000001,
9,AUD_CHF,2023-06-30T01:00:00.000000000Z,3640,0.59396,0.59480,0.59378,0.59469,0.59402,0.59486,0.59384,0.59475,0.59409,0.59491,0.59390,0.59481,0.5950875,
10,AUD_CHF,2023-06-30T02:00:00.000000000Z,2987,0.59468,0.59601,0.59468,0.59497,0.59474,0.59607,0.59474,0.59502,0.59481,0.59613,0.59481,0.59507,0.5950124999999999,
11,AUD_CHF,2023-06-30T03:00:00.000000000Z,1944,0.59497,0.59565,0.59477,0.59541,0.59502,0.59570,0.59482,0.59547,0.59508,0.59576,0.59488,0.59553,0.59500625,
12,AUD_CHF,2023-06-30T04:00:00.000000000Z,1309,0.59542,0.59579,0.59516,0.59558,0.59547,0.59584,0.59522,0.59564,0.59552,0.59590,0.59527,0.59569,0.5950537499999999,
13,AUD_CHF,2023-06-30T05:00:00.000000000Z,1694,0.59561,0.59623,0.59551,0.59562,0.59566,0.59628,0.59557,0.59568,0.59570,0.59634,0.59561,0.59574,0.5951237500000001,
14,AUD_CHF,2023-06-30T06:00:00.000000000Z,2973,0.59565,0.59623,0.59540,0.59587,0.59571,0.59630,0.59546,0.59592,0.59577,0.59636,0.59552,0.59598,0.59518375,
15,AUD_CHF,2023-06-30T07:00:00.000000000Z,3362,0.59585,0.59621,0.59527,0.59565,0.59590,0.59626,0.59532,0.59570,0.59596,0.59631,0.59537,0.59576,0.59527125,
16,AUD_CHF,2023-06-30T08:00:00.000000000Z,3935,0.59568,0.59660,0.59562,0.59637,0.59573,0.59663,0.59566,0.59642,0.59578,0.59667,0.59570,0.59647,0.595575,
17,AUD_CHF,2023-06-30T09:00:00.000000000Z,2338,0.59639,0.59712,0.59612,0.59709,0.59643,0.59716,0.59618,0.59714,0.59647,0.59721,0.59623,0.59720,0.59587375,
18,AUD_CHF,2023-06-30T10:00:00.000000000Z,2079,0.59707,0.59715,0.59627,0.59640,0.59713,0.59721,0.59633,0.59645,0.59719,0.59727,0.59639,0.59650,0.5960525000000001,
19,AUD_CHF,2023-06-30T11:00:00.000000000Z,2123,0.59641,0.59661,0.59605,0.59653,0.59646,0.59664,0.59610,0.59658,0.59652,0.59668,0.59614,0.59664,0.59619125,
20,AUD_CHF,2023-06-30T12:00:00.000000000Z,5155,0.59653,0.59745,0.59613,0.59649,0.59658,0.59750,0.59622,0.59654,0.59662,0.59755,0.59628,0.59659,0.59630375,
21,AUD_CHF,2023-06-30T13:00:00.000000000Z,4955,0.59651,0.59680,0.59553,0.59615,0.59654,0.59685,0.59559,0.59630,0.59658,0.59690,0.59564,0.59644,0.59638125,
22,AUD_CHF,2023-06-30T14:00:00.000000000Z,7231,0.59632,0.59636,0.59472,0.59545,0.59644,0.59650,0.59478,0.59550,0.59656,0.59664,0.59483,0.59554,0.5963287500000001,
23,AUD_CHF,2023-06-30T15:00:00.000000000Z,4269,0.59544,0.59613,0.59528,0.59602,0.59549,0.59617,0.59533,0.59606,0.59554,0.59622,0.59538,0.59610,0.59637375,
24,AUD_CHF,2023-06-30T16:00:00.000000000Z,2857,0.59603,0.59672,0.59592,0.59664,0.59608,0.59678,0.59597,0.59668,0.59612,0.59684,0.59601,0.59673,0.59640625,
