,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,AUD_HKD,2023-06-29T17:00:00.000000000Z,1745,5.19413,5.19506,5.18563,5.18687,5.19436,5.19530,5.18584,5.18708,5.19460,5.19554,5.18605,5.18729,,
1,AUD_HKD,2023-06-29T18:00:00.000000000Z,1484,5.18664,5.19086,5.18401,5.18796,5.18685,5.19106,5.18421,5.18818,5.18706,5.19127,5.18441,5.18839,,
2,AUD_HKD,2023-06-29T19:00:00.000000000Z,1390,5.18800,5.19046,5.18681,5.18791,5.18822,5.19068,5.18702,5.18813,5.18843,5.19091,5.18723,5.18835,,
3,AUD_HKD,2023-06-29T20:00:00.000000000Z,605,5.18785,5.18911,5.18592,5.18629,5.18808,5.18936,5.18618,5.18660,5.18830,5.18962,5.18643,5.18692,,
4,AUD_HKD,2023-06-29T21:00:00.000000000Z,311,5.18617,5.18821,5.18327,5.18515,5.18847,5.18856,5.18501,5.18586,5.19077,5.19077,5.18573,5.18657,,
5,AUD_HKD,2023-06-29T22:00:00.000000000Z,502,5.18527,5.18946,5.18504,5.18876,5.18584,5.18986,5.18546,5.18906,5.18642,5.19027,5.18588,5.18935,,
6,AUD_HKD,2023-06-29T23:00:00.000000000Z,665,5.18872,5.18996,5.18633,5.18643,5.18902,5.19027,5.18656,5.18665,5.18931,5.19065,5.18678,5.18687,,
7,AUD_HKD,2023-06-30T00:00:00.000000000Z,2262,5.18663,5.18777,5.17468,5.17933,5.18685,5.18799,5.17488,5.17956,5.18707,5.18821,5.17509,5.17978,5.18639,
8,AUD_HKD,2023-06-30T01:00:00.000000000Z,3600,5.17972,5.18609,5.17627,5.18466,5.17995,5.18633,5.17648,5.18486,5.18018,5.18659,5.17669,5.18506,5.1861125,
9,AUD_HKD,2023-06-30T02:00:00.000000000Z,3232,5.18456,5.19910,5.18456,5.18802,5.18476,5.19932,5.18476,5.18829,5.18496,5.19954,5.18496,5.18856,5.18612625,
10,AUD_HKD,2023-06-30T03:00:00.000000000Z,2630,5.18795,5.19541,5.18533,5.19238,5.18822,5.19564,5.18555,5.19260,5.18849,5.19587,5.18577,5.19283,5.186685000000001,
11,AUD_HKD,2023-06-30T04:00:00.000000000Z,1435,5.19234,5.19529,5.19041,5.19336,5.19256,5.19551,5.19061,5.19358,5.19279,5.19573,5.19081,5.19379,5.1875575000000005,
12,AUD_HKD,2023-06-30T05:00:00.000000000Z,2071,5.19348,5.20072,5.19347,5.19445,5.19370,5.20098,5.19369,5.19468,5.19391,5.20124,5.19390,5.19492,5.18866,
13,AUD_HKD,2023-06-30T06:00:00.000000000Z,2998,5.19425,5.19525,5.18627,5.19309,5.19448,5.19548,5.18650,5.19335,5.19472,5.19571,5.18672,5.19361,5.18919625,
14,AUD_HKD,2023-06-30T07:00:00.000000000Z,2874,5.19309,5.19465,5.18488,5.18802,5.19336,5.19487,5.18513,5.18826,5.19362,5.19509,5.18538,5.18849,5.1893975,
15,AUD_HKD,2023-06-30T08:00:00.000000000Z,2906,5.18806,5.19069,5.18176,5.18536,5.18829,5.19094,5.18198,5.18558,5.18852,5.19120,5.18221,5.18580,5.190149999999999,
16,AUD_HKD,2023-06-30T09:00:00.000000000Z,2375,5.18546,5.19066,5.18498,5.18947,5.18568,5.19088,5.18524,5.18968,5.18591,5.19109,5.18547,5.18989,5.190752499999999,
17,AUD_HKD,2023-06-30T10:00:00.000000000Z,1696,5.18947,5.19199,5.18484,5.18756,5.18968,5.19221,5.18507,5.18780,5.18988,5.19243,5.18530,5.18805,5.19069125,
18,AUD_HKD,2023-06-30T11:00:00.000000000Z,1630,5.18760,5.19077,5.18651,5.18725,5.18784,5.19100,5.18672,5.18750,5.18809,5.19122,5.18693,5.18775,5.190053750000001,
19,AUD_HKD,2023-06-30T12:00:00.000000000Z,3866,5.18725,5.21191,5.18725,5.20594,5.18751,5.21217,5.18750,5.20616,5.18777,5.21246,5.18774,5.20637,5.19162625,
20,AUD_HKD,2023-06-30T13:00:00.000000000Z,3826,5.20578,5.21554,5.20266,5.21138,5.20600,5.21577,5.20286,5.21224,5.20621,5.21600,5.20306,5.21309,5.19382125,
21,AUD_HKD,2023-06-30T14:00:00.000000000Z,5731,5.21123,5.22272,5.20979,5.21537,5.21224,5.22294,5.21006,5.21558,5.21325,5.22317,5.21032,5.21579,5.1966,
22,AUD_HKD,2023-06-30T15:00:00.000000000Z,3042,5.21525,5.22209,5.21379,5.22030,5.21546,5.22231,5.21400,5.22053,5.21567,5.22253,5.21421,5.22076,5.20063375,
23,AUD_HKD,2023-06-30T16:00:00.000000000Z,2089,5.22031,5.22653,5.21720,5.22576,5.22053,5.22675,5.21742,5.22596,5.22075,5.22697,5.21765,5.22616,5.20568125,
24,AUD_HKD,2023-06-30T17:00:00.000000000Z,1817,5.22602,5.22801,5.22069,5.22212,5.22622,5.22823,5.22090,5.22235,5.22642,5.22846,5.22110,5.22258,5.209765,
25,AUD_HKD,2023-06-30T18:00:00.000000000Z,1715,5.22242,5.22500,5.21964,5.22109,5.22265,5.22523,5.21986,5.22130,5.22288,5.22546,5.22009,5.22151,5.2139524999999995,
26,AUD_HKD,2023-06-30T19:00:00.000000000Z,1410,5.22097,5.22291,5.21833,5.21868,5.22124,5.22317,5.21860,5.21894,5.22151,5.22343,5.21888,5.21920,5.2178825,
27,AUD_HKD,2023-06-30T20:00:00.000000000Z,1622,5.21895,5.22349,5.21164,5.21231,5.21921,5.22380,5.21766,5.21828,5.21947,5.22539,5.21879,5.22426,5.2193975,
28,AUD_HKD,2023-07-02T21:00:00.000000000Z,83,5.21825,5.22163,5.21825,5.22101,5.22189,5.22334,5.22042,5.22242,5.22553,5.22553,5.22239,5.22384,5.22067,
29,AUD_HKD,2023-07-02T22:00:00.000000000Z,810,5.22101,5.22206,5.21803,5.21861,5.22226,5.22292,5.21890,5.21952,5.22352,5.22378,5.21978,5.22044,5.221162499999999,
30,AUD_HKD,2023-07-02T23:00:00.000000000Z,792,5.21893,5.22014,5.21684,5.21782,5.21980,5.22091,5.21742,5.21812,5.22068,5.22183,5.21775,5.21843,5.2208612500000005,
31,AUD_HKD,2023-07-03T00:00:00.000000000Z,2175,5.21780,5.22291,5.21386,5.21482,5.21812,5.22327,5.21416,5.21506,5.21843,5.22363,5.21447,5.21530,5.21949875,
32,AUD_HKD,2023-07-03T01:00:00.000000000Z,3695,5.21466,5.22468,5.20973,5.21159,5.21494,5.22492,5.20996,5.21179,5.21522,5.22517,5.21018,5.21199,5.21817875,
