,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,AUD_JPY,2023-07-11T18:00:00.000000000Z,3406,93.618,93.829,93.594,93.813,93.626,93.836,93.602,93.822,93.635,93.843,93.611,93.832,,
1,AUD_JPY,2023-07-11T19:00:00.000000000Z,3148,93.815,93.867,93.798,93.845,93.822,93.875,93.807,93.854,93.830,93.883,93.815,93.863,,
2,AUD_JPY,2023-07-11T20:00:00.000000000Z,1815,93.843,93.864,93.805,93.811,93.853,93.874,93.819,93.824,93.863,93.884,93.833,93.836,,
3,AUD_JPY,2023-07-11T21:00:00.000000000Z,602,93.750,93.852,93.720,93.825,93.795,93.869,93.786,93.850,93.840,93.914,93.827,93.876,,
4,AUD_JPY,2023-07-11T22:00:00.000000000Z,2260,93.818,93.855,93.773,93.819,93.844,93.870,93.784,93.828,93.871,93.886,93.794,93.836,,
5,AUD_JPY,2023-07-11T23:00:00.000000000Z,3104,93.820,93.881,93.737,93.779,93.829,93.888,93.746,93.788,93.838,93.895,93.756,93.797,,
6,AUD_JPY,2023-07-12T00:00:00.000000000Z,9844,93.777,93.871,93.566,93.777,93.786,93.880,93.576,93.787,93.796,93.889,93.587,93.797,,
7,AUD_JPY,2023-07-12T01:00:00.000000000Z,10472,93.777,93.805,93.637,93.752,93.788,93.814,93.647,93.763,93.799,93.823,93.657,93.774,93.8145,
8,AUD_JPY,2023-07-12T02:00:00.000000000Z,8699,93.748,94.123,93.696,94.033,93.759,94.131,93.707,94.040,93.770,94.139,93.718,94.047,93.84175,
9,AUD_JPY,2023-07-12T03:00:00.000000000Z,5446,94.034,94.041,93.758,93.821,94.042,94.049,93.768,93.830,94.049,94.057,93.777,93.840,93.83874999999999,
10,AUD_JPY,2023-07-12T04:00:00.000000000Z,4486,93.823,93.918,93.735,93.766,93.832,93.926,93.744,93.774,93.841,93.936,93.752,93.782,93.8325,
11,AUD_JPY,2023-07-12T05:00:00.000000000Z,6715,93.766,93.768,93.520,93.547,93.774,93.778,93.532,93.556,93.783,93.787,93.538,93.566,93.79575,
12,AUD_JPY,2023-07-12T06:00:00.000000000Z,6751,93.545,93.658,93.448,93.500,93.554,93.668,93.454,93.509,93.564,93.679,93.461,93.518,93.755875,
13,AUD_JPY,2023-07-12T07:00:00.000000000Z,8690,93.500,93.523,93.294,93.341,93.510,93.531,93.303,93.350,93.519,93.539,93.312,93.359,93.701125,
14,AUD_JPY,2023-07-12T08:00:00.000000000Z,6425,93.336,93.419,93.290,93.355,93.346,93.426,93.300,93.364,93.355,93.435,93.309,93.372,93.64824999999999,
15,AUD_JPY,2023-07-12T09:00:00.000000000Z,5554,93.355,93.484,93.343,93.471,93.364,93.492,93.351,93.480,93.373,93.501,93.359,93.489,93.612875,
16,AUD_JPY,2023-07-12T10:00:00.000000000Z,4744,93.470,93.504,93.342,93.343,93.480,93.512,93.350,93.351,93.489,93.520,93.357,93.359,93.52674999999999,
17,AUD_JPY,2023-07-12T11:00:00.000000000Z,4985,93.343,93.400,93.266,93.304,93.352,93.409,93.274,93.312,93.360,93.418,93.282,93.321,93.462,
18,AUD_JPY,2023-07-12T12:00:00.000000000Z,14981,93.303,93.806,93.217,93.710,93.312,93.815,93.290,93.718,93.322,93.824,93.297,93.727,93.45500000000001,
19,AUD_JPY,2023-07-12T13:00:00.000000000Z,15940,93.711,94.207,93.709,94.045,93.718,94.216,93.716,94.054,93.726,94.225,93.724,94.062,93.51725,
20,AUD_JPY,2023-07-12T14:00:00.000000000Z,13884,94.043,94.094,93.914,94.027,94.052,94.102,93.922,94.036,94.061,94.110,93.931,94.044,93.583125,
21,AUD_JPY,2023-07-12T15:00:00.000000000Z,9340,94.025,94.027,93.657,93.730,94.034,94.036,93.666,93.738,94.044,94.044,93.675,93.747,93.631625,
22,AUD_JPY,2023-07-12T16:00:00.000000000Z,6422,93.728,94.045,93.709,94.002,93.738,94.054,93.718,94.011,93.747,94.062,93.726,94.020,93.7125,
23,AUD_JPY,2023-07-12T17:00:00.000000000Z,4355,94.003,94.051,93.846,93.896,94.012,94.060,93.856,93.906,94.020,94.069,93.864,93.915,93.76575,
24,AUD_JPY,2023-07-12T18:00:00.000000000Z,4592,93.893,93.992,93.863,93.948,93.902,94.000,93.871,93.955,93.912,94.007,93.878,93.962,93.84125,
25,AUD_JPY,2023-07-12T19:00:00.000000000Z,4356,93.947,94.010,93.875,94.000,93.954,94.018,93.885,94.009,93.960,94.026,93.895,94.018,93.928375,
26,AUD_JPY,2023-07-12T20:00:00.000000000Z,2195,93.999,94.065,93.990,94.025,94.008,94.074,93.998,94.036,94.018,94.083,94.006,94.046,93.96812500000001,
27,AUD_JPY,2023-07-12T21:00:00.000000000Z,623,93.828,93.989,93.828,93.933,93.946,94.016,93.934,93.962,94.064,94.067,93.967,93.991,93.956625,
28,AUD_JPY,2023-07-12T22:00:00.000000000Z,2240,93.943,94.003,93.919,93.937,93.971,94.018,93.928,93.946,93.999,94.033,93.938,93.956,93.945375,
29,AUD_JPY,2023-07-12T23:00:00.000000000Z,2532,93.936,94.036,93.886,93.951,93.947,94.044,93.895,93.960,93.958,94.052,93.904,93.968,93.973125,
30,AUD_JPY,2023-07-13T00:00:00.000000000Z,8195,93.951,94.113,93.848,94.053,93.959,94.120,93.858,94.064,93.967,94.128,93.867,94.074,93.97975,
31,AUD_JPY,2023-07-13T01:00:00.000000000Z,8074,94.054,94.221,94.007,94.172,94.064,94.230,94.018,94.182,94.073,94.239,94.027,94.191,94.01425,
32,AUD_JPY,2023-07-13T02:00:00.000000000Z,6719,94.173,94.316,94.135,94.259,94.182,94.325,94.144,94.268,94.191,94.334,94.153,94.276,94.053375,
33,AUD_JPY,2023-07-13T03:00:00.000000000Z,5296,94.257,94.410,94.204,94.384,94.266,94.417,94.214,94.394,94.275,94.426,94.222,94.403,94.1015,
34,AUD_JPY,2023-07-13T04:00:00.000000000Z,5723,94.384,94.399,94.301,94.336,94.393,94.408,94.308,94.346,94.402,94.417,94.316,94.356,94.14025000000001,
35,AUD_JPY,2023-07-13T05:00:00.000000000Z,6765,94.335,94.550,94.315,94.468,94.344,94.558,94.324,94.476,94.353,94.567,94.333,94.485,94.2045,
