,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,AUD_NZD,2023-04-20T17:00:00.000000000Z,2377,1.09064,1.09222,1.09058,1.09141,1.09077,1.09236,1.09071,1.09154,1.09090,1.09250,1.09084,1.09167,,
1,AUD_NZD,2023-04-20T21:00:00.000000000Z,3177,1.08981,1.09236,1.08981,1.09227,1.09160,1.09249,1.09110,1.09240,1.09338,1.09359,1.09133,1.09253,,
2,AUD_NZD,2023-04-21T01:00:00.000000000Z,2987,1.09234,1.09242,1.09057,1.09069,1.09247,1.09255,1.09070,1.09082,1.09260,1.09268,1.09083,1.09095,,
3,AUD_NZD,2023-04-21T05:00:00.000000000Z,4314,1.09060,1.09069,1.08890,1.09006,1.09073,1.09082,1.08903,1.09019,1.09086,1.09096,1.08916,1.09032,,
4,AUD_NZD,2023-04-21T09:00:00.000000000Z,3044,1.09000,1.09301,1.08983,1.09081,1.09013,1.09314,1.08996,1.09095,1.09026,1.09327,1.09009,1.09109,,
5,AUD_NZD,2023-04-21T13:00:00.000000000Z,8722,1.09081,1.09118,1.08856,1.08992,1.09094,1.09131,1.08876,1.09005,1.09107,1.09145,1.08890,1.09018,,
6,AUD_NZD,2023-04-21T17:00:00.000000000Z,3027,1.08997,1.09062,1.08946,1.09005,1.09010,1.09075,1.08960,1.09039,1.09023,1.09090,1.08973,1.09073,,
7,AUD_NZD,2023-04-23T21:00:00.000000000Z,2761,1.08861,1.09056,1.08751,1.08959,1.09050,1.09106,1.08891,1.08972,1.09240,1.09368,1.08904,1.08985,1.0907575,
8,AUD_NZD,2023-04-24T01:00:00.000000000Z,3328,1.08954,1.08999,1.08762,1.08783,1.08967,1.09012,1.08775,1.08796,1.08980,1.09026,1.08788,1.08809,1.09031,
9,AUD_NZD,2023-04-24T05:00:00.000000000Z,3768,1.08789,1.08938,1.08698,1.08801,1.08802,1.08951,1.08711,1.08814,1.08815,1.08965,1.08724,1.08827,1.0897775,
10,AUD_NZD,2023-04-24T09:00:00.000000000Z,2797,1.08796,1.08825,1.08730,1.08743,1.08810,1.08838,1.08743,1.08756,1.08824,1.08852,1.08756,1.08769,1.0893700000000002,
11,AUD_NZD,2023-04-24T13:00:00.000000000Z,4109,1.08748,1.08835,1.08658,1.08696,1.08761,1.08848,1.08671,1.08709,1.08774,1.08861,1.08684,1.08722,1.0889825000000002,
12,AUD_NZD,2023-04-24T17:00:00.000000000Z,1354,1.08702,1.08708,1.08527,1.08564,1.08715,1.08721,1.08540,1.08578,1.08728,1.08735,1.08553,1.08592,1.08833625,
13,AUD_NZD,2023-04-24T21:00:00.000000000Z,3160,1.08428,1.08575,1.08348,1.08449,1.08547,1.08594,1.08456,1.08462,1.08666,1.08697,1.08470,1.08475,1.0876575000000002,
14,AUD_NZD,2023-04-25T01:00:00.000000000Z,2812,1.08456,1.08522,1.08190,1.08243,1.08470,1.08535,1.08203,1.08256,1.08484,1.08548,1.08216,1.08269,1.08667875,
15,AUD_NZD,2023-04-25T05:00:00.000000000Z,4089,1.08234,1.08327,1.08059,1.08082,1.08247,1.08340,1.08073,1.08095,1.08260,1.08353,1.08087,1.08108,1.0855825000000001,
16,AUD_NZD,2023-04-25T09:00:00.000000000Z,3100,1.08081,1.08095,1.07933,1.07940,1.08095,1.08108,1.07946,1.07953,1.08109,1.08121,1.07959,1.07966,1.08452875,
17,AUD_NZD,2023-04-25T13:00:00.000000000Z,3712,1.07946,1.07981,1.07777,1.07836,1.07959,1.07994,1.07791,1.07849,1.07972,1.08007,1.07805,1.07862,1.0833225,
18,AUD_NZD,2023-04-25T17:00:00.000000000Z,1779,1.07828,1.07966,1.07781,1.07965,1.07841,1.07981,1.07794,1.07979,1.07854,1.07996,1.07807,1.07993,1.0823512499999999,
19,AUD_NZD,2023-04-25T21:00:00.000000000Z,4721,1.07845,1.07980,1.07808,1.07917,1.07938,1.07993,1.07822,1.07930,1.08031,1.08123,1.07837,1.07943,1.0813774999999999,
20,AUD_NZD,2023-04-26T01:00:00.000000000Z,5405,1.07924,1.07968,1.07626,1.07756,1.07937,1.07982,1.07671,1.07769,1.07950,1.08021,1.07695,1.07782,1.08036625,
21,AUD_NZD,2023-04-26T05:00:00.000000000Z,4253,1.07750,1.07802,1.07662,1.07751,1.07763,1.07815,1.07675,1.07764,1.07776,1.07828,1.07688,1.07777,1.07949375,
22,AUD_NZD,2023-04-26T09:00:00.000000000Z,5772,1.07745,1.07853,1.07620,1.07734,1.07758,1.07866,1.07633,1.07747,1.07771,1.07879,1.07646,1.07760,1.0788575,
23,AUD_NZD,2023-04-26T13:00:00.000000000Z,6673,1.07740,1.07929,1.07644,1.07885,1.07753,1.07942,1.07657,1.07898,1.07766,1.07957,1.07670,1.07911,1.07861125,
24,AUD_NZD,2023-04-26T17:00:00.000000000Z,2777,1.07884,1.07974,1.07795,1.07948,1.07899,1.07989,1.07808,1.07962,1.07914,1.08004,1.07821,1.07976,1.0786225,
25,AUD_NZD,2023-04-26T21:00:00.000000000Z,4960,1.07792,1.08012,1.07668,1.07889,1.07890,1.08025,1.07834,1.07902,1.07988,1.08102,1.07913,1.07915,1.07868875,
26,AUD_NZD,2023-04-27T01:00:00.000000000Z,3584,1.07897,1.07900,1.07642,1.07689,1.07910,1.07913,1.07655,1.07702,1.07923,1.07928,1.07668,1.07715,1.0783425,
27,AUD_NZD,2023-04-27T05:00:00.000000000Z,5282,1.07697,1.07842,1.07545,1.07568,1.07710,1.07855,1.07558,1.07581,1.07723,1.07868,1.07571,1.07594,1.07790625,
28,AUD_NZD,2023-04-27T09:00:00.000000000Z,7901,1.07576,1.07725,1.07504,1.07721,1.07589,1.07738,1.07517,1.07734,1.07602,1.07751,1.07530,1.07747,1.0778625,
29,AUD_NZD,2023-04-27T13:00:00.000000000Z,6463,1.07714,1.07942,1.07700,1.07831,1.07727,1.07955,1.07713,1.07844,1.07740,1.07968,1.07726,1.07857,1.0779625,
30,AUD_NZD,2023-04-27T17:00:00.000000000Z,2099,1.07837,1.07934,1.07809,1.07809,1.07850,1.07948,1.07824,1.07824,1.07863,1.07963,1.07838,1.07840,1.07805875,
31,AUD_NZD,2023-04-27T21:00:00.000000000Z,4560,1.07736,1.07890,1.07608,1.07884,1.07862,1.07903,1.07752,1.07897,1.07987,1.08001,1.07814,1.07910,1.0780575000000001,
32,AUD_NZD,2023-04-28T01:00:00.000000000Z,4975,1.07891,1.07911,1.07637,1.07658,1.07904,1.07924,1.07651,1.07672,1.07917,1.07937,1.07665,1.07686,1.077695,
33,AUD_NZD,2023-04-28T05:00:00.000000000Z,5408,1.07664,1.07714,1.07355,1.07401,1.07678,1.07727,1.07368,1.07414,1.07692,1.07740,1.07381,1.07427,1.077085,
34,AUD_NZD,2023-04-28T09:00:00.000000000Z,5703,1.07399,1.07432,1.07055,1.07102,1.07413,1.07445,1.07068,1.07115,1.07427,1.07458,1.07081,1.07128,1.07635125,
35,AUD_NZD,2023-04-28T13:00:00.000000000Z,6218,1.07097,1.07137,1.06815,1.06957,1.07110,1.07150,1.06828,1.06970,1.07123,1.07163,1.06841,1.06983,1.0755875,
36,AUD_NZD,2023-04-28T17:00:00.000000000Z,2638,1.06963,1.07037,1.06866,1.06989,1.06976,1.07056,1.06879,1.07030,1.06989,1.07137,1.06892,1.07072,1.0747075000000001,
37,AUD_NZD,2023-04-30T21:00:00.000000000Z,4623,1.06903,1.07221,1.06717,1.07197,1.07096,1.07268,1.06884,1.07210,1.07290,1.07521,1.06938,1.07223,1.073915,
