,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,AUD_SGD,2023-04-20T17:00:00.000000000Z,4241,0.89926,0.89965,0.89745,0.89821,0.89933,0.89972,0.89752,0.89834,0.89940,0.89979,0.89760,0.89846,,
1,AUD_SGD,2023-04-20T21:00:00.000000000Z,2592,0.89635,0.89864,0.89626,0.89824,0.89798,0.89894,0.89768,0.89830,0.89962,0.90018,0.89774,0.89837,,
2,AUD_SGD,2023-04-21T01:00:00.000000000Z,3741,0.89829,0.89838,0.89499,0.89531,0.89836,0.89844,0.89506,0.89538,0.89842,0.89852,0.89512,0.89544,,
3,AUD_SGD,2023-04-21T05:00:00.000000000Z,7385,0.89526,0.89566,0.89212,0.89276,0.89532,0.89572,0.89218,0.89282,0.89539,0.89578,0.89225,0.89289,,
4,AUD_SGD,2023-04-21T09:00:00.000000000Z,6269,0.89280,0.89451,0.89272,0.89386,0.89286,0.89458,0.89278,0.89392,0.89293,0.89465,0.89283,0.89399,,
5,AUD_SGD,2023-04-21T13:00:00.000000000Z,12444,0.89386,0.89480,0.89196,0.89311,0.89392,0.89486,0.89228,0.89318,0.89397,0.89492,0.89235,0.89325,,
6,AUD_SGD,2023-04-21T17:00:00.000000000Z,5152,0.89303,0.89401,0.89210,0.89258,0.89310,0.89408,0.89216,0.89302,0.89318,0.89415,0.89223,0.89346,,
7,AUD_SGD,2023-04-23T21:00:00.000000000Z,3141,0.89149,0.89337,0.89149,0.89293,0.89297,0.89350,0.89160,0.89300,0.89445,0.89477,0.89166,0.89306,0.894745,
8,AUD_SGD,2023-04-24T01:00:00.000000000Z,5246,0.89292,0.89317,0.89128,0.89176,0.89298,0.89324,0.89134,0.89184,0.89304,0.89332,0.89139,0.89193,0.8939325,
9,AUD_SGD,2023-04-24T05:00:00.000000000Z,6662,0.89181,0.89303,0.89067,0.89251,0.89190,0.89309,0.89074,0.89258,0.89198,0.89315,0.89080,0.89264,0.8932175,
10,AUD_SGD,2023-04-24T09:00:00.000000000Z,6308,0.89250,0.89308,0.89127,0.89174,0.89258,0.89314,0.89134,0.89182,0.89265,0.89321,0.89140,0.89190,0.8927725,
11,AUD_SGD,2023-04-24T13:00:00.000000000Z,7170,0.89175,0.89356,0.89064,0.89218,0.89182,0.89362,0.89070,0.89224,0.89190,0.89370,0.89075,0.89231,0.8927,
12,AUD_SGD,2023-04-24T17:00:00.000000000Z,1955,0.89219,0.89288,0.89205,0.89280,0.89225,0.89295,0.89212,0.89291,0.89231,0.89304,0.89219,0.89302,0.8925737499999999,
13,AUD_SGD,2023-04-24T21:00:00.000000000Z,2922,0.89198,0.89374,0.89198,0.89224,0.89282,0.89380,0.89226,0.89230,0.89365,0.89401,0.89233,0.89235,0.8924637500000001,
14,AUD_SGD,2023-04-25T01:00:00.000000000Z,3800,0.89218,0.89310,0.89038,0.89114,0.89224,0.89316,0.89044,0.89120,0.89229,0.89323,0.89051,0.89126,0.89223625,
