,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,AUD_USD,2023-07-11T18:00:00.000000000Z,1448,0.66709,0.66807,0.66667,0.66793,0.66716,0.66812,0.66674,0.66800,0.66722,0.66818,0.66679,0.66807,,
1,AUD_USD,2023-07-11T19:00:00.000000000Z,1234,0.66795,0.66851,0.66784,0.66848,0.66802,0.66856,0.66790,0.66855,0.66808,0.66862,0.66797,0.66862,,
2,AUD_USD,2023-07-11T20:00:00.000000000Z,630,0.66847,0.66881,0.66842,0.66844,0.66854,0.66887,0.66848,0.66850,0.66860,0.66893,0.66854,0.66857,,
3,AUD_USD,2023-07-11T21:00:00.000000000Z,333,0.66793,0.66870,0.66784,0.66847,0.66828,0.66882,0.66827,0.66864,0.66862,0.66894,0.66856,0.66882,,
4,AUD_USD,2023-07-11T22:00:00.000000000Z,502,0.66854,0.66913,0.66841,0.66908,0.66866,0.66920,0.66858,0.66914,0.66879,0.66927,0.66870,0.66921,,
5,AUD_USD,2023-07-11T23:00:00.000000000Z,778,0.66908,0.66948,0.66905,0.66925,0.66916,0.66954,0.66912,0.66932,0.66923,0.66960,0.66918,0.66939,,
6,AUD_USD,2023-07-12T00:00:00.000000000Z,2951,0.66925,0.67173,0.66909,0.67111,0.66930,0.67178,0.66915,0.67118,0.66936,0.67184,0.66921,0.67125,,
7,AUD_USD,2023-07-12T01:00:00.000000000Z,3377,0.67109,0.67255,0.67101,0.67223,0.67115,0.67260,0.67108,0.67229,0.67121,0.67267,0.67114,0.67235,0.6694525,
8,AUD_USD,2023-07-12T02:00:00.000000000Z,3439,0.67222,0.67412,0.67148,0.67360,0.67229,0.67418,0.67154,0.67366,0.67236,0.67425,0.67160,0.67373,0.67016,
9,AUD_USD,2023-07-12T03:00:00.000000000Z,1864,0.67362,0.67363,0.67160,0.67180,0.67368,0.67370,0.67167,0.67187,0.67373,0.67376,0.67174,0.67194,0.670575,
10,AUD_USD,2023-07-12T04:00:00.000000000Z,1581,0.67180,0.67262,0.67174,0.67216,0.67186,0.67269,0.67181,0.67222,0.67192,0.67276,0.67188,0.67227,0.6710400000000001,
11,AUD_USD,2023-07-12T05:00:00.000000000Z,2626,0.67216,0.67228,0.67013,0.67062,0.67222,0.67234,0.67028,0.67068,0.67229,0.67240,0.67036,0.67074,0.6712950000000001,
12,AUD_USD,2023-07-12T06:00:00.000000000Z,2390,0.67062,0.67176,0.67032,0.67049,0.67069,0.67182,0.67038,0.67055,0.67076,0.67188,0.67045,0.67061,0.67147125,
13,AUD_USD,2023-07-12T07:00:00.000000000Z,2896,0.67048,0.67071,0.66820,0.66878,0.67055,0.67077,0.66826,0.66884,0.67062,0.67083,0.66833,0.66890,0.67141125,
14,AUD_USD,2023-07-12T08:00:00.000000000Z,2331,0.66877,0.66897,0.66832,0.66871,0.66884,0.66904,0.66838,0.66878,0.66890,0.66910,0.66845,0.66884,0.67111125,
15,AUD_USD,2023-07-12T09:00:00.000000000Z,1588,0.66870,0.66938,0.66841,0.66934,0.66877,0.66944,0.66846,0.66942,0.66884,0.66951,0.66852,0.66949,0.6707525,
16,AUD_USD,2023-07-12T10:00:00.000000000Z,1543,0.66934,0.66946,0.66868,0.66888,0.66941,0.66952,0.66874,0.66894,0.66948,0.66957,0.66880,0.66900,0.6701625,
17,AUD_USD,2023-07-12T11:00:00.000000000Z,1795,0.66888,0.66930,0.66832,0.66873,0.66894,0.66936,0.66838,0.66880,0.66899,0.66942,0.66845,0.66886,0.66977875,
18,AUD_USD,2023-07-12T12:00:00.000000000Z,6332,0.66875,0.67509,0.66795,0.67285,0.66882,0.67515,0.66848,0.67292,0.66889,0.67522,0.66854,0.67298,0.66986625,
19,AUD_USD,2023-07-12T13:00:00.000000000Z,5493,0.67286,0.67757,0.67275,0.67747,0.67292,0.67764,0.67281,0.67753,0.67298,0.67771,0.67287,0.67759,0.6707225,
20,AUD_USD,2023-07-12T14:00:00.000000000Z,5263,0.67744,0.67946,0.67668,0.67920,0.67750,0.67952,0.67674,0.67926,0.67755,0.67957,0.67680,0.67933,0.67181125,
21,AUD_USD,2023-07-12T15:00:00.000000000Z,3926,0.67916,0.67925,0.67733,0.67815,0.67922,0.67931,0.67738,0.67822,0.67929,0.67937,0.67744,0.67828,0.67298375,
22,AUD_USD,2023-07-12T16:00:00.000000000Z,2972,0.67812,0.67936,0.67783,0.67920,0.67819,0.67943,0.67790,0.67926,0.67826,0.67950,0.67798,0.67931,0.67429375,
23,AUD_USD,2023-07-12T17:00:00.000000000Z,1831,0.67920,0.67957,0.67844,0.67881,0.67926,0.67963,0.67851,0.67888,0.67932,0.67969,0.67857,0.67895,0.67547625,
24,AUD_USD,2023-07-12T18:00:00.000000000Z,1792,0.67883,0.67930,0.67864,0.67919,0.67890,0.67937,0.67870,0.67925,0.67896,0.67944,0.67876,0.67931,0.6767650000000001,
25,AUD_USD,2023-07-12T19:00:00.000000000Z,1670,0.67918,0.67929,0.67835,0.67891,0.67924,0.67934,0.67841,0.67898,0.67929,0.67941,0.67847,0.67904,0.6780375000000001,
26,AUD_USD,2023-07-12T20:00:00.000000000Z,567,0.67890,0.67916,0.67875,0.67883,0.67897,0.67922,0.67882,0.67891,0.67904,0.67927,0.67887,0.67899,0.6787862499999999,
27,AUD_USD,2023-07-12T21:00:00.000000000Z,330,0.67743,0.67893,0.67743,0.67857,0.67818,0.67912,0.67818,0.67876,0.67893,0.67930,0.67863,0.67894,0.67894,
28,AUD_USD,2023-07-12T22:00:00.000000000Z,666,0.67861,0.67913,0.67861,0.67882,0.67880,0.67920,0.67876,0.67890,0.67898,0.67927,0.67887,0.67897,0.678895,
29,AUD_USD,2023-07-12T23:00:00.000000000Z,656,0.67882,0.67924,0.67858,0.67919,0.67888,0.67932,0.67865,0.67925,0.67895,0.67939,0.67872,0.67931,0.67902375,
30,AUD_USD,2023-07-13T00:00:00.000000000Z,2157,0.67922,0.67986,0.67878,0.67882,0.67928,0.67992,0.67885,0.67888,0.67933,0.67998,0.67892,0.67895,0.67897625,
31,AUD_USD,2023-07-13T01:00:00.000000000Z,2783,0.67883,0.68009,0.67848,0.67992,0.67889,0.68015,0.67854,0.67998,0.67895,0.68021,0.67859,0.68005,0.6791137500000001,
32,AUD_USD,2023-07-13T02:00:00.000000000Z,2412,0.67993,0.68064,0.67901,0.68047,0.67999,0.68070,0.67908,0.68053,0.68005,0.68076,0.67914,0.68059,0.67927375,
33,AUD_USD,2023-07-13T03:00:00.000000000Z,2152,0.68047,0.68168,0.68016,0.68143,0.68052,0.68174,0.68024,0.68149,0.68058,0.68181,0.68031,0.68155,0.6795875,
34,AUD_USD,2023-07-13T04:00:00.000000000Z,1618,0.68142,0.68198,0.68087,0.68098,0.68148,0.68204,0.68094,0.68104,0.68153,0.68210,0.68101,0.68110,0.67985375,
35,AUD_USD,2023-07-13T05:00:00.000000000Z,2704,0.68097,0.68193,0.68050,0.68053,0.68104,0.68199,0.68056,0.68059,0.68111,0.68206,0.68063,0.68065,0.6800825,
36,AUD_USD,2023-07-13T06:00:00.000000000Z,3412,0.68049,0.68341,0.68043,0.68336,0.68056,0.68347,0.68050,0.68342,0.68062,0.68354,0.68056,0.68348,0.6806475000000001,
37,AUD_USD,2023-07-13T07:00:00.000000000Z,3393,0.68336,0.68420,0.68251,0.68416,0.68342,0.68426,0.68258,0.68422,0.68349,0.68433,0.68265,0.68428,0.68126875,
38,AUD_USD,2023-07-13T08:00:00.000000000Z,2559,0.68414,0.68501,0.68347,0.68431,0.68420,0.68508,0.68352,0.68437,0.68427,0.68514,0.68358,0.68443,0.6819550000000001,
39,AUD_USD,2023-07-13T09:00:00.000000000Z,1623,0.68431,0.68517,0.68378,0.68517,0.68438,0.68523,0.68384,0.68523,0.68444,0.68529,0.68390,0.68529,0.68261125,
40,AUD_USD,2023-07-13T10:00:00.000000000Z,1852,0.68518,0.68577,0.68459,0.68577,0.68524,0.68584,0.68466,0.68584,0.68529,0.68591,0.68474,0.68590,0.683275,
41,AUD_USD,2023-07-13T11:00:00.000000000Z,1655,0.68578,0.68601,0.68521,0.68567,0.68584,0.68608,0.68528,0.68573,0.68589,0.68615,0.68534,0.68579,0.6838050000000001,
42,AUD_USD,2023-07-13T12:00:00.000000000Z,5198,0.68570,0.68697,0.68406,0.68651,0.68576,0.68706,0.68412,0.68657,0.68583,0.68719,0.68419,0.68663,0.68449625,
43,AUD_USD,2023-07-13T13:00:00.000000000Z,4451,0.68648,0.68893,0.68632,0.68884,0.68654,0.68899,0.68638,0.68890,0.68661,0.68905,0.68643,0.68897,0.685535,
44,AUD_USD,2023-07-13T14:00:00.000000000Z,3417,0.68883,0.68939,0.68765,0.68939,0.68889,0.68946,0.68772,0.68945,0.68895,0.68952,0.68778,0.68951,0.68628875,
45,AUD_USD,2023-07-13T15:00:00.000000000Z,2533,0.68942,0.68942,0.68684,0.68711,0.68948,0.68948,0.68690,0.68716,0.68954,0.68954,0.68697,0.68722,0.68665625,
46,AUD_USD,2023-07-13T16:00:00.000000000Z,1638,0.68706,0.68793,0.68692,0.68776,0.68712,0.68798,0.68698,0.68782,0.68718,0.68804,0.68705,0.68789,0.6870875,
47,AUD_USD,2023-07-13T17:00:00.000000000Z,1265,0.68771,0.68862,0.68745,0.68856,0.68778,0.68868,0.68752,0.68862,0.68785,0.68874,0.68758,0.68869,0.68751125,
48,AUD_USD,2023-07-13T18:00:00.000000000Z,1417,0.68856,0.68922,0.68836,0.68910,0.68862,0.68928,0.68842,0.68916,0.68868,0.68934,0.68848,0.68922,0.68792625,
49,AUD_USD,2023-07-13T19:00:00.000000000Z,1117,0.68909,0.68910,0.68870,0.68872,0.68916,0.68916,0.68876,0.68878,0.68922,0.68923,0.68882,0.68884,0.6883075,
50,AUD_USD,2023-07-13T20:00:00.000000000Z,561,0.68870,0.68895,0.68852,0.68888,0.68876,0.68900,0.68858,0.68896,0.68883,0.68907,0.68863,0.68904,0.68860625,
51,AUD_USD,2023-07-13T21:00:00.000000000Z,275,0.68763,0.68874,0.68763,0.68855,0.68824,0.68884,0.68824,0.68872,0.68884,0.68895,0.68860,0.68889,0.6885837499999999,
52,AUD_USD,2023-07-13T22:00:00.000000000Z,582,0.68860,0.68905,0.68855,0.68880,0.68870,0.68912,0.68867,0.68887,0.68881,0.68920,0.68876,0.68894,0.6885112499999999,
53,AUD_USD,2023-07-13T23:00:00.000000000Z,831,0.68883,0.68918,0.68843,0.68876,0.68890,0.68924,0.68850,0.68882,0.68896,0.68931,0.68856,0.68888,0.68871875,
54,AUD_USD,2023-07-14T00:00:00.000000000Z,2229,0.68876,0.68918,0.68770,0.68772,0.68883,0.68924,0.68777,0.68778,0.68890,0.68931,0.68783,0.68783,0.68871375,
55,AUD_USD,2023-07-14T01:00:00.000000000Z,2418,0.68769,0.68898,0.68751,0.68879,0.68776,0.68904,0.68757,0.68885,0.68782,0.68910,0.68763,0.68891,0.6887424999999999,
56,AUD_USD,2023-07-14T02:00:00.000000000Z,2015,0.68883,0.68922,0.68843,0.68860,0.68888,0.68928,0.68849,0.68866,0.68894,0.68933,0.68855,0.68871,0.6886800000000001,
57,AUD_USD,2023-07-14T03:00:00.000000000Z,1826,0.68859,0.68944,0.68846,0.68926,0.68866,0.68951,0.68852,0.68932,0.68872,0.68958,0.68858,0.68939,0.6887475,
58,AUD_USD,2023-07-14T04:00:00.000000000Z,1530,0.68922,0.68942,0.68845,0.68907,0.68928,0.68948,0.68852,0.68912,0.68934,0.68955,0.68858,0.68918,0.6887675,
59,AUD_USD,2023-07-14T05:00:00.000000000Z,1929,0.68903,0.68913,0.68809,0.68882,0.68908,0.68918,0.68814,0.68888,0.68914,0.68924,0.68820,0.68895,0.6887875,
60,AUD_USD,2023-07-14T06:00:00.000000000Z,2517,0.68880,0.68895,0.68612,0.68627,0.68887,0.68902,0.68618,0.68634,0.68894,0.68908,0.68624,0.68640,0.68847125,
61,AUD_USD,2023-07-14T07:00:00.000000000Z,2340,0.68629,0.68750,0.68627,0.68747,0.68634,0.68757,0.68634,0.68754,0.68640,0.68764,0.68640,0.68760,0.6883112499999999,
62,AUD_USD,2023-07-14T08:00:00.000000000Z,2094,0.68746,0.68790,0.68700,0.68716,0.68752,0.68796,0.68706,0.68722,0.68757,0.68803,0.68712,0.68727,0.6882412499999999,
63,AUD_USD,2023-07-14T09:00:00.000000000Z,1998,0.68716,0.68792,0.68699,0.68700,0.68722,0.68799,0.68706,0.68706,0.68729,0.68806,0.68712,0.68713,0.6880175000000001,0.6802096875
64,AUD_USD,2023-07-14T10:00:00.000000000Z,1958,0.68701,0.68730,0.68648,0.68718,0.68708,0.68736,0.68654,0.68724,0.68715,0.68741,0.68661,0.68730,0.68784,0.6805103125
65,AUD_USD,2023-07-14T11:00:00.000000000Z,1671,0.68723,0.68744,0.68644,0.68658,0.68728,0.68750,0.68651,0.68664,0.68734,0.68757,0.68658,0.68669,0.687505,0.68079296875
66,AUD_USD,2023-07-14T12:00:00.000000000Z,3092,0.68654,0.68669,0.68543,0.68650,0.68660,0.68676,0.68549,0.68656,0.68666,0.68683,0.68555,0.68661,0.687185,0.68107515625
67,AUD_USD,2023-07-14T13:00:00.000000000Z,3422,0.68650,0.68696,0.68517,0.68678,0.68656,0.68702,0.68524,0.68686,0.68663,0.68707,0.68530,0.68693,0.6869325000000001,0.68135984375
68,AUD_USD,2023-07-14T14:00:00.000000000Z,6851,0.68672,0.68672,0.68417,0.68571,0.68678,0.68678,0.68424,0.68577,0.68683,0.68683,0.68431,0.68583,0.68686125,0.6816196875
69,AUD_USD,2023-07-14T15:00:00.000000000Z,2681,0.68568,0.68576,0.68401,0.68414,0.68574,0.68582,0.68407,0.68420,0.68581,0.68588,0.68413,0.68427,0.68644375,0.6818521875
70,AUD_USD,2023-07-14T16:00:00.000000000Z,2038,0.68419,0.68502,0.68400,0.68473,0.68425,0.68508,0.68407,0.68480,0.68431,0.68514,0.68414,0.68486,0.68614125,0.682065
71,AUD_USD,2023-07-14T17:00:00.000000000Z,1755,0.68475,0.68484,0.68414,0.68453,0.68481,0.68491,0.68421,0.68460,0.68487,0.68498,0.68428,0.68467,0.68583375,0.68225734375
72,AUD_USD,2023-07-14T18:00:00.000000000Z,1234,0.68455,0.68465,0.68364,0.68393,0.68461,0.68472,0.68370,0.68399,0.68467,0.68479,0.68377,0.68405,0.6854275,0.68241875
73,AUD_USD,2023-07-14T19:00:00.000000000Z,1317,0.68395,0.68396,0.68299,0.68328,0.68402,0.68402,0.68306,0.68335,0.68408,0.68409,0.68312,0.68342,0.68501625,0.6825981250000001
74,AUD_USD,2023-07-14T20:00:00.000000000Z,1005,0.68328,0.68381,0.68298,0.68372,0.68334,0.68392,0.68305,0.68380,0.68341,0.68415,0.68312,0.68389,0.68467125,0.6827790625
75,AUD_USD,2023-07-16T21:00:00.000000000Z,167,0.68303,0.68400,0.68295,0.68346,0.68378,0.68425,0.68358,0.68378,0.68453,0.68453,0.68377,0.68409,0.68428625,0.68298375
76,AUD_USD,2023-07-16T22:00:00.000000000Z,785,0.68372,0.68390,0.68303,0.68307,0.68386,0.68424,0.68310,0.68315,0.68400,0.68460,0.68316,0.68323,0.68395875,0.6831806250000001
77,AUD_USD,2023-07-16T23:00:00.000000000Z,1248,0.68310,0.68393,0.68294,0.68370,0.68318,0.68400,0.68301,0.68376,0.68326,0.68408,0.68308,0.68383,0.68390375,0.68341375
78,AUD_USD,2023-07-17T00:00:00.000000000Z,2221,0.68368,0.68374,0.68296,0.68305,0.68374,0.68380,0.68303,0.68312,0.68380,0.68387,0.68310,0.68318,0.68369375,0.6836378125
79,AUD_USD,2023-07-17T01:00:00.000000000Z,2858,0.68306,0.68350,0.68163,0.68168,0.68313,0.68357,0.68170,0.68176,0.68320,0.68364,0.68176,0.68184,0.6833387500000001,0.683830625
