,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,BCO_USD,2023-06-28T05:00:00.000000000Z,989,72.769,73.109,72.764,73.024,72.784,73.124,72.779,73.039,72.799,73.139,72.794,73.054,,
1,BCO_USD,2023-06-28T06:00:00.000000000Z,1763,73.034,73.109,72.714,72.829,73.049,73.124,72.729,72.844,73.064,73.139,72.744,72.859,,
2,BCO_USD,2023-06-28T07:00:00.000000000Z,2832,72.834,72.954,72.553,72.869,72.849,72.969,72.568,72.884,72.864,72.984,72.583,72.899,,
3,BCO_USD,2023-06-28T08:00:00.000000000Z,3509,72.874,72.934,71.918,72.163,72.889,72.949,71.933,72.178,72.904,72.964,71.948,72.193,,
4,BCO_USD,2023-06-28T09:00:00.000000000Z,3382,72.153,73.279,72.053,73.034,72.168,73.294,72.068,73.049,72.183,73.309,72.083,73.064,,
5,BCO_USD,2023-06-28T10:00:00.000000000Z,2040,73.029,73.154,72.518,72.558,73.044,73.169,72.533,72.573,73.059,73.184,72.548,72.588,,
6,BCO_USD,2023-06-28T11:00:00.000000000Z,2142,72.563,72.723,72.388,72.498,72.578,72.738,72.403,72.513,72.593,72.753,72.418,72.528,,
7,BCO_USD,2023-06-28T12:00:00.000000000Z,4346,72.503,72.503,72.052,72.338,72.518,72.518,72.067,72.353,72.533,72.533,72.082,72.368,72.679125,
8,BCO_USD,2023-06-28T13:00:00.000000000Z,7875,72.333,72.943,72.062,72.403,72.348,72.958,72.077,72.418,72.363,72.973,72.092,72.433,72.6015,
9,BCO_USD,2023-06-28T14:00:00.000000000Z,8206,72.398,73.434,72.263,73.163,72.413,73.449,72.278,73.178,72.428,73.464,72.293,73.193,72.64325,
10,BCO_USD,2023-06-28T15:00:00.000000000Z,6367,73.173,74.294,73.113,74.074,73.188,74.309,73.128,74.089,73.203,74.324,73.143,74.104,72.793875,
11,BCO_USD,2023-06-28T16:00:00.000000000Z,3756,74.079,74.304,73.774,74.244,74.094,74.319,73.789,74.259,74.109,74.334,73.804,74.274,73.054,
12,BCO_USD,2023-06-28T17:00:00.000000000Z,3012,74.239,74.454,74.099,74.429,74.254,74.469,74.114,74.444,74.269,74.484,74.129,74.459,73.228375,
13,BCO_USD,2023-06-28T18:00:00.000000000Z,2783,74.424,74.484,74.044,74.109,74.439,74.499,74.059,74.124,74.454,74.514,74.074,74.139,73.42225,
14,BCO_USD,2023-06-28T19:00:00.000000000Z,1037,74.114,74.124,73.914,73.919,74.129,74.139,73.929,73.934,74.144,74.154,73.944,73.949,73.599875,
