,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c
0,CAD_CHF,2022-11-15T18:00:00.000000000Z,14718,0.71126,0.71174,0.70997,0.71017,0.71132,0.71180,0.71004,0.71024,0.71138,0.71186,0.71011,0.71031
1,CAD_CHF,2022-11-15T19:00:00.000000000Z,16207,0.71017,0.71182,0.70947,0.70948,0.71025,0.71190,0.70954,0.70954,0.71033,0.71199,0.70960,0.70961
2,CAD_CHF,2022-11-15T20:00:00.000000000Z,7865,0.70946,0.71102,0.70913,0.71065,0.70954,0.71108,0.70923,0.71071,0.70961,0.71116,0.70929,0.71077
3,CAD_CHF,2022-11-15T21:00:00.000000000Z,2754,0.71063,0.71151,0.71062,0.71132,0.71070,0.71160,0.71070,0.71146,0.71077,0.71169,0.71077,0.71159
4,CAD_CHF,2022-11-15T22:00:00.000000000Z,924,0.70933,0.71096,0.70925,0.71084,0.71016,0.71148,0.71006,0.71140,0.71098,0.71204,0.71083,0.71197
5,CAD_CHF,2022-11-15T23:00:00.000000000Z,2979,0.71054,0.71108,0.71029,0.71030,0.71118,0.71144,0.71036,0.71036,0.71183,0.71192,0.71043,0.71043
6,CAD_CHF,2022-11-16T00:00:00.000000000Z,4628,0.71034,0.71113,0.71022,0.71037,0.71040,0.71120,0.71028,0.71045,0.71047,0.71126,0.71035,0.71053
7,CAD_CHF,2022-11-16T01:00:00.000000000Z,6706,0.71035,0.71104,0.71035,0.71079,0.71044,0.71111,0.71044,0.71086,0.71053,0.71118,0.71050,0.71094
8,CAD_CHF,2022-11-16T02:00:00.000000000Z,6177,0.71080,0.71093,0.71006,0.71082,0.71088,0.71100,0.71015,0.71089,0.71097,0.71106,0.71023,0.71096
9,CAD_CHF,2022-11-16T03:00:00.000000000Z,3864,0.71082,0.71177,0.71076,0.71163,0.71088,0.71184,0.71084,0.71170,0.71095,0.71191,0.71091,0.71176
10,CAD_CHF,2022-11-16T04:00:00.000000000Z,3329,0.71164,0.71176,0.71083,0.71128,0.71170,0.71183,0.71090,0.71136,0.71176,0.71190,0.71098,0.71143
11,CAD_CHF,2022-11-16T05:00:00.000000000Z,5761,0.71126,0.71142,0.71074,0.71121,0.71134,0.71150,0.71082,0.71130,0.71142,0.71159,0.71088,0.71140
12,CAD_CHF,2022-11-16T06:00:00.000000000Z,4893,0.71120,0.71143,0.71063,0.71086,0.71128,0.71150,0.71071,0.71094,0.71137,0.71158,0.71079,0.71102
13,CAD_CHF,2022-11-16T07:00:00.000000000Z,6799,0.71085,0.71163,0.71061,0.71101,0.71092,0.71170,0.71070,0.71108,0.71099,0.71178,0.71079,0.71116
14,CAD_CHF,2022-11-16T08:00:00.000000000Z,7893,0.71103,0.71105,0.71010,0.71062,0.71110,0.71112,0.71016,0.71070,0.71116,0.71120,0.71023,0.71077
15,CAD_CHF,2022-11-16T09:00:00.000000000Z,4949,0.71064,0.71116,0.70966,0.71043,0.71070,0.71122,0.70972,0.71048,0.71077,0.71128,0.70978,0.71054
16,CAD_CHF,2022-11-16T10:00:00.000000000Z,5269,0.71048,0.71069,0.70843,0.70852,0.71054,0.71074,0.70849,0.70858,0.71059,0.71080,0.70855,0.70863
17,CAD_CHF,2022-11-16T11:00:00.000000000Z,4687,0.70849,0.70962,0.70849,0.70892,0.70855,0.70966,0.70855,0.70898,0.70861,0.70972,0.70861,0.70905
18,CAD_CHF,2022-11-16T12:00:00.000000000Z,5623,0.70889,0.70932,0.70844,0.70888,0.70896,0.70938,0.70850,0.70894,0.70904,0.70943,0.70855,0.70901
19,CAD_CHF,2022-11-16T13:00:00.000000000Z,11364,0.70888,0.71093,0.70879,0.70985,0.70894,0.71142,0.70885,0.70990,0.70900,0.71225,0.70891,0.70996
20,CAD_CHF,2022-11-16T14:00:00.000000000Z,10148,0.70984,0.70985,0.70795,0.70864,0.70990,0.70991,0.70800,0.70869,0.70997,0.70998,0.70803,0.70874
21,CAD_CHF,2022-11-16T15:00:00.000000000Z,9298,0.70861,0.70947,0.70794,0.70822,0.70868,0.70952,0.70800,0.70828,0.70874,0.70958,0.70806,0.70834
22,CAD_CHF,2022-11-16T16:00:00.000000000Z,5932,0.70822,0.70901,0.70768,0.70776,0.70827,0.70906,0.70774,0.70782,0.70832,0.70912,0.70779,0.70787
23,CAD_CHF,2022-11-16T17:00:00.000000000Z,4860,0.70777,0.70884,0.70766,0.70860,0.70782,0.70890,0.70772,0.70865,0.70787,0.70897,0.70777,0.70870
24,CAD_CHF,2022-11-16T18:00:00.000000000Z,4963,0.70861,0.70915,0.70825,0.70860,0.70867,0.70922,0.70832,0.70865,0.70873,0.70928,0.70839,0.70870
25,CAD_CHF,2022-11-16T19:00:00.000000000Z,4533,0.70860,0.70890,0.70815,0.70823,0.70866,0.70896,0.70819,0.70828,0.70872,0.70903,0.70823,0.70832
26,CAD_CHF,2022-11-16T20:00:00.000000000Z,4721,0.70823,0.70904,0.70809,0.70850,0.70828,0.70910,0.70813,0.70856,0.70833,0.70917,0.70817,0.70861
27,CAD_CHF,2022-11-16T21:00:00.000000000Z,2248,0.70849,0.70909,0.70837,0.70867,0.70855,0.70914,0.70844,0.70884,0.70861,0.70919,0.70851,0.70901
28,CAD_CHF,2022-11-16T22:00:00.000000000Z,1479,0.70825,0.70858,0.70781,0.70798,0.70910,0.70932,0.70842,0.70852,0.70995,0.71016,0.70895,0.70907
29,CAD_CHF,2022-11-16T23:00:00.000000000Z,2157,0.70791,0.70855,0.70790,0.70813,0.70846,0.70868,0.70810,0.70820,0.70901,0.70921,0.70818,0.70828
30,CAD_CHF,2022-11-17T00:00:00.000000000Z,2122,0.70815,0.70850,0.70805,0.70849,0.70822,0.70855,0.70814,0.70854,0.70828,0.70861,0.70822,0.70859
31,CAD_CHF,2022-11-17T01:00:00.000000000Z,3267,0.70845,0.70868,0.70811,0.70825,0.70850,0.70874,0.70816,0.70832,0.70856,0.70882,0.70822,0.70839
32,CAD_CHF,2022-11-17T02:00:00.000000000Z,4136,0.70826,0.70866,0.70823,0.70850,0.70832,0.70875,0.70830,0.70858,0.70838,0.70884,0.70836,0.70865
33,CAD_CHF,2022-11-17T03:00:00.000000000Z,2978,0.70849,0.70868,0.70837,0.70863,0.70857,0.70874,0.70845,0.70870,0.70865,0.70882,0.70853,0.70877
34,CAD_CHF,2022-11-17T04:00:00.000000000Z,2388,0.70863,0.70884,0.70834,0.70860,0.70868,0.70890,0.70842,0.70868,0.70874,0.70896,0.70849,0.70875
35,CAD_CHF,2022-11-17T05:00:00.000000000Z,2747,0.70860,0.70876,0.70792,0.70797,0.70868,0.70882,0.70800,0.70804,0.70877,0.70889,0.70807,0.70810
36,CAD_CHF,2022-11-17T06:00:00.000000000Z,3575,0.70796,0.70889,0.70792,0.70846,0.70804,0.70895,0.70800,0.70854,0.70811,0.70903,0.70807,0.70861
37,CAD_CHF,2022-11-17T07:00:00.000000000Z,4306,0.70844,0.70964,0.70843,0.70912,0.70852,0.70970,0.70851,0.70919,0.70861,0.70977,0.70859,0.70926
38,CAD_CHF,2022-11-17T08:00:00.000000000Z,6173,0.70913,0.70960,0.70858,0.70902,0.70920,0.70966,0.70864,0.70910,0.70926,0.70972,0.70871,0.70918
39,CAD_CHF,2022-11-17T09:00:00.000000000Z,5081,0.70901,0.70985,0.70891,0.70975,0.70908,0.70990,0.70898,0.70980,0.70916,0.70996,0.70904,0.70985
40,CAD_CHF,2022-11-17T10:00:00.000000000Z,5269,0.70976,0.71106,0.70940,0.71035,0.70982,0.71113,0.70946,0.71040,0.70987,0.71120,0.70951,0.71045
41,CAD_CHF,2022-11-17T11:00:00.000000000Z,6315,0.71032,0.71043,0.70938,0.70960,0.71038,0.71048,0.70945,0.70966,0.71045,0.71055,0.70951,0.70971
42,CAD_CHF,2022-11-17T12:00:00.000000000Z,7699,0.70962,0.70980,0.70876,0.70952,0.70968,0.70984,0.70884,0.70958,0.70974,0.70990,0.70891,0.70964
43,CAD_CHF,2022-11-17T13:00:00.000000000Z,10627,0.70956,0.71124,0.70953,0.71092,0.70962,0.71128,0.70958,0.71097,0.70967,0.71133,0.70963,0.71102
44,CAD_CHF,2022-11-17T14:00:00.000000000Z,8540,0.71089,0.71353,0.71075,0.71345,0.71095,0.71358,0.71082,0.71350,0.71101,0.71362,0.71088,0.71354
45,CAD_CHF,2022-11-17T15:00:00.000000000Z,7927,0.71345,0.71529,0.71277,0.71518,0.71348,0.71533,0.71281,0.71522,0.71352,0.71538,0.71285,0.71527
46,CAD_CHF,2022-11-17T16:00:00.000000000Z,5882,0.71515,0.71557,0.71427,0.71500,0.71520,0.71562,0.71433,0.71504,0.71526,0.71568,0.71439,0.71509
47,CAD_CHF,2022-11-17T17:00:00.000000000Z,5524,0.71501,0.71511,0.71421,0.71468,0.71504,0.71515,0.71426,0.71474,0.71508,0.71520,0.71430,0.71479
48,CAD_CHF,2022-11-17T18:00:00.000000000Z,4207,0.71468,0.71483,0.71350,0.71389,0.71473,0.71490,0.71358,0.71394,0.71478,0.71496,0.71364,0.71400
49,CAD_CHF,2022-11-17T19:00:00.000000000Z,3691,0.71390,0.71452,0.71370,0.71417,0.71394,0.71458,0.71376,0.71422,0.71399,0.71463,0.71381,0.71426
50,CAD_CHF,2022-11-17T20:00:00.000000000Z,3754,0.71418,0.71443,0.71381,0.71432,0.71422,0.71448,0.71386,0.71437,0.71426,0.71453,0.71390,0.71442
51,CAD_CHF,2022-11-17T21:00:00.000000000Z,1725,0.71433,0.71456,0.71400,0.71441,0.71438,0.71469,0.71407,0.71452,0.71442,0.71482,0.71413,0.71464
52,CAD_CHF,2022-11-17T22:00:00.000000000Z,1229,0.71406,0.71435,0.71289,0.71402,0.71476,0.71499,0.71394,0.71444,0.71545,0.71588,0.71477,0.71485
