,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,CAD_CHF,2023-07-11T17:00:00.000000000Z,1136,0.66413,0.66423,0.66386,0.66395,0.66421,0.66431,0.66394,0.66401,0.66429,0.66439,0.66402,0.66407,,
1,CAD_CHF,2023-07-11T18:00:00.000000000Z,1077,0.66397,0.66439,0.66384,0.66430,0.66404,0.66446,0.66392,0.66437,0.66410,0.66454,0.66399,0.66444,,
2,CAD_CHF,2023-07-11T19:00:00.000000000Z,891,0.66432,0.66465,0.66430,0.66463,0.66438,0.66472,0.66437,0.66470,0.66445,0.66479,0.66444,0.66476,,
3,CAD_CHF,2023-07-11T20:00:00.000000000Z,883,0.66461,0.66483,0.66450,0.66462,0.66469,0.66491,0.66460,0.66475,0.66477,0.66500,0.66467,0.66488,,
4,CAD_CHF,2023-07-11T21:00:00.000000000Z,387,0.66412,0.66454,0.66373,0.66413,0.66468,0.66488,0.66440,0.66444,0.66523,0.66523,0.66471,0.66475,,
5,CAD_CHF,2023-07-11T22:00:00.000000000Z,317,0.66399,0.66457,0.66394,0.66452,0.66452,0.66466,0.66442,0.66461,0.66505,0.66513,0.66452,0.66470,,
6,CAD_CHF,2023-07-11T23:00:00.000000000Z,373,0.66448,0.66465,0.66417,0.66421,0.66457,0.66473,0.66425,0.66429,0.66466,0.66481,0.66433,0.66437,,
7,CAD_CHF,2023-07-12T00:00:00.000000000Z,2238,0.66421,0.66445,0.66401,0.66440,0.66430,0.66453,0.66409,0.66448,0.66439,0.66461,0.66416,0.66455,0.66445625,
8,CAD_CHF,2023-07-12T01:00:00.000000000Z,1289,0.66441,0.66477,0.66414,0.66466,0.66449,0.66484,0.66422,0.66474,0.66457,0.66493,0.66430,0.66481,0.6645475,
9,CAD_CHF,2023-07-12T02:00:00.000000000Z,1616,0.66466,0.66507,0.66447,0.66499,0.66473,0.66515,0.66454,0.66506,0.66480,0.66523,0.66462,0.66513,0.66463375,
10,CAD_CHF,2023-07-12T03:00:00.000000000Z,932,0.66497,0.66521,0.66487,0.66502,0.66504,0.66528,0.66494,0.66510,0.66512,0.66535,0.66502,0.66518,0.66468375,
11,CAD_CHF,2023-07-12T04:00:00.000000000Z,858,0.66498,0.66504,0.66438,0.66443,0.66506,0.66512,0.66447,0.66452,0.66515,0.66521,0.66456,0.66460,0.664655,
12,CAD_CHF,2023-07-12T05:00:00.000000000Z,956,0.66442,0.66472,0.66404,0.66419,0.66452,0.66480,0.66412,0.66427,0.66461,0.66487,0.66421,0.66435,0.66463375,
13,CAD_CHF,2023-07-12T06:00:00.000000000Z,1184,0.66414,0.66449,0.66353,0.66405,0.66422,0.66457,0.66361,0.66412,0.66431,0.66465,0.66369,0.66420,0.6645725,
14,CAD_CHF,2023-07-12T07:00:00.000000000Z,1860,0.66403,0.66474,0.66328,0.66473,0.66412,0.66481,0.66335,0.66480,0.66420,0.66488,0.66342,0.66487,0.66463625,
15,CAD_CHF,2023-07-12T08:00:00.000000000Z,2311,0.66475,0.66501,0.66434,0.66450,0.66481,0.66509,0.66442,0.66457,0.66487,0.66517,0.66449,0.66464,0.6646475000000001,
16,CAD_CHF,2023-07-12T09:00:00.000000000Z,1496,0.66448,0.66503,0.66445,0.66490,0.66456,0.66510,0.66454,0.66497,0.66464,0.66516,0.66462,0.66504,0.66467625,
17,CAD_CHF,2023-07-12T10:00:00.000000000Z,1278,0.66489,0.66500,0.66440,0.66459,0.66496,0.66507,0.66448,0.66467,0.66504,0.66514,0.66455,0.66475,0.6646274999999999,
18,CAD_CHF,2023-07-12T11:00:00.000000000Z,1779,0.66459,0.66490,0.66426,0.66457,0.66466,0.66498,0.66434,0.66464,0.66473,0.66505,0.66441,0.66470,0.66457,
19,CAD_CHF,2023-07-12T12:00:00.000000000Z,5982,0.66457,0.66458,0.66139,0.66155,0.66464,0.66464,0.66148,0.66163,0.66471,0.66472,0.66155,0.66171,0.66420875,
20,CAD_CHF,2023-07-12T13:00:00.000000000Z,4323,0.66155,0.66155,0.65896,0.65913,0.66162,0.66162,0.65912,0.65928,0.66170,0.66170,0.65927,0.65944,0.663585,
21,CAD_CHF,2023-07-12T14:00:00.000000000Z,5439,0.65922,0.66126,0.65840,0.65891,0.65952,0.66138,0.65845,0.65898,0.65983,0.66150,0.65850,0.65906,0.6629425,
22,CAD_CHF,2023-07-12T15:00:00.000000000Z,4297,0.65896,0.66035,0.65794,0.65829,0.65903,0.66042,0.65802,0.65836,0.65910,0.66049,0.65808,0.65844,0.6621375,
23,CAD_CHF,2023-07-12T16:00:00.000000000Z,2543,0.65829,0.65868,0.65750,0.65786,0.65838,0.65874,0.65758,0.65794,0.65846,0.65882,0.65764,0.65801,0.66130875,
24,CAD_CHF,2023-07-12T17:00:00.000000000Z,2264,0.65791,0.65870,0.65782,0.65791,0.65798,0.65878,0.65789,0.65799,0.65806,0.65885,0.65796,0.65807,0.6604362500000001,
25,CAD_CHF,2023-07-12T18:00:00.000000000Z,1516,0.65789,0.65819,0.65725,0.65726,0.65796,0.65826,0.65732,0.65732,0.65804,0.65834,0.65739,0.65739,0.6595175,
26,CAD_CHF,2023-07-12T19:00:00.000000000Z,1484,0.65729,0.65794,0.65705,0.65786,0.65736,0.65802,0.65714,0.65793,0.65742,0.65809,0.65720,0.65800,0.65867875,
27,CAD_CHF,2023-07-12T20:00:00.000000000Z,361,0.65785,0.65797,0.65747,0.65792,0.65792,0.65807,0.65754,0.65802,0.65798,0.65817,0.65762,0.65813,0.6582275,
28,CAD_CHF,2023-07-12T21:00:00.000000000Z,351,0.65701,0.65737,0.65678,0.65717,0.65776,0.65802,0.65744,0.65786,0.65851,0.65869,0.65795,0.65854,0.65805,
29,CAD_CHF,2023-07-12T22:00:00.000000000Z,496,0.65724,0.65761,0.65724,0.65740,0.65788,0.65790,0.65736,0.65750,0.65852,0.65852,0.65746,0.65760,0.6578649999999999,
30,CAD_CHF,2023-07-12T23:00:00.000000000Z,174,0.65742,0.65751,0.65730,0.65737,0.65751,0.65760,0.65738,0.65744,0.65760,0.65768,0.65745,0.65752,0.65775,
31,CAD_CHF,2023-07-13T00:00:00.000000000Z,1043,0.65735,0.65744,0.65704,0.65725,0.65743,0.65752,0.65712,0.65732,0.65751,0.65759,0.65719,0.65740,0.6576725,
32,CAD_CHF,2023-07-13T01:00:00.000000000Z,1152,0.65729,0.65747,0.65677,0.65681,0.65737,0.65756,0.65684,0.65688,0.65745,0.65765,0.65692,0.65696,0.65753375,
33,CAD_CHF,2023-07-13T02:00:00.000000000Z,1126,0.65680,0.65693,0.65656,0.65660,0.65687,0.65701,0.65664,0.65667,0.65694,0.65710,0.65671,0.65674,0.6574525,
34,CAD_CHF,2023-07-13T03:00:00.000000000Z,1176,0.65661,0.65710,0.65658,0.65686,0.65668,0.65718,0.65666,0.65692,0.65674,0.65727,0.65674,0.65699,0.65732625,
35,CAD_CHF,2023-07-13T04:00:00.000000000Z,1174,0.65686,0.65721,0.65675,0.65709,0.65692,0.65729,0.65684,0.65717,0.65697,0.65737,0.65692,0.65725,0.65722,
36,CAD_CHF,2023-07-13T05:00:00.000000000Z,1099,0.65708,0.65747,0.65692,0.65740,0.65716,0.65756,0.65701,0.65750,0.65723,0.65765,0.65710,0.65760,0.6571750000000001,
37,CAD_CHF,2023-07-13T06:00:00.000000000Z,2957,0.65737,0.65737,0.65591,0.65611,0.65748,0.65748,0.65598,0.65618,0.65759,0.65759,0.65605,0.65625,0.6570100000000001,
38,CAD_CHF,2023-07-13T07:00:00.000000000Z,3159,0.65612,0.65761,0.65579,0.65626,0.65620,0.65766,0.65587,0.65634,0.65628,0.65773,0.65594,0.65641,0.6568725,
39,CAD_CHF,2023-07-13T08:00:00.000000000Z,2531,0.65625,0.65625,0.65462,0.65572,0.65634,0.65634,0.65471,0.65580,0.65643,0.65643,0.65480,0.65587,0.6566825,
40,CAD_CHF,2023-07-13T09:00:00.000000000Z,1886,0.65574,0.65625,0.65534,0.65583,0.65582,0.65632,0.65542,0.65592,0.65590,0.65640,0.65551,0.65600,0.6565624999999999,
41,CAD_CHF,2023-07-13T10:00:00.000000000Z,2077,0.65585,0.65621,0.65555,0.65586,0.65593,0.65629,0.65562,0.65593,0.65601,0.65637,0.65568,0.65600,0.6564699999999999,
42,CAD_CHF,2023-07-13T11:00:00.000000000Z,2167,0.65590,0.65621,0.65552,0.65588,0.65596,0.65628,0.65559,0.65596,0.65603,0.65636,0.65566,0.65603,0.65635,
43,CAD_CHF,2023-07-13T12:00:00.000000000Z,4740,0.65589,0.65625,0.65458,0.65521,0.65596,0.65632,0.65478,0.65528,0.65602,0.65640,0.65497,0.65536,0.65611375,
44,CAD_CHF,2023-07-13T13:00:00.000000000Z,4368,0.65517,0.65537,0.65427,0.65476,0.65524,0.65544,0.65435,0.65484,0.65532,0.65552,0.65443,0.65491,0.65578125,
45,CAD_CHF,2023-07-13T14:00:00.000000000Z,2883,0.65478,0.65563,0.65360,0.65512,0.65486,0.65570,0.65369,0.65520,0.65495,0.65578,0.65377,0.65527,0.6556587500000001,
46,CAD_CHF,2023-07-13T15:00:00.000000000Z,2385,0.65517,0.65544,0.65444,0.65476,0.65524,0.65552,0.65452,0.65484,0.65532,0.65559,0.65459,0.65491,0.6554712500000001,
47,CAD_CHF,2023-07-13T16:00:00.000000000Z,2119,0.65473,0.65483,0.65404,0.65444,0.65482,0.65492,0.65412,0.65450,0.65490,0.65500,0.65419,0.65456,0.65530875,
48,CAD_CHF,2023-07-13T17:00:00.000000000Z,1485,0.65446,0.65502,0.65400,0.65502,0.65453,0.65508,0.65407,0.65508,0.65460,0.65515,0.65414,0.65515,0.65520375,
49,CAD_CHF,2023-07-13T18:00:00.000000000Z,1673,0.65501,0.65538,0.65473,0.65510,0.65508,0.65546,0.65480,0.65516,0.65515,0.65554,0.65486,0.65523,0.6551075,
50,CAD_CHF,2023-07-13T19:00:00.000000000Z,1258,0.65508,0.65533,0.65484,0.65515,0.65515,0.65541,0.65491,0.65522,0.65522,0.65549,0.65498,0.65529,0.655015,
51,CAD_CHF,2023-07-13T20:00:00.000000000Z,1045,0.65510,0.65524,0.65481,0.65500,0.65518,0.65531,0.65488,0.65511,0.65527,0.65538,0.65496,0.65522,0.6549937499999999,
52,CAD_CHF,2023-07-13T21:00:00.000000000Z,926,0.65505,0.65513,0.65438,0.65477,0.65559,0.65559,0.65488,0.65516,0.65613,0.65614,0.65528,0.65554,0.65503375,
53,CAD_CHF,2023-07-13T22:00:00.000000000Z,789,0.65477,0.65534,0.65451,0.65519,0.65517,0.65559,0.65492,0.65528,0.65557,0.65606,0.65499,0.65536,0.6550437499999999,
54,CAD_CHF,2023-07-13T23:00:00.000000000Z,223,0.65520,0.65532,0.65489,0.65509,0.65530,0.65540,0.65498,0.65518,0.65539,0.65547,0.65506,0.65526,0.65508625,
55,CAD_CHF,2023-07-14T00:00:00.000000000Z,2233,0.65510,0.65530,0.65482,0.65485,0.65518,0.65538,0.65491,0.65494,0.65526,0.65547,0.65500,0.65503,0.65514125,
56,CAD_CHF,2023-07-14T01:00:00.000000000Z,1338,0.65484,0.65497,0.65431,0.65443,0.65494,0.65505,0.65439,0.65451,0.65503,0.65514,0.65447,0.65459,0.65507,
57,CAD_CHF,2023-07-14T02:00:00.000000000Z,1011,0.65442,0.65475,0.65434,0.65473,0.65450,0.65484,0.65441,0.65482,0.65457,0.65492,0.65448,0.65490,0.6550275,
58,CAD_CHF,2023-07-14T03:00:00.000000000Z,815,0.65472,0.65493,0.65441,0.65463,0.65481,0.65500,0.65449,0.65470,0.65490,0.65507,0.65456,0.65478,0.6549625,
59,CAD_CHF,2023-07-14T04:00:00.000000000Z,427,0.65467,0.65477,0.65447,0.65473,0.65474,0.65484,0.65454,0.65480,0.65481,0.65492,0.65461,0.65488,0.65492375,
60,CAD_CHF,2023-07-14T05:00:00.000000000Z,782,0.65474,0.65527,0.65446,0.65524,0.65482,0.65534,0.65454,0.65532,0.65490,0.65542,0.65462,0.65539,0.6549437499999999,
61,CAD_CHF,2023-07-14T06:00:00.000000000Z,2186,0.65513,0.65524,0.65411,0.65443,0.65521,0.65532,0.65417,0.65450,0.65529,0.65540,0.65423,0.65457,0.6548462500000001,
62,CAD_CHF,2023-07-14T07:00:00.000000000Z,1663,0.65441,0.65493,0.65410,0.65426,0.65449,0.65500,0.65418,0.65434,0.65457,0.65509,0.65425,0.65441,0.6547412499999999,
63,CAD_CHF,2023-07-14T08:00:00.000000000Z,1620,0.65427,0.65429,0.65328,0.65351,0.65434,0.65436,0.65335,0.65358,0.65441,0.65444,0.65342,0.65366,0.65457125,0.65872359375
64,CAD_CHF,2023-07-14T09:00:00.000000000Z,1866,0.65351,0.65439,0.65337,0.65439,0.65358,0.65446,0.65344,0.65446,0.65365,0.65454,0.65352,0.65454,0.654565,0.658574375
65,CAD_CHF,2023-07-14T10:00:00.000000000Z,1944,0.65441,0.65508,0.65422,0.65503,0.65448,0.65515,0.65429,0.65510,0.65454,0.65522,0.65436,0.65518,0.6546,0.6584295312499999
66,CAD_CHF,2023-07-14T11:00:00.000000000Z,1553,0.65503,0.65515,0.65437,0.65494,0.65511,0.65522,0.65444,0.65502,0.65519,0.65529,0.65451,0.65509,0.65464,0.65827828125
67,CAD_CHF,2023-07-14T12:00:00.000000000Z,3176,0.65494,0.65654,0.65467,0.65622,0.65502,0.65660,0.65474,0.65629,0.65510,0.65669,0.65480,0.65636,0.65482625,0.65814609375
68,CAD_CHF,2023-07-14T13:00:00.000000000Z,2464,0.65624,0.65694,0.65516,0.65541,0.65630,0.65701,0.65524,0.65556,0.65637,0.65708,0.65531,0.65571,0.65485625,0.6580073437499999
69,CAD_CHF,2023-07-14T14:00:00.000000000Z,5318,0.65557,0.65606,0.65268,0.65288,0.65576,0.65616,0.65277,0.65294,0.65594,0.65627,0.65285,0.65301,0.65466125,0.657825
