,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,CAD_HKD,2023-04-20T17:00:00.000000000Z,9578,5.83069,5.83163,5.82164,5.82446,5.83085,5.83182,5.82188,5.82482,5.83101,5.83201,5.82207,5.82519,,
1,CAD_HKD,2023-04-20T21:00:00.000000000Z,4226,5.82367,5.82555,5.82083,5.82341,5.82584,5.82630,5.82099,5.82371,5.82801,5.82860,5.82115,5.82401,,
2,CAD_HKD,2023-04-21T01:00:00.000000000Z,10054,5.82346,5.82354,5.81164,5.81242,5.82374,5.82378,5.81184,5.81260,5.82401,5.82401,5.81203,5.81278,,
3,CAD_HKD,2023-04-21T05:00:00.000000000Z,16477,5.81251,5.81349,5.79733,5.80578,5.81271,5.81368,5.79752,5.80594,5.81291,5.81391,5.79772,5.80610,,
4,CAD_HKD,2023-04-21T09:00:00.000000000Z,14908,5.80587,5.80731,5.79710,5.80064,5.80605,5.80748,5.79726,5.80084,5.80623,5.80769,5.79742,5.80105,,
5,CAD_HKD,2023-04-21T13:00:00.000000000Z,24388,5.80061,5.80327,5.78620,5.79457,5.80082,5.80350,5.78638,5.79482,5.80104,5.80374,5.78656,5.79508,,
6,CAD_HKD,2023-04-21T17:00:00.000000000Z,14819,5.79457,5.79731,5.79088,5.79431,5.79480,5.79746,5.79110,5.79563,5.79504,5.79761,5.79132,5.79695,,
7,CAD_HKD,2023-04-23T21:00:00.000000000Z,5137,5.79380,5.79767,5.78970,5.79509,5.79806,5.79864,5.79270,5.79530,5.80231,5.80308,5.79296,5.79550,5.8067075,
8,CAD_HKD,2023-04-24T01:00:00.000000000Z,9869,5.79496,5.79699,5.78847,5.78878,5.79521,5.79722,5.78860,5.78892,5.79546,5.79751,5.78873,5.78906,5.802219999999999,
9,CAD_HKD,2023-04-24T05:00:00.000000000Z,13662,5.78895,5.80024,5.78415,5.80022,5.78909,5.80044,5.78436,5.80042,5.78923,5.80064,5.78453,5.80063,5.79930875,
10,CAD_HKD,2023-04-24T09:00:00.000000000Z,13738,5.80026,5.80385,5.79152,5.79830,5.80044,5.80403,5.79170,5.79850,5.80063,5.80421,5.79188,5.79871,5.79754625,
11,CAD_HKD,2023-04-24T13:00:00.000000000Z,18741,5.79829,5.80324,5.78960,5.79641,5.79850,5.80340,5.78974,5.79661,5.79871,5.80356,5.78986,5.79681,5.79638,
12,CAD_HKD,2023-04-24T17:00:00.000000000Z,8651,5.79641,5.79951,5.79332,5.79593,5.79663,5.79964,5.79348,5.79653,5.79685,5.79979,5.79363,5.79713,5.7958412500000005,
13,CAD_HKD,2023-04-24T21:00:00.000000000Z,4650,5.79456,5.80183,5.79253,5.80001,5.79614,5.80200,5.79532,5.80021,5.79773,5.80225,5.79621,5.80041,5.796515,
14,CAD_HKD,2023-04-25T01:00:00.000000000Z,9352,5.80002,5.80290,5.79202,5.79354,5.80020,5.80308,5.79226,5.79373,5.80039,5.80325,5.79250,5.79392,5.7962774999999995,
15,CAD_HKD,2023-04-25T05:00:00.000000000Z,15271,5.79357,5.79517,5.77635,5.78565,5.79370,5.79544,5.77652,5.78582,5.79383,5.79570,5.77670,5.78598,5.7950925,
16,CAD_HKD,2023-04-25T09:00:00.000000000Z,14227,5.78561,5.78636,5.77081,5.77740,5.78584,5.78652,5.77094,5.77756,5.78606,5.78671,5.77106,5.77771,5.7936725000000004,
17,CAD_HKD,2023-04-25T13:00:00.000000000Z,18568,5.77731,5.77833,5.75599,5.75749,5.77751,5.77850,5.75616,5.75768,5.77771,5.77868,5.75631,5.75788,5.78833,
