,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c
0,CAD_JPY,2022-11-15T18:00:00.000000000Z,18147,104.917,105.005,104.481,104.733,104.926,105.014,104.494,104.744,104.936,105.024,104.505,104.756
1,CAD_JPY,2022-11-15T19:00:00.000000000Z,18260,104.737,104.914,104.666,104.691,104.749,104.926,104.677,104.700,104.761,104.938,104.687,104.710
2,CAD_JPY,2022-11-15T20:00:00.000000000Z,11026,104.691,104.886,104.679,104.761,104.702,104.896,104.690,104.770,104.712,104.907,104.698,104.780
3,CAD_JPY,2022-11-15T21:00:00.000000000Z,5569,104.761,104.940,104.761,104.902,104.772,104.954,104.772,104.918,104.783,104.969,104.782,104.934
4,CAD_JPY,2022-11-15T22:00:00.000000000Z,1779,104.809,104.890,104.778,104.874,104.909,104.942,104.864,104.914,105.009,105.040,104.918,104.954
5,CAD_JPY,2022-11-15T23:00:00.000000000Z,7039,104.872,104.892,104.511,104.676,104.913,104.920,104.524,104.690,104.954,104.956,104.537,104.703
6,CAD_JPY,2022-11-16T00:00:00.000000000Z,8929,104.675,104.936,104.640,104.836,104.686,104.948,104.654,104.848,104.698,104.959,104.667,104.861
7,CAD_JPY,2022-11-16T01:00:00.000000000Z,11183,104.834,105.207,104.833,105.081,104.848,105.217,104.846,105.094,104.861,105.227,104.859,105.106
8,CAD_JPY,2022-11-16T02:00:00.000000000Z,8898,105.085,105.420,105.051,105.325,105.096,105.432,105.064,105.336,105.108,105.444,105.077,105.346
9,CAD_JPY,2022-11-16T03:00:00.000000000Z,7259,105.325,105.475,105.274,105.472,105.334,105.486,105.285,105.483,105.344,105.497,105.296,105.494
10,CAD_JPY,2022-11-16T04:00:00.000000000Z,6269,105.471,105.486,105.232,105.286,105.482,105.495,105.245,105.297,105.492,105.504,105.257,105.308
11,CAD_JPY,2022-11-16T05:00:00.000000000Z,9139,105.288,105.354,105.170,105.244,105.299,105.364,105.182,105.257,105.310,105.380,105.192,105.270
12,CAD_JPY,2022-11-16T06:00:00.000000000Z,7803,105.246,105.437,105.161,105.286,105.258,105.447,105.176,105.295,105.270,105.457,105.191,105.304
13,CAD_JPY,2022-11-16T07:00:00.000000000Z,11450,105.283,105.431,105.124,105.143,105.294,105.442,105.136,105.154,105.305,105.456,105.149,105.166
14,CAD_JPY,2022-11-16T08:00:00.000000000Z,12304,105.143,105.363,105.092,105.312,105.154,105.374,105.102,105.322,105.164,105.385,105.111,105.333
