,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,CAD_SGD,2023-07-11T16:00:00.000000000Z,1900,1.01299,1.01316,1.01220,1.01239,1.01309,1.01326,1.01230,1.01250,1.01319,1.01336,1.01240,1.01260,,
1,CAD_SGD,2023-07-11T17:00:00.000000000Z,1781,1.01241,1.01255,1.01209,1.01223,1.01251,1.01265,1.01218,1.01234,1.01261,1.01275,1.01225,1.01244,,
2,CAD_SGD,2023-07-11T18:00:00.000000000Z,1510,1.01223,1.01269,1.01188,1.01257,1.01233,1.01278,1.01198,1.01266,1.01243,1.01288,1.01209,1.01276,,
3,CAD_SGD,2023-07-11T19:00:00.000000000Z,1308,1.01257,1.01331,1.01254,1.01298,1.01266,1.01340,1.01264,1.01308,1.01275,1.01349,1.01274,1.01318,,
4,CAD_SGD,2023-07-11T20:00:00.000000000Z,595,1.01298,1.01349,1.01292,1.01335,1.01307,1.01361,1.01303,1.01355,1.01316,1.01377,1.01313,1.01375,,
5,CAD_SGD,2023-07-11T21:00:00.000000000Z,59,1.01333,1.01335,1.01313,1.01325,1.01367,1.01376,1.01338,1.01356,1.01401,1.01420,1.01356,1.01386,,
6,CAD_SGD,2023-07-11T22:00:00.000000000Z,267,1.01325,1.01358,1.01315,1.01352,1.01350,1.01370,1.01328,1.01364,1.01376,1.01386,1.01340,1.01377,,
7,CAD_SGD,2023-07-11T23:00:00.000000000Z,440,1.01352,1.01364,1.01304,1.01309,1.01364,1.01375,1.01315,1.01318,1.01376,1.01387,1.01325,1.01326,1.01306375,
8,CAD_SGD,2023-07-12T00:00:00.000000000Z,1354,1.01308,1.01314,1.01244,1.01303,1.01317,1.01324,1.01254,1.01314,1.01326,1.01333,1.01263,1.01324,1.01314375,
9,CAD_SGD,2023-07-12T01:00:00.000000000Z,1842,1.01301,1.01315,1.01268,1.01295,1.01312,1.01322,1.01280,1.01306,1.01324,1.01330,1.01290,1.01316,1.01323375,
10,CAD_SGD,2023-07-12T02:00:00.000000000Z,1715,1.01295,1.01325,1.01254,1.01264,1.01307,1.01334,1.01264,1.01275,1.01319,1.01342,1.01275,1.01286,1.013245,
11,CAD_SGD,2023-07-12T03:00:00.000000000Z,1060,1.01264,1.01296,1.01259,1.01289,1.01274,1.01306,1.01271,1.01298,1.01285,1.01316,1.01283,1.01306,1.0132325,
12,CAD_SGD,2023-07-12T04:00:00.000000000Z,930,1.01289,1.01298,1.01259,1.01265,1.01300,1.01307,1.01270,1.01276,1.01311,1.01316,1.01282,1.01287,1.0131337500000002,
13,CAD_SGD,2023-07-12T05:00:00.000000000Z,1302,1.01264,1.01291,1.01216,1.01225,1.01276,1.01302,1.01226,1.01236,1.01287,1.01312,1.01236,1.01246,1.01298375,
14,CAD_SGD,2023-07-12T06:00:00.000000000Z,1628,1.01223,1.01275,1.01210,1.01211,1.01234,1.01285,1.01221,1.01222,1.01245,1.01295,1.01232,1.01232,1.01280625,
15,CAD_SGD,2023-07-12T07:00:00.000000000Z,1973,1.01211,1.01217,1.01152,1.01184,1.01223,1.01228,1.01162,1.01194,1.01235,1.01241,1.01172,1.01204,1.01265125,
16,CAD_SGD,2023-07-12T08:00:00.000000000Z,1503,1.01185,1.01305,1.01170,1.01285,1.01194,1.01314,1.01182,1.01296,1.01203,1.01322,1.01190,1.01306,1.01262875,
17,CAD_SGD,2023-07-12T09:00:00.000000000Z,1332,1.01285,1.01331,1.01254,1.01295,1.01294,1.01341,1.01264,1.01305,1.01303,1.01352,1.01274,1.01315,1.0126275,
18,CAD_SGD,2023-07-12T10:00:00.000000000Z,1210,1.01295,1.01305,1.01227,1.01248,1.01304,1.01316,1.01238,1.01258,1.01314,1.01326,1.01248,1.01269,1.01260625,
