,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,CH20_CHF,2023-06-22T16:00:00.000000000Z,21,11187.0,11194.0,11182.0,11194.0,11188.5,11195.5,11183.5,11195.5,11190.0,11197.0,11185.0,11197.0,,
1,CH20_CHF,2023-06-22T17:00:00.000000000Z,15,11192.0,11195.0,11184.5,11195.0,11193.5,11196.5,11186.0,11196.5,11195.0,11198.0,11187.5,11198.0,,
2,CH20_CHF,2023-06-22T18:00:00.000000000Z,9,11197.0,11199.0,11195.0,11197.0,11198.5,11200.5,11196.5,11198.5,11200.0,11202.0,11198.0,11200.0,,
3,CH20_CHF,2023-06-22T19:00:00.000000000Z,19,11195.0,11195.0,11184.0,11189.5,11196.5,11196.5,11185.5,11191.0,11198.0,11198.0,11187.0,11192.5,,
4,CH20_CHF,2023-06-23T06:00:00.000000000Z,73,11156.0,11183.0,11156.0,11173.5,11161.5,11184.5,11160.0,11175.0,11167.0,11186.0,11163.0,11176.5,,
5,CH20_CHF,2023-06-23T07:00:00.000000000Z,2160,11174.0,11219.0,11169.8,11202.8,11175.0,11220.0,11170.6,11203.6,11176.0,11221.0,11171.3,11204.3,,
6,CH20_CHF,2023-06-23T08:00:00.000000000Z,1509,11203.0,11238.8,11202.0,11229.0,11204.0,11239.6,11203.0,11230.0,11205.0,11240.3,11204.0,11231.0,,
7,CH20_CHF,2023-06-23T09:00:00.000000000Z,843,11229.8,11240.0,11216.0,11231.0,11230.6,11241.0,11217.0,11232.0,11231.3,11242.0,11218.0,11233.0,11202.7625,
8,CH20_CHF,2023-06-23T10:00:00.000000000Z,813,11230.8,11244.8,11225.0,11234.8,11231.6,11245.6,11226.0,11235.6,11232.3,11246.3,11227.0,11236.3,11207.775,
9,CH20_CHF,2023-06-23T11:00:00.000000000Z,716,11235.0,11238.8,11219.8,11220.0,11236.0,11239.6,11220.6,11221.0,11237.0,11240.3,11221.3,11222.0,11210.8375,
10,CH20_CHF,2023-06-23T12:00:00.000000000Z,1340,11220.8,11221.8,11178.0,11179.8,11221.6,11222.6,11179.0,11180.6,11222.3,11223.3,11180.0,11181.3,11208.6,
11,CH20_CHF,2023-06-23T13:00:00.000000000Z,1706,11179.0,11215.8,11178.0,11215.8,11180.0,11216.6,11179.0,11216.6,11181.0,11217.3,11180.0,11217.3,11211.8,
12,CH20_CHF,2023-06-23T14:00:00.000000000Z,1511,11215.0,11262.8,11214.8,11248.8,11216.0,11263.6,11215.6,11249.6,11217.0,11264.3,11216.3,11250.3,11221.125,
13,CH20_CHF,2023-06-23T15:00:00.000000000Z,635,11249.0,11250.0,11216.8,11226.5,11250.0,11251.0,11217.6,11228.0,11251.0,11252.0,11218.3,11229.5,11224.175,
14,CH20_CHF,2023-06-23T16:00:00.000000000Z,18,11228.5,11237.0,11226.5,11235.0,11230.0,11238.5,11228.0,11236.5,11231.5,11240.0,11229.5,11238.0,11224.9875,
15,CH20_CHF,2023-06-23T17:00:00.000000000Z,11,11233.0,11233.0,11229.0,11229.0,11234.5,11234.5,11230.5,11230.5,11236.0,11236.0,11232.0,11232.0,11224.8,
16,CH20_CHF,2023-06-23T18:00:00.000000000Z,24,11227.0,11227.0,11204.5,11204.5,11228.5,11228.5,11206.0,11206.0,11230.0,11230.0,11207.5,11207.5,11221.1,
17,CH20_CHF,2023-06-23T19:00:00.000000000Z,106,11201.5,11210.0,11196.0,11201.0,11203.0,11211.5,11197.5,11202.5,11204.5,11213.0,11199.0,11204.0,11218.7875,
18,CH20_CHF,2023-06-26T06:00:00.000000000Z,36,11197.0,11221.0,11196.0,11213.5,11200.5,11222.5,11197.5,11215.0,11204.0,11224.0,11199.0,11216.5,11223.0875,
19,CH20_CHF,2023-06-26T07:00:00.000000000Z,2928,11210.5,11213.0,11159.8,11177.8,11212.0,11214.5,11160.6,11178.6,11213.5,11216.0,11161.3,11179.3,11218.337500000001,
20,CH20_CHF,2023-06-26T08:00:00.000000000Z,2297,11178.0,11189.8,11135.8,11142.0,11179.0,11190.6,11136.6,11143.0,11180.0,11191.3,11137.3,11144.0,11205.0125,
21,CH20_CHF,2023-06-26T09:00:00.000000000Z,1311,11142.8,11184.8,11142.8,11182.0,11143.6,11185.6,11143.6,11183.0,11144.3,11186.3,11144.3,11184.0,11199.3875,
22,CH20_CHF,2023-06-26T10:00:00.000000000Z,1161,11181.8,11183.8,11157.8,11165.0,11182.6,11184.6,11158.6,11166.0,11183.3,11185.3,11159.3,11167.0,11190.575,
23,CH20_CHF,2023-06-26T11:00:00.000000000Z,890,11165.8,11176.8,11159.8,11167.8,11166.6,11177.6,11160.6,11168.6,11167.3,11178.3,11161.3,11169.3,11182.8375,
24,CH20_CHF,2023-06-26T12:00:00.000000000Z,781,11167.0,11178.8,11158.8,11163.8,11168.0,11179.6,11159.6,11164.6,11169.0,11180.3,11160.3,11165.3,11177.6625,
25,CH20_CHF,2023-06-26T13:00:00.000000000Z,1920,11163.0,11172.8,11134.8,11144.8,11164.0,11173.6,11135.6,11145.6,11165.0,11174.3,11136.3,11146.3,11170.550000000001,
26,CH20_CHF,2023-06-26T14:00:00.000000000Z,2321,11144.0,11158.8,11135.8,11154.8,11145.0,11159.6,11136.6,11155.6,11146.0,11160.3,11137.3,11156.3,11163.125,
27,CH20_CHF,2023-06-26T15:00:00.000000000Z,715,11155.0,11156.8,11141.5,11150.0,11156.0,11157.6,11143.0,11151.5,11157.0,11158.3,11144.0,11153.0,11159.7375,
28,CH20_CHF,2023-06-26T16:00:00.000000000Z,29,11153.0,11162.5,11142.5,11158.5,11154.5,11164.0,11144.0,11160.0,11156.0,11165.5,11145.5,11161.5,11161.8625,
29,CH20_CHF,2023-06-26T17:00:00.000000000Z,20,11156.0,11164.5,11154.0,11162.5,11157.5,11166.0,11155.5,11164.0,11159.0,11167.5,11157.0,11165.5,11159.4875,
