,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,CHF_HKD,2023-07-11T15:00:00.000000000Z,3833,8.87328,8.88867,8.87096,8.88818,8.87424,8.88970,8.87190,8.88916,8.87519,8.89072,8.87284,8.89013,,
1,CHF_HKD,2023-07-11T16:00:00.000000000Z,2871,8.88818,8.89424,8.88644,8.89328,8.88916,8.89524,8.88736,8.89438,8.89015,8.89629,8.88827,8.89549,,
2,CHF_HKD,2023-07-11T17:00:00.000000000Z,2469,8.89319,8.89685,8.89291,8.89521,8.89433,8.89780,8.89388,8.89624,8.89547,8.89886,8.89479,8.89726,,
3,CHF_HKD,2023-07-11T18:00:00.000000000Z,2473,8.89524,8.89634,8.89073,8.89410,8.89626,8.89724,8.89169,8.89502,8.89729,8.89819,8.89265,8.89593,,
4,CHF_HKD,2023-07-11T19:00:00.000000000Z,2682,8.89416,8.89615,8.89200,8.89540,8.89512,8.89720,8.89300,8.89638,8.89609,8.89829,8.89391,8.89737,,
5,CHF_HKD,2023-07-11T20:00:00.000000000Z,1903,8.89540,8.89871,8.89473,8.89648,8.89630,8.90030,8.89585,8.89876,8.89721,8.90190,8.89685,8.90103,,
6,CHF_HKD,2023-07-11T21:00:00.000000000Z,183,8.89385,8.89498,8.88897,8.89397,8.90102,8.90376,8.89624,8.90376,8.90820,8.91629,8.90176,8.91356,,
7,CHF_HKD,2023-07-11T22:00:00.000000000Z,394,8.89308,8.90256,8.89218,8.90184,8.90216,8.90486,8.89888,8.90419,8.91124,8.91159,8.90245,8.90654,8.89723625,
8,CHF_HKD,2023-07-11T23:00:00.000000000Z,834,8.90176,8.90664,8.90165,8.90445,8.90422,8.90786,8.90378,8.90598,8.90669,8.90928,8.90564,8.90752,8.89933875,
9,CHF_HKD,2023-07-12T00:00:00.000000000Z,3128,8.90442,8.91414,8.90246,8.91202,8.90596,8.91524,8.90399,8.91321,8.90751,8.91645,8.90548,8.91440,8.9016925,
