,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c
0,CHF_JPY,2022-11-15T18:00:00.000000000Z,19128,147.495,147.581,147.016,147.456,147.514,147.602,147.037,147.476,147.534,147.624,147.058,147.495
1,CHF_JPY,2022-11-15T19:00:00.000000000Z,18113,147.456,147.574,147.259,147.543,147.475,147.594,147.280,147.563,147.494,147.615,147.301,147.583
2,CHF_JPY,2022-11-15T20:00:00.000000000Z,9517,147.542,147.647,147.330,147.398,147.562,147.664,147.352,147.419,147.583,147.683,147.372,147.440
3,CHF_JPY,2022-11-15T21:00:00.000000000Z,5278,147.401,147.492,147.332,147.442,147.423,147.515,147.356,147.468,147.445,147.543,147.380,147.494
4,CHF_JPY,2022-11-15T22:00:00.000000000Z,466,147.616,147.628,147.301,147.366,147.720,147.732,147.406,147.470,147.825,147.837,147.510,147.575
5,CHF_JPY,2022-11-15T23:00:00.000000000Z,5956,147.376,147.438,147.050,147.342,147.480,147.502,147.076,147.366,147.585,147.598,147.100,147.389
6,CHF_JPY,2022-11-16T00:00:00.000000000Z,7700,147.344,147.723,147.223,147.558,147.365,147.744,147.244,147.580,147.386,147.765,147.265,147.603
7,CHF_JPY,2022-11-16T01:00:00.000000000Z,9890,147.555,147.969,147.537,147.818,147.580,147.993,147.560,147.842,147.604,148.017,147.581,147.865
8,CHF_JPY,2022-11-16T02:00:00.000000000Z,8338,147.816,148.295,147.807,148.153,147.839,148.317,147.828,148.176,147.862,148.339,147.850,148.199
9,CHF_JPY,2022-11-16T03:00:00.000000000Z,6866,148.153,148.295,148.032,148.187,148.176,148.316,148.054,148.209,148.198,148.338,148.075,148.231
10,CHF_JPY,2022-11-16T04:00:00.000000000Z,6095,148.187,148.229,147.989,148.008,148.208,148.246,148.008,148.028,148.228,148.266,148.026,148.049
11,CHF_JPY,2022-11-16T05:00:00.000000000Z,8218,148.008,148.132,147.861,147.958,148.028,148.152,147.882,147.980,148.047,148.174,147.904,148.002
12,CHF_JPY,2022-11-16T06:00:00.000000000Z,6881,147.963,148.300,147.935,148.090,147.985,148.319,147.956,148.110,148.007,148.339,147.978,148.131
13,CHF_JPY,2022-11-16T07:00:00.000000000Z,11590,148.090,148.203,147.742,147.852,148.110,148.220,147.762,147.874,148.130,148.237,147.782,147.895
14,CHF_JPY,2022-11-16T08:00:00.000000000Z,12087,147.854,148.295,147.837,148.172,147.874,148.314,147.856,148.192,147.893,148.332,147.875,148.213
15,CHF_JPY,2022-11-16T09:00:00.000000000Z,8795,148.173,148.362,147.975,148.169,148.192,148.380,147.996,148.188,148.210,148.398,148.016,148.208
16,CHF_JPY,2022-11-16T10:00:00.000000000Z,9690,148.180,148.443,148.054,148.442,148.196,148.461,148.073,148.460,148.213,148.481,148.091,148.479
17,CHF_JPY,2022-11-16T11:00:00.000000000Z,10611,148.444,148.452,148.223,148.313,148.462,148.472,148.243,148.334,148.479,148.494,148.263,148.356
18,CHF_JPY,2022-11-16T12:00:00.000000000Z,8577,148.316,148.481,148.133,148.379,148.336,148.498,148.152,148.397,148.356,148.516,148.167,148.415
19,CHF_JPY,2022-11-16T13:00:00.000000000Z,15560,148.381,148.489,148.051,148.369,148.400,148.518,148.150,148.390,148.418,148.546,148.240,148.410
20,CHF_JPY,2022-11-16T14:00:00.000000000Z,16373,148.369,148.382,147.806,147.895,148.388,148.402,147.827,147.916,148.406,148.425,147.847,147.938
21,CHF_JPY,2022-11-16T15:00:00.000000000Z,14138,147.890,148.017,147.720,147.792,147.913,148.037,147.741,147.810,147.936,148.057,147.761,147.829
22,CHF_JPY,2022-11-16T16:00:00.000000000Z,8455,147.791,147.897,147.737,147.770,147.808,147.916,147.755,147.788,147.826,147.936,147.773,147.805
23,CHF_JPY,2022-11-16T17:00:00.000000000Z,6631,147.771,147.846,147.653,147.682,147.791,147.866,147.671,147.702,147.811,147.887,147.689,147.721
24,CHF_JPY,2022-11-16T18:00:00.000000000Z,5751,147.685,147.761,147.588,147.758,147.703,147.779,147.604,147.775,147.721,147.798,147.621,147.792
25,CHF_JPY,2022-11-16T19:00:00.000000000Z,5658,147.758,147.758,147.528,147.538,147.776,147.776,147.546,147.557,147.795,147.795,147.564,147.576
26,CHF_JPY,2022-11-16T20:00:00.000000000Z,4772,147.537,147.612,147.497,147.612,147.554,147.631,147.516,147.631,147.572,147.650,147.536,147.650
27,CHF_JPY,2022-11-16T21:00:00.000000000Z,2988,147.608,147.689,147.552,147.660,147.628,147.714,147.572,147.696,147.649,147.740,147.592,147.733
28,CHF_JPY,2022-11-16T22:00:00.000000000Z,961,147.501,147.636,147.445,147.606,147.606,147.736,147.594,147.710,147.710,147.840,147.699,147.815
29,CHF_JPY,2022-11-16T23:00:00.000000000Z,3553,147.606,147.669,147.481,147.498,147.710,147.714,147.502,147.522,147.815,147.817,147.521,147.546
30,CHF_JPY,2022-11-17T00:00:00.000000000Z,4151,147.499,147.718,147.415,147.610,147.520,147.738,147.432,147.631,147.540,147.759,147.448,147.652
31,CHF_JPY,2022-11-17T01:00:00.000000000Z,5165,147.613,147.645,147.453,147.549,147.634,147.668,147.476,147.570,147.656,147.692,147.495,147.592
32,CHF_JPY,2022-11-17T02:00:00.000000000Z,5208,147.551,147.596,147.489,147.537,147.572,147.617,147.510,147.558,147.592,147.639,147.531,147.578
33,CHF_JPY,2022-11-17T03:00:00.000000000Z,4340,147.538,147.639,147.468,147.518,147.558,147.660,147.489,147.541,147.578,147.680,147.509,147.564
34,CHF_JPY,2022-11-17T04:00:00.000000000Z,3324,147.515,147.534,147.350,147.386,147.538,147.554,147.370,147.407,147.562,147.573,147.391,147.428
35,CHF_JPY,2022-11-17T05:00:00.000000000Z,3591,147.389,147.492,147.337,147.471,147.409,147.510,147.360,147.492,147.429,147.531,147.382,147.513
36,CHF_JPY,2022-11-17T06:00:00.000000000Z,5264,147.471,147.678,147.403,147.639,147.492,147.698,147.424,147.662,147.512,147.718,147.444,147.685
37,CHF_JPY,2022-11-17T07:00:00.000000000Z,8615,147.639,147.688,147.379,147.472,147.662,147.708,147.400,147.489,147.684,147.727,147.419,147.506
38,CHF_JPY,2022-11-17T08:00:00.000000000Z,10959,147.472,147.487,147.085,147.400,147.490,147.506,147.104,147.419,147.507,147.524,147.121,147.438
39,CHF_JPY,2022-11-17T09:00:00.000000000Z,8744,147.397,147.475,147.267,147.366,147.417,147.494,147.286,147.384,147.437,147.514,147.304,147.403
40,CHF_JPY,2022-11-17T10:00:00.000000000Z,8793,147.365,147.488,147.116,147.300,147.384,147.508,147.142,147.316,147.403,147.527,147.165,147.332
41,CHF_JPY,2022-11-17T11:00:00.000000000Z,9493,147.300,147.487,147.227,147.464,147.317,147.506,147.246,147.482,147.334,147.525,147.265,147.501
42,CHF_JPY,2022-11-17T12:00:00.000000000Z,12456,147.464,147.695,147.319,147.689,147.484,147.716,147.336,147.709,147.503,147.736,147.352,147.729
43,CHF_JPY,2022-11-17T13:00:00.000000000Z,14527,147.691,147.713,147.281,147.563,147.710,147.729,147.318,147.584,147.730,147.748,147.354,147.604
44,CHF_JPY,2022-11-17T14:00:00.000000000Z,13646,147.556,147.702,147.306,147.312,147.577,147.720,147.324,147.332,147.598,147.739,147.341,147.352
45,CHF_JPY,2022-11-17T15:00:00.000000000Z,11634,147.313,147.558,147.153,147.220,147.334,147.578,147.173,147.241,147.354,147.597,147.192,147.262
46,CHF_JPY,2022-11-17T16:00:00.000000000Z,8494,147.218,147.282,147.156,147.200,147.240,147.300,147.174,147.218,147.262,147.319,147.192,147.236
47,CHF_JPY,2022-11-17T17:00:00.000000000Z,7938,147.201,147.275,147.133,147.228,147.218,147.295,147.152,147.246,147.236,147.315,147.168,147.265
48,CHF_JPY,2022-11-17T18:00:00.000000000Z,5534,147.230,147.368,147.129,147.347,147.248,147.387,147.146,147.364,147.265,147.406,147.163,147.382
49,CHF_JPY,2022-11-17T19:00:00.000000000Z,5362,147.348,147.393,147.264,147.273,147.365,147.412,147.283,147.292,147.382,147.430,147.302,147.310
50,CHF_JPY,2022-11-17T20:00:00.000000000Z,4172,147.272,147.322,147.164,147.261,147.289,147.338,147.184,147.279,147.306,147.356,147.204,147.297
51,CHF_JPY,2022-11-17T21:00:00.000000000Z,2685,147.262,147.313,147.195,147.236,147.282,147.333,147.224,147.260,147.301,147.353,147.245,147.285
52,CHF_JPY,2022-11-17T22:00:00.000000000Z,2936,147.124,147.277,147.035,147.254,147.228,147.376,147.140,147.343,147.333,147.480,147.244,147.432
53,CHF_JPY,2022-11-17T23:00:00.000000000Z,8799,147.254,147.415,147.189,147.343,147.341,147.438,147.239,147.363,147.428,147.463,147.275,147.383
54,CHF_JPY,2022-11-18T00:00:00.000000000Z,5123,147.344,147.427,147.203,147.348,147.364,147.446,147.224,147.368,147.383,147.464,147.244,147.388
55,CHF_JPY,2022-11-18T01:00:00.000000000Z,6075,147.348,147.354,147.096,147.181,147.370,147.376,147.118,147.202,147.391,147.398,147.133,147.223
56,CHF_JPY,2022-11-18T02:00:00.000000000Z,5120,147.182,147.183,146.848,146.961,147.202,147.204,146.869,146.982,147.222,147.224,146.890,147.003
57,CHF_JPY,2022-11-18T03:00:00.000000000Z,4819,146.959,146.974,146.817,146.879,146.981,146.996,146.840,146.900,147.003,147.017,146.863,146.920
58,CHF_JPY,2022-11-18T04:00:00.000000000Z,3953,146.882,146.950,146.840,146.853,146.903,146.970,146.861,146.874,146.924,146.989,146.881,146.895
59,CHF_JPY,2022-11-18T05:00:00.000000000Z,3663,146.856,147.072,146.832,146.853,146.876,147.091,146.851,146.874,146.895,147.111,146.870,146.895
60,CHF_JPY,2022-11-18T06:00:00.000000000Z,3840,146.850,146.955,146.770,146.905,146.873,146.974,146.790,146.926,146.896,146.993,146.810,146.947
61,CHF_JPY,2022-11-18T07:00:00.000000000Z,7447,146.904,147.044,146.664,147.017,146.924,147.062,146.686,147.036,146.944,147.079,146.706,147.055
