,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,CHF_JPY,2023-04-20T17:00:00.000000000Z,11158,150.015,150.435,150.010,150.414,150.024,150.445,150.020,150.430,150.032,150.456,150.029,150.446,,
1,CHF_JPY,2023-04-20T21:00:00.000000000Z,9761,150.162,150.504,150.104,150.241,150.337,150.519,150.114,150.252,150.512,150.534,150.125,150.262,,
2,CHF_JPY,2023-04-21T01:00:00.000000000Z,10454,150.242,150.275,149.730,149.847,150.253,150.288,149.740,149.858,150.264,150.300,149.750,149.868,,
3,CHF_JPY,2023-04-21T05:00:00.000000000Z,24807,149.849,150.032,149.519,149.695,149.860,150.044,149.529,149.705,149.872,150.055,149.537,149.715,,
4,CHF_JPY,2023-04-21T09:00:00.000000000Z,22201,149.692,150.088,149.535,149.909,149.703,150.095,149.546,149.920,149.714,150.103,149.556,149.932,,
5,CHF_JPY,2023-04-21T13:00:00.000000000Z,31987,149.914,150.493,149.825,150.238,149.924,150.501,149.869,150.248,149.935,150.511,149.880,150.257,,
6,CHF_JPY,2023-04-21T17:00:00.000000000Z,9228,150.231,150.335,150.191,150.279,150.240,150.351,150.200,150.310,150.250,150.417,150.210,150.342,,
7,CHF_JPY,2023-04-23T21:00:00.000000000Z,7260,149.955,150.325,149.854,150.215,150.130,150.340,150.029,150.228,150.305,150.431,150.055,150.241,150.118875,
8,CHF_JPY,2023-04-24T01:00:00.000000000Z,15344,150.213,150.653,150.159,150.577,150.226,150.664,150.170,150.586,150.238,150.676,150.182,150.595,150.138375,
9,CHF_JPY,2023-04-24T05:00:00.000000000Z,22674,150.576,151.005,150.303,151.001,150.586,151.015,150.313,151.010,150.595,151.025,150.323,151.019,150.233125,
10,CHF_JPY,2023-04-24T09:00:00.000000000Z,25585,150.999,151.383,150.873,151.314,151.009,151.390,150.884,151.325,151.019,151.402,150.896,151.336,150.4165,
11,CHF_JPY,2023-04-24T13:00:00.000000000Z,25040,151.313,151.484,151.096,151.235,151.324,151.493,151.106,151.245,151.336,151.502,151.115,151.255,150.60899999999998,
12,CHF_JPY,2023-04-24T17:00:00.000000000Z,8918,151.235,151.311,151.147,151.223,151.246,151.319,151.156,151.238,151.256,151.329,151.166,151.252,150.77375,
13,CHF_JPY,2023-04-24T21:00:00.000000000Z,9030,150.946,151.435,150.801,151.371,151.121,151.448,150.956,151.384,151.296,151.460,150.972,151.397,150.91575,
14,CHF_JPY,2023-04-25T01:00:00.000000000Z,14758,151.377,151.517,151.248,151.326,151.388,151.530,151.258,151.339,151.399,151.542,151.269,151.352,151.044375,
15,CHF_JPY,2023-04-25T05:00:00.000000000Z,27754,151.328,151.418,150.898,151.274,151.340,151.431,150.911,151.286,151.353,151.444,150.924,151.298,151.176625,
16,CHF_JPY,2023-04-25T09:00:00.000000000Z,26878,151.273,151.318,150.650,150.711,151.284,151.326,150.662,150.722,151.296,151.335,150.673,150.734,151.193625,
17,CHF_JPY,2023-04-25T13:00:00.000000000Z,31310,150.714,150.773,149.927,149.950,150.724,150.784,149.938,149.960,150.733,150.796,149.947,149.970,151.062375,
18,CHF_JPY,2023-04-25T17:00:00.000000000Z,13902,149.950,150.014,149.541,149.891,149.960,150.024,149.551,149.906,149.971,150.035,149.561,149.920,150.885,
19,CHF_JPY,2023-04-25T21:00:00.000000000Z,11132,150.023,150.150,149.707,149.872,150.198,150.325,149.716,149.885,150.373,150.500,149.726,149.898,150.715,
20,CHF_JPY,2023-04-26T01:00:00.000000000Z,16694,149.866,149.938,149.622,149.920,149.880,149.949,149.635,149.931,149.894,149.961,149.647,149.942,150.551625,
21,CHF_JPY,2023-04-26T05:00:00.000000000Z,29097,149.918,150.208,149.608,150.060,149.930,150.217,149.618,150.070,149.942,150.228,149.629,150.081,150.387375,
22,CHF_JPY,2023-04-26T09:00:00.000000000Z,34700,150.059,150.510,149.874,150.332,150.070,150.527,149.884,150.344,150.081,150.552,149.894,150.356,150.263,
23,CHF_JPY,2023-04-26T13:00:00.000000000Z,38427,150.338,150.424,149.693,150.074,150.349,150.436,149.700,150.086,150.360,150.449,149.705,150.099,150.113,
24,CHF_JPY,2023-04-26T17:00:00.000000000Z,14787,150.076,150.113,149.816,149.971,150.086,150.123,149.828,149.988,150.097,150.133,149.838,150.005,150.02125,
25,CHF_JPY,2023-04-26T21:00:00.000000000Z,7952,149.817,150.064,149.724,149.922,149.992,150.077,149.736,149.934,150.167,150.224,149.747,149.947,150.018,
26,CHF_JPY,2023-04-27T01:00:00.000000000Z,12475,149.923,150.126,149.812,150.064,149.935,150.137,149.823,150.076,149.947,150.148,149.834,150.088,150.03925,
27,CHF_JPY,2023-04-27T05:00:00.000000000Z,22892,150.064,150.231,149.789,149.979,150.078,150.240,149.800,149.988,150.091,150.251,149.810,149.996,150.052125,
28,CHF_JPY,2023-04-27T09:00:00.000000000Z,29903,149.979,150.004,149.187,149.370,149.988,150.012,149.198,149.380,149.998,150.022,149.208,149.391,149.98325,
29,CHF_JPY,2023-04-27T13:00:00.000000000Z,26730,149.372,149.696,149.298,149.592,149.382,149.706,149.308,149.602,149.392,149.717,149.317,149.611,149.92475000000002,
30,CHF_JPY,2023-04-27T17:00:00.000000000Z,9215,149.596,149.921,149.549,149.765,149.605,149.931,149.559,149.790,149.614,149.942,149.569,149.814,149.8555,
31,CHF_JPY,2023-04-27T21:00:00.000000000Z,10740,149.394,150.005,149.340,149.936,149.569,150.019,149.515,149.950,149.744,150.033,149.573,149.964,149.8385,
32,CHF_JPY,2023-04-28T01:00:00.000000000Z,36442,149.937,150.759,149.057,150.563,149.950,150.771,149.100,150.577,149.964,150.784,149.138,150.591,149.912125,
33,CHF_JPY,2023-04-28T05:00:00.000000000Z,41126,150.573,151.740,150.502,151.380,150.584,151.754,150.516,151.394,150.594,151.769,150.530,151.409,150.094625,
34,CHF_JPY,2023-04-28T09:00:00.000000000Z,28647,151.377,152.034,151.376,151.989,151.392,152.065,151.392,152.002,151.407,152.105,151.406,152.014,150.335375,
35,CHF_JPY,2023-04-28T13:00:00.000000000Z,35169,151.998,153.155,151.977,152.442,152.009,153.166,151.989,152.455,152.020,153.177,152.001,152.468,150.64375,
36,CHF_JPY,2023-04-28T17:00:00.000000000Z,10410,152.438,152.473,152.181,152.290,152.450,152.482,152.230,152.331,152.463,152.496,152.244,152.372,151.012625,
37,CHF_JPY,2023-04-30T21:00:00.000000000Z,8260,152.154,152.854,152.154,152.769,152.329,152.870,152.296,152.782,152.504,152.887,152.317,152.795,151.410125,
38,CHF_JPY,2023-05-01T01:00:00.000000000Z,10390,152.761,153.216,152.656,153.125,152.774,153.228,152.671,153.137,152.788,153.243,152.684,153.149,151.8285,
39,CHF_JPY,2023-05-01T05:00:00.000000000Z,13499,153.127,153.321,153.008,153.008,153.138,153.334,153.020,153.020,153.149,153.346,153.032,153.032,152.21224999999998,
40,CHF_JPY,2023-05-01T09:00:00.000000000Z,16022,153.008,153.474,152.974,153.428,153.020,153.488,152.988,153.440,153.031,153.504,153.001,153.452,152.57012500000002,
41,CHF_JPY,2023-05-01T13:00:00.000000000Z,23115,153.427,153.573,153.199,153.505,153.440,153.590,153.226,153.516,153.453,153.606,153.239,153.528,152.835375,
42,CHF_JPY,2023-05-01T17:00:00.000000000Z,10910,153.506,153.586,153.401,153.573,153.517,153.598,153.412,153.589,153.528,153.610,153.424,153.605,153.03375,
43,CHF_JPY,2023-05-01T21:00:00.000000000Z,6900,153.808,153.808,153.330,153.503,153.983,153.983,153.351,153.516,154.158,154.158,153.364,153.529,153.16637500000002,
44,CHF_JPY,2023-05-02T01:00:00.000000000Z,12309,153.507,153.806,153.497,153.764,153.518,153.824,153.510,153.778,153.529,153.841,153.524,153.791,153.34724999999997,
45,CHF_JPY,2023-05-02T05:00:00.000000000Z,29094,153.764,153.957,153.068,153.153,153.776,153.968,153.080,153.166,153.788,153.978,153.091,153.179,153.39525,
46,CHF_JPY,2023-05-02T09:00:00.000000000Z,23515,153.162,153.300,152.806,153.151,153.173,153.312,152.816,153.162,153.184,153.324,152.827,153.172,153.398375,
47,CHF_JPY,2023-05-02T13:00:00.000000000Z,36896,153.153,153.168,152.606,152.853,153.164,153.180,152.619,152.864,153.176,153.192,152.629,152.874,153.378875,
48,CHF_JPY,2023-05-02T17:00:00.000000000Z,11454,152.853,153.098,152.832,152.960,152.862,153.109,152.842,152.975,152.872,153.120,152.853,152.990,153.32075,
49,CHF_JPY,2023-05-02T21:00:00.000000000Z,8246,152.945,153.065,152.791,153.010,152.962,153.078,152.864,153.021,152.978,153.152,152.880,153.032,153.258875,
50,CHF_JPY,2023-05-03T01:00:00.000000000Z,10405,153.009,153.037,152.569,152.688,153.019,153.050,152.579,152.700,153.029,153.064,152.589,152.712,153.14775,
51,CHF_JPY,2023-05-03T05:00:00.000000000Z,22871,152.689,152.987,152.533,152.871,152.702,152.998,152.544,152.882,152.714,153.009,152.555,152.893,153.0685,
52,CHF_JPY,2023-05-03T09:00:00.000000000Z,26340,152.872,152.962,152.431,152.438,152.880,152.971,152.442,152.449,152.888,152.980,152.452,152.460,152.902375,
53,CHF_JPY,2023-05-03T13:00:00.000000000Z,29598,152.438,152.737,152.273,152.712,152.450,152.747,152.284,152.723,152.461,152.757,152.293,152.734,152.84699999999998,
54,CHF_JPY,2023-05-03T17:00:00.000000000Z,42551,152.712,153.041,152.392,152.400,152.722,153.055,152.419,152.423,152.733,153.070,152.432,152.446,152.754625,
55,CHF_JPY,2023-05-03T21:00:00.000000000Z,16807,151.918,152.488,151.844,152.380,152.093,152.512,152.019,152.392,152.268,152.537,152.185,152.404,152.695625,
56,CHF_JPY,2023-05-04T01:00:00.000000000Z,14479,152.383,152.531,152.246,152.383,152.394,152.544,152.258,152.394,152.406,152.558,152.269,152.406,152.623,
57,CHF_JPY,2023-05-04T05:00:00.000000000Z,27048,152.389,152.427,151.545,151.600,152.400,152.440,151.556,151.610,152.410,152.454,151.566,151.621,152.446625,
58,CHF_JPY,2023-05-04T09:00:00.000000000Z,34037,151.597,152.065,151.460,151.730,151.606,152.074,151.470,151.740,151.616,152.086,151.480,151.750,152.326625,
59,CHF_JPY,2023-05-04T13:00:00.000000000Z,59939,151.724,152.021,150.859,151.140,151.736,152.032,150.868,151.150,151.747,152.043,150.877,151.160,152.110125,
60,CHF_JPY,2023-05-04T17:00:00.000000000Z,18981,151.142,151.684,151.105,151.571,151.152,151.696,151.114,151.587,151.161,151.709,151.124,151.603,152.002375,
61,CHF_JPY,2023-05-04T21:00:00.000000000Z,6116,151.573,151.629,151.330,151.497,151.748,151.754,151.464,151.508,151.923,151.929,151.476,151.519,151.8505,
62,CHF_JPY,2023-05-05T01:00:00.000000000Z,7699,151.504,151.650,151.443,151.532,151.514,151.661,151.455,151.543,151.525,151.672,151.465,151.554,151.74050000000003,
63,CHF_JPY,2023-05-05T05:00:00.000000000Z,25760,151.538,151.657,150.186,150.408,151.548,151.668,150.198,150.419,151.559,151.680,150.209,150.430,151.493875,151.378453125
64,CHF_JPY,2023-05-05T09:00:00.000000000Z,29817,150.409,150.879,150.222,150.693,150.420,150.892,150.253,150.706,150.430,150.904,150.269,150.718,151.28287500000002,151.382765625
65,CHF_JPY,2023-05-05T13:00:00.000000000Z,35212,150.693,151.318,150.576,151.186,150.706,151.327,150.588,151.196,150.720,151.338,150.599,151.205,151.231125,151.39751562499998
66,CHF_JPY,2023-05-05T17:00:00.000000000Z,9526,151.188,151.507,151.147,151.333,151.198,151.519,151.156,151.363,151.209,151.531,151.164,151.393,151.184,151.42103125
67,CHF_JPY,2023-05-07T21:00:00.000000000Z,10317,151.271,151.830,151.247,151.513,151.446,151.844,151.422,151.525,151.621,151.858,151.503,151.537,151.230875,151.44946875
68,CHF_JPY,2023-05-08T01:00:00.000000000Z,16112,151.514,151.720,151.415,151.575,151.526,151.733,151.426,151.586,151.537,151.746,151.437,151.598,151.23075,151.47549999999998
69,CHF_JPY,2023-05-08T05:00:00.000000000Z,17776,151.576,152.243,151.411,151.898,151.586,152.254,151.423,151.907,151.597,152.265,151.435,151.916,151.28062500000001,151.501421875
70,CHF_JPY,2023-05-08T09:00:00.000000000Z,19916,151.897,152.075,151.737,151.901,151.905,152.085,151.748,151.911,151.913,152.095,151.758,151.921,151.32662499999998,151.52643750000001
71,CHF_JPY,2023-05-08T13:00:00.000000000Z,21896,151.898,151.954,151.463,151.655,151.909,151.965,151.473,151.664,151.920,151.976,151.483,151.673,151.48225000000002,151.54887499999998
72,CHF_JPY,2023-05-08T17:00:00.000000000Z,11658,151.656,151.939,151.641,151.873,151.664,151.948,151.652,151.888,151.673,151.958,151.660,151.903,151.63,151.56921875
