,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,CHF_ZAR,2023-06-29T16:00:00.000000000Z,4135,20.86830,20.89810,20.86140,20.88497,20.87295,20.90220,20.86606,20.88948,20.87760,20.90630,20.87071,20.89398,,
1,CHF_ZAR,2023-06-29T17:00:00.000000000Z,2896,20.88687,20.90170,20.88116,20.90130,20.89134,20.90512,20.88532,20.90494,20.89580,20.90883,20.88850,20.90857,,
2,CHF_ZAR,2023-06-29T18:00:00.000000000Z,3972,20.90190,20.90320,20.86464,20.87106,20.90524,20.90646,20.86834,20.87523,20.90857,20.91000,20.87180,20.87940,,
3,CHF_ZAR,2023-06-29T19:00:00.000000000Z,2798,20.87106,20.89164,20.86596,20.87090,20.87478,20.89603,20.86962,20.87485,20.87850,20.90066,20.87310,20.87880,,
4,CHF_ZAR,2023-06-29T20:00:00.000000000Z,1495,20.87130,20.87350,20.85110,20.85110,20.87582,20.87815,20.86040,20.86252,20.88033,20.88330,20.86430,20.87394,,
5,CHF_ZAR,2023-06-29T21:00:00.000000000Z,186,20.83902,20.84539,20.83670,20.84245,20.85836,20.86774,20.85564,20.86774,20.87770,20.89302,20.87114,20.89302,,
6,CHF_ZAR,2023-06-29T22:00:00.000000000Z,3214,20.84268,20.86556,20.84029,20.84460,20.86754,20.88054,20.85579,20.86984,20.89239,20.90244,20.87087,20.89508,,
7,CHF_ZAR,2023-06-29T23:00:00.000000000Z,604,20.84460,20.86457,20.84460,20.85859,20.86996,20.88007,20.86224,20.86842,20.89531,20.89557,20.87010,20.87826,20.876627499999998,
8,CHF_ZAR,2023-06-30T00:00:00.000000000Z,537,20.86123,20.88597,20.85474,20.88530,20.86848,20.89228,20.86132,20.89144,20.87572,20.89859,20.86789,20.89759,20.8768725,
9,CHF_ZAR,2023-06-30T01:00:00.000000000Z,504,20.88480,20.89262,20.86895,20.87484,20.89119,20.89987,20.87627,20.88094,20.89758,20.90712,20.88358,20.88704,20.873872499999997,
10,CHF_ZAR,2023-06-30T02:00:00.000000000Z,755,20.87472,20.87811,20.84400,20.87490,20.88088,20.88518,20.85172,20.88117,20.88705,20.89226,20.85873,20.88744,20.874615000000002,
11,CHF_ZAR,2023-06-30T03:00:00.000000000Z,388,20.87493,20.87792,20.85697,20.86337,20.88118,20.88354,20.86396,20.87084,20.88742,20.88928,20.87067,20.87830,20.87411375,
12,CHF_ZAR,2023-06-30T04:00:00.000000000Z,493,20.86243,20.86585,20.84560,20.85727,20.87026,20.87354,20.85168,20.86414,20.87809,20.88123,20.85762,20.87100,20.87431625,
