,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,CHINAH_HKD,2023-03-22T17:00:00.000000000Z,359,6657.5,6724.0,6651.5,6685.5,6661.5,6728.0,6655.5,6689.5,6665.5,6732.0,6659.5,6693.5,,
1,CHINAH_HKD,2023-03-23T01:00:00.000000000Z,1351,6639.5,6733.0,6628.5,6705.5,6642.5,6736.0,6631.5,6708.5,6645.5,6739.0,6634.5,6711.5,,
2,CHINAH_HKD,2023-03-23T05:00:00.000000000Z,775,6710.5,6840.0,6704.5,6824.0,6713.5,6843.0,6707.5,6827.0,6716.5,6846.0,6710.5,6830.0,,
3,CHINAH_HKD,2023-03-23T09:00:00.000000000Z,162,6819.0,6832.5,6803.5,6825.5,6823.0,6836.5,6807.5,6829.5,6827.0,6840.5,6811.5,6833.5,,
4,CHINAH_HKD,2023-03-23T13:00:00.000000000Z,481,6827.5,6898.0,6825.0,6844.5,6831.5,6902.0,6829.0,6848.5,6835.5,6906.0,6833.0,6852.5,,
5,CHINAH_HKD,2023-03-23T17:00:00.000000000Z,158,6846.5,6846.5,6768.5,6781.0,6850.5,6850.5,6772.5,6785.0,6854.5,6854.5,6776.5,6789.0,,
6,CHINAH_HKD,2023-03-24T01:00:00.000000000Z,1309,6777.0,6881.0,6766.0,6830.0,6780.0,6884.0,6769.0,6833.0,6783.0,6887.0,6772.0,6836.0,,
7,CHINAH_HKD,2023-03-24T05:00:00.000000000Z,606,6824.0,6831.0,6766.5,6787.5,6827.0,6834.0,6769.5,6790.5,6830.0,6837.0,6772.5,6793.5,6788.9375,
8,CHINAH_HKD,2023-03-24T09:00:00.000000000Z,339,6782.0,6787.5,6712.0,6737.0,6786.0,6791.5,6716.0,6741.0,6790.0,6795.5,6720.0,6745.0,6795.375,
9,CHINAH_HKD,2023-03-24T13:00:00.000000000Z,807,6735.0,6791.0,6725.5,6766.0,6739.0,6795.0,6729.5,6770.0,6743.0,6799.0,6733.5,6774.0,6803.0625,
10,CHINAH_HKD,2023-03-24T17:00:00.000000000Z,124,6768.0,6784.5,6762.5,6775.5,6772.0,6788.5,6766.5,6779.5,6776.0,6792.5,6770.5,6783.5,6797.125,
11,CHINAH_HKD,2023-03-27T01:00:00.000000000Z,1872,6787.5,6790.5,6621.0,6725.0,6790.5,6793.5,6624.0,6728.0,6793.5,6796.5,6627.0,6731.0,6784.4375,
12,CHINAH_HKD,2023-03-27T05:00:00.000000000Z,973,6726.0,6739.5,6628.5,6649.0,6729.0,6742.5,6631.5,6652.0,6732.0,6745.5,6634.5,6655.0,6759.875,
13,CHINAH_HKD,2023-03-27T09:00:00.000000000Z,171,6653.5,6675.5,6642.0,6663.0,6657.5,6679.5,6646.0,6667.0,6661.5,6683.5,6650.0,6671.0,6745.125,
14,CHINAH_HKD,2023-03-27T13:00:00.000000000Z,472,6665.0,6680.0,6624.5,6640.5,6669.0,6684.0,6628.5,6644.5,6673.0,6688.0,6632.5,6648.5,6721.5625,
15,CHINAH_HKD,2023-03-27T17:00:00.000000000Z,55,6638.0,6660.5,6636.0,6654.5,6642.0,6664.5,6640.0,6658.5,6646.0,6668.5,6644.0,6662.5,6705.0625,
16,CHINAH_HKD,2023-03-28T01:00:00.000000000Z,1357,6675.0,6722.5,6640.0,6692.9,6678.0,6725.5,6643.0,6695.9,6681.0,6728.5,6646.0,6698.9,6699.425,
17,CHINAH_HKD,2023-03-28T05:00:00.000000000Z,711,6686.9,6766.4,6678.9,6723.9,6689.9,6769.4,6681.9,6726.9,6692.9,6772.4,6684.9,6729.9,6694.0375,
18,CHINAH_HKD,2023-03-28T09:00:00.000000000Z,331,6763.9,6832.9,6742.9,6802.9,6767.9,6836.9,6746.9,6806.9,6771.9,6840.9,6750.9,6810.9,6697.4625,
19,CHINAH_HKD,2023-03-28T13:00:00.000000000Z,906,6804.9,6876.4,6803.4,6866.9,6808.9,6880.4,6807.4,6870.9,6812.9,6884.4,6811.4,6874.9,6715.325,
20,CHINAH_HKD,2023-03-28T17:00:00.000000000Z,140,6868.9,6879.4,6849.9,6869.4,6872.9,6883.4,6853.9,6873.4,6876.9,6887.4,6857.9,6877.4,6743.0,
21,CHINAH_HKD,2023-03-29T01:00:00.000000000Z,1385,6900.9,7011.9,6852.5,6865.5,6903.9,7014.9,6855.5,6868.5,6906.9,7017.9,6858.5,6871.5,6768.1875,
22,CHINAH_HKD,2023-03-29T05:00:00.000000000Z,585,6868.5,6901.5,6849.5,6880.5,6871.5,6904.5,6852.5,6883.5,6874.5,6907.5,6855.5,6886.5,6798.0625,
23,CHINAH_HKD,2023-03-29T09:00:00.000000000Z,181,6879.5,6896.5,6865.0,6873.0,6883.5,6900.5,6869.0,6877.0,6887.5,6904.5,6873.0,6881.0,6825.375,
24,CHINAH_HKD,2023-03-29T13:00:00.000000000Z,454,6875.0,6932.0,6842.5,6912.5,6879.0,6936.0,6846.5,6916.5,6883.0,6940.0,6850.5,6920.5,6852.95,
25,CHINAH_HKD,2023-03-29T17:00:00.000000000Z,89,6910.5,6921.5,6907.5,6916.0,6914.5,6925.5,6911.5,6920.0,6918.5,6929.5,6915.5,6924.0,6877.0875,
26,CHINAH_HKD,2023-03-30T01:00:00.000000000Z,1156,6896.5,6924.5,6799.0,6812.0,6899.5,6927.5,6802.0,6815.0,6902.5,6930.5,6805.0,6818.0,6878.1,
27,CHINAH_HKD,2023-03-30T05:00:00.000000000Z,816,6817.0,6923.5,6814.5,6913.0,6820.0,6926.5,6817.5,6916.0,6823.0,6929.5,6820.5,6919.0,6883.7375,
28,CHINAH_HKD,2023-03-30T09:00:00.000000000Z,232,6917.0,6974.0,6898.0,6966.0,6921.0,6978.0,6902.0,6970.0,6925.0,6982.0,6906.0,6974.0,6895.8125,
29,CHINAH_HKD,2023-03-30T13:00:00.000000000Z,749,6964.0,7030.5,6957.0,7023.0,6968.0,7034.5,6961.0,7027.0,6972.0,7038.5,6965.0,7031.0,6915.625,
30,CHINAH_HKD,2023-03-30T17:00:00.000000000Z,115,7021.0,7021.0,6992.5,7010.0,7025.0,7025.0,6996.5,7014.0,7029.0,7029.0,7000.5,7018.0,6931.9375,
31,CHINAH_HKD,2023-03-31T01:00:00.000000000Z,1358,7028.0,7088.0,6977.0,6994.0,7031.0,7091.0,6980.0,6997.0,7034.0,7094.0,6983.0,7000.0,6946.9375,
32,CHINAH_HKD,2023-03-31T05:00:00.000000000Z,494,6990.5,7002.5,6943.5,6983.5,6993.5,7005.5,6946.5,6986.5,6996.5,7008.5,6949.5,6989.5,6955.6875,
33,CHINAH_HKD,2023-03-31T09:00:00.000000000Z,172,6987.0,6998.5,6957.5,6961.5,6991.0,7002.5,6961.5,6965.5,6995.0,7006.5,6965.5,6969.5,6961.375,
34,CHINAH_HKD,2023-03-31T13:00:00.000000000Z,502,6963.5,6995.0,6949.0,6966.5,6967.5,6999.0,6953.0,6970.5,6971.5,7003.0,6957.0,6974.5,6980.8125,
35,CHINAH_HKD,2023-03-31T17:00:00.000000000Z,70,6964.5,6964.5,6926.5,6926.5,6968.5,6968.5,6930.5,6930.5,6972.5,6972.5,6934.5,6934.5,6982.625,
36,CHINAH_HKD,2023-04-03T01:00:00.000000000Z,1434,6908.5,6988.0,6891.0,6895.0,6911.5,6991.0,6894.0,6898.0,6914.5,6994.0,6897.0,6901.0,6973.625,
37,CHINAH_HKD,2023-04-03T05:00:00.000000000Z,548,6895.0,6940.0,6869.0,6931.0,6898.0,6943.0,6872.0,6934.0,6901.0,6946.0,6875.0,6937.0,6962.0,
38,CHINAH_HKD,2023-04-03T09:00:00.000000000Z,88,6934.0,6951.0,6931.5,6943.5,6938.0,6955.0,6935.5,6947.5,6942.0,6959.0,6939.5,6951.5,6953.6875,
39,CHINAH_HKD,2023-04-03T13:00:00.000000000Z,602,6945.5,6964.0,6913.0,6924.5,6949.5,6968.0,6917.0,6928.5,6953.5,6972.0,6921.0,6932.5,6945.125,
40,CHINAH_HKD,2023-04-03T17:00:00.000000000Z,80,6922.5,6931.5,6912.0,6927.0,6926.5,6935.5,6916.0,6931.0,6930.5,6939.5,6920.0,6935.0,6938.1875,
41,CHINAH_HKD,2023-04-04T01:00:00.000000000Z,1076,6934.2,6936.2,6801.2,6857.7,6937.2,6939.2,6804.2,6860.7,6940.2,6942.2,6807.2,6863.7,6925.0875,
42,CHINAH_HKD,2023-04-04T05:00:00.000000000Z,527,6864.0,6905.1,6829.0,6868.1,6867.0,6908.1,6832.0,6871.1,6870.0,6911.1,6835.0,6874.1,6912.662499999999,
43,CHINAH_HKD,2023-04-04T09:00:00.000000000Z,87,6870.6,6889.1,6870.6,6883.1,6874.6,6893.1,6874.6,6887.1,6878.6,6897.1,6878.6,6891.1,6907.2375,
44,CHINAH_HKD,2023-04-04T13:00:00.000000000Z,666,6881.1,6917.6,6868.1,6889.6,6885.1,6921.6,6872.1,6893.6,6889.1,6925.6,6876.1,6897.6,6906.6875,
45,CHINAH_HKD,2023-04-04T17:00:00.000000000Z,86,6887.1,6931.6,6887.1,6916.6,6891.1,6935.6,6891.1,6920.6,6895.1,6939.6,6895.1,6924.6,6905.0125,
46,CHINAH_HKD,2023-04-06T01:00:00.000000000Z,1359,6853.1,6891.1,6776.1,6852.6,6856.1,6894.1,6779.1,6855.6,6859.1,6897.1,6782.1,6858.6,6893.525,
47,CHINAH_HKD,2023-04-06T05:00:00.000000000Z,531,6852.1,6895.1,6820.1,6876.6,6855.1,6898.1,6823.1,6879.6,6858.1,6901.1,6826.1,6882.6,6887.4125,
48,CHINAH_HKD,2023-04-06T09:00:00.000000000Z,130,6872.1,6884.1,6862.6,6867.1,6876.1,6888.1,6866.6,6871.1,6880.1,6892.1,6870.6,6875.1,6879.925,
49,CHINAH_HKD,2023-04-06T13:00:00.000000000Z,495,6865.1,6953.6,6846.1,6941.6,6869.1,6957.6,6850.1,6945.6,6873.1,6961.6,6854.1,6949.6,6890.5375,
50,CHINAH_HKD,2023-04-06T17:00:00.000000000Z,77,6939.6,6961.6,6932.6,6951.1,6943.6,6965.6,6936.6,6955.1,6947.6,6969.6,6940.6,6959.1,6901.0375,
51,CHINAH_HKD,2023-04-11T01:00:00.000000000Z,1579,6959.6,7047.1,6887.4,6894.9,6962.6,7050.1,6890.4,6897.9,6965.6,7053.1,6893.4,6900.9,6902.3875,
52,CHINAH_HKD,2023-04-11T05:00:00.000000000Z,585,6895.9,6965.9,6875.9,6963.9,6898.9,6968.9,6878.9,6966.9,6901.9,6971.9,6881.9,6969.9,6911.55,
53,CHINAH_HKD,2023-04-11T09:00:00.000000000Z,89,6966.4,6976.4,6949.4,6966.9,6970.4,6980.4,6953.4,6970.9,6974.4,6984.4,6957.4,6974.9,6917.837500000001,
54,CHINAH_HKD,2023-04-11T13:00:00.000000000Z,434,6964.9,6995.9,6947.9,6957.4,6968.9,6999.9,6951.9,6961.4,6972.9,7003.9,6955.9,6965.4,6931.0625,
55,CHINAH_HKD,2023-04-11T17:00:00.000000000Z,48,6955.4,6962.4,6948.4,6952.4,6959.4,6966.4,6952.4,6956.4,6963.4,6970.4,6956.4,6960.4,6940.662499999999,
56,CHINAH_HKD,2023-04-12T01:00:00.000000000Z,1099,6950.4,6965.9,6873.9,6896.4,6953.4,6968.9,6876.9,6899.4,6956.4,6971.9,6879.9,6902.4,6944.2,
57,CHINAH_HKD,2023-04-12T05:00:00.000000000Z,501,6896.9,6896.9,6843.9,6870.4,6899.9,6899.9,6846.9,6873.4,6902.9,6902.9,6849.9,6876.4,6935.175,
58,CHINAH_HKD,2023-04-12T09:00:00.000000000Z,193,6870.4,6907.9,6858.4,6886.9,6874.4,6911.9,6862.4,6890.9,6878.4,6915.9,6866.4,6894.9,6927.15,
59,CHINAH_HKD,2023-04-12T13:00:00.000000000Z,554,6884.9,6896.4,6776.4,6797.4,6888.9,6900.4,6780.4,6801.4,6892.9,6904.4,6784.4,6805.4,6915.0875,
60,CHINAH_HKD,2023-04-12T17:00:00.000000000Z,146,6799.4,6807.4,6754.4,6758.4,6803.4,6811.4,6758.4,6762.4,6807.4,6815.4,6762.4,6766.4,6889.525,
61,CHINAH_HKD,2023-04-13T01:00:00.000000000Z,1258,6724.4,6847.4,6703.4,6826.4,6727.4,6850.4,6706.4,6829.4,6730.4,6853.4,6709.4,6832.4,6871.8375,
62,CHINAH_HKD,2023-04-13T05:00:00.000000000Z,511,6825.4,6880.4,6796.9,6871.9,6828.4,6883.4,6799.9,6874.9,6831.4,6886.4,6802.9,6877.9,6861.025,
63,CHINAH_HKD,2023-04-13T09:00:00.000000000Z,156,6870.9,6887.9,6852.4,6887.9,6874.9,6891.9,6856.4,6891.9,6878.9,6895.9,6860.4,6895.9,6852.9625,6861.559375
64,CHINAH_HKD,2023-04-13T13:00:00.000000000Z,444,6885.9,6908.9,6866.4,6891.4,6889.9,6912.9,6870.4,6895.4,6893.9,6916.9,6874.4,6899.4,6852.4625,6864.7765625
65,CHINAH_HKD,2023-04-13T17:00:00.000000000Z,54,6893.4,6905.4,6891.4,6894.9,6897.4,6909.4,6895.4,6898.9,6901.4,6913.4,6899.4,6902.9,6855.65,6867.7515625
66,CHINAH_HKD,2023-04-14T01:00:00.000000000Z,1048,6918.9,6935.9,6854.9,6874.9,6921.9,6938.9,6857.9,6877.9,6924.9,6942.9,6860.9,6880.9,6854.025,6868.546875
67,CHINAH_HKD,2023-04-14T05:00:00.000000000Z,457,6873.4,6922.4,6858.9,6905.4,6876.4,6925.4,6861.9,6908.4,6879.4,6928.4,6864.9,6911.4,6867.4,6869.7796875
68,CHINAH_HKD,2023-04-14T09:00:00.000000000Z,173,6896.4,6906.4,6866.4,6872.4,6900.4,6910.4,6870.4,6876.4,6904.4,6914.4,6874.4,6880.4,6881.65,6870.215625
69,CHINAH_HKD,2023-04-14T13:00:00.000000000Z,507,6870.4,6889.9,6816.9,6821.4,6874.4,6893.9,6820.9,6825.4,6878.4,6897.9,6824.9,6829.4,6881.15,6870.846875
70,CHINAH_HKD,2023-04-14T17:00:00.000000000Z,61,6823.4,6843.9,6823.4,6840.9,6827.4,6847.9,6827.4,6844.9,6831.4,6851.9,6831.4,6848.9,6877.4,6871.0328125
71,CHINAH_HKD,2023-04-17T01:00:00.000000000Z,1068,6837.9,6953.9,6831.9,6944.4,6840.9,6956.9,6834.9,6947.4,6843.9,6959.9,6837.9,6950.4,6884.3375,6873.484375
72,CHINAH_HKD,2023-04-17T05:00:00.000000000Z,788,6940.4,7088.9,6924.9,7045.4,6943.4,7091.9,6927.9,7048.4,6946.4,7094.9,6930.9,7051.4,6903.4625,6878.287499999999
73,CHINAH_HKD,2023-04-17T09:00:00.000000000Z,179,7044.9,7055.4,7012.9,7012.9,7048.9,7059.4,7016.9,7016.9,7052.9,7063.4,7020.9,7020.9,6918.2125,6882.1453125
74,CHINAH_HKD,2023-04-17T13:00:00.000000000Z,401,7010.9,7014.9,6969.9,6987.4,7014.9,7018.9,6973.9,6991.4,7018.9,7022.9,6977.9,6995.4,6932.4,6885.45625
75,CHINAH_HKD,2023-04-17T17:00:00.000000000Z,46,6989.4,7004.4,6985.4,7004.4,6993.4,7008.4,6989.4,7008.4,6997.4,7012.4,6993.4,7012.4,6944.9,6889.8375
76,CHINAH_HKD,2023-04-18T01:00:00.000000000Z,1193,6989.9,7047.4,6986.9,7002.0,6992.9,7050.4,6989.9,7005.0,6995.9,7053.4,6992.9,7008.0,6960.974999999999,6895.353125
77,CHINAH_HKD,2023-04-18T05:00:00.000000000Z,373,7001.5,7018.0,6968.5,7001.5,7004.5,7021.0,6971.5,7004.5,7007.5,7024.0,6974.5,7007.5,6983.362499999999,6900.6265625
78,CHINAH_HKD,2023-04-18T09:00:00.000000000Z,127,7029.5,7044.0,7020.5,7033.0,7033.5,7048.0,7024.5,7037.0,7037.5,7052.0,7028.5,7041.0,7007.375,6906.759375
79,CHINAH_HKD,2023-04-18T13:00:00.000000000Z,388,7031.0,7035.0,6967.0,6975.5,7035.0,7039.0,6971.0,6979.5,7039.0,7043.0,6975.0,6983.5,7011.3875,6911.775
80,CHINAH_HKD,2023-04-18T17:00:00.000000000Z,55,6973.5,6981.0,6963.0,6971.5,6977.5,6985.0,6967.0,6975.5,6981.5,6989.0,6971.0,6979.5,7002.275,6916.143749999999
