,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,CN50_USD,2023-06-26T09:00:00.000000000Z,694,12402.6,12423.1,12399.6,12422.1,12407.6,12428.1,12404.6,12427.1,12412.6,12433.1,12409.6,12432.1,,
1,CN50_USD,2023-06-26T10:00:00.000000000Z,429,12421.6,12423.6,12411.6,12420.6,12426.6,12428.6,12416.6,12425.6,12431.6,12433.6,12421.6,12430.6,,
2,CN50_USD,2023-06-26T11:00:00.000000000Z,374,12420.1,12434.6,12417.1,12429.1,12425.1,12439.6,12422.1,12434.1,12430.1,12444.6,12427.1,12439.1,,
3,CN50_USD,2023-06-26T12:00:00.000000000Z,514,12428.6,12437.6,12425.6,12426.1,12433.6,12442.6,12430.6,12431.1,12438.6,12447.6,12435.6,12436.1,,
4,CN50_USD,2023-06-26T13:00:00.000000000Z,1419,12425.6,12454.6,12419.6,12441.1,12430.6,12459.6,12424.6,12446.1,12435.6,12464.6,12429.6,12451.1,,
5,CN50_USD,2023-06-26T14:00:00.000000000Z,1729,12439.6,12441.6,12403.6,12407.6,12444.6,12446.6,12408.6,12412.6,12449.6,12451.6,12413.6,12417.6,,
6,CN50_USD,2023-06-26T15:00:00.000000000Z,1135,12408.1,12417.6,12400.6,12417.6,12413.1,12422.6,12405.6,12422.6,12418.1,12427.6,12410.6,12427.6,,
7,CN50_USD,2023-06-26T16:00:00.000000000Z,1099,12417.1,12429.6,12402.6,12426.1,12422.1,12434.6,12407.6,12431.1,12427.1,12439.6,12412.6,12436.1,12428.7875,
8,CN50_USD,2023-06-26T17:00:00.000000000Z,823,12426.6,12427.6,12417.6,12417.6,12431.6,12432.6,12422.6,12422.6,12436.6,12437.6,12427.6,12427.6,12428.225,
9,CN50_USD,2023-06-26T18:00:00.000000000Z,514,12416.6,12426.1,12415.6,12422.6,12421.6,12431.1,12420.6,12427.6,12426.6,12436.1,12425.6,12432.6,12428.475,
10,CN50_USD,2023-06-26T19:00:00.000000000Z,182,12422.1,12422.6,12409.1,12414.6,12427.1,12427.6,12414.1,12419.6,12432.1,12432.6,12419.1,12424.6,12426.6625,
11,CN50_USD,2023-06-26T20:00:00.000000000Z,41,12416.6,12420.1,12415.6,12417.6,12421.6,12425.1,12420.6,12422.6,12426.6,12430.1,12425.6,12427.6,12425.600000000002,
12,CN50_USD,2023-06-27T01:00:00.000000000Z,8012,12401.3,12470.3,12354.3,12456.3,12405.8,12474.8,12358.8,12460.8,12410.3,12479.3,12363.3,12465.3,12427.4375,
13,CN50_USD,2023-06-27T02:00:00.000000000Z,5660,12457.8,12464.8,12397.3,12407.3,12462.3,12469.3,12401.8,12411.8,12466.8,12473.8,12406.3,12416.3,12427.3375,
14,CN50_USD,2023-06-27T03:00:00.000000000Z,2931,12407.8,12441.3,12400.3,12439.8,12412.3,12445.8,12404.8,12444.3,12416.8,12450.3,12409.3,12448.8,12430.050000000001,
15,CN50_USD,2023-06-27T04:00:00.000000000Z,532,12439.3,12453.8,12434.3,12436.8,12443.8,12458.3,12438.8,12441.3,12448.3,12462.8,12443.3,12445.8,12431.325,
16,CN50_USD,2023-06-27T05:00:00.000000000Z,4948,12436.3,12507.3,12436.3,12505.3,12440.8,12511.8,12440.8,12509.8,12445.3,12516.3,12445.3,12514.3,12442.224999999999,
17,CN50_USD,2023-06-27T06:00:00.000000000Z,3975,12504.8,12525.8,12486.3,12492.8,12509.3,12530.3,12490.8,12497.3,12513.8,12534.8,12495.3,12501.8,12450.9375,
18,CN50_USD,2023-06-27T07:00:00.000000000Z,1207,12493.3,12504.3,12483.8,12490.3,12497.8,12508.8,12488.3,12494.8,12502.3,12513.3,12492.8,12499.3,12460.3375,
19,CN50_USD,2023-06-27T08:00:00.000000000Z,510,12490.8,12498.8,12489.3,12496.3,12495.3,12503.3,12493.8,12500.8,12499.8,12507.8,12498.3,12505.3,12470.1125,
20,CN50_USD,2023-06-27T09:00:00.000000000Z,391,12486.3,12489.3,12477.3,12482.8,12491.3,12494.3,12482.3,12487.8,12496.3,12499.3,12487.3,12492.8,12473.4875,
21,CN50_USD,2023-06-27T10:00:00.000000000Z,229,12483.3,12485.8,12476.8,12480.8,12488.3,12490.8,12481.8,12485.8,12493.3,12495.8,12486.8,12490.8,12482.7375,
22,CN50_USD,2023-06-27T11:00:00.000000000Z,254,12481.3,12488.8,12474.8,12483.8,12486.3,12493.8,12479.8,12488.8,12491.3,12498.8,12484.8,12493.8,12488.3,
23,CN50_USD,2023-06-27T12:00:00.000000000Z,523,12483.3,12495.8,12479.8,12490.8,12488.3,12500.8,12484.8,12495.8,12493.3,12505.8,12489.8,12500.8,12495.1125,
24,CN50_USD,2023-06-27T13:00:00.000000000Z,1318,12490.3,12508.8,12478.3,12498.3,12495.3,12513.8,12483.3,12503.3,12500.3,12518.8,12488.3,12508.3,12494.3,
25,CN50_USD,2023-06-27T14:00:00.000000000Z,1553,12497.8,12499.8,12473.3,12495.8,12502.8,12504.8,12478.3,12500.8,12507.8,12509.8,12483.3,12505.8,12494.7375,
26,CN50_USD,2023-06-27T15:00:00.000000000Z,887,12494.8,12511.8,12482.8,12502.8,12499.8,12516.8,12487.8,12507.8,12504.8,12521.8,12492.8,12512.8,12496.3625,
27,CN50_USD,2023-06-27T16:00:00.000000000Z,403,12503.8,12507.3,12495.8,12506.8,12508.8,12512.3,12500.8,12511.8,12513.8,12517.3,12505.8,12516.8,12497.7375,
28,CN50_USD,2023-06-27T17:00:00.000000000Z,452,12505.8,12515.8,12501.8,12513.8,12510.8,12520.8,12506.8,12518.8,12515.8,12525.8,12511.8,12523.8,12501.6125,
29,CN50_USD,2023-06-27T18:00:00.000000000Z,324,12512.8,12514.8,12505.8,12509.3,12517.8,12519.8,12510.8,12514.3,12522.8,12524.8,12515.8,12519.3,12505.175,
30,CN50_USD,2023-06-27T19:00:00.000000000Z,210,12509.8,12518.3,12506.8,12511.3,12514.8,12523.3,12511.8,12516.3,12519.8,12528.3,12516.8,12521.3,12508.6125,
31,CN50_USD,2023-06-27T20:00:00.000000000Z,33,12510.8,12510.8,12505.8,12507.8,12515.8,12515.8,12510.8,12512.8,12520.8,12520.8,12515.8,12517.8,12510.7375,
32,CN50_USD,2023-06-28T01:00:00.000000000Z,6329,12493.6,12550.4,12438.6,12524.4,12498.1,12554.9,12443.1,12528.9,12502.6,12559.4,12447.6,12533.4,12513.9375,
33,CN50_USD,2023-06-28T02:00:00.000000000Z,4562,12523.9,12537.9,12452.4,12496.9,12528.4,12542.4,12456.9,12501.4,12532.9,12546.9,12461.4,12505.9,12514.012499999999,
34,CN50_USD,2023-06-28T03:00:00.000000000Z,1973,12495.4,12524.4,12482.4,12488.4,12499.9,12528.9,12486.9,12492.9,12504.4,12533.4,12491.4,12497.4,12512.15,
35,CN50_USD,2023-06-28T04:00:00.000000000Z,379,12487.9,12487.9,12474.9,12484.9,12492.4,12492.4,12479.4,12489.4,12496.9,12496.9,12483.9,12493.9,12509.349999999999,
36,CN50_USD,2023-06-28T05:00:00.000000000Z,2674,12485.4,12543.4,12467.9,12524.9,12489.9,12547.9,12472.4,12529.4,12494.4,12552.4,12476.9,12533.9,12510.675,
37,CN50_USD,2023-06-28T06:00:00.000000000Z,1921,12525.9,12548.9,12517.4,12540.9,12530.4,12553.4,12521.9,12545.4,12534.9,12557.9,12526.4,12549.9,12514.5625,
38,CN50_USD,2023-06-28T07:00:00.000000000Z,1083,12539.9,12546.4,12527.4,12534.9,12544.4,12550.9,12531.9,12539.4,12548.9,12555.4,12536.4,12543.9,12517.449999999999,
39,CN50_USD,2023-06-28T08:00:00.000000000Z,432,12535.4,12541.9,12527.9,12533.4,12539.9,12546.4,12532.4,12537.9,12544.4,12550.9,12536.9,12542.4,12520.587499999998,
