,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,CORN_USD,2023-07-03T15:00:00.000000000Z,853,5.502,5.539,5.488,5.513,5.508,5.544,5.494,5.518,5.513,5.550,5.499,5.524,,
1,CORN_USD,2023-07-03T16:00:00.000000000Z,553,5.510,5.546,5.482,5.530,5.517,5.552,5.488,5.536,5.524,5.558,5.493,5.541,,
2,CORN_USD,2023-07-03T17:00:00.000000000Z,413,5.527,5.532,5.490,5.498,5.534,5.538,5.496,5.504,5.541,5.543,5.501,5.509,,
3,CORN_USD,2023-07-03T18:00:00.000000000Z,201,5.495,5.498,5.459,5.462,5.502,5.504,5.464,5.468,5.509,5.509,5.470,5.473,,
4,CORN_USD,2023-07-05T13:00:00.000000000Z,1141,5.536,5.561,5.466,5.488,5.544,5.566,5.472,5.494,5.552,5.572,5.477,5.499,,
5,CORN_USD,2023-07-05T14:00:00.000000000Z,1420,5.488,5.499,5.353,5.373,5.495,5.504,5.360,5.378,5.502,5.510,5.365,5.384,,
6,CORN_USD,2023-07-05T15:00:00.000000000Z,837,5.376,5.423,5.361,5.423,5.382,5.428,5.368,5.428,5.387,5.434,5.373,5.434,,
7,CORN_USD,2023-07-05T16:00:00.000000000Z,917,5.420,5.490,5.417,5.476,5.427,5.497,5.422,5.482,5.434,5.504,5.428,5.487,5.476,
8,CORN_USD,2023-07-05T17:00:00.000000000Z,600,5.476,5.506,5.464,5.487,5.483,5.513,5.470,5.492,5.490,5.520,5.476,5.498,5.47275,
9,CORN_USD,2023-07-05T18:00:00.000000000Z,384,5.484,5.489,5.405,5.417,5.491,5.494,5.410,5.425,5.498,5.500,5.416,5.433,5.458875,
10,CORN_USD,2023-07-06T00:00:00.000000000Z,342,5.440,5.448,5.409,5.425,5.447,5.454,5.416,5.432,5.454,5.459,5.423,5.439,5.449875,
11,CORN_USD,2023-07-06T01:00:00.000000000Z,150,5.428,5.448,5.428,5.444,5.434,5.454,5.434,5.451,5.439,5.459,5.439,5.458,5.44775,
12,CORN_USD,2023-07-06T02:00:00.000000000Z,97,5.445,5.447,5.430,5.447,5.450,5.452,5.436,5.452,5.456,5.458,5.442,5.458,5.442500000000001,
13,CORN_USD,2023-07-06T03:00:00.000000000Z,34,5.450,5.450,5.433,5.438,5.456,5.456,5.440,5.444,5.461,5.461,5.446,5.449,5.45075,
14,CORN_USD,2023-07-06T04:00:00.000000000Z,55,5.435,5.438,5.429,5.432,5.442,5.445,5.436,5.438,5.449,5.452,5.441,5.443,5.452,
15,CORN_USD,2023-07-06T05:00:00.000000000Z,106,5.429,5.429,5.407,5.421,5.436,5.436,5.414,5.428,5.443,5.443,5.421,5.435,5.44525,
16,CORN_USD,2023-07-06T06:00:00.000000000Z,143,5.424,5.448,5.418,5.443,5.430,5.454,5.424,5.448,5.435,5.459,5.429,5.454,5.43975,
17,CORN_USD,2023-07-06T07:00:00.000000000Z,194,5.443,5.462,5.428,5.431,5.450,5.468,5.434,5.438,5.457,5.473,5.439,5.445,5.441375,
18,CORN_USD,2023-07-06T08:00:00.000000000Z,219,5.434,5.453,5.420,5.434,5.440,5.458,5.426,5.440,5.445,5.465,5.431,5.445,5.442375,
19,CORN_USD,2023-07-06T09:00:00.000000000Z,171,5.431,5.442,5.416,5.416,5.436,5.448,5.422,5.423,5.442,5.455,5.428,5.430,5.438875,
20,CORN_USD,2023-07-06T10:00:00.000000000Z,123,5.417,5.441,5.416,5.439,5.422,5.446,5.422,5.444,5.428,5.453,5.428,5.450,5.437875,
21,CORN_USD,2023-07-06T11:00:00.000000000Z,282,5.441,5.486,5.438,5.483,5.446,5.492,5.444,5.488,5.452,5.497,5.449,5.494,5.4433750000000005,
22,CORN_USD,2023-07-06T12:00:00.000000000Z,330,5.480,5.488,5.449,5.466,5.486,5.494,5.454,5.472,5.491,5.499,5.460,5.477,5.447625,
23,CORN_USD,2023-07-06T13:00:00.000000000Z,878,5.474,5.521,5.449,5.490,5.481,5.526,5.454,5.496,5.488,5.532,5.460,5.501,5.456125,
24,CORN_USD,2023-07-06T14:00:00.000000000Z,985,5.488,5.532,5.465,5.529,5.495,5.538,5.470,5.534,5.502,5.543,5.476,5.540,5.466875,
25,CORN_USD,2023-07-06T15:00:00.000000000Z,592,5.529,5.546,5.512,5.529,5.536,5.552,5.518,5.534,5.543,5.557,5.523,5.540,5.478875,
26,CORN_USD,2023-07-06T16:00:00.000000000Z,330,5.529,5.556,5.515,5.537,5.536,5.562,5.522,5.542,5.543,5.568,5.528,5.548,5.491625,
27,CORN_USD,2023-07-06T17:00:00.000000000Z,272,5.537,5.576,5.537,5.573,5.544,5.582,5.544,5.578,5.551,5.587,5.551,5.584,5.511,
28,CORN_USD,2023-07-06T18:00:00.000000000Z,105,5.576,5.587,5.561,5.581,5.582,5.592,5.568,5.588,5.587,5.598,5.575,5.595,5.529000000000001,
29,CORN_USD,2023-07-07T00:00:00.000000000Z,257,5.584,5.593,5.573,5.587,5.590,5.598,5.578,5.594,5.595,5.604,5.584,5.601,5.54225,
30,CORN_USD,2023-07-07T01:00:00.000000000Z,147,5.590,5.592,5.564,5.567,5.597,5.598,5.570,5.572,5.604,5.604,5.575,5.578,5.554749999999999,
