,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,DE10YB_EUR,2023-04-19T17:00:00.000000000Z,775,133.959,134.019,133.828,133.978,133.966,134.030,133.836,133.990,133.974,134.043,133.843,134.003,,
1,DE10YB_EUR,2023-04-19T21:00:00.000000000Z,149,133.994,134.024,133.933,133.963,134.014,134.049,133.953,133.983,134.034,134.074,133.973,134.003,,
2,DE10YB_EUR,2023-04-20T01:00:00.000000000Z,479,133.974,134.053,133.933,134.022,133.994,134.073,133.958,134.047,134.014,134.093,133.983,134.072,,
3,DE10YB_EUR,2023-04-20T05:00:00.000000000Z,4161,134.032,134.575,133.924,134.153,134.052,134.582,133.932,134.160,134.072,134.590,133.939,134.168,,
4,DE10YB_EUR,2023-04-20T09:00:00.000000000Z,4922,134.163,134.363,133.892,134.202,134.170,134.370,133.900,134.210,134.178,134.378,133.907,134.217,,
5,DE10YB_EUR,2023-04-20T13:00:00.000000000Z,4151,134.192,134.652,134.132,134.582,134.204,134.660,134.140,134.590,134.217,134.667,134.147,134.597,,
6,DE10YB_EUR,2023-04-20T17:00:00.000000000Z,527,134.592,134.601,134.471,134.560,134.600,134.608,134.478,134.568,134.607,134.617,134.486,134.575,,
7,DE10YB_EUR,2023-04-20T21:00:00.000000000Z,104,134.486,134.526,134.446,134.516,134.511,134.546,134.466,134.541,134.536,134.566,134.486,134.566,134.261125,
8,DE10YB_EUR,2023-04-21T01:00:00.000000000Z,368,134.526,134.624,134.516,134.624,134.546,134.644,134.536,134.644,134.566,134.664,134.556,134.664,134.342875,
9,DE10YB_EUR,2023-04-21T05:00:00.000000000Z,3656,134.624,134.867,134.104,134.595,134.649,134.874,134.116,134.602,134.674,134.882,134.129,134.610,134.42025,
10,DE10YB_EUR,2023-04-21T09:00:00.000000000Z,3717,134.585,134.615,134.193,134.413,134.592,134.622,134.200,134.420,134.600,134.630,134.208,134.428,134.46687500000002,
11,DE10YB_EUR,2023-04-21T13:00:00.000000000Z,4760,134.413,134.583,134.000,134.190,134.426,134.590,134.008,134.198,134.438,134.598,134.015,134.205,134.471625,
12,DE10YB_EUR,2023-04-21T17:00:00.000000000Z,453,134.180,134.230,134.079,134.179,134.188,134.238,134.086,134.192,134.195,134.245,134.094,134.204,134.469375,
13,DE10YB_EUR,2023-04-23T21:00:00.000000000Z,89,134.125,134.205,134.095,134.205,134.145,134.225,134.120,134.225,134.165,134.245,134.145,134.245,134.42375,
14,DE10YB_EUR,2023-04-24T01:00:00.000000000Z,391,134.215,134.264,134.175,134.223,134.235,134.284,134.200,134.243,134.255,134.304,134.224,134.263,134.383125,
15,DE10YB_EUR,2023-04-24T05:00:00.000000000Z,2991,134.223,134.646,134.173,134.314,134.248,134.654,134.192,134.322,134.273,134.661,134.199,134.329,134.35575,
16,DE10YB_EUR,2023-04-24T09:00:00.000000000Z,3015,134.314,134.374,133.952,134.062,134.326,134.382,133.960,134.070,134.339,134.389,133.967,134.077,134.284,
17,DE10YB_EUR,2023-04-24T13:00:00.000000000Z,3325,134.072,134.171,133.699,133.779,134.080,134.178,133.706,133.786,134.087,134.186,133.714,133.794,134.182,
18,DE10YB_EUR,2023-04-24T17:00:00.000000000Z,324,133.779,133.859,133.779,133.848,133.792,133.870,133.786,133.860,133.804,133.883,133.794,133.873,134.112,
19,DE10YB_EUR,2023-04-24T21:00:00.000000000Z,164,133.964,134.025,133.954,133.964,133.984,134.045,133.979,133.989,134.004,134.065,134.004,134.014,134.085875,
20,DE10YB_EUR,2023-04-25T01:00:00.000000000Z,340,133.974,134.114,133.974,134.103,133.999,134.139,133.994,134.123,134.024,134.164,134.014,134.143,134.07725,
21,DE10YB_EUR,2023-04-25T05:00:00.000000000Z,3882,134.153,134.817,134.075,134.535,134.173,134.824,134.082,134.542,134.193,134.832,134.090,134.550,134.116875,
22,DE10YB_EUR,2023-04-25T09:00:00.000000000Z,3538,134.545,134.786,134.303,134.664,134.552,134.798,134.310,134.672,134.560,134.811,134.318,134.679,134.1705,
23,DE10YB_EUR,2023-04-25T13:00:00.000000000Z,4826,134.654,135.606,134.583,135.354,134.662,135.614,134.590,135.366,134.669,135.621,134.598,135.379,134.301,
24,DE10YB_EUR,2023-04-25T17:00:00.000000000Z,2073,135.344,135.885,135.324,135.805,135.356,135.892,135.332,135.812,135.369,135.900,135.339,135.820,134.51875,
25,DE10YB_EUR,2023-04-25T21:00:00.000000000Z,277,135.529,135.590,135.459,135.469,135.554,135.615,135.479,135.489,135.579,135.640,135.499,135.509,134.731625,
26,DE10YB_EUR,2023-04-26T01:00:00.000000000Z,929,135.469,135.669,135.449,135.527,135.494,135.689,135.474,135.547,135.519,135.709,135.499,135.567,134.9425,
27,DE10YB_EUR,2023-04-26T05:00:00.000000000Z,5344,135.517,136.151,135.349,135.859,135.537,136.164,135.356,135.872,135.557,136.176,135.364,135.884,135.177875,
