,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,DE30_EUR,2023-07-06T10:00:00.000000000Z,1959,15761.3,15766.0,15738.0,15743.0,15762.0,15766.5,15738.5,15743.5,15762.8,15767.0,15739.0,15744.0,,
1,DE30_EUR,2023-07-06T11:00:00.000000000Z,1682,15744.0,15754.3,15731.3,15736.0,15744.5,15755.0,15732.0,15736.5,15745.0,15755.8,15732.8,15737.0,,
2,DE30_EUR,2023-07-06T12:00:00.000000000Z,3682,15735.0,15738.0,15659.3,15670.0,15735.5,15738.5,15660.0,15670.5,15736.0,15739.0,15660.8,15671.0,,
3,DE30_EUR,2023-07-06T13:00:00.000000000Z,4336,15670.3,15671.3,15596.0,15615.3,15671.0,15672.0,15596.5,15617.0,15671.8,15672.8,15597.0,15618.8,,
4,DE30_EUR,2023-07-06T14:00:00.000000000Z,5563,15616.3,15625.3,15509.0,15512.0,15618.0,15626.0,15509.5,15512.5,15619.8,15626.8,15510.0,15513.0,,
5,DE30_EUR,2023-07-06T15:00:00.000000000Z,3348,15512.3,15532.8,15487.0,15530.8,15513.0,15534.0,15487.5,15532.0,15513.8,15535.3,15488.0,15533.3,,
6,DE30_EUR,2023-07-06T16:00:00.000000000Z,1464,15530.7,15554.7,15526.7,15554.7,15531.6,15555.6,15527.6,15555.6,15532.4,15556.4,15528.4,15556.4,,
7,DE30_EUR,2023-07-06T17:00:00.000000000Z,1198,15553.7,15561.7,15539.7,15553.7,15554.6,15562.6,15540.6,15554.6,15555.4,15563.4,15541.4,15555.4,15615.275,
8,DE30_EUR,2023-07-06T18:00:00.000000000Z,1027,15552.8,15558.7,15539.7,15556.7,15554.0,15559.6,15540.6,15557.6,15555.3,15560.4,15541.4,15558.4,15592.0375,
9,DE30_EUR,2023-07-06T19:00:00.000000000Z,1473,15556.8,15557.7,15539.8,15542.8,15558.0,15558.6,15541.0,15544.0,15559.3,15559.4,15542.3,15545.3,15567.975,
