,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,ESPIX_EUR,2023-06-19T06:00:00.000000000Z,49,9457.5,9468.0,9444.5,9457.5,9460.5,9471.0,9447.5,9460.5,9463.5,9474.0,9450.5,9463.5,,
1,ESPIX_EUR,2023-06-19T07:00:00.000000000Z,190,9460.0,9507.0,9456.0,9484.5,9463.0,9509.5,9458.5,9487.0,9466.0,9512.0,9461.0,9489.5,,
2,ESPIX_EUR,2023-06-19T08:00:00.000000000Z,78,9482.5,9484.5,9456.5,9477.0,9485.0,9487.0,9459.0,9479.5,9487.5,9489.5,9461.5,9482.0,,
3,ESPIX_EUR,2023-06-19T09:00:00.000000000Z,56,9475.0,9499.5,9472.5,9494.0,9477.5,9502.0,9475.0,9496.5,9480.0,9504.5,9477.5,9499.0,,
4,ESPIX_EUR,2023-06-19T10:00:00.000000000Z,57,9492.0,9492.5,9458.5,9458.5,9494.5,9495.0,9461.0,9461.0,9497.0,9497.5,9463.5,9463.5,,
5,ESPIX_EUR,2023-06-19T11:00:00.000000000Z,43,9456.5,9469.5,9450.5,9460.5,9459.0,9472.0,9453.0,9463.0,9461.5,9474.5,9455.5,9465.5,,
6,ESPIX_EUR,2023-06-19T12:00:00.000000000Z,35,9458.5,9464.0,9449.5,9449.5,9461.0,9466.5,9452.0,9452.0,9463.5,9469.0,9454.5,9454.5,,
7,ESPIX_EUR,2023-06-19T13:00:00.000000000Z,43,9447.5,9447.5,9431.0,9431.0,9450.0,9450.0,9433.5,9433.5,9452.5,9452.5,9436.0,9436.0,9466.625,
8,ESPIX_EUR,2023-06-19T14:00:00.000000000Z,37,9433.0,9433.0,9418.0,9424.5,9435.5,9435.5,9420.5,9427.0,9438.0,9438.0,9423.0,9429.5,9462.4375,
9,ESPIX_EUR,2023-06-19T15:00:00.000000000Z,56,9422.0,9442.0,9416.0,9440.0,9424.5,9445.0,9418.5,9443.0,9427.0,9448.0,9421.0,9446.0,9456.9375,
10,ESPIX_EUR,2023-06-19T16:00:00.000000000Z,12,9442.0,9445.0,9438.5,9445.0,9445.0,9448.0,9441.5,9448.0,9448.0,9451.0,9444.5,9451.0,9453.0,
11,ESPIX_EUR,2023-06-19T17:00:00.000000000Z,17,9442.5,9442.5,9435.5,9441.0,9445.5,9445.5,9438.5,9444.0,9448.5,9448.5,9441.5,9447.0,9446.4375,
12,ESPIX_EUR,2023-06-20T06:00:00.000000000Z,62,9415.5,9423.0,9402.5,9422.5,9418.5,9426.0,9405.5,9425.5,9421.5,9429.0,9408.5,9428.5,9442.0,
13,ESPIX_EUR,2023-06-20T07:00:00.000000000Z,204,9420.5,9471.5,9404.0,9471.5,9423.5,9474.0,9406.5,9474.0,9426.5,9476.5,9409.0,9476.5,9443.375,
14,ESPIX_EUR,2023-06-20T08:00:00.000000000Z,73,9469.0,9469.0,9441.0,9447.5,9471.5,9471.5,9443.5,9450.0,9474.0,9474.0,9446.0,9452.5,9443.125,
15,ESPIX_EUR,2023-06-20T09:00:00.000000000Z,70,9449.5,9449.5,9426.0,9436.0,9452.0,9452.0,9428.5,9438.5,9454.5,9454.5,9431.0,9441.0,9443.75,
16,ESPIX_EUR,2023-06-20T10:00:00.000000000Z,47,9434.0,9451.5,9431.0,9451.0,9436.5,9454.0,9433.5,9453.5,9439.0,9456.5,9436.0,9456.0,9447.0625,
17,ESPIX_EUR,2023-06-20T11:00:00.000000000Z,37,9453.0,9463.0,9451.0,9457.0,9455.5,9465.5,9453.5,9459.5,9458.0,9468.0,9456.0,9462.0,9449.125,
18,ESPIX_EUR,2023-06-20T12:00:00.000000000Z,50,9459.0,9472.0,9455.0,9466.0,9461.5,9474.5,9457.5,9468.5,9464.0,9477.0,9460.0,9471.0,9451.6875,
19,ESPIX_EUR,2023-06-20T13:00:00.000000000Z,75,9468.0,9476.0,9450.5,9459.5,9470.5,9478.5,9453.0,9462.0,9473.0,9481.0,9455.5,9464.5,9453.9375,
20,ESPIX_EUR,2023-06-20T14:00:00.000000000Z,69,9457.0,9465.0,9448.0,9457.0,9459.5,9467.5,9450.5,9459.5,9462.0,9470.0,9453.0,9462.0,9458.1875,
21,ESPIX_EUR,2023-06-20T15:00:00.000000000Z,68,9459.0,9459.5,9446.5,9456.5,9461.5,9462.0,9449.5,9459.5,9464.0,9464.5,9452.5,9462.5,9456.375,
22,ESPIX_EUR,2023-06-20T16:00:00.000000000Z,24,9454.5,9467.0,9454.5,9465.0,9457.5,9470.0,9457.5,9468.0,9460.5,9473.0,9460.5,9471.0,9458.625,
23,ESPIX_EUR,2023-06-20T17:00:00.000000000Z,19,9467.0,9469.0,9460.5,9463.0,9470.0,9472.0,9463.5,9466.0,9473.0,9475.0,9466.5,9469.0,9462.0625,
24,ESPIX_EUR,2023-06-21T06:00:00.000000000Z,42,9459.0,9460.0,9444.5,9448.5,9463.0,9463.5,9447.5,9451.5,9467.0,9467.0,9450.5,9454.5,9461.8125,
25,ESPIX_EUR,2023-06-21T07:00:00.000000000Z,148,9446.5,9460.5,9420.5,9456.0,9449.5,9463.0,9423.0,9458.5,9452.5,9465.5,9425.5,9461.0,9461.6875,
26,ESPIX_EUR,2023-06-21T08:00:00.000000000Z,74,9459.0,9467.5,9448.0,9450.5,9461.5,9470.0,9450.5,9453.0,9464.0,9472.5,9453.0,9455.5,9459.75,
27,ESPIX_EUR,2023-06-21T09:00:00.000000000Z,45,9452.5,9463.5,9449.5,9456.0,9455.0,9466.0,9452.0,9458.5,9457.5,9468.5,9454.5,9461.0,9459.3125,
28,ESPIX_EUR,2023-06-21T10:00:00.000000000Z,39,9458.0,9466.5,9454.0,9454.0,9460.5,9469.0,9456.5,9456.5,9463.0,9471.5,9459.0,9459.0,9458.9375,
29,ESPIX_EUR,2023-06-21T11:00:00.000000000Z,39,9456.0,9472.0,9455.5,9459.0,9458.5,9474.5,9458.0,9461.5,9461.0,9477.0,9460.5,9464.0,9459.1875,
30,ESPIX_EUR,2023-06-21T12:00:00.000000000Z,47,9457.0,9461.0,9435.0,9435.0,9459.5,9463.5,9437.5,9437.5,9462.0,9466.0,9440.0,9440.0,9455.375,
31,ESPIX_EUR,2023-06-21T13:00:00.000000000Z,74,9437.0,9445.5,9427.0,9437.0,9439.5,9448.0,9429.5,9439.5,9442.0,9450.5,9432.0,9442.0,9452.0625,
32,ESPIX_EUR,2023-06-21T14:00:00.000000000Z,85,9439.0,9461.0,9437.0,9459.0,9441.5,9463.5,9439.5,9461.5,9444.0,9466.0,9442.0,9464.0,9453.3125,
33,ESPIX_EUR,2023-06-21T15:00:00.000000000Z,94,9461.0,9461.0,9439.5,9443.5,9463.5,9463.5,9442.5,9446.5,9466.0,9466.0,9445.0,9449.5,9451.8125,
34,ESPIX_EUR,2023-06-21T16:00:00.000000000Z,27,9441.5,9452.5,9438.5,9439.0,9444.5,9455.5,9441.5,9442.0,9447.5,9458.5,9444.5,9445.0,9450.4375,
35,ESPIX_EUR,2023-06-21T17:00:00.000000000Z,15,9436.5,9446.5,9435.0,9444.0,9439.5,9449.5,9438.0,9447.0,9442.5,9452.5,9441.0,9450.0,9449.0,
36,ESPIX_EUR,2023-06-22T06:00:00.000000000Z,111,9382.7,9400.2,9367.7,9380.7,9390.2,9403.2,9370.7,9383.7,9397.7,9406.2,9373.7,9386.7,9439.9,
37,ESPIX_EUR,2023-06-22T07:00:00.000000000Z,460,9375.7,9379.2,9278.7,9315.2,9378.7,9382.2,9281.2,9317.7,9381.7,9385.2,9283.7,9320.2,9421.925,
38,ESPIX_EUR,2023-06-22T08:00:00.000000000Z,140,9317.2,9344.0,9310.7,9337.0,9319.7,9346.5,9313.2,9339.5,9322.2,9349.0,9315.7,9342.0,9409.675,
39,ESPIX_EUR,2023-06-22T09:00:00.000000000Z,59,9339.0,9356.0,9334.0,9335.0,9341.5,9358.5,9336.5,9337.5,9344.0,9361.0,9339.0,9340.0,9396.925,
40,ESPIX_EUR,2023-06-22T10:00:00.000000000Z,62,9337.0,9353.0,9324.0,9334.0,9339.5,9355.5,9326.5,9336.5,9342.0,9358.0,9329.0,9339.0,9381.3,
41,ESPIX_EUR,2023-06-22T11:00:00.000000000Z,104,9330.0,9346.0,9320.5,9345.0,9333.5,9348.5,9323.0,9347.5,9337.0,9351.0,9325.5,9350.0,9368.925,
42,ESPIX_EUR,2023-06-22T12:00:00.000000000Z,51,9347.0,9349.0,9337.0,9337.0,9349.5,9351.5,9339.5,9339.5,9352.0,9354.0,9342.0,9342.0,9356.1125,
