,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,EU50_EUR,2023-06-26T08:00:00.000000000Z,696,4254.2,4257.1,4234.1,4243.1,4255.0,4257.6,4234.6,4243.6,4255.9,4258.0,4235.0,4244.0,,
1,EU50_EUR,2023-06-26T09:00:00.000000000Z,301,4244.1,4269.1,4243.1,4268.1,4244.6,4269.6,4243.6,4268.6,4245.0,4270.0,4244.0,4269.0,,
2,EU50_EUR,2023-06-26T10:00:00.000000000Z,179,4267.1,4272.1,4264.1,4268.1,4267.6,4272.6,4264.6,4268.6,4268.0,4273.0,4265.0,4269.0,,
3,EU50_EUR,2023-06-26T11:00:00.000000000Z,165,4269.1,4276.1,4268.2,4273.1,4269.6,4276.6,4269.0,4273.6,4270.0,4277.0,4269.9,4274.0,,
4,EU50_EUR,2023-06-26T12:00:00.000000000Z,164,4274.1,4280.1,4269.1,4272.1,4274.6,4280.6,4269.6,4272.6,4275.0,4281.0,4270.0,4273.0,,
5,EU50_EUR,2023-06-26T13:00:00.000000000Z,365,4271.1,4294.1,4271.1,4291.1,4271.6,4294.6,4271.6,4291.6,4272.0,4295.0,4272.0,4292.0,,
6,EU50_EUR,2023-06-26T14:00:00.000000000Z,489,4290.1,4293.1,4278.1,4287.1,4290.6,4293.6,4278.6,4287.6,4291.0,4294.0,4279.0,4288.0,,
7,EU50_EUR,2023-06-26T15:00:00.000000000Z,227,4286.1,4287.1,4278.8,4285.8,4286.6,4287.6,4279.5,4286.5,4287.0,4288.2,4280.0,4287.2,4274.087500000001,
8,EU50_EUR,2023-06-26T16:00:00.000000000Z,73,4287.8,4287.8,4279.8,4282.8,4288.5,4288.5,4280.5,4283.5,4289.2,4289.2,4281.2,4284.2,4279.075000000001,
9,EU50_EUR,2023-06-26T17:00:00.000000000Z,108,4282.9,4286.8,4282.8,4284.8,4284.0,4287.5,4283.5,4285.5,4285.1,4288.2,4284.2,4286.2,4281.1875,
10,EU50_EUR,2023-06-26T18:00:00.000000000Z,75,4282.8,4286.8,4280.9,4283.8,4283.5,4287.5,4282.0,4284.5,4284.2,4288.2,4283.1,4285.2,4283.175,
11,EU50_EUR,2023-06-26T19:00:00.000000000Z,109,4283.9,4287.8,4280.8,4281.8,4285.0,4288.5,4281.5,4282.5,4286.1,4289.2,4282.2,4283.2,4284.2875,
12,EU50_EUR,2023-06-27T00:00:00.000000000Z,13,4285.8,4285.9,4283.8,4285.8,4286.5,4287.0,4284.5,4286.5,4287.2,4288.1,4285.2,4287.2,4286.025000000001,
13,EU50_EUR,2023-06-27T01:00:00.000000000Z,34,4283.8,4287.8,4280.8,4285.8,4284.5,4288.5,4281.5,4286.5,4285.2,4289.2,4282.2,4287.2,4285.3875,
14,EU50_EUR,2023-06-27T02:00:00.000000000Z,25,4287.8,4287.9,4284.9,4285.8,4288.5,4289.0,4286.0,4286.5,4289.2,4290.1,4287.1,4287.2,4285.25,
15,EU50_EUR,2023-06-27T03:00:00.000000000Z,25,4284.9,4286.8,4284.8,4286.8,4286.0,4287.5,4285.5,4287.5,4287.1,4288.2,4286.2,4288.2,4285.375,
16,EU50_EUR,2023-06-27T04:00:00.000000000Z,17,4286.9,4289.8,4285.8,4288.8,4288.0,4290.5,4286.5,4289.5,4289.1,4291.2,4287.2,4290.2,4286.125,
