,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,EUR_CAD,2023-06-29T17:00:00.000000000Z,6134,1.44037,1.44104,1.44003,1.44098,1.44045,1.44113,1.44012,1.44108,1.44053,1.44123,1.44021,1.44117,,
1,EUR_CAD,2023-06-29T18:00:00.000000000Z,5714,1.44098,1.44128,1.43919,1.43945,1.44106,1.44136,1.43928,1.43953,1.44115,1.44143,1.43937,1.43961,,
2,EUR_CAD,2023-06-29T19:00:00.000000000Z,5255,1.43944,1.44053,1.43927,1.43978,1.43954,1.44062,1.43936,1.43984,1.43963,1.44072,1.43944,1.43991,,
3,EUR_CAD,2023-06-29T20:00:00.000000000Z,2412,1.43978,1.44018,1.43936,1.43992,1.43985,1.44027,1.43944,1.44006,1.43992,1.44040,1.43950,1.44019,,
4,EUR_CAD,2023-06-29T21:00:00.000000000Z,582,1.43869,1.43981,1.43869,1.43958,1.43949,1.44004,1.43934,1.43986,1.44029,1.44050,1.43976,1.44014,,
5,EUR_CAD,2023-06-29T22:00:00.000000000Z,1996,1.43970,1.43987,1.43928,1.43987,1.43991,1.43996,1.43947,1.43996,1.44012,1.44015,1.43960,1.44005,,
6,EUR_CAD,2023-06-29T23:00:00.000000000Z,1325,1.43988,1.44005,1.43953,1.44001,1.43996,1.44014,1.43961,1.44010,1.44005,1.44023,1.43969,1.44020,,
7,EUR_CAD,2023-06-30T00:00:00.000000000Z,3384,1.44002,1.44119,1.43980,1.44101,1.44011,1.44129,1.43990,1.44110,1.44020,1.44139,1.43999,1.44120,1.44019125,
8,EUR_CAD,2023-06-30T01:00:00.000000000Z,4823,1.44103,1.44116,1.43944,1.43948,1.44112,1.44126,1.43954,1.43957,1.44121,1.44137,1.43963,1.43966,1.4400025,
9,EUR_CAD,2023-06-30T02:00:00.000000000Z,4017,1.43948,1.43967,1.43925,1.43950,1.43958,1.43978,1.43934,1.43958,1.43967,1.43989,1.43941,1.43967,1.44000875,
10,EUR_CAD,2023-06-30T03:00:00.000000000Z,3083,1.43951,1.44012,1.43925,1.44007,1.43958,1.44022,1.43936,1.44016,1.43966,1.44031,1.43944,1.44026,1.44004875,
11,EUR_CAD,2023-06-30T04:00:00.000000000Z,2377,1.44008,1.44044,1.43954,1.43975,1.44017,1.44053,1.43964,1.43984,1.44026,1.44062,1.43974,1.43994,1.44002125,
12,EUR_CAD,2023-06-30T05:00:00.000000000Z,3892,1.43975,1.44096,1.43925,1.44052,1.43985,1.44104,1.43934,1.44058,1.43995,1.44113,1.43942,1.44064,1.44011125,
13,EUR_CAD,2023-06-30T06:00:00.000000000Z,5425,1.44048,1.44128,1.43960,1.44062,1.44054,1.44140,1.43969,1.44072,1.44060,1.44151,1.43976,1.44081,1.44020625,
14,EUR_CAD,2023-06-30T07:00:00.000000000Z,6611,1.44064,1.44091,1.43946,1.43971,1.44070,1.44100,1.43954,1.43980,1.44077,1.44111,1.43961,1.43990,1.44016875,
15,EUR_CAD,2023-06-30T08:00:00.000000000Z,6903,1.43971,1.43971,1.43675,1.43691,1.43981,1.43981,1.43681,1.43696,1.43991,1.43991,1.43687,1.43702,1.4396512499999998,
16,EUR_CAD,2023-06-30T09:00:00.000000000Z,4915,1.43672,1.43821,1.43655,1.43747,1.43681,1.43830,1.43666,1.43756,1.43690,1.43839,1.43674,1.43765,1.4394,
17,EUR_CAD,2023-06-30T10:00:00.000000000Z,5257,1.43748,1.43994,1.43683,1.43979,1.43756,1.44003,1.43692,1.43988,1.43765,1.44012,1.43701,1.43996,1.4394375,
18,EUR_CAD,2023-06-30T11:00:00.000000000Z,4303,1.43977,1.44079,1.43910,1.44024,1.43986,1.44088,1.43919,1.44032,1.43996,1.44098,1.43927,1.44041,1.4394575,
19,EUR_CAD,2023-06-30T12:00:00.000000000Z,11168,1.44023,1.44678,1.43998,1.44588,1.44030,1.44686,1.44008,1.44595,1.44038,1.44695,1.44017,1.44602,1.44022125,
20,EUR_CAD,2023-06-30T13:00:00.000000000Z,12473,1.44587,1.44701,1.44403,1.44425,1.44595,1.44710,1.44410,1.44446,1.44603,1.44719,1.44417,1.44466,1.44070625,
21,EUR_CAD,2023-06-30T14:00:00.000000000Z,16647,1.44427,1.44561,1.44296,1.44374,1.44446,1.44568,1.44306,1.44380,1.44465,1.44576,1.44312,1.44387,1.44109125,
22,EUR_CAD,2023-06-30T15:00:00.000000000Z,9605,1.44374,1.44548,1.44297,1.44507,1.44379,1.44554,1.44306,1.44515,1.44384,1.44560,1.44313,1.44523,1.44176,
23,EUR_CAD,2023-06-30T16:00:00.000000000Z,7452,1.44505,1.44550,1.44344,1.44431,1.44514,1.44558,1.44352,1.44440,1.44522,1.44566,1.44361,1.44448,1.44269,
24,EUR_CAD,2023-06-30T17:00:00.000000000Z,5333,1.44435,1.44448,1.44306,1.44418,1.44443,1.44454,1.44312,1.44426,1.44451,1.44461,1.44319,1.44434,1.4435275,
25,EUR_CAD,2023-06-30T18:00:00.000000000Z,4489,1.44416,1.44483,1.44406,1.44441,1.44425,1.44490,1.44414,1.44448,1.44434,1.44498,1.44420,1.44455,1.4441025,
26,EUR_CAD,2023-06-30T19:00:00.000000000Z,4700,1.44443,1.44564,1.44427,1.44564,1.44452,1.44570,1.44436,1.44570,1.44460,1.44578,1.44444,1.44576,1.444775,
27,EUR_CAD,2023-06-30T20:00:00.000000000Z,3239,1.44564,1.44564,1.44469,1.44492,1.44572,1.44572,1.44500,1.44558,1.44579,1.44626,1.44510,1.44623,1.44472875,
28,EUR_CAD,2023-07-02T21:00:00.000000000Z,206,1.44361,1.44455,1.44361,1.44434,1.44506,1.44552,1.44467,1.44488,1.44650,1.44669,1.44541,1.44541,1.4447812500000001,
29,EUR_CAD,2023-07-02T22:00:00.000000000Z,1766,1.44434,1.44558,1.44434,1.44558,1.44470,1.44567,1.44470,1.44564,1.44506,1.44576,1.44482,1.44570,1.44501125,
30,EUR_CAD,2023-07-02T23:00:00.000000000Z,1779,1.44557,1.44557,1.44495,1.44515,1.44562,1.44562,1.44506,1.44528,1.44567,1.44576,1.44516,1.44540,1.4450275000000001,
31,EUR_CAD,2023-07-03T00:00:00.000000000Z,4118,1.44516,1.44561,1.44487,1.44507,1.44526,1.44572,1.44500,1.44517,1.44537,1.44582,1.44510,1.44527,1.44512375,
32,EUR_CAD,2023-07-03T01:00:00.000000000Z,3684,1.44508,1.44570,1.44488,1.44525,1.44518,1.44580,1.44497,1.44534,1.44529,1.44591,1.44506,1.44544,1.44525875,
33,EUR_CAD,2023-07-03T02:00:00.000000000Z,2409,1.44529,1.44570,1.44508,1.44509,1.44539,1.44580,1.44518,1.44518,1.44549,1.44591,1.44527,1.44527,1.44534625,
34,EUR_CAD,2023-07-03T03:00:00.000000000Z,3226,1.44510,1.44513,1.44468,1.44488,1.44518,1.44522,1.44476,1.44498,1.44527,1.44530,1.44484,1.44507,1.44525625,
35,EUR_CAD,2023-07-03T04:00:00.000000000Z,2385,1.44488,1.44550,1.44479,1.44539,1.44497,1.44560,1.44488,1.44550,1.44506,1.44570,1.44496,1.44561,1.44524625,
36,EUR_CAD,2023-07-03T05:00:00.000000000Z,3396,1.44540,1.44581,1.44454,1.44457,1.44550,1.44590,1.44464,1.44465,1.44561,1.44599,1.44473,1.44473,1.4452175,
37,EUR_CAD,2023-07-03T06:00:00.000000000Z,7055,1.44455,1.44520,1.44302,1.44308,1.44465,1.44530,1.44312,1.44318,1.44475,1.44540,1.44322,1.44328,1.44491,
38,EUR_CAD,2023-07-03T07:00:00.000000000Z,7720,1.44307,1.44354,1.44229,1.44289,1.44316,1.44363,1.44236,1.44300,1.44325,1.44372,1.44244,1.44310,1.4446249999999998,
39,EUR_CAD,2023-07-03T08:00:00.000000000Z,6296,1.44288,1.44515,1.44271,1.44407,1.44299,1.44522,1.44282,1.44414,1.44310,1.44531,1.44292,1.44422,1.44449625,
40,EUR_CAD,2023-07-03T09:00:00.000000000Z,6085,1.44407,1.44502,1.44254,1.44385,1.44414,1.44510,1.44264,1.44394,1.44421,1.44519,1.44272,1.44404,1.44432125,
41,EUR_CAD,2023-07-03T10:00:00.000000000Z,5043,1.44387,1.44434,1.44272,1.44360,1.44395,1.44440,1.44280,1.44369,1.44403,1.44448,1.44287,1.44378,1.444135,
42,EUR_CAD,2023-07-03T11:00:00.000000000Z,6684,1.44358,1.44493,1.44317,1.44411,1.44366,1.44500,1.44324,1.44416,1.44375,1.44509,1.44332,1.44422,1.4440325,
43,EUR_CAD,2023-07-03T12:00:00.000000000Z,7152,1.44403,1.44582,1.44359,1.44554,1.44410,1.44589,1.44368,1.44562,1.44417,1.44597,1.44376,1.44570,1.4440475,
44,EUR_CAD,2023-07-03T13:00:00.000000000Z,8791,1.44554,1.44697,1.44500,1.44528,1.44562,1.44704,1.44520,1.44546,1.44571,1.44712,1.44530,1.44565,1.44414875,
