,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,EUR_CZK,2023-04-20T17:00:00.000000000Z,23367,23.49149,23.49816,23.46571,23.46662,23.49645,23.50800,23.47305,23.47660,23.50141,23.51784,23.47906,23.48658,,
1,EUR_CZK,2023-04-20T21:00:00.000000000Z,4064,23.46694,23.48255,23.45115,23.46778,23.47810,23.50806,23.47810,23.48170,23.48926,23.55267,23.48926,23.49562,,
2,EUR_CZK,2023-04-21T01:00:00.000000000Z,5853,23.46777,23.47522,23.46563,23.47127,23.48165,23.48330,23.48096,23.48325,23.49553,23.49835,23.48928,23.49523,,
3,EUR_CZK,2023-04-21T05:00:00.000000000Z,19035,23.47151,23.56696,23.45755,23.54605,23.48325,23.57396,23.46634,23.55040,23.49499,23.60690,23.47098,23.55475,,
4,EUR_CZK,2023-04-21T09:00:00.000000000Z,12042,23.54587,23.56627,23.50471,23.53105,23.55020,23.57075,23.51150,23.53475,23.55452,23.57588,23.51663,23.53845,,
5,EUR_CZK,2023-04-21T13:00:00.000000000Z,34124,23.53005,23.54872,23.44900,23.49582,23.53425,23.55245,23.49426,23.50015,23.53845,23.56175,23.49805,23.50448,,
6,EUR_CZK,2023-04-21T17:00:00.000000000Z,10008,23.49582,23.50004,23.47337,23.47991,23.50025,23.50600,23.48774,23.49050,23.50468,23.51878,23.49485,23.50110,,
7,EUR_CZK,2023-04-23T21:00:00.000000000Z,5538,23.49025,23.50592,23.46840,23.47012,23.51525,23.52665,23.47665,23.47975,23.54025,23.57665,23.48402,23.48938,23.4996375,
8,EUR_CZK,2023-04-24T01:00:00.000000000Z,8295,23.47005,23.47435,23.45337,23.46695,23.47975,23.48286,23.46366,23.47845,23.48945,23.49402,23.47059,23.48995,23.49986875,
9,EUR_CZK,2023-04-24T05:00:00.000000000Z,19413,23.46700,23.50287,23.40996,23.43351,23.47845,23.50910,23.41440,23.43755,23.48990,23.51575,23.41884,23.44159,23.49435,
10,EUR_CZK,2023-04-24T09:00:00.000000000Z,16963,23.43132,23.46332,23.40133,23.45041,23.43555,23.46760,23.40560,23.45485,23.43978,23.47215,23.40985,23.45929,23.4908,
11,EUR_CZK,2023-04-24T13:00:00.000000000Z,15317,23.45054,23.47858,23.44505,23.46870,23.45496,23.48256,23.44990,23.47280,23.45937,23.48713,23.45390,23.47690,23.4811,
12,EUR_CZK,2023-04-24T17:00:00.000000000Z,3766,23.46909,23.47355,23.45770,23.46148,23.47295,23.47730,23.46340,23.47250,23.47681,23.48352,23.46815,23.48352,23.47331875,
13,EUR_CZK,2023-04-24T21:00:00.000000000Z,7622,23.45798,23.46805,23.44954,23.46163,23.47250,23.48205,23.46990,23.47400,23.48702,23.50705,23.48027,23.48637,23.47005,
14,EUR_CZK,2023-04-25T01:00:00.000000000Z,10830,23.46175,23.46646,23.45668,23.46315,23.47410,23.47900,23.46810,23.47325,23.48646,23.49173,23.47880,23.48335,23.46789375,
15,EUR_CZK,2023-04-25T05:00:00.000000000Z,12921,23.46312,23.51118,23.44491,23.46115,23.47325,23.51555,23.45170,23.46525,23.48338,23.51992,23.45612,23.46935,23.46608125,
16,EUR_CZK,2023-04-25T09:00:00.000000000Z,16513,23.46096,23.50245,23.45465,23.46242,23.46510,23.50720,23.45950,23.46695,23.46924,23.51208,23.46419,23.47148,23.46464375,
17,EUR_CZK,2023-04-25T13:00:00.000000000Z,17464,23.46342,23.50720,23.44417,23.49062,23.46825,23.51160,23.44850,23.49505,23.47308,23.51873,23.45266,23.49948,23.471831249999997,
18,EUR_CZK,2023-04-25T17:00:00.000000000Z,4632,23.49065,23.51787,23.48945,23.51008,23.49505,23.52265,23.49400,23.52150,23.49945,23.53768,23.49852,23.53292,23.4801625,
19,EUR_CZK,2023-04-25T21:00:00.000000000Z,8768,23.48830,23.50809,23.48235,23.50671,23.51330,23.52080,23.50735,23.51555,23.53830,23.54580,23.51878,23.52439,23.48550625,
20,EUR_CZK,2023-04-26T01:00:00.000000000Z,8676,23.50681,23.50835,23.49977,23.50643,23.51555,23.51890,23.51125,23.51795,23.52429,23.53085,23.52185,23.52947,23.4911875,
21,EUR_CZK,2023-04-26T05:00:00.000000000Z,21130,23.50704,23.51448,23.44689,23.47176,23.51815,23.52085,23.45305,23.47670,23.52926,23.52988,23.45901,23.48165,23.491525,
22,EUR_CZK,2023-04-26T09:00:00.000000000Z,15822,23.47155,23.52039,23.46223,23.50822,23.47700,23.52665,23.46650,23.51275,23.48245,23.53334,23.47077,23.51728,23.4964625,
23,EUR_CZK,2023-04-26T13:00:00.000000000Z,19762,23.50802,23.54053,23.48680,23.50018,23.51290,23.54446,23.49090,23.50350,23.51778,23.54838,23.49463,23.50682,23.50124375,
24,EUR_CZK,2023-04-26T17:00:00.000000000Z,5505,23.50008,23.51596,23.49877,23.50805,23.50335,23.52075,23.50285,23.51915,23.50662,23.53025,23.50652,23.53025,23.50776875,
25,EUR_CZK,2023-04-26T21:00:00.000000000Z,2787,23.49085,23.50847,23.48410,23.50263,23.51585,23.53125,23.50910,23.51430,23.54085,23.55625,23.52455,23.52597,23.510175,
26,EUR_CZK,2023-04-27T01:00:00.000000000Z,1910,23.50266,23.51095,23.50080,23.50648,23.51430,23.52180,23.51310,23.51790,23.52594,23.53355,23.52507,23.52932,23.509725,
27,EUR_CZK,2023-04-27T05:00:00.000000000Z,11388,23.50562,23.51644,23.46237,23.49267,23.51735,23.52080,23.46850,23.49925,23.52908,23.53005,23.47377,23.50583,23.5076875,
28,EUR_CZK,2023-04-27T09:00:00.000000000Z,14365,23.49270,23.51408,23.47252,23.48230,23.49926,23.51770,23.47760,23.48696,23.50581,23.52189,23.48145,23.49161,23.50381375,
29,EUR_CZK,2023-04-27T13:00:00.000000000Z,19148,23.48211,23.49370,23.45308,23.47982,23.48690,23.49730,23.45780,23.48400,23.49169,23.50143,23.46196,23.48818,23.50472625,
30,EUR_CZK,2023-04-27T17:00:00.000000000Z,8138,23.47972,23.48015,23.46589,23.46735,23.48400,23.48470,23.47080,23.47650,23.48828,23.48938,23.47447,23.48566,23.500195,
31,EUR_CZK,2023-04-27T21:00:00.000000000Z,3123,23.47118,23.47558,23.45403,23.46802,23.48725,23.50045,23.47740,23.47750,23.50332,23.52545,23.48671,23.48698,23.496945,
32,EUR_CZK,2023-04-28T01:00:00.000000000Z,9428,23.46812,23.47447,23.45977,23.46652,23.47750,23.48530,23.47500,23.47710,23.48688,23.49865,23.48485,23.48768,23.49168875,
33,EUR_CZK,2023-04-28T05:00:00.000000000Z,15459,23.46656,23.49318,23.46353,23.47647,23.47710,23.49675,23.47385,23.48235,23.48765,23.50218,23.47845,23.48823,23.487695000000002,
34,EUR_CZK,2023-04-28T09:00:00.000000000Z,19434,23.47643,23.50768,23.46269,23.47935,23.48235,23.51125,23.47615,23.48320,23.48827,23.51525,23.48022,23.48705,23.4833575,
35,EUR_CZK,2023-04-28T13:00:00.000000000Z,30258,23.47870,23.51412,23.46512,23.51008,23.48280,23.51945,23.46980,23.51480,23.48690,23.52516,23.47386,23.51952,23.48530125,
36,EUR_CZK,2023-04-28T17:00:00.000000000Z,13741,23.50982,23.53419,23.49872,23.52045,23.51475,23.53856,23.50665,23.53065,23.51968,23.54297,23.51290,23.54085,23.490762500000002,
37,EUR_CZK,2023-04-30T21:00:00.000000000Z,4514,23.47550,23.51999,23.44302,23.51225,23.50050,23.52880,23.48620,23.52100,23.52550,23.57705,23.50457,23.52975,23.4953875,
38,EUR_CZK,2023-05-01T01:00:00.000000000Z,2531,23.51208,23.52182,23.49948,23.51758,23.52090,23.53160,23.51055,23.52745,23.52972,23.54275,23.52162,23.53732,23.50175625,
39,EUR_CZK,2023-05-01T05:00:00.000000000Z,12531,23.51746,23.66240,23.51022,23.61868,23.52730,23.71240,23.52105,23.62490,23.53715,23.76240,23.52842,23.63112,23.52018125,
40,EUR_CZK,2023-05-01T09:00:00.000000000Z,19016,23.61862,23.65615,23.54149,23.55655,23.62485,23.66220,23.55086,23.56295,23.63108,23.66975,23.55861,23.56935,23.5309125,
