,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c
0,EUR_GBP,2022-11-15T18:00:00.000000000Z,14240,0.87314,0.87391,0.87080,0.87197,0.87324,0.87398,0.87089,0.87205,0.87334,0.87406,0.87098,0.87213
1,EUR_GBP,2022-11-15T19:00:00.000000000Z,15015,0.87195,0.87329,0.87098,0.87270,0.87204,0.87338,0.87108,0.87280,0.87212,0.87349,0.87117,0.87289
2,EUR_GBP,2022-11-15T20:00:00.000000000Z,7881,0.87271,0.87322,0.87254,0.87271,0.87280,0.87330,0.87264,0.87280,0.87288,0.87340,0.87273,0.87290
3,EUR_GBP,2022-11-15T21:00:00.000000000Z,3142,0.87269,0.87271,0.87171,0.87183,0.87278,0.87280,0.87180,0.87198,0.87287,0.87290,0.87189,0.87214
4,EUR_GBP,2022-11-15T22:00:00.000000000Z,4717,0.87151,0.87214,0.87134,0.87190,0.87210,0.87263,0.87180,0.87204,0.87268,0.87338,0.87206,0.87218
5,EUR_GBP,2022-11-15T23:00:00.000000000Z,4425,0.87187,0.87291,0.87122,0.87176,0.87202,0.87302,0.87134,0.87186,0.87218,0.87313,0.87145,0.87195
6,EUR_GBP,2022-11-16T00:00:00.000000000Z,5083,0.87178,0.87349,0.87124,0.87305,0.87187,0.87356,0.87132,0.87313,0.87196,0.87365,0.87140,0.87321
7,EUR_GBP,2022-11-16T01:00:00.000000000Z,7238,0.87303,0.87361,0.87244,0.87321,0.87313,0.87372,0.87252,0.87331,0.87323,0.87384,0.87260,0.87341
8,EUR_GBP,2022-11-16T02:00:00.000000000Z,6285,0.87323,0.87427,0.87317,0.87366,0.87332,0.87438,0.87327,0.87376,0.87341,0.87448,0.87337,0.87385
9,EUR_GBP,2022-11-16T03:00:00.000000000Z,4659,0.87367,0.87422,0.87330,0.87377,0.87376,0.87431,0.87340,0.87387,0.87384,0.87440,0.87350,0.87397
10,EUR_GBP,2022-11-16T04:00:00.000000000Z,4010,0.87379,0.87405,0.87344,0.87387,0.87387,0.87416,0.87356,0.87397,0.87395,0.87426,0.87366,0.87407
11,EUR_GBP,2022-11-16T05:00:00.000000000Z,5216,0.87385,0.87417,0.87340,0.87379,0.87396,0.87428,0.87350,0.87390,0.87407,0.87439,0.87359,0.87400
12,EUR_GBP,2022-11-16T06:00:00.000000000Z,4876,0.87380,0.87423,0.87283,0.87350,0.87390,0.87435,0.87292,0.87364,0.87399,0.87448,0.87299,0.87377
13,EUR_GBP,2022-11-16T07:00:00.000000000Z,9277,0.87332,0.87665,0.87229,0.87464,0.87346,0.87672,0.87242,0.87472,0.87359,0.87683,0.87256,0.87481
14,EUR_GBP,2022-11-16T08:00:00.000000000Z,9148,0.87462,0.87656,0.87415,0.87554,0.87471,0.87666,0.87425,0.87563,0.87480,0.87675,0.87434,0.87572
15,EUR_GBP,2022-11-16T09:00:00.000000000Z,6986,0.87552,0.87751,0.87531,0.87586,0.87561,0.87758,0.87540,0.87594,0.87570,0.87767,0.87547,0.87601
16,EUR_GBP,2022-11-16T10:00:00.000000000Z,6780,0.87586,0.87598,0.87359,0.87439,0.87594,0.87604,0.87368,0.87447,0.87602,0.87611,0.87378,0.87455
17,EUR_GBP,2022-11-16T11:00:00.000000000Z,6500,0.87439,0.87588,0.87438,0.87505,0.87448,0.87596,0.87447,0.87515,0.87457,0.87605,0.87455,0.87525
18,EUR_GBP,2022-11-16T12:00:00.000000000Z,5850,0.87505,0.87591,0.87395,0.87444,0.87516,0.87598,0.87402,0.87452,0.87527,0.87607,0.87410,0.87461
19,EUR_GBP,2022-11-16T13:00:00.000000000Z,10778,0.87443,0.87574,0.87376,0.87513,0.87451,0.87584,0.87392,0.87522,0.87459,0.87594,0.87400,0.87530
20,EUR_GBP,2022-11-16T14:00:00.000000000Z,11806,0.87510,0.87662,0.87503,0.87654,0.87519,0.87670,0.87512,0.87662,0.87528,0.87679,0.87520,0.87669
21,EUR_GBP,2022-11-16T15:00:00.000000000Z,10398,0.87652,0.87694,0.87469,0.87484,0.87660,0.87702,0.87476,0.87492,0.87669,0.87712,0.87483,0.87499
22,EUR_GBP,2022-11-16T16:00:00.000000000Z,7260,0.87481,0.87578,0.87422,0.87432,0.87490,0.87586,0.87428,0.87440,0.87498,0.87594,0.87435,0.87447
23,EUR_GBP,2022-11-16T17:00:00.000000000Z,5886,0.87432,0.87459,0.87196,0.87286,0.87440,0.87468,0.87204,0.87294,0.87448,0.87476,0.87212,0.87303
24,EUR_GBP,2022-11-16T18:00:00.000000000Z,5973,0.87286,0.87299,0.87164,0.87221,0.87296,0.87308,0.87172,0.87229,0.87305,0.87316,0.87179,0.87237
25,EUR_GBP,2022-11-16T19:00:00.000000000Z,4801,0.87221,0.87239,0.87166,0.87238,0.87230,0.87248,0.87175,0.87247,0.87238,0.87257,0.87183,0.87256
26,EUR_GBP,2022-11-16T20:00:00.000000000Z,5393,0.87239,0.87269,0.87205,0.87225,0.87246,0.87278,0.87214,0.87234,0.87254,0.87286,0.87223,0.87242
27,EUR_GBP,2022-11-16T21:00:00.000000000Z,2435,0.87225,0.87256,0.87196,0.87217,0.87234,0.87265,0.87206,0.87234,0.87243,0.87275,0.87215,0.87252
28,EUR_GBP,2022-11-16T22:00:00.000000000Z,4808,0.87151,0.87235,0.87132,0.87217,0.87219,0.87263,0.87196,0.87238,0.87287,0.87292,0.87225,0.87258
29,EUR_GBP,2022-11-16T23:00:00.000000000Z,3664,0.87219,0.87265,0.87198,0.87225,0.87244,0.87276,0.87210,0.87237,0.87268,0.87287,0.87222,0.87249
30,EUR_GBP,2022-11-17T00:00:00.000000000Z,3023,0.87226,0.87257,0.87191,0.87233,0.87237,0.87267,0.87202,0.87243,0.87248,0.87278,0.87212,0.87253
31,EUR_GBP,2022-11-17T01:00:00.000000000Z,4107,0.87234,0.87298,0.87206,0.87283,0.87243,0.87307,0.87216,0.87294,0.87252,0.87319,0.87225,0.87305
32,EUR_GBP,2022-11-17T02:00:00.000000000Z,4545,0.87285,0.87312,0.87269,0.87290,0.87296,0.87321,0.87280,0.87300,0.87306,0.87330,0.87288,0.87311
33,EUR_GBP,2022-11-17T03:00:00.000000000Z,5163,0.87292,0.87309,0.87264,0.87308,0.87302,0.87318,0.87274,0.87315,0.87311,0.87328,0.87282,0.87322
34,EUR_GBP,2022-11-17T04:00:00.000000000Z,4297,0.87305,0.87309,0.87240,0.87241,0.87312,0.87318,0.87250,0.87252,0.87320,0.87327,0.87259,0.87262
35,EUR_GBP,2022-11-17T05:00:00.000000000Z,4389,0.87242,0.87254,0.87200,0.87241,0.87252,0.87262,0.87209,0.87249,0.87261,0.87273,0.87218,0.87257
36,EUR_GBP,2022-11-17T06:00:00.000000000Z,4343,0.87240,0.87249,0.87166,0.87202,0.87248,0.87257,0.87179,0.87212,0.87257,0.87266,0.87190,0.87222
37,EUR_GBP,2022-11-17T07:00:00.000000000Z,6006,0.87200,0.87249,0.87052,0.87074,0.87210,0.87258,0.87061,0.87082,0.87220,0.87266,0.87070,0.87090
38,EUR_GBP,2022-11-17T08:00:00.000000000Z,9390,0.87071,0.87167,0.86944,0.87079,0.87080,0.87174,0.86952,0.87088,0.87089,0.87182,0.86961,0.87098
39,EUR_GBP,2022-11-17T09:00:00.000000000Z,8463,0.87077,0.87300,0.87034,0.87185,0.87088,0.87308,0.87042,0.87192,0.87099,0.87317,0.87049,0.87199
40,EUR_GBP,2022-11-17T10:00:00.000000000Z,7359,0.87182,0.87310,0.87103,0.87105,0.87190,0.87317,0.87111,0.87112,0.87199,0.87325,0.87118,0.87120
41,EUR_GBP,2022-11-17T11:00:00.000000000Z,8944,0.87106,0.87518,0.87088,0.87291,0.87114,0.87526,0.87097,0.87300,0.87122,0.87535,0.87106,0.87308
42,EUR_GBP,2022-11-17T12:00:00.000000000Z,11459,0.87293,0.87565,0.87186,0.87511,0.87302,0.87576,0.87196,0.87518,0.87310,0.87586,0.87206,0.87526
43,EUR_GBP,2022-11-17T13:00:00.000000000Z,13962,0.87509,0.87677,0.87430,0.87644,0.87516,0.87685,0.87438,0.87652,0.87524,0.87695,0.87445,0.87659
44,EUR_GBP,2022-11-17T14:00:00.000000000Z,9965,0.87642,0.87688,0.87473,0.87667,0.87650,0.87695,0.87482,0.87674,0.87659,0.87703,0.87489,0.87680
45,EUR_GBP,2022-11-17T15:00:00.000000000Z,9551,0.87668,0.87714,0.87536,0.87690,0.87674,0.87721,0.87545,0.87698,0.87680,0.87729,0.87554,0.87705
46,EUR_GBP,2022-11-17T16:00:00.000000000Z,7367,0.87688,0.87720,0.87537,0.87538,0.87696,0.87728,0.87546,0.87546,0.87703,0.87737,0.87553,0.87555
47,EUR_GBP,2022-11-17T17:00:00.000000000Z,7163,0.87538,0.87539,0.87410,0.87429,0.87546,0.87547,0.87418,0.87438,0.87553,0.87555,0.87425,0.87447
48,EUR_GBP,2022-11-17T18:00:00.000000000Z,6289,0.87430,0.87450,0.87367,0.87450,0.87438,0.87458,0.87375,0.87457,0.87446,0.87467,0.87382,0.87464
49,EUR_GBP,2022-11-17T19:00:00.000000000Z,4751,0.87448,0.87487,0.87414,0.87437,0.87456,0.87494,0.87422,0.87445,0.87465,0.87501,0.87430,0.87453
50,EUR_GBP,2022-11-17T20:00:00.000000000Z,3903,0.87437,0.87461,0.87372,0.87392,0.87444,0.87468,0.87382,0.87401,0.87452,0.87476,0.87390,0.87410
51,EUR_GBP,2022-11-17T21:00:00.000000000Z,1843,0.87392,0.87398,0.87332,0.87334,0.87402,0.87406,0.87346,0.87350,0.87411,0.87415,0.87355,0.87365
52,EUR_GBP,2022-11-17T22:00:00.000000000Z,3491,0.87308,0.87338,0.87295,0.87331,0.87349,0.87370,0.87326,0.87349,0.87390,0.87414,0.87348,0.87367
53,EUR_GBP,2022-11-17T23:00:00.000000000Z,5106,0.87331,0.87381,0.87331,0.87359,0.87350,0.87391,0.87346,0.87370,0.87370,0.87406,0.87361,0.87380
54,EUR_GBP,2022-11-18T00:00:00.000000000Z,3080,0.87360,0.87361,0.87190,0.87216,0.87370,0.87371,0.87200,0.87226,0.87380,0.87381,0.87209,0.87235
55,EUR_GBP,2022-11-18T01:00:00.000000000Z,4209,0.87217,0.87240,0.87170,0.87217,0.87227,0.87250,0.87178,0.87225,0.87237,0.87260,0.87186,0.87233
