,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,EUR_GBP,2023-07-11T18:00:00.000000000Z,788,0.85183,0.85183,0.85067,0.85068,0.85189,0.85189,0.85074,0.85074,0.85195,0.85195,0.85081,0.85081,,
1,EUR_GBP,2023-07-11T19:00:00.000000000Z,974,0.85068,0.85129,0.85068,0.85108,0.85075,0.85136,0.85075,0.85114,0.85082,0.85143,0.85082,0.85120,,
2,EUR_GBP,2023-07-11T20:00:00.000000000Z,581,0.85108,0.85133,0.85095,0.85117,0.85114,0.85139,0.85102,0.85126,0.85121,0.85146,0.85108,0.85136,,
3,EUR_GBP,2023-07-11T21:00:00.000000000Z,424,0.85052,0.85125,0.85052,0.85107,0.85102,0.85136,0.85100,0.85124,0.85152,0.85185,0.85127,0.85141,,
4,EUR_GBP,2023-07-11T22:00:00.000000000Z,413,0.85123,0.85131,0.85105,0.85121,0.85135,0.85142,0.85114,0.85130,0.85147,0.85158,0.85121,0.85138,,
5,EUR_GBP,2023-07-11T23:00:00.000000000Z,417,0.85119,0.85148,0.85102,0.85148,0.85127,0.85156,0.85109,0.85154,0.85135,0.85163,0.85116,0.85160,,
6,EUR_GBP,2023-07-12T00:00:00.000000000Z,1500,0.85147,0.85152,0.85073,0.85100,0.85154,0.85158,0.85080,0.85107,0.85160,0.85164,0.85086,0.85114,,
7,EUR_GBP,2023-07-12T01:00:00.000000000Z,1673,0.85101,0.85107,0.85067,0.85079,0.85107,0.85113,0.85074,0.85086,0.85113,0.85120,0.85080,0.85092,0.85114375,
8,EUR_GBP,2023-07-12T02:00:00.000000000Z,1092,0.85077,0.85094,0.85051,0.85088,0.85083,0.85100,0.85058,0.85094,0.85089,0.85107,0.85064,0.85101,0.85116875,
9,EUR_GBP,2023-07-12T03:00:00.000000000Z,1107,0.85086,0.85111,0.85085,0.85103,0.85092,0.85118,0.85092,0.85109,0.85099,0.85125,0.85098,0.85115,0.8511625,
10,EUR_GBP,2023-07-12T04:00:00.000000000Z,929,0.85105,0.85132,0.85097,0.85107,0.85111,0.85139,0.85104,0.85114,0.85117,0.85147,0.85110,0.85121,0.8511475,
11,EUR_GBP,2023-07-12T05:00:00.000000000Z,1465,0.85106,0.85145,0.85089,0.85104,0.85112,0.85151,0.85095,0.85110,0.85119,0.85157,0.85101,0.85117,0.85113,
12,EUR_GBP,2023-07-12T06:00:00.000000000Z,1747,0.85102,0.85154,0.85069,0.85148,0.85108,0.85162,0.85076,0.85156,0.85115,0.85169,0.85083,0.85163,0.8511625,
