,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,EUR_HKD,2023-07-11T18:00:00.000000000Z,3125,8.61390,8.61460,8.60640,8.60773,8.61464,8.61533,8.60724,8.60846,8.61538,8.61606,8.60800,8.60920,,
1,EUR_HKD,2023-07-11T19:00:00.000000000Z,2906,8.60800,8.61430,8.60770,8.61334,8.60880,8.61510,8.60850,8.61417,8.60960,8.61597,8.60930,8.61500,,
2,EUR_HKD,2023-07-11T20:00:00.000000000Z,1843,8.61334,8.61500,8.61211,8.61480,8.61418,8.61615,8.61296,8.61600,8.61503,8.61740,8.61380,8.61720,,
3,EUR_HKD,2023-07-11T21:00:00.000000000Z,686,8.60380,8.61510,8.60380,8.61370,8.61090,8.61705,8.61090,8.61570,8.61800,8.61949,8.61660,8.61770,,
4,EUR_HKD,2023-07-11T22:00:00.000000000Z,733,8.61360,8.61790,8.61340,8.61780,8.61565,8.61945,8.61545,8.61938,8.61770,8.62104,8.61720,8.62095,,
5,EUR_HKD,2023-07-11T23:00:00.000000000Z,1116,8.61780,8.61965,8.61679,8.61910,8.61943,8.62076,8.61792,8.62036,8.62106,8.62188,8.61905,8.62162,,
6,EUR_HKD,2023-07-12T00:00:00.000000000Z,4270,8.61910,8.62790,8.61770,8.62600,8.62032,8.62884,8.61875,8.62678,8.62154,8.62978,8.61980,8.62755,,
7,EUR_HKD,2023-07-12T01:00:00.000000000Z,4423,8.62600,8.63580,8.62580,8.63170,8.62675,8.63668,8.62660,8.63235,8.62750,8.63757,8.62736,8.63300,8.61915,
8,EUR_HKD,2023-07-12T02:00:00.000000000Z,3797,8.63170,8.63590,8.62980,8.63467,8.63236,8.63662,8.63060,8.63554,8.63302,8.63745,8.63140,8.63640,8.622535,
9,EUR_HKD,2023-07-12T03:00:00.000000000Z,2692,8.63470,8.63510,8.63156,8.63394,8.63555,8.63585,8.63218,8.63466,8.63640,8.63670,8.63280,8.63538,8.62509625,
