,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,EUR_HUF,2023-04-20T17:00:00.000000000Z,6012,376.854,377.007,375.695,375.880,377.015,377.161,375.864,376.110,377.176,377.341,376.022,376.340,,
1,EUR_HUF,2023-04-20T21:00:00.000000000Z,2415,375.710,376.260,374.927,376.012,376.510,377.025,375.940,376.325,377.310,378.040,376.194,376.638,,
2,EUR_HUF,2023-04-21T01:00:00.000000000Z,5166,376.012,376.244,375.595,376.112,376.320,376.550,376.222,376.398,376.628,376.865,376.509,376.684,,
3,EUR_HUF,2023-04-21T05:00:00.000000000Z,20937,376.116,378.300,376.003,377.786,376.400,378.460,376.232,377.956,376.684,378.631,376.405,378.126,,
4,EUR_HUF,2023-04-21T09:00:00.000000000Z,17444,377.788,378.221,376.622,377.170,377.955,378.364,376.778,377.324,378.122,378.515,376.931,377.478,,
5,EUR_HUF,2023-04-21T13:00:00.000000000Z,15072,377.162,377.184,375.546,375.713,377.314,377.320,375.674,375.860,377.467,377.486,375.788,376.007,,
6,EUR_HUF,2023-04-21T17:00:00.000000000Z,3425,375.708,375.911,375.423,375.663,375.848,376.095,375.795,375.979,375.989,376.334,375.920,376.295,,
7,EUR_HUF,2023-04-23T21:00:00.000000000Z,2273,375.500,376.135,374.630,376.077,376.205,376.648,375.835,376.334,376.910,377.716,376.460,376.590,376.53575,
8,EUR_HUF,2023-04-24T01:00:00.000000000Z,1458,376.087,376.133,375.763,376.055,376.344,376.384,376.108,376.344,376.600,376.689,376.395,376.634,376.565,
9,EUR_HUF,2023-04-24T05:00:00.000000000Z,8497,376.092,377.289,375.995,376.737,376.345,377.456,376.288,376.862,376.598,377.719,376.515,376.988,376.63212500000003,
10,EUR_HUF,2023-04-24T09:00:00.000000000Z,17015,376.737,377.128,374.533,374.900,376.862,377.265,374.682,375.036,376.986,377.450,374.812,375.173,376.461875,
11,EUR_HUF,2023-04-24T13:00:00.000000000Z,14564,374.898,375.983,374.833,375.797,375.036,376.115,375.000,375.959,375.173,376.256,375.128,376.121,376.21225,
12,EUR_HUF,2023-04-24T17:00:00.000000000Z,5074,375.797,375.954,375.492,375.791,375.952,376.086,375.644,375.951,376.106,376.256,375.784,376.111,376.040625,
13,EUR_HUF,2023-04-24T21:00:00.000000000Z,2939,375.375,375.839,374.224,375.724,375.930,376.108,375.423,375.974,376.485,376.920,376.075,376.224,376.05487500000004,
14,EUR_HUF,2023-04-25T01:00:00.000000000Z,4572,375.724,375.915,375.625,375.862,375.970,376.162,375.865,376.138,376.215,376.446,376.102,376.415,376.07475,
15,EUR_HUF,2023-04-25T05:00:00.000000000Z,17980,375.870,377.722,375.480,376.668,376.120,377.864,375.650,376.800,376.370,378.031,375.809,376.931,376.133,
16,EUR_HUF,2023-04-25T09:00:00.000000000Z,22002,376.660,376.765,374.277,375.480,376.796,377.050,375.185,375.674,376.931,378.443,375.336,375.869,376.04925,
17,EUR_HUF,2023-04-25T13:00:00.000000000Z,21877,375.492,377.407,374.277,377.048,375.680,377.525,374.430,377.224,375.869,377.661,374.551,377.400,376.0945,
18,EUR_HUF,2023-04-25T17:00:00.000000000Z,6871,377.050,378.522,376.967,377.890,377.225,378.681,377.133,378.103,377.400,378.852,377.293,378.316,376.477875,
19,EUR_HUF,2023-04-25T21:00:00.000000000Z,3014,377.340,378.000,376.376,377.940,377.945,378.281,377.472,378.207,378.550,378.895,378.074,378.474,376.758875,
20,EUR_HUF,2023-04-26T01:00:00.000000000Z,5570,377.939,378.116,377.837,378.010,378.205,378.388,378.112,378.290,378.471,378.699,378.365,378.571,377.05125,
21,EUR_HUF,2023-04-26T05:00:00.000000000Z,18043,378.020,378.130,374.893,375.447,378.290,378.350,375.026,375.598,378.560,378.600,375.138,375.748,377.00424999999996,
22,EUR_HUF,2023-04-26T09:00:00.000000000Z,17809,375.460,375.929,374.954,375.371,375.598,376.070,375.083,375.520,375.735,376.218,375.200,375.668,376.92699999999996,
23,EUR_HUF,2023-04-26T13:00:00.000000000Z,24151,375.350,375.709,373.545,373.937,375.510,375.840,373.668,374.076,375.670,375.981,373.785,374.216,376.5865,
24,EUR_HUF,2023-04-26T17:00:00.000000000Z,4917,373.872,374.143,373.323,373.355,374.020,374.263,373.685,373.715,374.168,374.393,373.884,374.075,376.341625,
