,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c
0,EUR_JPY,2022-11-15T18:00:00.000000000Z,20821,144.635,144.761,143.378,143.709,144.643,144.771,143.392,143.720,144.651,144.781,143.406,143.732
1,EUR_JPY,2022-11-15T19:00:00.000000000Z,22734,143.711,144.186,143.341,144.123,143.722,144.196,143.353,144.136,143.733,144.208,143.365,144.148
2,EUR_JPY,2022-11-15T20:00:00.000000000Z,13357,144.126,144.270,144.008,144.092,144.138,144.282,144.018,144.102,144.149,144.295,144.028,144.111
3,EUR_JPY,2022-11-15T21:00:00.000000000Z,6365,144.092,144.193,143.958,144.148,144.102,144.204,143.974,144.164,144.112,144.218,143.988,144.180
4,EUR_JPY,2022-11-15T22:00:00.000000000Z,6599,144.052,144.150,143.993,144.078,144.127,144.204,144.058,144.108,144.202,144.279,144.077,144.137
5,EUR_JPY,2022-11-15T23:00:00.000000000Z,9783,144.076,144.103,143.556,143.922,144.108,144.120,143.570,143.938,144.140,144.151,143.581,143.954
6,EUR_JPY,2022-11-16T00:00:00.000000000Z,11930,143.917,144.335,143.853,144.154,143.932,144.344,143.862,144.166,143.947,144.353,143.872,144.179
7,EUR_JPY,2022-11-16T01:00:00.000000000Z,13868,144.151,144.655,144.119,144.517,144.164,144.666,144.134,144.530,144.178,144.679,144.146,144.542
8,EUR_JPY,2022-11-16T02:00:00.000000000Z,13013,144.515,145.255,144.489,145.111,144.528,145.268,144.504,145.125,144.542,145.282,144.519,145.139
9,EUR_JPY,2022-11-16T03:00:00.000000000Z,8792,145.113,145.251,145.020,145.132,145.126,145.264,145.032,145.142,145.138,145.276,145.043,145.153
10,EUR_JPY,2022-11-16T04:00:00.000000000Z,8606,145.130,145.144,144.876,144.887,145.141,145.156,144.887,144.898,145.152,145.167,144.898,144.909
11,EUR_JPY,2022-11-16T05:00:00.000000000Z,11168,144.888,145.089,144.816,144.928,144.900,145.099,144.830,144.940,144.911,145.111,144.843,144.951
12,EUR_JPY,2022-11-16T06:00:00.000000000Z,10138,144.932,145.194,144.843,144.952,144.945,145.204,144.864,144.966,144.958,145.215,144.883,144.981
13,EUR_JPY,2022-11-16T07:00:00.000000000Z,14932,144.952,145.276,144.941,144.981,144.964,145.287,144.956,144.994,144.975,145.299,144.971,145.006
14,EUR_JPY,2022-11-16T08:00:00.000000000Z,14483,144.977,145.317,144.916,145.297,144.988,145.326,144.927,145.309,145.000,145.336,144.938,145.321
15,EUR_JPY,2022-11-16T09:00:00.000000000Z,10684,145.299,145.451,145.162,145.237,145.312,145.460,145.173,145.248,145.325,145.470,145.183,145.258
16,EUR_JPY,2022-11-16T10:00:00.000000000Z,11020,145.247,145.387,145.164,145.322,145.256,145.393,145.177,145.333,145.266,145.400,145.189,145.344
17,EUR_JPY,2022-11-16T11:00:00.000000000Z,9625,145.321,145.421,145.218,145.226,145.332,145.430,145.229,145.238,145.344,145.441,145.238,145.249
18,EUR_JPY,2022-11-16T12:00:00.000000000Z,10076,145.228,145.336,145.060,145.209,145.240,145.344,145.070,145.219,145.253,145.356,145.078,145.229
19,EUR_JPY,2022-11-16T13:00:00.000000000Z,17946,145.207,145.491,145.101,145.233,145.218,145.504,145.154,145.242,145.229,145.520,145.164,145.252
20,EUR_JPY,2022-11-16T14:00:00.000000000Z,18114,145.231,145.259,144.664,144.823,145.241,145.268,144.674,144.834,145.251,145.278,144.684,144.846
21,EUR_JPY,2022-11-16T15:00:00.000000000Z,15011,144.820,144.996,144.676,144.969,144.834,145.005,144.688,144.978,144.847,145.015,144.699,144.988
22,EUR_JPY,2022-11-16T16:00:00.000000000Z,10282,144.970,145.200,144.917,145.094,144.978,145.210,144.928,145.104,144.987,145.220,144.936,145.114
23,EUR_JPY,2022-11-16T17:00:00.000000000Z,8975,145.095,145.116,144.668,144.752,145.104,145.125,144.679,144.763,145.114,145.135,144.690,144.774
24,EUR_JPY,2022-11-16T18:00:00.000000000Z,8797,144.756,144.769,144.576,144.763,144.767,144.778,144.588,144.772,144.778,144.789,144.599,144.782
25,EUR_JPY,2022-11-16T19:00:00.000000000Z,6992,144.759,144.798,144.696,144.773,144.770,144.806,144.706,144.781,144.781,144.815,144.715,144.789
26,EUR_JPY,2022-11-16T20:00:00.000000000Z,8183,144.770,144.964,144.741,144.937,144.780,144.972,144.751,144.947,144.789,144.983,144.758,144.957
27,EUR_JPY,2022-11-16T21:00:00.000000000Z,5202,144.939,145.040,144.896,145.029,144.948,145.050,144.908,145.041,144.957,145.062,144.918,145.053
28,EUR_JPY,2022-11-16T22:00:00.000000000Z,7901,144.868,145.055,144.868,144.973,144.943,145.074,144.936,144.987,145.018,145.105,144.973,145.001
29,EUR_JPY,2022-11-16T23:00:00.000000000Z,4325,144.971,145.035,144.778,144.800,145.006,145.065,144.790,144.812,145.041,145.096,144.801,144.823
30,EUR_JPY,2022-11-17T00:00:00.000000000Z,6692,144.799,144.948,144.698,144.844,144.810,144.960,144.710,144.856,144.820,144.973,144.722,144.867
31,EUR_JPY,2022-11-17T01:00:00.000000000Z,8032,144.846,144.885,144.665,144.779,144.858,144.898,144.676,144.791,144.871,144.911,144.687,144.803
32,EUR_JPY,2022-11-17T02:00:00.000000000Z,7701,144.782,144.797,144.671,144.724,144.792,144.807,144.684,144.734,144.803,144.818,144.697,144.745
33,EUR_JPY,2022-11-17T03:00:00.000000000Z,7036,144.724,144.844,144.682,144.776,144.736,144.853,144.693,144.785,144.747,144.864,144.704,144.794
34,EUR_JPY,2022-11-17T04:00:00.000000000Z,5368,144.776,144.834,144.676,144.708,144.784,144.842,144.688,144.716,144.792,144.852,144.699,144.725
35,EUR_JPY,2022-11-17T05:00:00.000000000Z,6511,144.707,144.774,144.626,144.728,144.716,144.784,144.638,144.740,144.726,144.797,144.650,144.751
36,EUR_JPY,2022-11-17T06:00:00.000000000Z,7109,144.725,144.940,144.651,144.884,144.736,144.950,144.662,144.894,144.748,144.962,144.671,144.905
37,EUR_JPY,2022-11-17T07:00:00.000000000Z,10349,144.884,144.933,144.641,144.785,144.894,144.942,144.656,144.794,144.904,144.952,144.671,144.804
38,EUR_JPY,2022-11-17T08:00:00.000000000Z,13570,144.783,144.885,144.435,144.781,144.794,144.894,144.446,144.791,144.805,144.904,144.457,144.801
39,EUR_JPY,2022-11-17T09:00:00.000000000Z,10290,144.780,144.831,144.650,144.695,144.790,144.843,144.662,144.708,144.801,144.855,144.671,144.720
40,EUR_JPY,2022-11-17T10:00:00.000000000Z,10009,144.698,144.909,144.636,144.659,144.710,144.918,144.646,144.668,144.721,144.929,144.656,144.676
41,EUR_JPY,2022-11-17T11:00:00.000000000Z,11288,144.659,144.750,144.529,144.727,144.668,144.762,144.540,144.737,144.678,144.773,144.551,144.747
42,EUR_JPY,2022-11-17T12:00:00.000000000Z,12307,144.728,144.969,144.597,144.966,144.739,144.978,144.611,144.976,144.750,144.987,144.624,144.986
43,EUR_JPY,2022-11-17T13:00:00.000000000Z,18125,144.966,145.110,144.664,144.891,144.975,145.120,144.680,144.901,144.984,145.130,144.696,144.911
44,EUR_JPY,2022-11-17T14:00:00.000000000Z,14396,144.890,145.236,144.881,145.188,144.900,145.245,144.890,145.198,144.909,145.255,144.898,145.207
45,EUR_JPY,2022-11-17T15:00:00.000000000Z,13972,145.190,145.363,145.105,145.204,145.198,145.370,145.115,145.214,145.207,145.377,145.125,145.223
46,EUR_JPY,2022-11-17T16:00:00.000000000Z,9161,145.205,145.297,145.103,145.215,145.214,145.305,145.112,145.224,145.223,145.315,145.121,145.234
47,EUR_JPY,2022-11-17T17:00:00.000000000Z,9147,145.218,145.250,145.110,145.200,145.229,145.260,145.120,145.209,145.240,145.270,145.128,145.218
48,EUR_JPY,2022-11-17T18:00:00.000000000Z,7190,145.198,145.394,145.132,145.373,145.208,145.403,145.142,145.382,145.219,145.413,145.152,145.392
49,EUR_JPY,2022-11-17T19:00:00.000000000Z,5914,145.373,145.467,145.307,145.310,145.382,145.476,145.316,145.318,145.390,145.484,145.324,145.326
50,EUR_JPY,2022-11-17T20:00:00.000000000Z,5852,145.309,145.367,145.200,145.352,145.318,145.376,145.210,145.361,145.327,145.387,145.221,145.370
51,EUR_JPY,2022-11-17T21:00:00.000000000Z,3729,145.353,145.354,145.288,145.324,145.361,145.366,145.300,145.339,145.369,145.377,145.307,145.354
