,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,EUR_JPY,2023-04-20T17:00:00.000000000Z,12790,147.124,147.347,147.113,147.257,147.131,147.357,147.122,147.270,147.138,147.367,147.131,147.282,,
1,EUR_JPY,2023-04-20T21:00:00.000000000Z,17979,147.203,147.312,146.914,147.148,147.260,147.323,146.926,147.158,147.318,147.341,146.936,147.169,,
2,EUR_JPY,2023-04-21T01:00:00.000000000Z,15392,147.149,147.178,146.622,146.727,147.158,147.189,146.635,146.737,147.168,147.200,146.647,146.747,,
3,EUR_JPY,2023-04-21T05:00:00.000000000Z,28464,146.727,147.030,146.397,146.601,146.736,147.038,146.406,146.612,146.746,147.048,146.414,146.622,,
4,EUR_JPY,2023-04-21T09:00:00.000000000Z,23344,146.600,147.011,146.452,146.837,146.611,147.020,146.462,146.846,146.622,147.029,146.472,146.855,,
5,EUR_JPY,2023-04-21T13:00:00.000000000Z,35532,146.835,147.557,146.736,147.258,146.845,147.567,146.746,147.267,146.855,147.577,146.756,147.276,,
6,EUR_JPY,2023-04-21T17:00:00.000000000Z,13083,147.255,147.427,147.187,147.384,147.262,147.437,147.197,147.402,147.270,147.447,147.205,147.421,,
7,EUR_JPY,2023-04-23T21:00:00.000000000Z,9986,147.199,147.403,147.111,147.295,147.264,147.416,147.123,147.306,147.330,147.450,147.130,147.317,147.07475,
8,EUR_JPY,2023-04-24T01:00:00.000000000Z,18297,147.293,147.657,147.230,147.526,147.303,147.664,147.240,147.536,147.313,147.673,147.251,147.545,147.108,
9,EUR_JPY,2023-04-24T05:00:00.000000000Z,25914,147.525,147.838,147.156,147.826,147.536,147.846,147.166,147.835,147.546,147.855,147.175,147.844,147.19262500000002,
10,EUR_JPY,2023-04-24T09:00:00.000000000Z,25326,147.825,148.289,147.745,148.256,147.835,148.298,147.754,148.266,147.845,148.309,147.764,148.277,147.38375,
11,EUR_JPY,2023-04-24T13:00:00.000000000Z,23989,148.257,148.467,148.087,148.268,148.266,148.476,148.096,148.276,148.276,148.485,148.104,148.284,147.59175,
12,EUR_JPY,2023-04-24T17:00:00.000000000Z,9978,148.269,148.418,148.213,148.278,148.278,148.426,148.224,148.290,148.286,148.435,148.234,148.301,147.77224999999999,
13,EUR_JPY,2023-04-24T21:00:00.000000000Z,17100,148.246,148.597,148.032,148.513,148.321,148.608,148.040,148.524,148.396,148.621,148.047,148.535,147.92937500000002,
14,EUR_JPY,2023-04-25T01:00:00.000000000Z,16877,148.512,148.608,148.296,148.402,148.524,148.618,148.304,148.412,148.535,148.629,148.312,148.422,148.05562500000002,
15,EUR_JPY,2023-04-25T05:00:00.000000000Z,30475,148.405,148.619,147.783,148.051,148.415,148.630,147.794,148.062,148.425,148.642,147.804,148.072,148.150125,
16,EUR_JPY,2023-04-25T09:00:00.000000000Z,26707,148.052,148.117,147.461,147.533,148.062,148.126,147.473,147.544,148.071,148.136,147.485,147.555,148.151125,
17,EUR_JPY,2023-04-25T13:00:00.000000000Z,32779,147.544,147.595,146.773,146.785,147.554,147.604,146.783,146.794,147.564,147.617,146.792,146.803,148.021,
