,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,EUR_NOK,2023-06-29T17:00:00.000000000Z,3938,11.73593,11.74399,11.73195,11.74284,11.73802,11.74617,11.73382,11.74520,11.74012,11.74890,11.73560,11.74755,,
1,EUR_NOK,2023-06-29T18:00:00.000000000Z,4674,11.74284,11.74321,11.73630,11.73660,11.74512,11.74543,11.73844,11.73868,11.74740,11.74775,11.74059,11.74075,,
2,EUR_NOK,2023-06-29T19:00:00.000000000Z,3450,11.73660,11.74105,11.73370,11.73620,11.73862,11.74306,11.73581,11.73825,11.74065,11.74518,11.73792,11.74030,,
3,EUR_NOK,2023-06-29T20:00:00.000000000Z,2058,11.73670,11.73730,11.72850,11.73050,11.73850,11.74017,11.73466,11.73730,11.74030,11.74455,11.73787,11.74410,,
4,EUR_NOK,2023-06-29T21:00:00.000000000Z,1,11.72990,11.72990,11.72990,11.72990,11.73665,11.73665,11.73665,11.73665,11.74340,11.74340,11.74340,11.74340,,
5,EUR_NOK,2023-06-29T22:00:00.000000000Z,917,11.71525,11.73800,11.71525,11.72989,11.73525,11.74220,11.73345,11.73784,11.75525,11.75640,11.74100,11.74580,,
6,EUR_NOK,2023-06-29T23:00:00.000000000Z,10729,11.72960,11.73990,11.72760,11.73392,11.73770,11.74530,11.73398,11.73796,11.74580,11.75310,11.73940,11.74200,,
7,EUR_NOK,2023-06-30T00:00:00.000000000Z,5600,11.73401,11.74130,11.73106,11.73790,11.73800,11.74400,11.73522,11.74105,11.74200,11.74736,11.73938,11.74420,11.73911625,
8,EUR_NOK,2023-06-30T01:00:00.000000000Z,11501,11.73690,11.73690,11.72530,11.72898,11.74055,11.74055,11.72770,11.73259,11.74420,11.74420,11.72950,11.73620,11.737540000000001,
9,EUR_NOK,2023-06-30T02:00:00.000000000Z,5425,11.72892,11.73070,11.71020,11.71360,11.73251,11.73290,11.71428,11.71660,11.73610,11.73620,11.71820,11.71960,11.73478,
10,EUR_NOK,2023-06-30T03:00:00.000000000Z,4388,11.71373,11.71780,11.71310,11.71371,11.71666,11.71975,11.71607,11.71696,11.71960,11.72190,11.71830,11.72020,11.73211875,
11,EUR_NOK,2023-06-30T04:00:00.000000000Z,3949,11.71371,11.71560,11.70880,11.71430,11.71686,11.71790,11.71315,11.71740,11.72000,11.72080,11.71680,11.72050,11.72963125,
12,EUR_NOK,2023-06-30T05:00:00.000000000Z,6042,11.71443,11.72090,11.70075,11.71780,11.71746,11.72282,11.70392,11.72000,11.72050,11.72555,11.70650,11.72219,11.72755,
13,EUR_NOK,2023-06-30T06:00:00.000000000Z,10735,11.71780,11.72270,11.69838,11.71370,11.71982,11.72460,11.69990,11.71585,11.72183,11.72737,11.70120,11.71800,11.72480125,
14,EUR_NOK,2023-06-30T07:00:00.000000000Z,13438,11.71360,11.71890,11.67236,11.70030,11.71470,11.72155,11.67426,11.70550,11.71580,11.73160,11.67616,11.71070,11.72074375,
15,EUR_NOK,2023-06-30T08:00:00.000000000Z,10846,11.70020,11.71300,11.66847,11.66892,11.70545,11.71504,11.67242,11.67643,11.71070,11.72690,11.67420,11.68394,11.71266625,
16,EUR_NOK,2023-06-30T09:00:00.000000000Z,8473,11.67340,11.68689,11.65630,11.65753,11.69315,11.69315,11.65850,11.65992,11.71290,11.71290,11.66050,11.66230,11.7035825,
