,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c
0,EUR_NZD,2022-11-22T20:00:00.000000000Z,1713,1.67361,1.67426,1.67287,1.67403,1.67382,1.67447,1.67309,1.67424,1.67403,1.67468,1.67330,1.67445
1,EUR_NZD,2022-11-22T21:00:00.000000000Z,2359,1.67395,1.67449,1.67374,1.67414,1.67416,1.67470,1.67396,1.67438,1.67437,1.67492,1.67415,1.67461
2,EUR_NZD,2022-11-22T22:00:00.000000000Z,1373,1.67464,1.67531,1.67257,1.67502,1.67764,1.67794,1.67392,1.67563,1.68063,1.68093,1.67465,1.67624
3,EUR_NZD,2022-11-22T23:00:00.000000000Z,2756,1.67507,1.67598,1.67306,1.67474,1.67560,1.67619,1.67397,1.67496,1.67613,1.67641,1.67476,1.67519
4,EUR_NZD,2022-11-23T00:00:00.000000000Z,1650,1.67484,1.67849,1.67372,1.67629,1.67504,1.67868,1.67392,1.67720,1.67523,1.67888,1.67411,1.67810
5,EUR_NZD,2022-11-23T01:00:00.000000000Z,9353,1.67629,1.68078,1.66488,1.67035,1.67724,1.68362,1.66510,1.67056,1.67818,1.68645,1.66532,1.67077
6,EUR_NZD,2022-11-23T02:00:00.000000000Z,2784,1.67029,1.67251,1.66919,1.67000,1.67050,1.67276,1.66938,1.67020,1.67071,1.67301,1.66958,1.67039
7,EUR_NZD,2022-11-23T03:00:00.000000000Z,3666,1.66998,1.67353,1.66993,1.67339,1.67019,1.67372,1.67012,1.67360,1.67040,1.67392,1.67032,1.67381
8,EUR_NZD,2022-11-23T04:00:00.000000000Z,2664,1.67337,1.67454,1.67309,1.67427,1.67356,1.67474,1.67331,1.67448,1.67376,1.67498,1.67352,1.67469
9,EUR_NZD,2022-11-23T05:00:00.000000000Z,2571,1.67426,1.67664,1.67249,1.67417,1.67446,1.67684,1.67268,1.67436,1.67465,1.67703,1.67288,1.67456
10,EUR_NZD,2022-11-23T06:00:00.000000000Z,2889,1.67409,1.67474,1.67188,1.67201,1.67428,1.67494,1.67208,1.67220,1.67448,1.67513,1.67228,1.67240
11,EUR_NZD,2022-11-23T07:00:00.000000000Z,3880,1.67201,1.67381,1.66940,1.67123,1.67222,1.67400,1.66960,1.67142,1.67243,1.67421,1.66979,1.67162
12,EUR_NZD,2022-11-23T08:00:00.000000000Z,3702,1.67115,1.67193,1.66775,1.66826,1.67134,1.67218,1.66794,1.66852,1.67154,1.67248,1.66814,1.66879
13,EUR_NZD,2022-11-23T09:00:00.000000000Z,1978,1.66830,1.67110,1.66791,1.67110,1.66855,1.67130,1.66810,1.67130,1.66880,1.67149,1.66830,1.67149
14,EUR_NZD,2022-11-23T10:00:00.000000000Z,1321,1.67094,1.67130,1.66732,1.67118,1.67114,1.67150,1.66752,1.67138,1.67133,1.67169,1.66771,1.67157
15,EUR_NZD,2022-11-23T11:00:00.000000000Z,1634,1.67113,1.67359,1.67096,1.67186,1.67132,1.67379,1.67116,1.67206,1.67152,1.67402,1.67135,1.67225
