,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,EUR_NZD,2023-04-20T17:00:00.000000000Z,1684,1.77180,1.77738,1.77120,1.77573,1.77200,1.77758,1.77140,1.77596,1.77220,1.77779,1.77160,1.77618,,
1,EUR_NZD,2023-04-20T21:00:00.000000000Z,2892,1.77434,1.77812,1.77312,1.77716,1.77580,1.77832,1.77478,1.77736,1.77727,1.77853,1.77498,1.77757,,
2,EUR_NZD,2023-04-21T01:00:00.000000000Z,1915,1.77709,1.78142,1.77687,1.78035,1.77730,1.78162,1.77708,1.78056,1.77750,1.78183,1.77728,1.78076,,
3,EUR_NZD,2023-04-21T05:00:00.000000000Z,5478,1.78029,1.78746,1.77925,1.78619,1.78050,1.78766,1.77946,1.78640,1.78070,1.78787,1.77966,1.78660,,
4,EUR_NZD,2023-04-21T09:00:00.000000000Z,3658,1.78612,1.79193,1.78425,1.78829,1.78632,1.79214,1.78446,1.78850,1.78653,1.79234,1.78466,1.78870,,
5,EUR_NZD,2023-04-21T13:00:00.000000000Z,7750,1.78837,1.78967,1.78296,1.78876,1.78858,1.78988,1.78316,1.78896,1.78878,1.79008,1.78337,1.78917,,
6,EUR_NZD,2023-04-21T17:00:00.000000000Z,1988,1.78864,1.79097,1.78674,1.78990,1.78884,1.79118,1.78694,1.79022,1.78905,1.79138,1.78715,1.79053,,
7,EUR_NZD,2023-04-23T21:00:00.000000000Z,2271,1.78765,1.79116,1.78646,1.78932,1.78948,1.79136,1.78874,1.78952,1.79130,1.79294,1.78894,1.78973,1.784685,
8,EUR_NZD,2023-04-24T01:00:00.000000000Z,2208,1.78922,1.79115,1.78809,1.78931,1.78942,1.79136,1.78830,1.78952,1.78963,1.79156,1.78850,1.78972,1.78638,
9,EUR_NZD,2023-04-24T05:00:00.000000000Z,4013,1.78937,1.79191,1.78607,1.79077,1.78958,1.79212,1.78628,1.79098,1.78978,1.79232,1.78648,1.79118,1.7880825,
10,EUR_NZD,2023-04-24T09:00:00.000000000Z,4184,1.79065,1.79346,1.79003,1.79298,1.79086,1.79366,1.79024,1.79318,1.79106,1.79387,1.79044,1.79339,1.78966,
11,EUR_NZD,2023-04-24T13:00:00.000000000Z,4817,1.79308,1.79591,1.79139,1.79398,1.79328,1.79612,1.79160,1.79418,1.79349,1.79632,1.79180,1.79439,1.7906325,
12,EUR_NZD,2023-04-24T17:00:00.000000000Z,1256,1.79390,1.79428,1.79033,1.79090,1.79410,1.79448,1.79054,1.79112,1.79431,1.79469,1.79074,1.79134,1.79096,
13,EUR_NZD,2023-04-24T21:00:00.000000000Z,3535,1.78992,1.79217,1.78889,1.79130,1.79106,1.79238,1.79006,1.79150,1.79220,1.79363,1.79027,1.79171,1.7912775,
14,EUR_NZD,2023-04-25T01:00:00.000000000Z,2354,1.79124,1.79248,1.78831,1.79115,1.79144,1.79268,1.78852,1.79136,1.79165,1.79289,1.78872,1.79156,1.79142,
15,EUR_NZD,2023-04-25T05:00:00.000000000Z,5234,1.79115,1.79294,1.78761,1.79005,1.79136,1.79314,1.78782,1.79026,1.79158,1.79335,1.78802,1.79046,1.7915125,
16,EUR_NZD,2023-04-25T09:00:00.000000000Z,3819,1.78999,1.79038,1.78599,1.78740,1.79020,1.79058,1.78620,1.78760,1.79040,1.79079,1.78640,1.78781,1.7912725,
17,EUR_NZD,2023-04-25T13:00:00.000000000Z,5699,1.78734,1.78945,1.78500,1.78553,1.78754,1.78966,1.78520,1.78574,1.78775,1.78986,1.78541,1.78594,1.7906175000000002,
18,EUR_NZD,2023-04-25T17:00:00.000000000Z,2015,1.78561,1.78859,1.78528,1.78807,1.78582,1.78880,1.78548,1.78828,1.78602,1.78900,1.78569,1.78848,1.7900050000000003,
19,EUR_NZD,2023-04-25T21:00:00.000000000Z,4206,1.78642,1.78764,1.78496,1.78605,1.78730,1.78822,1.78516,1.78626,1.78817,1.78925,1.78537,1.78646,1.789015,
