,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,EUR_PLN,2023-06-29T17:00:00.000000000Z,703,4.44110,4.44360,4.44090,4.44355,4.44188,4.44464,4.44180,4.44462,4.44266,4.44577,4.44266,4.44569,,
1,EUR_PLN,2023-06-29T18:00:00.000000000Z,1373,4.44350,4.44390,4.43798,4.44270,4.44466,4.44499,4.43904,4.44368,4.44582,4.44628,4.44010,4.44465,,
2,EUR_PLN,2023-06-29T19:00:00.000000000Z,1274,4.44270,4.44793,4.44190,4.44790,4.44368,4.44932,4.44312,4.44922,4.44467,4.45078,4.44420,4.45053,,
3,EUR_PLN,2023-06-29T20:00:00.000000000Z,926,4.44799,4.44880,4.44560,4.44650,4.44935,4.45032,4.44750,4.44855,4.45071,4.45188,4.44867,4.45060,,
4,EUR_PLN,2023-06-29T21:00:00.000000000Z,142,4.44600,4.44600,4.43585,4.44220,4.44790,4.44790,4.44325,4.44615,4.44980,4.45300,4.44730,4.45010,,
5,EUR_PLN,2023-06-29T22:00:00.000000000Z,756,4.44220,4.44960,4.43930,4.44960,4.44620,4.45200,4.44480,4.45200,4.45020,4.45480,4.44890,4.45440,,
6,EUR_PLN,2023-06-29T23:00:00.000000000Z,367,4.44922,4.44950,4.44230,4.44250,4.45171,4.45176,4.44355,4.44370,4.45420,4.45432,4.44480,4.44491,,
7,EUR_PLN,2023-06-30T00:00:00.000000000Z,419,4.44200,4.44430,4.44031,4.44400,4.44316,4.44520,4.44191,4.44495,4.44431,4.44610,4.44301,4.44590,4.44660875,
8,EUR_PLN,2023-06-30T01:00:00.000000000Z,344,4.44390,4.44650,4.44390,4.44640,4.44490,4.44750,4.44475,4.44750,4.44590,4.44860,4.44560,4.44860,4.44696875,
9,EUR_PLN,2023-06-30T02:00:00.000000000Z,195,4.44640,4.44700,4.44590,4.44700,4.44730,4.44800,4.44680,4.44800,4.44820,4.44900,4.44770,4.44900,4.44750875,
10,EUR_PLN,2023-06-30T03:00:00.000000000Z,270,4.44690,4.44800,4.44650,4.44800,4.44795,4.44910,4.44750,4.44910,4.44900,4.45020,4.44850,4.45020,4.4474937500000005,
11,EUR_PLN,2023-06-30T04:00:00.000000000Z,210,4.44800,4.44820,4.44730,4.44760,4.44915,4.44920,4.44835,4.44880,4.45030,4.45030,4.44930,4.45000,4.447525000000001,
12,EUR_PLN,2023-06-30T05:00:00.000000000Z,526,4.44780,4.44810,4.44040,4.44090,4.44890,4.44905,4.44148,4.44206,4.45000,4.45002,4.44255,4.44321,4.44701375,
13,EUR_PLN,2023-06-30T06:00:00.000000000Z,2998,4.44060,4.44352,4.43830,4.43842,4.44186,4.44436,4.43920,4.43941,4.44313,4.44520,4.44010,4.44040,4.44544,
14,EUR_PLN,2023-06-30T07:00:00.000000000Z,2725,4.43850,4.45020,4.43840,4.44950,4.43945,4.45149,4.43940,4.45125,4.44040,4.45348,4.44030,4.45300,4.44638375,
15,EUR_PLN,2023-06-30T08:00:00.000000000Z,2603,4.44930,4.45020,4.43990,4.43990,4.45116,4.45138,4.44390,4.44505,4.45302,4.45360,4.44460,4.45020,4.44639625,
16,EUR_PLN,2023-06-30T09:00:00.000000000Z,3874,4.43770,4.45933,4.43770,4.44680,4.44410,4.46038,4.44299,4.44784,4.45050,4.46155,4.44695,4.44888,4.44643875,
17,EUR_PLN,2023-06-30T10:00:00.000000000Z,2852,4.44680,4.44878,4.44154,4.44702,4.44788,4.44980,4.44257,4.44786,4.44896,4.45110,4.44332,4.44870,4.44642125,
18,EUR_PLN,2023-06-30T11:00:00.000000000Z,1771,4.44711,4.44727,4.43706,4.43718,4.44790,4.44798,4.43778,4.43799,4.44870,4.44895,4.43850,4.43880,4.4450325,
19,EUR_PLN,2023-06-30T12:00:00.000000000Z,4587,4.43719,4.44580,4.43365,4.44290,4.43800,4.44640,4.43475,4.44372,4.43880,4.44800,4.43576,4.44454,4.4443975,
20,EUR_PLN,2023-06-30T13:00:00.000000000Z,4181,4.44300,4.44645,4.44170,4.44480,4.44380,4.44737,4.44235,4.44625,4.44460,4.44833,4.44300,4.44770,4.44492125,
21,EUR_PLN,2023-06-30T14:00:00.000000000Z,3774,4.44430,4.44690,4.43121,4.43139,4.44615,4.44762,4.43196,4.43204,4.44800,4.44837,4.43270,4.43270,4.444,
22,EUR_PLN,2023-06-30T15:00:00.000000000Z,2746,4.43137,4.43754,4.43096,4.43505,4.43204,4.43846,4.43168,4.43592,4.43270,4.43950,4.43240,4.43680,4.44208375,
23,EUR_PLN,2023-06-30T16:00:00.000000000Z,742,4.43486,4.43654,4.43468,4.43485,4.43588,4.43743,4.43556,4.43574,4.43690,4.43843,4.43644,4.43663,4.44092,
24,EUR_PLN,2023-06-30T17:00:00.000000000Z,667,4.43484,4.43578,4.43453,4.43578,4.43572,4.43684,4.43552,4.43679,4.43661,4.43790,4.43650,4.43780,4.4395387500000005,
25,EUR_PLN,2023-06-30T18:00:00.000000000Z,284,4.43570,4.43570,4.43430,4.43460,4.43680,4.43689,4.43540,4.43555,4.43790,4.43815,4.43650,4.43650,4.438000000000001,
26,EUR_PLN,2023-06-30T19:00:00.000000000Z,514,4.43460,4.43510,4.43430,4.43500,4.43560,4.43625,4.43540,4.43595,4.43660,4.43740,4.43630,4.43690,4.437745,
