,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,EUR_SEK,2023-07-11T16:00:00.000000000Z,8069,11.73190,11.74570,11.73070,11.74340,11.73350,11.74764,11.73240,11.74520,11.73510,11.74974,11.73410,11.74699,,
1,EUR_SEK,2023-07-11T17:00:00.000000000Z,2687,11.74340,11.74390,11.73230,11.74074,11.74505,11.74546,11.73435,11.74252,11.74670,11.74709,11.73640,11.74431,,
2,EUR_SEK,2023-07-11T18:00:00.000000000Z,1786,11.74074,11.74442,11.73580,11.73620,11.74255,11.74634,11.73762,11.73806,11.74436,11.74850,11.73912,11.73993,,
3,EUR_SEK,2023-07-11T19:00:00.000000000Z,3343,11.73620,11.74541,11.73615,11.73800,11.73808,11.74652,11.73808,11.73975,11.73996,11.74785,11.73950,11.74150,,
4,EUR_SEK,2023-07-11T20:00:00.000000000Z,2813,11.73790,11.74227,11.73395,11.73790,11.73970,11.74490,11.73603,11.74230,11.74150,11.74810,11.73811,11.74670,,
5,EUR_SEK,2023-07-11T21:00:00.000000000Z,92,11.73690,11.73690,11.71770,11.72280,11.74185,11.74185,11.72965,11.73405,11.74680,11.74970,11.74160,11.74530,,
6,EUR_SEK,2023-07-11T22:00:00.000000000Z,262,11.72380,11.73440,11.72280,11.73023,11.72950,11.74000,11.72950,11.73696,11.73520,11.74760,11.73510,11.74370,,
7,EUR_SEK,2023-07-11T23:00:00.000000000Z,1956,11.73145,11.73910,11.73022,11.73746,11.73758,11.74321,11.73474,11.74099,11.74370,11.74820,11.73760,11.74452,11.73997875,
8,EUR_SEK,2023-07-12T00:00:00.000000000Z,1776,11.73742,11.73990,11.72891,11.73120,11.74096,11.74204,11.73194,11.73398,11.74451,11.74452,11.73460,11.73677,11.738576250000001,
9,EUR_SEK,2023-07-12T01:00:00.000000000Z,2184,11.73124,11.73124,11.72121,11.72790,11.73400,11.73400,11.72399,11.73119,11.73677,11.73677,11.72580,11.73448,11.737160000000001,
10,EUR_SEK,2023-07-12T02:00:00.000000000Z,2626,11.72790,11.73000,11.72330,11.72435,11.73120,11.73332,11.72590,11.72692,11.73451,11.73673,11.72830,11.72950,11.7357675,
11,EUR_SEK,2023-07-12T03:00:00.000000000Z,2180,11.72432,11.72832,11.72100,11.72150,11.72691,11.73080,11.72365,11.72445,11.72950,11.73371,11.72630,11.72740,11.733855,
12,EUR_SEK,2023-07-12T04:00:00.000000000Z,1844,11.72150,11.72470,11.71860,11.71890,11.72450,11.72710,11.72100,11.72185,11.72750,11.72970,11.72340,11.72480,11.73129875,
13,EUR_SEK,2023-07-12T05:00:00.000000000Z,7336,11.71890,11.73934,11.71840,11.73092,11.72195,11.74170,11.72090,11.73331,11.72500,11.74420,11.72320,11.73570,11.73120625,
14,EUR_SEK,2023-07-12T06:00:00.000000000Z,4564,11.73093,11.74460,11.72450,11.74136,11.73332,11.74655,11.72644,11.74373,11.73570,11.74850,11.72838,11.74610,11.732052499999998,
15,EUR_SEK,2023-07-12T07:00:00.000000000Z,5483,11.74136,11.75567,11.73954,11.75247,11.74383,11.75746,11.74126,11.75418,11.74630,11.75954,11.74290,11.75590,11.73370125,
16,EUR_SEK,2023-07-12T08:00:00.000000000Z,4425,11.75247,11.75260,11.73973,11.74575,11.75423,11.75432,11.74126,11.74712,11.75599,11.75631,11.74280,11.74850,11.735343749999998,
17,EUR_SEK,2023-07-12T09:00:00.000000000Z,3207,11.74589,11.75270,11.72083,11.72370,11.74720,11.75446,11.72200,11.72570,11.74850,11.75630,11.72318,11.72770,11.734657499999999,
18,EUR_SEK,2023-07-12T10:00:00.000000000Z,4195,11.72410,11.72778,11.70449,11.71384,11.72610,11.72969,11.70670,11.71584,11.72810,11.73160,11.70883,11.71785,11.7332725,
19,EUR_SEK,2023-07-12T11:00:00.000000000Z,4775,11.71390,11.71530,11.68200,11.68620,11.71588,11.71674,11.68386,11.68737,11.71785,11.71859,11.68566,11.68854,11.7286375,
20,EUR_SEK,2023-07-12T12:00:00.000000000Z,12426,11.68630,11.68999,11.62761,11.66160,11.68742,11.69110,11.63260,11.66330,11.68853,11.70098,11.63630,11.66500,11.72131875,
