,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,EUR_SGD,2023-07-11T17:00:00.000000000Z,2662,1.47580,1.47635,1.47574,1.47619,1.47593,1.47647,1.47588,1.47634,1.47606,1.47661,1.47600,1.47649,,
1,EUR_SGD,2023-07-11T18:00:00.000000000Z,2996,1.47619,1.47620,1.47501,1.47501,1.47632,1.47633,1.47515,1.47516,1.47646,1.47646,1.47529,1.47531,,
2,EUR_SGD,2023-07-11T19:00:00.000000000Z,1723,1.47504,1.47613,1.47502,1.47566,1.47518,1.47626,1.47516,1.47580,1.47532,1.47639,1.47527,1.47593,,
3,EUR_SGD,2023-07-11T20:00:00.000000000Z,940,1.47565,1.47606,1.47541,1.47599,1.47579,1.47626,1.47556,1.47624,1.47593,1.47649,1.47570,1.47649,,
4,EUR_SGD,2023-07-11T21:00:00.000000000Z,654,1.47411,1.47625,1.47411,1.47592,1.47548,1.47650,1.47548,1.47622,1.47685,1.47690,1.47639,1.47651,,
5,EUR_SGD,2023-07-11T22:00:00.000000000Z,376,1.47592,1.47621,1.47586,1.47618,1.47622,1.47646,1.47606,1.47635,1.47653,1.47672,1.47624,1.47652,,
6,EUR_SGD,2023-07-11T23:00:00.000000000Z,902,1.47621,1.47628,1.47600,1.47611,1.47638,1.47642,1.47612,1.47626,1.47654,1.47655,1.47623,1.47641,,
7,EUR_SGD,2023-07-12T00:00:00.000000000Z,4083,1.47611,1.47615,1.47464,1.47559,1.47626,1.47628,1.47476,1.47572,1.47642,1.47642,1.47486,1.47585,1.47601125,
8,EUR_SGD,2023-07-12T01:00:00.000000000Z,4463,1.47560,1.47620,1.47516,1.47554,1.47572,1.47634,1.47530,1.47568,1.47585,1.47647,1.47543,1.47583,1.47592875,
9,EUR_SGD,2023-07-12T02:00:00.000000000Z,4302,1.47558,1.47617,1.47475,1.47491,1.47572,1.47628,1.47490,1.47504,1.47587,1.47639,1.47504,1.47518,1.4759137500000001,
10,EUR_SGD,2023-07-12T03:00:00.000000000Z,2739,1.47491,1.47551,1.47491,1.47548,1.47505,1.47566,1.47505,1.47562,1.47519,1.47582,1.47519,1.47575,1.4758912499999999,
11,EUR_SGD,2023-07-12T04:00:00.000000000Z,2558,1.47549,1.47615,1.47535,1.47579,1.47562,1.47627,1.47546,1.47593,1.47575,1.47639,1.47558,1.47607,1.4758525,
12,EUR_SGD,2023-07-12T05:00:00.000000000Z,3867,1.47579,1.47584,1.47491,1.47494,1.47592,1.47598,1.47503,1.47507,1.47606,1.47612,1.47515,1.47520,1.4757087500000001,
13,EUR_SGD,2023-07-12T06:00:00.000000000Z,4937,1.47503,1.47553,1.47424,1.47438,1.47515,1.47566,1.47436,1.47453,1.47527,1.47581,1.47449,1.47468,1.4754812499999999,
14,EUR_SGD,2023-07-12T07:00:00.000000000Z,5524,1.47439,1.47568,1.47434,1.47491,1.47455,1.47582,1.47448,1.47504,1.47471,1.47595,1.47463,1.47517,1.47532875,
15,EUR_SGD,2023-07-12T08:00:00.000000000Z,4447,1.47490,1.47553,1.47448,1.47494,1.47502,1.47566,1.47463,1.47508,1.47514,1.47580,1.47476,1.47523,1.47524875,
16,EUR_SGD,2023-07-12T09:00:00.000000000Z,3812,1.47491,1.47568,1.47474,1.47491,1.47505,1.47580,1.47488,1.47506,1.47519,1.47592,1.47503,1.47520,1.4751712499999998,
17,EUR_SGD,2023-07-12T10:00:00.000000000Z,3359,1.47487,1.47533,1.47447,1.47475,1.47502,1.47546,1.47462,1.47490,1.47516,1.47560,1.47476,1.47505,1.47515375,
18,EUR_SGD,2023-07-12T11:00:00.000000000Z,4278,1.47475,1.47534,1.47399,1.47411,1.47490,1.47546,1.47412,1.47424,1.47504,1.47559,1.47423,1.47436,1.47498125,
19,EUR_SGD,2023-07-12T12:00:00.000000000Z,12655,1.47411,1.47720,1.47282,1.47685,1.47425,1.47787,1.47417,1.47698,1.47439,1.47949,1.47439,1.47710,1.4751125,
20,EUR_SGD,2023-07-12T13:00:00.000000000Z,11135,1.47685,1.47914,1.47664,1.47902,1.47698,1.47928,1.47677,1.47916,1.47712,1.47942,1.47690,1.47929,1.47562375,
21,EUR_SGD,2023-07-12T14:00:00.000000000Z,9664,1.47902,1.47951,1.47728,1.47912,1.47914,1.47965,1.47744,1.47926,1.47927,1.47979,1.47759,1.47940,1.476215,
22,EUR_SGD,2023-07-12T15:00:00.000000000Z,7174,1.47914,1.47977,1.47851,1.47913,1.47928,1.47990,1.47867,1.47928,1.47941,1.48002,1.47882,1.47942,1.476745,
23,EUR_SGD,2023-07-12T16:00:00.000000000Z,5707,1.47913,1.48003,1.47882,1.47994,1.47927,1.48018,1.47897,1.48010,1.47941,1.48035,1.47912,1.48026,1.4773725,
