,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,EUR_TRY,2023-07-11T17:00:00.000000000Z,1759,28.71364,28.73081,28.71207,28.72422,28.73713,28.75040,28.73228,28.74889,28.76062,28.77491,28.75250,28.77356,,
1,EUR_TRY,2023-07-11T18:00:00.000000000Z,1343,28.72396,28.72988,28.70405,28.70878,28.74868,28.74868,28.72228,28.72659,28.77341,28.77341,28.74030,28.74440,,
2,EUR_TRY,2023-07-11T19:00:00.000000000Z,1360,28.70931,28.72813,28.70808,28.72552,28.72686,28.74922,28.72532,28.74661,28.74440,28.77104,28.74220,28.76770,,
3,EUR_TRY,2023-07-11T20:00:00.000000000Z,700,28.72500,28.73922,28.72263,28.73228,28.74609,28.76023,28.74558,28.75634,28.76718,28.78782,28.76718,28.78040,,
4,EUR_TRY,2023-07-11T21:00:00.000000000Z,52,28.66534,28.67009,28.63920,28.66240,28.76416,28.76416,28.70735,28.71855,28.86298,28.86298,28.77080,28.77470,,
5,EUR_TRY,2023-07-11T22:00:00.000000000Z,237,28.55859,28.68624,28.55550,28.57674,28.73927,28.76706,28.68960,28.71018,28.91995,28.91995,28.82139,28.84361,,
6,EUR_TRY,2023-07-11T23:00:00.000000000Z,1675,28.57671,28.72167,28.55734,28.65311,28.71011,28.76674,28.69038,28.72918,28.84351,28.86395,28.78815,28.80525,,
7,EUR_TRY,2023-07-12T00:00:00.000000000Z,2090,28.65039,28.76184,28.63825,28.75421,28.73212,28.79202,28.72955,28.78528,28.81386,28.82403,28.80068,28.81634,28.740202500000002,
8,EUR_TRY,2023-07-12T01:00:00.000000000Z,2360,28.75426,28.80558,28.75044,28.75373,28.78530,28.81919,28.78146,28.78889,28.81634,28.84745,28.81129,28.82405,28.7452025,
9,EUR_TRY,2023-07-12T02:00:00.000000000Z,2045,28.75402,28.79177,28.75402,28.77971,28.78910,28.81670,28.78905,28.80782,28.82418,28.84409,28.82156,28.83592,28.75535625,
10,EUR_TRY,2023-07-12T03:00:00.000000000Z,2256,28.78023,28.78049,28.76801,28.77341,28.80808,28.81174,28.79751,28.80918,28.83592,28.84570,28.82586,28.84495,28.763177499999998,
11,EUR_TRY,2023-07-12T04:00:00.000000000Z,1874,28.77367,28.79281,28.77206,28.79088,28.80931,28.82250,28.80104,28.82020,28.84495,28.85270,28.82989,28.84952,28.771160000000002,
12,EUR_TRY,2023-07-12T05:00:00.000000000Z,1141,28.79032,28.80757,28.77911,28.79012,28.81922,28.82168,28.79468,28.80140,28.84812,28.84812,28.80331,28.81269,28.781516250000003,
13,EUR_TRY,2023-07-12T06:00:00.000000000Z,1730,28.78744,28.84910,28.78740,28.80949,28.80086,28.89722,28.80086,28.82318,28.81429,28.94624,28.81429,28.83687,28.79564125,
14,EUR_TRY,2023-07-12T07:00:00.000000000Z,2179,28.80781,28.83484,28.80781,28.82878,28.82150,28.84266,28.82150,28.83810,28.83519,28.85731,28.82930,28.84743,28.809256249999997,
15,EUR_TRY,2023-07-12T08:00:00.000000000Z,1489,28.82878,28.83754,28.81632,28.82540,28.83798,28.84586,28.82362,28.83290,28.84717,28.85648,28.83088,28.84039,28.815208749999996,
16,EUR_TRY,2023-07-12T09:00:00.000000000Z,955,28.82459,28.83997,28.81309,28.82995,28.83208,28.84654,28.82023,28.83880,28.83956,28.85401,28.82737,28.84765,28.8214475,
17,EUR_TRY,2023-07-12T10:00:00.000000000Z,779,28.82989,28.83218,28.81490,28.82284,28.83868,28.83881,28.82142,28.82991,28.84748,28.84770,28.82793,28.83698,28.82420875,
18,EUR_TRY,2023-07-12T11:00:00.000000000Z,1724,28.82203,28.82482,28.79229,28.80051,28.82906,28.83182,28.79716,28.80538,28.83610,28.83882,28.80203,28.81025,28.823733750000002,
19,EUR_TRY,2023-07-12T12:00:00.000000000Z,5909,28.80006,28.95757,28.79991,28.91716,28.80493,28.96467,28.80493,28.92376,28.80980,28.97184,28.80980,28.93035,28.83667875,
20,EUR_TRY,2023-07-12T13:00:00.000000000Z,4339,28.91799,29.03066,28.91279,29.02403,28.92452,29.03726,28.91940,29.03074,28.93104,29.04386,28.92602,29.03744,28.865346249999998,
21,EUR_TRY,2023-07-12T14:00:00.000000000Z,3157,29.02288,29.09175,29.00174,29.08367,29.02954,29.09879,29.00902,29.09147,29.03621,29.10583,29.01625,29.09927,28.898882500000003,
22,EUR_TRY,2023-07-12T15:00:00.000000000Z,1984,29.08394,29.09706,29.05507,29.08968,29.09130,29.10492,29.06554,29.09780,29.09867,29.11279,29.07538,29.10591,28.931345,
23,EUR_TRY,2023-07-12T16:00:00.000000000Z,1047,29.08946,29.12051,29.08575,29.11870,29.09769,29.12910,29.09374,29.12638,29.10592,29.13774,29.10132,29.13406,28.968030000000002,
24,EUR_TRY,2023-07-12T17:00:00.000000000Z,927,29.11780,29.11933,29.09259,29.10513,29.12547,29.12704,29.10280,29.11526,29.13314,29.13482,29.11300,29.12539,29.0025875,
25,EUR_TRY,2023-07-12T18:00:00.000000000Z,1699,29.10626,29.13322,29.10109,29.12713,29.11630,29.14245,29.11191,29.13674,29.12635,29.15168,29.12271,29.14635,29.040941250000003,
26,EUR_TRY,2023-07-12T19:00:00.000000000Z,574,29.12706,29.13275,29.11330,29.12477,29.13662,29.14236,29.12849,29.13499,29.14619,29.15216,29.13787,29.14521,29.0821425,
27,EUR_TRY,2023-07-12T20:00:00.000000000Z,820,29.12380,29.13020,29.10035,29.10074,29.13404,29.14165,29.11684,29.11751,29.14429,29.15428,29.13091,29.13428,29.106361250000003,
28,EUR_TRY,2023-07-12T21:00:00.000000000Z,151,29.08090,29.09642,29.05200,29.05740,29.14565,29.15772,29.12065,29.12065,29.21040,29.22646,29.18390,29.18390,29.1176,
29,EUR_TRY,2023-07-12T22:00:00.000000000Z,757,29.08750,29.09610,29.05880,29.07112,29.20840,29.25696,29.12142,29.12327,29.32930,29.44667,29.17191,29.17542,29.121575,
30,EUR_TRY,2023-07-12T23:00:00.000000000Z,903,29.07117,29.08767,29.04998,29.08767,29.12330,29.26755,29.12158,29.20150,29.17542,29.45836,29.17243,29.31533,29.1345375,
31,EUR_TRY,2023-07-13T00:00:00.000000000Z,1079,29.08740,29.10328,29.02489,29.07658,29.20136,29.28342,29.12836,29.12849,29.31533,29.47961,29.18014,29.18040,29.13480125,
32,EUR_TRY,2023-07-13T01:00:00.000000000Z,1931,29.07666,29.11197,29.07004,29.09686,29.12853,29.19994,29.12638,29.16216,29.18040,29.31950,29.18040,29.22747,29.140663749999998,
33,EUR_TRY,2023-07-13T02:00:00.000000000Z,1783,29.09738,29.10185,29.07181,29.09075,29.16268,29.16268,29.14282,29.16055,29.22799,29.23402,29.21226,29.23035,29.143639999999998,
34,EUR_TRY,2023-07-13T03:00:00.000000000Z,1354,29.09075,29.10893,29.08025,29.09326,29.16042,29.17343,29.15054,29.16142,29.23009,29.23793,29.22039,29.22957,29.14694375,
35,EUR_TRY,2023-07-13T04:00:00.000000000Z,1279,29.09970,29.11682,29.08544,29.10994,29.16464,29.17483,29.15830,29.16368,29.22959,29.23691,29.21638,29.21743,29.152715,
36,EUR_TRY,2023-07-13T05:00:00.000000000Z,1717,29.10996,29.14416,29.10459,29.12155,29.16370,29.17963,29.14032,29.14340,29.21743,29.22320,29.16185,29.16526,29.15555875,
37,EUR_TRY,2023-07-13T06:00:00.000000000Z,2321,29.12094,29.17502,29.09180,29.17188,29.14297,29.18780,29.14094,29.18470,29.16500,29.21605,29.16473,29.19751,29.163237499999997,
38,EUR_TRY,2023-07-13T07:00:00.000000000Z,2963,29.17041,29.19133,29.13343,29.19061,29.18330,29.20856,29.14528,29.20013,29.19619,29.23056,29.15712,29.20965,29.16306625,
39,EUR_TRY,2023-07-13T08:00:00.000000000Z,2904,29.18999,29.22538,29.17259,29.20196,29.19948,29.23564,29.18210,29.21038,29.20896,29.24590,29.19160,29.21879,29.173302500000002,
40,EUR_TRY,2023-07-13T09:00:00.000000000Z,2367,29.20170,29.23768,29.18677,29.23375,29.21011,29.24608,29.19516,29.24216,29.21852,29.25449,29.20355,29.25057,29.1833025,
41,EUR_TRY,2023-07-13T10:00:00.000000000Z,2205,29.23349,29.23624,29.19884,29.23054,29.24190,29.24465,29.20724,29.23896,29.25030,29.25306,29.21564,29.24738,29.19310375,
42,EUR_TRY,2023-07-13T11:00:00.000000000Z,1987,29.23109,29.25124,29.22612,29.24191,29.23948,29.25965,29.23452,29.25032,29.24788,29.26806,29.24293,29.25872,29.204216249999998,
43,EUR_TRY,2023-07-13T12:00:00.000000000Z,5470,29.24243,29.27641,29.20747,29.25491,29.25084,29.29526,29.21610,29.26332,29.25924,29.31461,29.22474,29.27172,29.21667125,
44,EUR_TRY,2023-07-13T13:00:00.000000000Z,5218,29.25570,29.27718,29.22578,29.24919,29.26404,29.28569,29.24568,29.27668,29.27238,29.32880,29.25527,29.30416,29.23333125,
