,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c
0,EUR_USD,2022-11-22T20:00:00.000000000Z,2742,1.02946,1.03036,1.02931,1.02997,1.02954,1.03045,1.02938,1.03006,1.02963,1.03054,1.02946,1.03014
1,EUR_USD,2022-11-22T21:00:00.000000000Z,1883,1.02997,1.03052,1.02982,1.03015,1.03004,1.03062,1.02990,1.03026,1.03012,1.03071,1.02997,1.03037
2,EUR_USD,2022-11-22T22:00:00.000000000Z,528,1.03012,1.03045,1.02997,1.03027,1.03035,1.03062,1.03018,1.03041,1.03058,1.03079,1.03035,1.03055
3,EUR_USD,2022-11-22T23:00:00.000000000Z,1901,1.03029,1.03101,1.03015,1.03099,1.03042,1.03109,1.03024,1.03108,1.03056,1.03117,1.03034,1.03116
4,EUR_USD,2022-11-23T00:00:00.000000000Z,1942,1.03101,1.03207,1.03031,1.03047,1.03109,1.03214,1.03040,1.03055,1.03117,1.03221,1.03047,1.03063
5,EUR_USD,2022-11-23T01:00:00.000000000Z,4462,1.03050,1.03129,1.02996,1.03103,1.03057,1.03137,1.03004,1.03111,1.03064,1.03145,1.03012,1.03119
6,EUR_USD,2022-11-23T02:00:00.000000000Z,2708,1.03101,1.03241,1.03074,1.03233,1.03110,1.03249,1.03082,1.03240,1.03118,1.03258,1.03090,1.03248
7,EUR_USD,2022-11-23T03:00:00.000000000Z,2285,1.03233,1.03233,1.03113,1.03149,1.03240,1.03240,1.03120,1.03157,1.03247,1.03248,1.03128,1.03165
8,EUR_USD,2022-11-23T04:00:00.000000000Z,1743,1.03147,1.03163,1.03095,1.03161,1.03155,1.03172,1.03102,1.03170,1.03163,1.03181,1.03110,1.03180
9,EUR_USD,2022-11-23T05:00:00.000000000Z,2751,1.03161,1.03304,1.03133,1.03267,1.03169,1.03312,1.03142,1.03275,1.03177,1.03321,1.03150,1.03283
10,EUR_USD,2022-11-23T06:00:00.000000000Z,2720,1.03268,1.03355,1.03213,1.03306,1.03275,1.03362,1.03221,1.03314,1.03282,1.03370,1.03229,1.03322
11,EUR_USD,2022-11-23T07:00:00.000000000Z,5291,1.03305,1.03480,1.03273,1.03425,1.03312,1.03488,1.03281,1.03432,1.03319,1.03497,1.03289,1.03440
12,EUR_USD,2022-11-23T08:00:00.000000000Z,6955,1.03422,1.03422,1.03101,1.03125,1.03428,1.03428,1.03108,1.03138,1.03435,1.03436,1.03116,1.03151
13,EUR_USD,2022-11-23T09:00:00.000000000Z,5945,1.03128,1.03260,1.03013,1.03245,1.03140,1.03267,1.03021,1.03253,1.03152,1.03274,1.03029,1.03261
14,EUR_USD,2022-11-23T10:00:00.000000000Z,4541,1.03243,1.03243,1.02958,1.03112,1.03250,1.03250,1.02966,1.03120,1.03257,1.03257,1.02974,1.03127
15,EUR_USD,2022-11-23T11:00:00.000000000Z,3822,1.03111,1.03243,1.03068,1.03191,1.03118,1.03251,1.03076,1.03198,1.03125,1.03259,1.03083,1.03206
16,EUR_USD,2022-11-23T12:00:00.000000000Z,5069,1.03197,1.03289,1.03142,1.03228,1.03204,1.03296,1.03150,1.03234,1.03212,1.03304,1.03157,1.03241
17,EUR_USD,2022-11-23T13:00:00.000000000Z,9894,1.03226,1.03398,1.03166,1.03312,1.03232,1.03406,1.03174,1.03320,1.03239,1.03416,1.03181,1.03327
18,EUR_USD,2022-11-23T14:00:00.000000000Z,11523,1.03313,1.03746,1.03261,1.03669,1.03320,1.03754,1.03268,1.03686,1.03326,1.03762,1.03275,1.03703
19,EUR_USD,2022-11-23T15:00:00.000000000Z,12807,1.03679,1.03833,1.03431,1.03757,1.03696,1.03840,1.03438,1.03764,1.03713,1.03846,1.03446,1.03770
20,EUR_USD,2022-11-23T16:00:00.000000000Z,6761,1.03760,1.03781,1.03547,1.03629,1.03766,1.03788,1.03554,1.03636,1.03773,1.03795,1.03561,1.03642
21,EUR_USD,2022-11-23T17:00:00.000000000Z,4513,1.03626,1.03729,1.03561,1.03633,1.03634,1.03736,1.03568,1.03640,1.03642,1.03743,1.03575,1.03648
22,EUR_USD,2022-11-23T18:00:00.000000000Z,3977,1.03629,1.03786,1.03587,1.03736,1.03638,1.03794,1.03594,1.03754,1.03646,1.03801,1.03601,1.03771
23,EUR_USD,2022-11-23T19:00:00.000000000Z,12718,1.03734,1.04045,1.03662,1.04001,1.03754,1.04052,1.03672,1.04008,1.03773,1.04060,1.03681,1.04016
24,EUR_USD,2022-11-23T20:00:00.000000000Z,5680,1.04002,1.04027,1.03905,1.04019,1.04010,1.04034,1.03914,1.04026,1.04019,1.04041,1.03922,1.04033
25,EUR_USD,2022-11-23T21:00:00.000000000Z,1983,1.04021,1.04025,1.03922,1.03944,1.04029,1.04034,1.03934,1.03954,1.04037,1.04043,1.03945,1.03963
26,EUR_USD,2022-11-23T22:00:00.000000000Z,1315,1.03942,1.03995,1.03909,1.03942,1.03992,1.04012,1.03932,1.03958,1.04042,1.04042,1.03952,1.03975
27,EUR_USD,2022-11-23T23:00:00.000000000Z,3108,1.03958,1.04184,1.03958,1.04170,1.03971,1.04193,1.03971,1.04180,1.03984,1.04202,1.03984,1.04189
28,EUR_USD,2022-11-24T00:00:00.000000000Z,3235,1.04172,1.04184,1.04042,1.04145,1.04182,1.04192,1.04052,1.04152,1.04191,1.04201,1.04060,1.04160
29,EUR_USD,2022-11-24T01:00:00.000000000Z,4502,1.04144,1.04244,1.04104,1.04227,1.04152,1.04252,1.04113,1.04236,1.04160,1.04261,1.04121,1.04244
30,EUR_USD,2022-11-24T02:00:00.000000000Z,3092,1.04227,1.04348,1.04169,1.04312,1.04235,1.04356,1.04177,1.04320,1.04243,1.04364,1.04185,1.04328
31,EUR_USD,2022-11-24T03:00:00.000000000Z,2935,1.04314,1.04472,1.04298,1.04452,1.04322,1.04480,1.04306,1.04460,1.04329,1.04489,1.04313,1.04469
32,EUR_USD,2022-11-24T04:00:00.000000000Z,2366,1.04452,1.04477,1.04312,1.04457,1.04460,1.04485,1.04320,1.04464,1.04467,1.04494,1.04328,1.04471
33,EUR_USD,2022-11-24T05:00:00.000000000Z,3043,1.04458,1.04460,1.04327,1.04332,1.04465,1.04469,1.04335,1.04340,1.04472,1.04478,1.04343,1.04347
34,EUR_USD,2022-11-24T06:00:00.000000000Z,3858,1.04331,1.04381,1.04288,1.04298,1.04340,1.04389,1.04296,1.04305,1.04348,1.04398,1.04305,1.04312
35,EUR_USD,2022-11-24T07:00:00.000000000Z,5384,1.04299,1.04390,1.04143,1.04154,1.04306,1.04397,1.04152,1.04162,1.04313,1.04405,1.04161,1.04169
36,EUR_USD,2022-11-24T08:00:00.000000000Z,6364,1.04152,1.04202,1.03994,1.04050,1.04160,1.04210,1.04002,1.04062,1.04168,1.04218,1.04010,1.04073
37,EUR_USD,2022-11-24T09:00:00.000000000Z,5409,1.04051,1.04248,1.04051,1.04187,1.04063,1.04256,1.04062,1.04195,1.04075,1.04264,1.04073,1.04203
38,EUR_USD,2022-11-24T10:00:00.000000000Z,6194,1.04186,1.04285,1.03919,1.04046,1.04194,1.04293,1.03927,1.04055,1.04201,1.04301,1.03935,1.04064
39,EUR_USD,2022-11-24T11:00:00.000000000Z,5751,1.04051,1.04081,1.03811,1.04039,1.04059,1.04088,1.03818,1.04048,1.04067,1.04097,1.03826,1.04056
40,EUR_USD,2022-11-24T12:00:00.000000000Z,5310,1.04040,1.04136,1.03972,1.04114,1.04048,1.04144,1.03980,1.04122,1.04056,1.04152,1.03988,1.04129
41,EUR_USD,2022-11-24T13:00:00.000000000Z,5613,1.04112,1.04250,1.04071,1.04221,1.04120,1.04257,1.04080,1.04229,1.04127,1.04264,1.04086,1.04237
42,EUR_USD,2022-11-24T14:00:00.000000000Z,5272,1.04225,1.04268,1.04151,1.04215,1.04232,1.04276,1.04159,1.04222,1.04240,1.04284,1.04166,1.04230
43,EUR_USD,2022-11-24T15:00:00.000000000Z,4779,1.04217,1.04230,1.04035,1.04088,1.04224,1.04238,1.04042,1.04096,1.04232,1.04245,1.04050,1.04103
44,EUR_USD,2022-11-24T16:00:00.000000000Z,3245,1.04089,1.04138,1.04013,1.04064,1.04096,1.04146,1.04021,1.04072,1.04103,1.04153,1.04029,1.04081
45,EUR_USD,2022-11-24T17:00:00.000000000Z,1783,1.04064,1.04091,1.04010,1.04083,1.04072,1.04098,1.04018,1.04092,1.04079,1.04106,1.04027,1.04100
46,EUR_USD,2022-11-24T18:00:00.000000000Z,670,1.04084,1.04097,1.04004,1.04049,1.04092,1.04105,1.04012,1.04056,1.04100,1.04113,1.04020,1.04064
47,EUR_USD,2022-11-24T19:00:00.000000000Z,862,1.04050,1.04127,1.04032,1.04127,1.04059,1.04136,1.04041,1.04136,1.04068,1.04146,1.04050,1.04145
48,EUR_USD,2022-11-24T20:00:00.000000000Z,1553,1.04128,1.04135,1.04052,1.04128,1.04136,1.04143,1.04060,1.04137,1.04144,1.04152,1.04069,1.04146
49,EUR_USD,2022-11-24T21:00:00.000000000Z,1444,1.04127,1.04127,1.04074,1.04104,1.04136,1.04136,1.04083,1.04118,1.04146,1.04146,1.04092,1.04131
50,EUR_USD,2022-11-24T22:00:00.000000000Z,388,1.04060,1.04082,1.04055,1.04070,1.04110,1.04119,1.04072,1.04086,1.04160,1.04169,1.04088,1.04103
51,EUR_USD,2022-11-24T23:00:00.000000000Z,1254,1.04072,1.04088,1.04054,1.04067,1.04085,1.04098,1.04066,1.04076,1.04098,1.04108,1.04076,1.04086
52,EUR_USD,2022-11-25T00:00:00.000000000Z,3238,1.04068,1.04107,1.03954,1.04049,1.04076,1.04115,1.03962,1.04057,1.04085,1.04124,1.03969,1.04065
53,EUR_USD,2022-11-25T01:00:00.000000000Z,3813,1.04051,1.04144,1.04026,1.04086,1.04060,1.04153,1.04036,1.04095,1.04068,1.04162,1.04045,1.04104
54,EUR_USD,2022-11-25T02:00:00.000000000Z,3256,1.04087,1.04150,1.04075,1.04103,1.04095,1.04158,1.04083,1.04112,1.04103,1.04167,1.04091,1.04120
55,EUR_USD,2022-11-25T03:00:00.000000000Z,2434,1.04104,1.04176,1.04036,1.04156,1.04111,1.04184,1.04046,1.04164,1.04118,1.04193,1.04054,1.04172
56,EUR_USD,2022-11-25T04:00:00.000000000Z,3003,1.04156,1.04285,1.04154,1.04208,1.04163,1.04293,1.04162,1.04216,1.04170,1.04302,1.04169,1.04223
57,EUR_USD,2022-11-25T05:00:00.000000000Z,2659,1.04210,1.04216,1.04065,1.04104,1.04218,1.04224,1.04074,1.04112,1.04225,1.04233,1.04083,1.04120
58,EUR_USD,2022-11-25T06:00:00.000000000Z,3175,1.04103,1.04227,1.04065,1.04193,1.04112,1.04236,1.04074,1.04202,1.04120,1.04244,1.04082,1.04211
59,EUR_USD,2022-11-25T07:00:00.000000000Z,4937,1.04198,1.04218,1.04080,1.04085,1.04206,1.04226,1.04088,1.04092,1.04214,1.04234,1.04095,1.04099
60,EUR_USD,2022-11-25T08:00:00.000000000Z,6487,1.04084,1.04269,1.04071,1.04218,1.04092,1.04282,1.04078,1.04226,1.04099,1.04304,1.04086,1.04234
61,EUR_USD,2022-11-25T09:00:00.000000000Z,7079,1.04214,1.04275,1.03816,1.03927,1.04222,1.04282,1.03824,1.03935,1.04230,1.04290,1.03831,1.03943
62,EUR_USD,2022-11-25T10:00:00.000000000Z,4768,1.03928,1.04210,1.03905,1.04141,1.03936,1.04217,1.03913,1.04148,1.03945,1.04224,1.03920,1.04156
63,EUR_USD,2022-11-25T11:00:00.000000000Z,4229,1.04142,1.04142,1.03882,1.03894,1.04148,1.04148,1.03889,1.03901,1.04155,1.04156,1.03896,1.03908
64,EUR_USD,2022-11-25T12:00:00.000000000Z,5618,1.03893,1.03969,1.03751,1.03781,1.03900,1.03976,1.03759,1.03788,1.03908,1.03984,1.03766,1.03795
65,EUR_USD,2022-11-25T13:00:00.000000000Z,7681,1.03781,1.03827,1.03603,1.03721,1.03788,1.03835,1.03612,1.03728,1.03796,1.03843,1.03620,1.03735
66,EUR_USD,2022-11-25T14:00:00.000000000Z,7575,1.03722,1.03880,1.03541,1.03808,1.03729,1.03888,1.03548,1.03816,1.03736,1.03895,1.03555,1.03823
67,EUR_USD,2022-11-25T15:00:00.000000000Z,6460,1.03809,1.04065,1.03759,1.04061,1.03816,1.04072,1.03766,1.04068,1.03822,1.04079,1.03774,1.04075
68,EUR_USD,2022-11-25T16:00:00.000000000Z,6012,1.04060,1.04109,1.03908,1.04005,1.04067,1.04116,1.03916,1.04012,1.04074,1.04124,1.03923,1.04019
69,EUR_USD,2022-11-25T17:00:00.000000000Z,4049,1.04005,1.04086,1.03977,1.04054,1.04012,1.04094,1.03985,1.04060,1.04020,1.04102,1.03992,1.04067
70,EUR_USD,2022-11-25T18:00:00.000000000Z,3734,1.04053,1.04055,1.03963,1.04004,1.04060,1.04062,1.03970,1.04016,1.04067,1.04075,1.03978,1.04028
71,EUR_USD,2022-11-25T19:00:00.000000000Z,5686,1.04003,1.04136,1.03974,1.04100,1.04016,1.04146,1.03995,1.04116,1.04029,1.04158,1.04009,1.04133
72,EUR_USD,2022-11-25T20:00:00.000000000Z,2497,1.04100,1.04132,1.04068,1.04077,1.04116,1.04144,1.04090,1.04090,1.04132,1.04157,1.04101,1.04104
73,EUR_USD,2022-11-25T21:00:00.000000000Z,1446,1.04078,1.04092,1.03812,1.03915,1.04090,1.04108,1.03862,1.03965,1.04103,1.04144,1.03912,1.04015
74,EUR_USD,2022-11-27T22:00:00.000000000Z,2012,1.03719,1.03782,1.03661,1.03739,1.03769,1.03804,1.03705,1.03767,1.03819,1.03837,1.03747,1.03795
75,EUR_USD,2022-11-27T23:00:00.000000000Z,3090,1.03744,1.03804,1.03646,1.03664,1.03775,1.03814,1.03656,1.03672,1.03806,1.03829,1.03665,1.03681
76,EUR_USD,2022-11-28T00:00:00.000000000Z,4101,1.03664,1.03833,1.03649,1.03776,1.03674,1.03840,1.03658,1.03784,1.03683,1.03848,1.03666,1.03792
77,EUR_USD,2022-11-28T01:00:00.000000000Z,6063,1.03780,1.03799,1.03404,1.03477,1.03788,1.03806,1.03412,1.03484,1.03795,1.03815,1.03420,1.03492
78,EUR_USD,2022-11-28T02:00:00.000000000Z,5574,1.03478,1.03643,1.03426,1.03601,1.03486,1.03650,1.03434,1.03610,1.03494,1.03659,1.03442,1.03618
79,EUR_USD,2022-11-28T03:00:00.000000000Z,2712,1.03599,1.03606,1.03505,1.03541,1.03610,1.03615,1.03512,1.03550,1.03620,1.03624,1.03520,1.03558
80,EUR_USD,2022-11-28T04:00:00.000000000Z,2745,1.03542,1.03624,1.03508,1.03615,1.03550,1.03631,1.03515,1.03622,1.03557,1.03638,1.03522,1.03629
81,EUR_USD,2022-11-28T05:00:00.000000000Z,3192,1.03616,1.03617,1.03460,1.03501,1.03622,1.03624,1.03470,1.03508,1.03629,1.03631,1.03478,1.03516
82,EUR_USD,2022-11-28T06:00:00.000000000Z,4638,1.03504,1.03746,1.03474,1.03709,1.03510,1.03754,1.03482,1.03718,1.03517,1.03761,1.03490,1.03726
83,EUR_USD,2022-11-28T07:00:00.000000000Z,6185,1.03713,1.03844,1.03695,1.03733,1.03721,1.03852,1.03704,1.03740,1.03729,1.03860,1.03712,1.03747
84,EUR_USD,2022-11-28T08:00:00.000000000Z,11018,1.03733,1.04399,1.03668,1.04383,1.03740,1.04407,1.03676,1.04390,1.03748,1.04416,1.03683,1.04398
85,EUR_USD,2022-11-28T09:00:00.000000000Z,8932,1.04379,1.04561,1.04322,1.04470,1.04386,1.04568,1.04330,1.04478,1.04394,1.04574,1.04337,1.04485
86,EUR_USD,2022-11-28T10:00:00.000000000Z,7234,1.04472,1.04813,1.04382,1.04734,1.04480,1.04820,1.04390,1.04742,1.04487,1.04828,1.04396,1.04751
87,EUR_USD,2022-11-28T11:00:00.000000000Z,8064,1.04735,1.04960,1.04715,1.04738,1.04742,1.04968,1.04722,1.04744,1.04750,1.04977,1.04729,1.04751
88,EUR_USD,2022-11-28T12:00:00.000000000Z,7654,1.04740,1.04767,1.04581,1.04726,1.04747,1.04774,1.04588,1.04732,1.04754,1.04780,1.04596,1.04739
89,EUR_USD,2022-11-28T13:00:00.000000000Z,8260,1.04724,1.04762,1.04435,1.04622,1.04730,1.04769,1.04442,1.04630,1.04737,1.04777,1.04450,1.04637
90,EUR_USD,2022-11-28T14:00:00.000000000Z,11073,1.04624,1.04624,1.04213,1.04294,1.04630,1.04630,1.04220,1.04301,1.04637,1.04638,1.04227,1.04308
91,EUR_USD,2022-11-28T15:00:00.000000000Z,11507,1.04292,1.04331,1.03902,1.03977,1.04299,1.04339,1.03910,1.03984,1.04306,1.04347,1.03917,1.03991
92,EUR_USD,2022-11-28T16:00:00.000000000Z,8138,1.03972,1.04017,1.03754,1.03846,1.03980,1.04024,1.03762,1.03853,1.03987,1.04030,1.03770,1.03860
93,EUR_USD,2022-11-28T17:00:00.000000000Z,7724,1.03846,1.03878,1.03676,1.03691,1.03852,1.03886,1.03685,1.03698,1.03859,1.03893,1.03694,1.03704
94,EUR_USD,2022-11-28T18:00:00.000000000Z,5439,1.03692,1.03723,1.03554,1.03607,1.03698,1.03732,1.03561,1.03614,1.03705,1.03740,1.03568,1.03621
95,EUR_USD,2022-11-28T19:00:00.000000000Z,3750,1.03607,1.03631,1.03365,1.03372,1.03614,1.03638,1.03372,1.03378,1.03620,1.03645,1.03380,1.03384
96,EUR_USD,2022-11-28T20:00:00.000000000Z,3942,1.03376,1.03399,1.03295,1.03348,1.03382,1.03406,1.03302,1.03356,1.03389,1.03412,1.03310,1.03364
97,EUR_USD,2022-11-28T21:00:00.000000000Z,2021,1.03350,1.03417,1.03330,1.03395,1.03357,1.03425,1.03338,1.03406,1.03364,1.03433,1.03345,1.03416
98,EUR_USD,2022-11-28T22:00:00.000000000Z,2266,1.03368,1.03414,1.03339,1.03402,1.03398,1.03436,1.03370,1.03424,1.03427,1.03468,1.03400,1.03445
99,EUR_USD,2022-11-28T23:00:00.000000000Z,1996,1.03407,1.03461,1.03384,1.03425,1.03427,1.03469,1.03396,1.03434,1.03447,1.03477,1.03404,1.03442
100,EUR_USD,2022-11-29T00:00:00.000000000Z,2805,1.03427,1.03498,1.03386,1.03396,1.03436,1.03506,1.03395,1.03404,1.03444,1.03513,1.03404,1.03411
