,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,EUR_USD,2023-04-20T17:00:00.000000000Z,8740,1.09667,1.09720,1.09556,1.09695,1.09674,1.09727,1.09564,1.09705,1.09680,1.09735,1.09570,1.09715,,
1,EUR_USD,2023-04-20T21:00:00.000000000Z,3823,1.09635,1.09716,1.09612,1.09695,1.09680,1.09723,1.09619,1.09702,1.09726,1.09744,1.09626,1.09709,,
2,EUR_USD,2023-04-21T01:00:00.000000000Z,6849,1.09694,1.09725,1.09581,1.09597,1.09702,1.09733,1.09588,1.09604,1.09709,1.09742,1.09594,1.09612,,
3,EUR_USD,2023-04-21T05:00:00.000000000Z,18363,1.09599,1.09715,1.09372,1.09589,1.09606,1.09722,1.09380,1.09596,1.09613,1.09730,1.09387,1.09604,,
4,EUR_USD,2023-04-21T09:00:00.000000000Z,16164,1.09588,1.09896,1.09483,1.09873,1.09596,1.09903,1.09490,1.09880,1.09605,1.09910,1.09498,1.09888,,
5,EUR_USD,2023-04-21T13:00:00.000000000Z,27340,1.09873,1.09932,1.09418,1.09785,1.09880,1.09939,1.09424,1.09792,1.09887,1.09947,1.09431,1.09799,,
6,EUR_USD,2023-04-21T17:00:00.000000000Z,8833,1.09780,1.09923,1.09713,1.09883,1.09787,1.09930,1.09720,1.09893,1.09794,1.09936,1.09728,1.09903,,
7,EUR_USD,2023-04-23T21:00:00.000000000Z,3758,1.09875,1.09954,1.09837,1.09942,1.09900,1.09962,1.09846,1.09949,1.09924,1.09971,1.09853,1.09956,1.09765125,
8,EUR_USD,2023-04-24T01:00:00.000000000Z,8109,1.09941,1.09941,1.09787,1.09796,1.09949,1.09949,1.09794,1.09804,1.09957,1.09957,1.09801,1.09813,1.097775,
9,EUR_USD,2023-04-24T05:00:00.000000000Z,14932,1.09798,1.10090,1.09653,1.10080,1.09806,1.10097,1.09660,1.10088,1.09813,1.10104,1.09666,1.10095,1.0982575,
10,EUR_USD,2023-04-24T09:00:00.000000000Z,17464,1.10077,1.10247,1.09983,1.10222,1.10086,1.10254,1.09990,1.10230,1.10094,1.10260,1.09997,1.10238,1.09904,
11,EUR_USD,2023-04-24T13:00:00.000000000Z,21474,1.10223,1.10363,1.10122,1.10332,1.10230,1.10370,1.10128,1.10339,1.10238,1.10376,1.10135,1.10346,1.09996875,
12,EUR_USD,2023-04-24T17:00:00.000000000Z,7535,1.10334,1.10495,1.10329,1.10449,1.10341,1.10502,1.10336,1.10458,1.10348,1.10509,1.10343,1.10466,1.1006912500000001,
13,EUR_USD,2023-04-24T21:00:00.000000000Z,5589,1.10444,1.10659,1.10404,1.10584,1.10461,1.10666,1.10429,1.10592,1.10478,1.10674,1.10451,1.10600,1.10169125,
14,EUR_USD,2023-04-25T01:00:00.000000000Z,9651,1.10584,1.10664,1.10500,1.10504,1.10592,1.10671,1.10508,1.10512,1.10599,1.10678,1.10515,1.10519,1.102465,
15,EUR_USD,2023-04-25T05:00:00.000000000Z,18946,1.10504,1.10558,1.10238,1.10389,1.10512,1.10566,1.10246,1.10397,1.10520,1.10575,1.10254,1.10405,1.1030250000000001,
16,EUR_USD,2023-04-25T09:00:00.000000000Z,17159,1.10391,1.10434,1.10088,1.10166,1.10398,1.10440,1.10096,1.10173,1.10406,1.10448,1.10104,1.10180,1.10348625,
17,EUR_USD,2023-04-25T13:00:00.000000000Z,25247,1.10164,1.10182,1.09646,1.09675,1.10172,1.10188,1.09653,1.09682,1.10180,1.10195,1.09660,1.09689,1.1029787500000001,
18,EUR_USD,2023-04-25T17:00:00.000000000Z,11504,1.09678,1.09755,1.09633,1.09740,1.09685,1.09762,1.09642,1.09748,1.09692,1.09768,1.09648,1.09756,1.10237625,
19,EUR_USD,2023-04-25T21:00:00.000000000Z,6130,1.09682,1.09798,1.09638,1.09775,1.09724,1.09806,1.09686,1.09782,1.09767,1.09814,1.09710,1.09790,1.10168,
20,EUR_USD,2023-04-26T01:00:00.000000000Z,9309,1.09774,1.09812,1.09676,1.09805,1.09782,1.09818,1.09684,1.09812,1.09790,1.09825,1.09692,1.09820,1.1008725,
21,EUR_USD,2023-04-26T05:00:00.000000000Z,19816,1.09804,1.10426,1.09790,1.10412,1.09812,1.10432,1.09798,1.10419,1.09820,1.10439,1.09805,1.10426,1.1006562500000001,
22,EUR_USD,2023-04-26T09:00:00.000000000Z,26228,1.10411,1.10620,1.10305,1.10531,1.10418,1.10628,1.10313,1.10538,1.10425,1.10635,1.10320,1.10546,1.10068875,
23,EUR_USD,2023-04-26T13:00:00.000000000Z,31872,1.10532,1.10950,1.10323,1.10403,1.10538,1.10956,1.10330,1.10410,1.10545,1.10964,1.10337,1.10418,1.100705,
24,EUR_USD,2023-04-26T17:00:00.000000000Z,10396,1.10404,1.10413,1.10317,1.10396,1.10410,1.10420,1.10324,1.10405,1.10417,1.10430,1.10330,1.10414,1.1009950000000002,
25,EUR_USD,2023-04-26T21:00:00.000000000Z,5696,1.10375,1.10469,1.10341,1.10449,1.10425,1.10477,1.10352,1.10457,1.10475,1.10486,1.10358,1.10465,1.1019637500000001,
26,EUR_USD,2023-04-27T01:00:00.000000000Z,8366,1.10450,1.10543,1.10381,1.10500,1.10458,1.10550,1.10390,1.10507,1.10465,1.10557,1.10398,1.10514,1.1029125,
27,EUR_USD,2023-04-27T05:00:00.000000000Z,17422,1.10501,1.10628,1.10392,1.10521,1.10508,1.10635,1.10400,1.10530,1.10515,1.10643,1.10407,1.10538,1.1038475,
28,EUR_USD,2023-04-27T09:00:00.000000000Z,22937,1.10517,1.10562,1.10000,1.10125,1.10524,1.10576,1.10006,1.10132,1.10532,1.10591,1.10013,1.10138,1.1042475,
29,EUR_USD,2023-04-27T13:00:00.000000000Z,27767,1.10127,1.10264,1.09914,1.10078,1.10132,1.10271,1.09922,1.10085,1.10138,1.10278,1.09929,1.10092,1.10383,
30,EUR_USD,2023-04-27T17:00:00.000000000Z,9177,1.10079,1.10293,1.10049,1.10283,1.10086,1.10300,1.10056,1.10290,1.10093,1.10306,1.10063,1.10298,1.10352,
31,EUR_USD,2023-04-27T21:00:00.000000000Z,7257,1.10200,1.10387,1.10200,1.10337,1.10250,1.10394,1.10250,1.10345,1.10300,1.10401,1.10265,1.10353,1.10343875,
32,EUR_USD,2023-04-28T01:00:00.000000000Z,14346,1.10335,1.10340,1.10074,1.10129,1.10344,1.10346,1.10082,1.10136,1.10353,1.10355,1.10090,1.10144,1.1031025,
33,EUR_USD,2023-04-28T05:00:00.000000000Z,25858,1.10131,1.10358,1.09759,1.09905,1.10138,1.10364,1.09766,1.09914,1.10145,1.10371,1.09774,1.09922,1.10242375,
34,EUR_USD,2023-04-28T09:00:00.000000000Z,22662,1.09904,1.09979,1.09618,1.09838,1.09913,1.09986,1.09626,1.09846,1.09922,1.09993,1.09633,1.09853,1.1015975,
