,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,EUR_ZAR,2023-06-29T17:00:00.000000000Z,3154,20.41181,20.43275,20.40471,20.43245,20.41593,20.43610,20.40896,20.43572,20.42005,20.43966,20.41220,20.43899,,
1,EUR_ZAR,2023-06-29T18:00:00.000000000Z,4243,20.43225,20.43365,20.39889,20.40791,20.43562,20.43663,20.40182,20.41203,20.43899,20.44035,20.40475,20.41615,,
2,EUR_ZAR,2023-06-29T19:00:00.000000000Z,3225,20.40791,20.42901,20.40310,20.41015,20.41198,20.43318,20.40742,20.41415,20.41605,20.43762,20.41035,20.41815,,
3,EUR_ZAR,2023-06-29T20:00:00.000000000Z,1660,20.41065,20.41255,20.38183,20.38183,20.41527,20.41656,20.38844,20.38941,20.41989,20.42085,20.39255,20.39699,,
4,EUR_ZAR,2023-06-29T21:00:00.000000000Z,204,20.37110,20.37926,20.36839,20.36858,20.38685,20.39284,20.38424,20.39266,20.40260,20.41673,20.39565,20.41673,,
5,EUR_ZAR,2023-06-29T22:00:00.000000000Z,1458,20.37035,20.38828,20.36565,20.37202,20.39288,20.40387,20.38036,20.39668,20.41542,20.42727,20.39483,20.42134,,
6,EUR_ZAR,2023-06-29T23:00:00.000000000Z,572,20.37202,20.39077,20.37200,20.38382,20.39659,20.40521,20.38821,20.39322,20.42116,20.42116,20.39624,20.40263,,
7,EUR_ZAR,2023-06-30T00:00:00.000000000Z,501,20.38638,20.41141,20.38038,20.40818,20.39328,20.41734,20.38680,20.41432,20.40018,20.42328,20.39320,20.42045,20.40602375,
8,EUR_ZAR,2023-06-30T01:00:00.000000000Z,474,20.40829,20.41349,20.38154,20.38480,20.41440,20.42033,20.38863,20.39078,20.42052,20.42733,20.39572,20.39675,20.40040625,
9,EUR_ZAR,2023-06-30T02:00:00.000000000Z,690,20.38488,20.38863,20.35660,20.38758,20.39082,20.39566,20.36402,20.39358,20.39676,20.40274,20.37143,20.39958,20.3981,
10,EUR_ZAR,2023-06-30T03:00:00.000000000Z,421,20.38758,20.39164,20.37146,20.37940,20.39360,20.39696,20.37800,20.38642,20.39962,20.40422,20.38455,20.39344,20.39463375,
11,EUR_ZAR,2023-06-30T04:00:00.000000000Z,544,20.38030,20.38313,20.36315,20.37343,20.38734,20.39020,20.36934,20.38064,20.39438,20.39728,20.37552,20.38785,20.3935375,
12,EUR_ZAR,2023-06-30T05:00:00.000000000Z,1881,20.37345,20.37965,20.35171,20.35352,20.38065,20.38722,20.35860,20.36231,20.38785,20.39479,20.36548,20.37110,20.38974375,
13,EUR_ZAR,2023-06-30T06:00:00.000000000Z,5851,20.35423,20.40523,20.34635,20.37113,20.36257,20.40848,20.35086,20.37504,20.37091,20.41235,20.35530,20.37895,20.38703875,
14,EUR_ZAR,2023-06-30T07:00:00.000000000Z,7544,20.37116,20.49785,20.36631,20.48857,20.37530,20.50055,20.37035,20.49341,20.37945,20.50519,20.37438,20.49825,20.399562500000002,
15,EUR_ZAR,2023-06-30T08:00:00.000000000Z,7741,20.48852,20.54815,20.48305,20.51623,20.49302,20.55082,20.48725,20.52159,20.49753,20.55458,20.49065,20.52695,20.412971250000002,
16,EUR_ZAR,2023-06-30T09:00:00.000000000Z,6620,20.51252,20.57106,20.49522,20.56743,20.51816,20.57616,20.49839,20.57189,20.52379,20.58265,20.50156,20.57635,20.43561,
17,EUR_ZAR,2023-06-30T10:00:00.000000000Z,5770,20.56743,20.63640,20.53992,20.63365,20.57184,20.64032,20.54384,20.63875,20.57625,20.64455,20.54753,20.64385,20.466256249999997,
18,EUR_ZAR,2023-06-30T11:00:00.000000000Z,6816,20.63365,20.65903,20.58855,20.58855,20.63850,20.66239,20.60095,20.60095,20.64335,20.66575,20.60651,20.61335,20.4930725,
19,EUR_ZAR,2023-06-30T12:00:00.000000000Z,10926,20.58815,20.59329,20.51975,20.57238,20.60040,20.60040,20.52670,20.57571,20.61265,20.61265,20.53365,20.57904,20.517456250000002,
20,EUR_ZAR,2023-06-30T13:00:00.000000000Z,8042,20.57202,20.63805,20.54592,20.54595,20.57536,20.64325,20.55540,20.56030,20.57870,20.65135,20.56014,20.57465,20.542205,
21,EUR_ZAR,2023-06-30T14:00:00.000000000Z,7812,20.54623,20.63346,20.54623,20.61512,20.56044,20.63706,20.55926,20.61909,20.57465,20.64065,20.56616,20.62306,20.57271125,
22,EUR_ZAR,2023-06-30T15:00:00.000000000Z,6804,20.61455,20.61565,20.52685,20.56706,20.61856,20.61920,20.53034,20.57120,20.62258,20.62296,20.53382,20.57535,20.582435,
23,EUR_ZAR,2023-06-30T16:00:00.000000000Z,4059,20.56623,20.57805,20.50645,20.52526,20.57079,20.58250,20.51062,20.52910,20.57535,20.58695,20.51478,20.53295,20.58337375,
24,EUR_ZAR,2023-06-30T17:00:00.000000000Z,3492,20.52526,20.53205,20.50794,20.51005,20.52920,20.53658,20.51116,20.51305,20.53315,20.54110,20.51425,20.51605,20.57601875,
25,EUR_ZAR,2023-06-30T18:00:00.000000000Z,3297,20.50890,20.54695,20.50699,20.54465,20.51248,20.55036,20.51098,20.54812,20.51605,20.55378,20.51425,20.55160,20.564690000000002,
26,EUR_ZAR,2023-06-30T19:00:00.000000000Z,2414,20.54505,20.55392,20.52155,20.53535,20.54832,20.55806,20.52619,20.53970,20.55160,20.56220,20.53043,20.54406,20.557033750000002,
27,EUR_ZAR,2023-06-30T20:00:00.000000000Z,2423,20.53535,20.55060,20.51305,20.54349,20.53970,20.58122,20.52782,20.57714,20.54404,20.61241,20.53413,20.61079,20.5572125,
28,EUR_ZAR,2023-07-02T21:00:00.000000000Z,132,20.52670,20.53197,20.48743,20.48743,20.54571,20.54882,20.52312,20.52312,20.56472,20.56566,20.55881,20.55881,20.552565,
29,EUR_ZAR,2023-07-02T22:00:00.000000000Z,30,20.48743,20.49137,20.48743,20.49081,20.52162,20.52434,20.52162,20.52349,20.55580,20.55881,20.55580,20.55617,20.540615,
30,EUR_ZAR,2023-07-02T23:00:00.000000000Z,4329,20.48577,20.55610,20.47552,20.53177,20.52740,20.57878,20.50111,20.54506,20.56904,20.62757,20.51984,20.55834,20.5373475,
31,EUR_ZAR,2023-07-03T00:00:00.000000000Z,702,20.52743,20.53447,20.50958,20.51724,20.54288,20.54394,20.51846,20.52688,20.55834,20.55845,20.52735,20.53651,20.53707,
32,EUR_ZAR,2023-07-03T01:00:00.000000000Z,1671,20.51755,20.53129,20.50452,20.52693,20.52748,20.54288,20.51694,20.53358,20.53742,20.55483,20.52919,20.54023,20.53963625,
33,EUR_ZAR,2023-07-03T02:00:00.000000000Z,475,20.52557,20.53204,20.51998,20.52731,20.53232,20.53896,20.52685,20.53331,20.53908,20.54589,20.53372,20.53931,20.537785,
34,EUR_ZAR,2023-07-03T03:00:00.000000000Z,357,20.52740,20.52975,20.50350,20.51033,20.53342,20.53578,20.51048,20.51717,20.53944,20.54182,20.51729,20.52401,20.53496875,
35,EUR_ZAR,2023-07-03T04:00:00.000000000Z,466,20.50665,20.50735,20.49878,20.50295,20.51488,20.51514,20.50716,20.51198,20.52312,20.52392,20.51554,20.52100,20.52682375,
36,EUR_ZAR,2023-07-03T05:00:00.000000000Z,2149,20.50295,20.51796,20.48601,20.48684,20.51198,20.52380,20.49088,20.49104,20.52102,20.52965,20.49475,20.49525,20.522813749999997,
37,EUR_ZAR,2023-07-03T06:00:00.000000000Z,4543,20.49062,20.53642,20.46020,20.46081,20.49418,20.53997,20.46449,20.46532,20.49775,20.54590,20.46835,20.46983,20.515542500000002,
38,EUR_ZAR,2023-07-03T07:00:00.000000000Z,8814,20.46080,20.46756,20.39626,20.42998,20.46533,20.47194,20.39980,20.43522,20.46986,20.47753,20.40295,20.44047,20.5018125,
39,EUR_ZAR,2023-07-03T08:00:00.000000000Z,7500,20.42985,20.43253,20.35977,20.38629,20.43524,20.43666,20.36296,20.38954,20.44063,20.44138,20.36616,20.39279,20.484645,
40,EUR_ZAR,2023-07-03T09:00:00.000000000Z,4863,20.38631,20.41975,20.38308,20.41298,20.38954,20.42279,20.38640,20.41678,20.39276,20.42628,20.38973,20.42058,20.470045,
41,EUR_ZAR,2023-07-03T10:00:00.000000000Z,5075,20.41259,20.43775,20.38751,20.42351,20.41631,20.44190,20.39054,20.42633,20.42003,20.44607,20.39355,20.42915,20.4566725,
42,EUR_ZAR,2023-07-03T11:00:00.000000000Z,5988,20.42315,20.45572,20.41247,20.44773,20.42615,20.45952,20.41631,20.45139,20.42915,20.46351,20.41925,20.45505,20.44845,
43,EUR_ZAR,2023-07-03T12:00:00.000000000Z,4977,20.44724,20.46280,20.42452,20.43555,20.45114,20.46618,20.42824,20.43882,20.45505,20.47015,20.43197,20.44210,20.439305,
44,EUR_ZAR,2023-07-03T13:00:00.000000000Z,6400,20.43518,20.46069,20.40297,20.42893,20.43858,20.46476,20.40962,20.43996,20.44198,20.46915,20.41391,20.45098,20.43292,
45,EUR_ZAR,2023-07-03T14:00:00.000000000Z,8992,20.43190,20.44428,20.38987,20.42213,20.44251,20.45576,20.40074,20.42569,20.45312,20.47048,20.40478,20.42925,20.427966249999997,
46,EUR_ZAR,2023-07-03T15:00:00.000000000Z,6045,20.42221,20.47485,20.41690,20.46638,20.42572,20.47788,20.42046,20.46986,20.42924,20.48145,20.42305,20.47333,20.43229625,
47,EUR_ZAR,2023-07-03T16:00:00.000000000Z,3461,20.46735,20.49705,20.46399,20.47769,20.47034,20.50120,20.46850,20.48197,20.47333,20.50575,20.47300,20.48625,20.443849999999998,
48,EUR_ZAR,2023-07-03T17:00:00.000000000Z,1082,20.47769,20.48131,20.46354,20.46436,20.48198,20.48572,20.46963,20.47022,20.48626,20.49014,20.47544,20.47608,20.45053,
49,EUR_ZAR,2023-07-03T18:00:00.000000000Z,1999,20.46441,20.47164,20.43185,20.44198,20.47048,20.47810,20.44280,20.45242,20.47655,20.48555,20.45149,20.46285,20.453791250000002,
50,EUR_ZAR,2023-07-03T19:00:00.000000000Z,2337,20.44198,20.48731,20.44145,20.48585,20.45282,20.49800,20.45255,20.49712,20.46365,20.51025,20.46365,20.50839,20.4595075,
51,EUR_ZAR,2023-07-03T20:00:00.000000000Z,1376,20.48585,20.50550,20.48400,20.50085,20.49717,20.51540,20.49598,20.51350,20.50849,20.52615,20.50495,20.52614,20.4688425,
52,EUR_ZAR,2023-07-03T21:00:00.000000000Z,38,20.45650,20.45959,20.42076,20.42076,20.50650,20.50894,20.47076,20.47076,20.55650,20.55829,20.51803,20.52076,20.472692499999997,
53,EUR_ZAR,2023-07-03T22:00:00.000000000Z,1,20.41538,20.41538,20.41538,20.41538,20.46508,20.46508,20.46508,20.46508,20.51479,20.51479,20.51479,20.51479,20.477616249999997,
54,EUR_ZAR,2023-07-03T23:00:00.000000000Z,775,20.41440,20.43355,20.41276,20.43355,20.46440,20.47325,20.46272,20.47255,20.51440,20.51942,20.51098,20.51155,20.4779525,
55,EUR_ZAR,2023-07-04T00:00:00.000000000Z,794,20.44135,20.49634,20.44135,20.47017,20.47080,20.50625,20.47080,20.47598,20.50025,20.51697,20.47991,20.48180,20.47720375,
56,EUR_ZAR,2023-07-04T01:00:00.000000000Z,552,20.47018,20.47295,20.45445,20.46556,20.47602,20.47820,20.46095,20.47154,20.48187,20.48388,20.46666,20.47752,20.47736875,
57,EUR_ZAR,2023-07-04T02:00:00.000000000Z,265,20.46558,20.46657,20.44982,20.46097,20.47152,20.47254,20.45606,20.46722,20.47745,20.47852,20.46230,20.47347,20.47921875,
58,EUR_ZAR,2023-07-04T03:00:00.000000000Z,266,20.46102,20.46601,20.45523,20.45529,20.46724,20.47234,20.46146,20.46154,20.47346,20.47866,20.46769,20.46779,20.47477125,
59,EUR_ZAR,2023-07-04T04:00:00.000000000Z,558,20.45422,20.47082,20.44374,20.46616,20.46044,20.47688,20.45082,20.47302,20.46667,20.48343,20.45779,20.47988,20.46971125,
60,EUR_ZAR,2023-07-04T05:00:00.000000000Z,2024,20.46618,20.46975,20.44247,20.44247,20.47302,20.47590,20.45105,20.45212,20.47987,20.48238,20.45795,20.46177,20.467381250000003,
61,EUR_ZAR,2023-07-04T06:00:00.000000000Z,4119,20.44491,20.44584,20.36325,20.38214,20.45134,20.45216,20.36710,20.38670,20.45778,20.45847,20.37096,20.39125,20.45758375,
62,EUR_ZAR,2023-07-04T07:00:00.000000000Z,4917,20.38209,20.41901,20.36425,20.37684,20.38667,20.42292,20.36902,20.38150,20.39125,20.42686,20.37369,20.38615,20.4462025,
63,EUR_ZAR,2023-07-04T08:00:00.000000000Z,4523,20.37699,20.40115,20.36805,20.37249,20.38157,20.40449,20.37231,20.37570,20.38615,20.40792,20.37559,20.37891,20.433667500000002,20.472350625
64,EUR_ZAR,2023-07-04T09:00:00.000000000Z,4288,20.37199,20.40569,20.36210,20.36695,20.37530,20.40934,20.36521,20.37103,20.37860,20.41300,20.36832,20.37511,20.42110375,20.471339843750002
65,EUR_ZAR,2023-07-04T10:00:00.000000000Z,3935,20.36605,20.36615,20.27805,20.29305,20.37036,20.37036,20.28138,20.29550,20.37467,20.37467,20.28470,20.29794,20.39963875,20.4695190625
66,EUR_ZAR,2023-07-04T11:00:00.000000000Z,4293,20.29265,20.30285,20.28066,20.29865,20.29530,20.30648,20.28430,20.30247,20.29794,20.31045,20.28793,20.30629,20.379755,20.467774062500002
67,EUR_ZAR,2023-07-04T12:00:00.000000000Z,4388,20.29765,20.35011,20.29765,20.32227,20.30197,20.35363,20.30197,20.32686,20.30629,20.35745,20.30629,20.33145,20.361485000000002,20.46679671875
68,EUR_ZAR,2023-07-04T13:00:00.000000000Z,3522,20.32254,20.34559,20.29915,20.31845,20.32700,20.34912,20.30240,20.32335,20.33145,20.35308,20.30566,20.32825,20.345388749999998,20.465713750000003
69,EUR_ZAR,2023-07-04T14:00:00.000000000Z,3252,20.31905,20.33070,20.28347,20.30995,20.32425,20.33482,20.28750,20.31422,20.32945,20.33930,20.29153,20.31849,20.33632875,20.4644253125
70,EUR_ZAR,2023-07-04T15:00:00.000000000Z,2631,20.30976,20.36042,20.30130,20.33324,20.31404,20.36430,20.30510,20.33728,20.31832,20.36818,20.30891,20.34133,20.330801249999997,20.463551250000002
71,EUR_ZAR,2023-07-04T16:00:00.000000000Z,2533,20.33168,20.33795,20.32130,20.33265,20.33701,20.34220,20.32602,20.33775,20.34234,20.34721,20.33045,20.34285,20.326057499999997,20.46235484375
72,EUR_ZAR,2023-07-04T17:00:00.000000000Z,1125,20.33395,20.33975,20.33026,20.33175,20.33865,20.34502,20.33610,20.33755,20.34335,20.35078,20.34195,20.34335,20.3218725,20.461523125
73,EUR_ZAR,2023-07-04T18:00:00.000000000Z,1212,20.33169,20.33625,20.31794,20.32005,20.33727,20.34145,20.32444,20.32510,20.34285,20.34715,20.33016,20.33016,20.3255725,20.460453125
74,EUR_ZAR,2023-07-04T19:00:00.000000000Z,1088,20.32065,20.32751,20.29165,20.32747,20.32577,20.33230,20.30456,20.33189,20.33089,20.33795,20.31297,20.33631,20.32925,20.459601093750003
