,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,FR40_EUR,2023-03-01T10:00:00.000000000Z,1239,7285.8,7320.0,7260.5,7275.3,7286.2,7320.4,7261.0,7275.8,7286.7,7320.9,7261.4,7276.2,,
1,FR40_EUR,2023-03-01T14:00:00.000000000Z,2742,7274.5,7289.3,7210.3,7237.9,7275.0,7289.8,7210.8,7238.5,7275.4,7290.2,7211.2,7239.1,,
2,FR40_EUR,2023-03-01T18:00:00.000000000Z,576,7237.1,7241.4,7222.6,7239.3,7237.7,7242.0,7223.2,7240.0,7238.3,7242.6,7223.8,7240.6,,
3,FR40_EUR,2023-03-02T06:00:00.000000000Z,2309,7204.8,7210.6,7159.3,7189.0,7205.4,7211.2,7159.8,7189.5,7206.1,7211.8,7160.2,7190.0,,
4,FR40_EUR,2023-03-02T10:00:00.000000000Z,1927,7188.5,7246.8,7164.8,7228.8,7189.2,7247.2,7165.2,7229.2,7190.0,7247.7,7165.7,7229.7,,
5,FR40_EUR,2023-03-02T14:00:00.000000000Z,1745,7229.8,7281.4,7229.0,7275.6,7230.2,7282.0,7229.4,7276.2,7230.7,7282.6,7229.9,7276.8,,
6,FR40_EUR,2023-03-02T18:00:00.000000000Z,696,7274.6,7308.1,7270.9,7304.1,7275.2,7308.7,7271.5,7304.7,7275.8,7309.3,7272.1,7305.3,,
7,FR40_EUR,2023-03-03T06:00:00.000000000Z,1447,7299.8,7323.8,7293.6,7317.5,7301.7,7324.2,7294.2,7318.0,7303.6,7324.7,7294.8,7318.4,7258.9875,
8,FR40_EUR,2023-03-03T10:00:00.000000000Z,746,7318.3,7340.3,7316.5,7320.0,7318.8,7340.8,7317.0,7320.4,7319.2,7341.2,7317.4,7320.9,7264.5625,
9,FR40_EUR,2023-03-03T14:00:00.000000000Z,1688,7321.0,7365.4,7319.5,7363.9,7321.4,7366.0,7320.0,7364.5,7321.9,7366.6,7320.4,7365.1,7280.3125,
10,FR40_EUR,2023-03-03T18:00:00.000000000Z,394,7364.6,7380.1,7363.9,7377.8,7365.2,7380.7,7364.5,7378.7,7365.8,7381.3,7365.1,7379.6,7297.65,
11,FR40_EUR,2023-03-06T06:00:00.000000000Z,1610,7371.3,7395.3,7361.8,7369.5,7372.0,7395.8,7363.0,7370.0,7372.6,7396.2,7364.1,7370.4,7320.2125,
12,FR40_EUR,2023-03-06T10:00:00.000000000Z,951,7368.8,7376.0,7341.8,7370.5,7369.2,7376.4,7342.2,7371.0,7369.7,7376.9,7342.7,7371.4,7337.9375,
13,FR40_EUR,2023-03-06T14:00:00.000000000Z,1045,7369.8,7377.4,7358.5,7364.9,7370.2,7378.0,7359.0,7365.5,7370.7,7378.6,7359.4,7366.1,7349.1,
14,FR40_EUR,2023-03-06T18:00:00.000000000Z,464,7364.1,7366.4,7350.3,7358.9,7364.7,7367.0,7351.5,7359.5,7365.3,7367.6,7352.1,7360.1,7355.95,
15,FR40_EUR,2023-03-07T06:00:00.000000000Z,1381,7364.3,7390.3,7339.0,7374.8,7365.2,7390.8,7339.4,7375.2,7366.1,7391.2,7339.9,7375.7,7363.099999999999,
16,FR40_EUR,2023-03-07T10:00:00.000000000Z,665,7375.5,7385.5,7365.5,7381.0,7376.0,7386.0,7366.0,7381.4,7376.4,7386.4,7366.4,7381.9,7370.724999999999,
17,FR40_EUR,2023-03-07T14:00:00.000000000Z,2469,7380.3,7380.3,7325.4,7337.1,7380.8,7380.8,7326.0,7337.7,7381.2,7381.2,7326.6,7338.3,7367.375,
18,FR40_EUR,2023-03-07T18:00:00.000000000Z,632,7336.4,7336.9,7309.6,7320.4,7337.0,7337.5,7310.2,7321.0,7337.6,7338.1,7310.8,7321.6,7360.162499999999,
19,FR40_EUR,2023-03-08T06:00:00.000000000Z,1327,7317.8,7329.8,7292.1,7314.0,7318.4,7330.2,7292.7,7314.4,7319.1,7330.7,7293.3,7314.9,7353.2125,
20,FR40_EUR,2023-03-08T10:00:00.000000000Z,1013,7314.8,7341.8,7303.8,7330.8,7315.2,7342.2,7304.2,7331.2,7315.7,7342.7,7304.7,7331.7,7348.237499999999,
21,FR40_EUR,2023-03-08T14:00:00.000000000Z,2015,7330.0,7341.8,7311.0,7315.9,7330.4,7342.2,7311.4,7316.5,7330.9,7342.7,7311.9,7317.1,7342.112499999999,
22,FR40_EUR,2023-03-08T18:00:00.000000000Z,514,7315.1,7325.1,7302.4,7323.3,7315.7,7325.7,7303.0,7324.4,7316.3,7326.3,7303.6,7325.6,7337.724999999999,
23,FR40_EUR,2023-03-09T06:00:00.000000000Z,1236,7317.3,7317.3,7267.0,7268.5,7318.2,7318.2,7267.4,7269.0,7319.1,7319.1,7267.9,7269.4,7324.45,
24,FR40_EUR,2023-03-09T10:00:00.000000000Z,1249,7267.8,7310.6,7266.0,7306.6,7268.2,7311.0,7266.4,7307.0,7268.7,7311.5,7266.9,7307.5,7315.15,
