,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,GBP_AUD,2023-07-11T18:00:00.000000000Z,4826,1.93656,1.93729,1.93498,1.93538,1.93664,1.93739,1.93507,1.93546,1.93671,1.93749,1.93515,1.93555,,
1,GBP_AUD,2023-07-11T19:00:00.000000000Z,5280,1.93538,1.93551,1.93393,1.93418,1.93548,1.93560,1.93404,1.93428,1.93557,1.93570,1.93413,1.93438,,
2,GBP_AUD,2023-07-11T20:00:00.000000000Z,3125,1.93418,1.93439,1.93323,1.93437,1.93427,1.93452,1.93330,1.93449,1.93436,1.93465,1.93338,1.93461,,
3,GBP_AUD,2023-07-11T21:00:00.000000000Z,549,1.93349,1.93417,1.93304,1.93325,1.93516,1.93522,1.93344,1.93379,1.93683,1.93683,1.93383,1.93433,,
4,GBP_AUD,2023-07-11T22:00:00.000000000Z,3086,1.93329,1.93395,1.93289,1.93312,1.93375,1.93409,1.93306,1.93322,1.93421,1.93448,1.93319,1.93333,,
5,GBP_AUD,2023-07-11T23:00:00.000000000Z,2712,1.93314,1.93340,1.93215,1.93228,1.93326,1.93352,1.93225,1.93240,1.93339,1.93364,1.93235,1.93251,,
6,GBP_AUD,2023-07-12T00:00:00.000000000Z,11342,1.93234,1.93264,1.92739,1.92893,1.93242,1.93274,1.92749,1.92904,1.93251,1.93285,1.92759,1.92916,,
7,GBP_AUD,2023-07-12T01:00:00.000000000Z,11564,1.92896,1.93019,1.92679,1.92773,1.92906,1.93029,1.92690,1.92788,1.92916,1.93039,1.92702,1.92804,1.93257,
8,GBP_AUD,2023-07-12T02:00:00.000000000Z,10189,1.92773,1.92943,1.92348,1.92427,1.92787,1.92950,1.92362,1.92434,1.92801,1.92959,1.92372,1.92442,1.93118,
9,GBP_AUD,2023-07-12T03:00:00.000000000Z,9108,1.92427,1.92957,1.92420,1.92874,1.92436,1.92966,1.92428,1.92886,1.92444,1.92975,1.92435,1.92897,1.9305025,
10,GBP_AUD,2023-07-12T04:00:00.000000000Z,7011,1.92872,1.92913,1.92681,1.92886,1.92882,1.92924,1.92692,1.92894,1.92891,1.92934,1.92703,1.92903,1.9298087499999999,
11,GBP_AUD,2023-07-12T05:00:00.000000000Z,11120,1.92886,1.93283,1.92811,1.93159,1.92896,1.93300,1.92822,1.93169,1.92905,1.93323,1.92834,1.93179,1.92954625,
12,GBP_AUD,2023-07-12T06:00:00.000000000Z,8382,1.93161,1.93181,1.92911,1.93028,1.93172,1.93188,1.92920,1.93038,1.93182,1.93198,1.92927,1.93049,1.9291912500000001,
13,GBP_AUD,2023-07-12T07:00:00.000000000Z,10065,1.93028,1.93596,1.92974,1.93467,1.93038,1.93605,1.92982,1.93476,1.93048,1.93614,1.92990,1.93486,1.9294862499999998,
14,GBP_AUD,2023-07-12T08:00:00.000000000Z,7527,1.93464,1.93594,1.93349,1.93368,1.93476,1.93603,1.93358,1.93376,1.93488,1.93613,1.93367,1.93385,1.9300762500000002,
15,GBP_AUD,2023-07-12T09:00:00.000000000Z,5507,1.93367,1.93422,1.93088,1.93129,1.93374,1.93431,1.93096,1.93139,1.93382,1.93441,1.93104,1.93149,1.930515,
16,GBP_AUD,2023-07-12T10:00:00.000000000Z,5404,1.93130,1.93259,1.92966,1.93080,1.93140,1.93268,1.92976,1.93088,1.93149,1.93277,1.92986,1.93097,1.9313325,
17,GBP_AUD,2023-07-12T11:00:00.000000000Z,5270,1.93082,1.93295,1.92913,1.93041,1.93091,1.93303,1.92920,1.93048,1.93100,1.93312,1.92928,1.93056,1.931535,
18,GBP_AUD,2023-07-12T12:00:00.000000000Z,19324,1.93041,1.93125,1.92046,1.92416,1.93050,1.93140,1.92075,1.92424,1.93058,1.93278,1.92104,1.92431,1.9309475,
19,GBP_AUD,2023-07-12T13:00:00.000000000Z,16985,1.92412,1.92438,1.91669,1.91740,1.92424,1.92448,1.91680,1.91748,1.92435,1.92458,1.91692,1.91756,1.9291712499999998,
20,GBP_AUD,2023-07-12T14:00:00.000000000Z,13909,1.91745,1.91879,1.91298,1.91327,1.91754,1.91890,1.91306,1.91336,1.91762,1.91900,1.91313,1.91344,1.92704375,
21,GBP_AUD,2023-07-12T15:00:00.000000000Z,9297,1.91326,1.91653,1.91323,1.91535,1.91335,1.91662,1.91332,1.91544,1.91344,1.91671,1.91339,1.91552,1.92462875,
22,GBP_AUD,2023-07-12T16:00:00.000000000Z,8729,1.91531,1.91566,1.91277,1.91325,1.91540,1.91574,1.91286,1.91332,1.91550,1.91581,1.91296,1.91340,1.9220737499999998,
23,GBP_AUD,2023-07-12T17:00:00.000000000Z,6624,1.91319,1.91341,1.91157,1.91195,1.91326,1.91350,1.91168,1.91203,1.91334,1.91361,1.91179,1.91211,1.9196537500000002,
24,GBP_AUD,2023-07-12T18:00:00.000000000Z,6264,1.91193,1.91367,1.91144,1.91285,1.91204,1.91375,1.91153,1.91294,1.91216,1.91385,1.91161,1.91302,1.91741125,
25,GBP_AUD,2023-07-12T19:00:00.000000000Z,5127,1.91285,1.91438,1.91235,1.91353,1.91294,1.91446,1.91243,1.91361,1.91304,1.91453,1.91251,1.91369,1.9153025,
26,GBP_AUD,2023-07-12T20:00:00.000000000Z,2603,1.91347,1.91360,1.91265,1.91308,1.91358,1.91369,1.91276,1.91320,1.91370,1.91380,1.91283,1.91332,1.9139225,
27,GBP_AUD,2023-07-12T21:00:00.000000000Z,1156,1.91212,1.91381,1.91176,1.91315,1.91416,1.91474,1.91276,1.91366,1.91619,1.91676,1.91310,1.91417,1.913445,
