,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,GBP_CAD,2023-07-11T18:00:00.000000000Z,7055,1.71178,1.71253,1.71153,1.71219,1.71190,1.71265,1.71163,1.71230,1.71202,1.71277,1.71173,1.71240,,
1,GBP_CAD,2023-07-11T19:00:00.000000000Z,5299,1.71223,1.71223,1.71091,1.71143,1.71234,1.71234,1.71102,1.71154,1.71245,1.71246,1.71114,1.71164,,
2,GBP_CAD,2023-07-11T20:00:00.000000000Z,2373,1.71144,1.71162,1.71061,1.71080,1.71154,1.71174,1.71074,1.71094,1.71164,1.71188,1.71087,1.71109,,
3,GBP_CAD,2023-07-11T21:00:00.000000000Z,315,1.71066,1.71105,1.71029,1.71045,1.71106,1.71142,1.71086,1.71092,1.71147,1.71178,1.71119,1.71139,,
4,GBP_CAD,2023-07-11T22:00:00.000000000Z,1566,1.71047,1.71145,1.71047,1.71088,1.71091,1.71156,1.71072,1.71096,1.71135,1.71168,1.71080,1.71104,,
5,GBP_CAD,2023-07-11T23:00:00.000000000Z,1537,1.71096,1.71130,1.71076,1.71093,1.71104,1.71140,1.71086,1.71106,1.71111,1.71153,1.71096,1.71120,,
6,GBP_CAD,2023-07-12T00:00:00.000000000Z,6775,1.71093,1.71175,1.71084,1.71129,1.71106,1.71186,1.71096,1.71143,1.71119,1.71199,1.71109,1.71157,,
7,GBP_CAD,2023-07-12T01:00:00.000000000Z,6759,1.71130,1.71264,1.71121,1.71193,1.71144,1.71279,1.71136,1.71209,1.71157,1.71294,1.71150,1.71225,1.711405,
8,GBP_CAD,2023-07-12T02:00:00.000000000Z,5634,1.71194,1.71237,1.71127,1.71149,1.71211,1.71252,1.71140,1.71164,1.71228,1.71269,1.71153,1.71178,1.7113225,
9,GBP_CAD,2023-07-12T03:00:00.000000000Z,3655,1.71150,1.71181,1.71085,1.71143,1.71164,1.71192,1.71100,1.71156,1.71178,1.71207,1.71113,1.71170,1.711325,
10,GBP_CAD,2023-07-12T04:00:00.000000000Z,4896,1.71143,1.71222,1.71105,1.71213,1.71157,1.71233,1.71117,1.71224,1.71171,1.71246,1.71128,1.71235,1.7114875,
11,GBP_CAD,2023-07-12T05:00:00.000000000Z,5052,1.71213,1.71229,1.71136,1.71188,1.71226,1.71241,1.71148,1.71202,1.71238,1.71253,1.71159,1.71217,1.711625,
12,GBP_CAD,2023-07-12T06:00:00.000000000Z,5748,1.71187,1.71238,1.71000,1.71052,1.71202,1.71251,1.71013,1.71068,1.71217,1.71266,1.71026,1.71084,1.7115900000000002,
13,GBP_CAD,2023-07-12T07:00:00.000000000Z,6575,1.71053,1.71254,1.71016,1.71035,1.71070,1.71266,1.71028,1.71047,1.71086,1.71279,1.71040,1.71059,1.7115162499999999,
14,GBP_CAD,2023-07-12T08:00:00.000000000Z,4983,1.71032,1.71069,1.70838,1.70848,1.71046,1.71081,1.70851,1.70860,1.71059,1.71093,1.70864,1.70872,1.7111625,
15,GBP_CAD,2023-07-12T09:00:00.000000000Z,5394,1.70850,1.70889,1.70712,1.70741,1.70861,1.70900,1.70724,1.70753,1.70872,1.70912,1.70736,1.70765,1.7105925,
16,GBP_CAD,2023-07-12T10:00:00.000000000Z,4809,1.70741,1.70848,1.70671,1.70676,1.70754,1.70860,1.70686,1.70691,1.70766,1.70871,1.70701,1.70706,1.71000125,
17,GBP_CAD,2023-07-12T11:00:00.000000000Z,5655,1.70682,1.70820,1.70599,1.70685,1.70694,1.70830,1.70612,1.70696,1.70706,1.70841,1.70624,1.70706,1.70942625,
18,GBP_CAD,2023-07-12T12:00:00.000000000Z,16909,1.70684,1.71315,1.70625,1.71193,1.70695,1.71329,1.70635,1.71206,1.70706,1.71343,1.70645,1.71219,1.7094037499999999,
19,GBP_CAD,2023-07-12T13:00:00.000000000Z,13818,1.71192,1.71635,1.71192,1.71324,1.71204,1.71646,1.71204,1.71356,1.71217,1.71658,1.71217,1.71388,1.70959625,
20,GBP_CAD,2023-07-12T14:00:00.000000000Z,15266,1.71324,1.71324,1.70727,1.71010,1.71357,1.71357,1.70751,1.71020,1.71390,1.71390,1.70774,1.71029,1.70953625,
21,GBP_CAD,2023-07-12T15:00:00.000000000Z,12832,1.71007,1.71344,1.70896,1.71207,1.71018,1.71356,1.70908,1.71219,1.71029,1.71370,1.70921,1.71231,1.70975125,
22,GBP_CAD,2023-07-12T16:00:00.000000000Z,9540,1.71206,1.71442,1.71124,1.71391,1.71218,1.71454,1.71134,1.71403,1.71231,1.71465,1.71143,1.71415,1.71043,
23,GBP_CAD,2023-07-12T17:00:00.000000000Z,7270,1.71391,1.71391,1.71094,1.71188,1.71402,1.71402,1.71106,1.71202,1.71414,1.71414,1.71117,1.71216,1.71099125,
24,GBP_CAD,2023-07-12T18:00:00.000000000Z,6963,1.71188,1.71362,1.71135,1.71334,1.71204,1.71371,1.71145,1.71344,1.71219,1.71381,1.71155,1.71355,1.7118075000000001,
25,GBP_CAD,2023-07-12T19:00:00.000000000Z,6702,1.71334,1.71427,1.71272,1.71287,1.71345,1.71437,1.71284,1.71300,1.71356,1.71448,1.71294,1.71314,1.7125625,
26,GBP_CAD,2023-07-12T20:00:00.000000000Z,2388,1.71287,1.71324,1.71238,1.71253,1.71300,1.71337,1.71254,1.71265,1.71313,1.71350,1.71267,1.71277,1.71263625,
27,GBP_CAD,2023-07-12T21:00:00.000000000Z,1170,1.71148,1.71282,1.71063,1.71226,1.71268,1.71362,1.71196,1.71270,1.71387,1.71450,1.71271,1.71313,1.71252875,
28,GBP_CAD,2023-07-12T22:00:00.000000000Z,1912,1.71232,1.71323,1.71217,1.71319,1.71272,1.71334,1.71260,1.71332,1.71311,1.71346,1.71291,1.71344,1.71291875,
29,GBP_CAD,2023-07-12T23:00:00.000000000Z,1248,1.71318,1.71338,1.71287,1.71317,1.71331,1.71356,1.71304,1.71334,1.71344,1.71375,1.71322,1.71351,1.7130625,
30,GBP_CAD,2023-07-13T00:00:00.000000000Z,6844,1.71317,1.71368,1.71246,1.71301,1.71335,1.71381,1.71258,1.71310,1.71353,1.71395,1.71269,1.71320,1.7129462500000001,
31,GBP_CAD,2023-07-13T01:00:00.000000000Z,8918,1.71301,1.71481,1.71280,1.71476,1.71312,1.71494,1.71296,1.71490,1.71324,1.71507,1.71311,1.71504,1.71330625,
32,GBP_CAD,2023-07-13T02:00:00.000000000Z,7406,1.71476,1.71568,1.71398,1.71537,1.71490,1.71580,1.71411,1.71549,1.71505,1.71592,1.71424,1.71561,1.7135624999999999,
33,GBP_CAD,2023-07-13T03:00:00.000000000Z,6174,1.71537,1.71561,1.71424,1.71443,1.71548,1.71573,1.71438,1.71455,1.71560,1.71587,1.71450,1.71467,1.71375625,
34,GBP_CAD,2023-07-13T04:00:00.000000000Z,5972,1.71443,1.71462,1.71360,1.71366,1.71456,1.71475,1.71371,1.71378,1.71469,1.71488,1.71382,1.71389,1.7138975,
35,GBP_CAD,2023-07-13T05:00:00.000000000Z,6885,1.71363,1.71384,1.71187,1.71252,1.71376,1.71398,1.71202,1.71272,1.71389,1.71414,1.71216,1.71292,1.7139000000000002,
36,GBP_CAD,2023-07-13T06:00:00.000000000Z,11507,1.71244,1.71476,1.71120,1.71190,1.71258,1.71489,1.71135,1.71201,1.71272,1.71502,1.71149,1.71212,1.7137362500000002,
37,GBP_CAD,2023-07-13T07:00:00.000000000Z,11273,1.71190,1.71402,1.71136,1.71357,1.71200,1.71414,1.71151,1.71368,1.71211,1.71427,1.71164,1.71380,1.7137787500000001,
38,GBP_CAD,2023-07-13T08:00:00.000000000Z,10026,1.71357,1.71839,1.71352,1.71633,1.71369,1.71854,1.71364,1.71645,1.71381,1.71870,1.71376,1.71657,1.7141975,
39,GBP_CAD,2023-07-13T09:00:00.000000000Z,9485,1.71633,1.72118,1.71606,1.71968,1.71646,1.72129,1.71618,1.71982,1.71658,1.72143,1.71630,1.71995,1.7148125,
40,GBP_CAD,2023-07-13T10:00:00.000000000Z,6706,1.71969,1.72028,1.71819,1.71884,1.71982,1.72041,1.71832,1.71894,1.71994,1.72054,1.71844,1.71905,1.7152437500000002,
41,GBP_CAD,2023-07-13T11:00:00.000000000Z,7509,1.71886,1.71939,1.71765,1.71819,1.71898,1.71949,1.71778,1.71832,1.71909,1.71961,1.71790,1.71844,1.7157149999999999,
42,GBP_CAD,2023-07-13T12:00:00.000000000Z,17525,1.71819,1.72154,1.71806,1.72148,1.71832,1.72168,1.71817,1.72161,1.71845,1.72182,1.71827,1.72174,1.7166937500000001,
43,GBP_CAD,2023-07-13T13:00:00.000000000Z,15023,1.72150,1.72498,1.72009,1.72080,1.72162,1.72510,1.72021,1.72092,1.72175,1.72523,1.72033,1.72105,1.71771875,
44,GBP_CAD,2023-07-13T14:00:00.000000000Z,11510,1.72086,1.72111,1.71796,1.71933,1.72096,1.72124,1.71808,1.71946,1.72106,1.72138,1.71817,1.71960,1.71865,
45,GBP_CAD,2023-07-13T15:00:00.000000000Z,9183,1.71932,1.72019,1.71830,1.71909,1.71946,1.72030,1.71841,1.71920,1.71960,1.72043,1.71852,1.71930,1.7193399999999999,
46,GBP_CAD,2023-07-13T16:00:00.000000000Z,8114,1.71910,1.72065,1.71893,1.72030,1.71920,1.72076,1.71908,1.72041,1.71930,1.72088,1.71918,1.72052,1.719835,
47,GBP_CAD,2023-07-13T17:00:00.000000000Z,6698,1.72030,1.72165,1.71982,1.72031,1.72040,1.72175,1.71992,1.72042,1.72049,1.72186,1.72001,1.72052,1.71991,
48,GBP_CAD,2023-07-13T18:00:00.000000000Z,6768,1.72030,1.72134,1.71931,1.72102,1.72041,1.72144,1.71942,1.72114,1.72052,1.72156,1.71951,1.72127,1.7201849999999999,
49,GBP_CAD,2023-07-13T19:00:00.000000000Z,6135,1.72102,1.72255,1.72068,1.72177,1.72116,1.72267,1.72081,1.72188,1.72129,1.72279,1.72093,1.72199,1.72063,
50,GBP_CAD,2023-07-13T20:00:00.000000000Z,2447,1.72177,1.72222,1.72128,1.72190,1.72188,1.72232,1.72140,1.72205,1.72200,1.72244,1.72152,1.72220,1.720685,
51,GBP_CAD,2023-07-13T21:00:00.000000000Z,3249,1.72092,1.72181,1.71989,1.72164,1.72222,1.72304,1.72134,1.72210,1.72351,1.72432,1.72210,1.72257,1.7208325,
52,GBP_CAD,2023-07-13T22:00:00.000000000Z,2467,1.72158,1.72225,1.72118,1.72148,1.72180,1.72234,1.72144,1.72158,1.72203,1.72245,1.72155,1.72167,1.7210975,
