,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c
0,GBP_JPY,2022-11-15T18:00:00.000000000Z,29983,165.622,165.757,164.568,164.794,165.640,165.771,164.589,164.812,165.658,165.786,164.608,164.831
1,GBP_JPY,2022-11-15T19:00:00.000000000Z,32189,164.793,165.178,164.414,165.127,164.812,165.198,164.432,165.144,164.832,165.219,164.449,165.160
2,GBP_JPY,2022-11-15T20:00:00.000000000Z,18407,165.129,165.245,164.980,165.080,165.144,165.260,164.998,165.098,165.160,165.278,165.014,165.116
3,GBP_JPY,2022-11-15T21:00:00.000000000Z,10111,165.079,165.359,165.079,165.309,165.098,165.390,165.098,165.339,165.118,165.422,165.118,165.369
4,GBP_JPY,2022-11-15T22:00:00.000000000Z,3331,165.211,165.256,165.100,165.192,165.286,165.326,165.175,165.248,165.361,165.401,165.240,165.303
5,GBP_JPY,2022-11-15T23:00:00.000000000Z,13498,165.201,165.213,164.683,165.068,165.256,165.265,164.708,165.090,165.312,165.320,164.734,165.112
6,GBP_JPY,2022-11-16T00:00:00.000000000Z,15998,165.063,165.218,164.965,165.099,165.085,165.239,164.985,165.120,165.107,165.263,165.005,165.140
7,GBP_JPY,2022-11-16T01:00:00.000000000Z,20062,165.096,165.683,165.055,165.474,165.117,165.706,165.078,165.493,165.138,165.731,165.098,165.512
8,GBP_JPY,2022-11-16T02:00:00.000000000Z,17827,165.471,166.214,165.457,166.073,165.491,166.237,165.476,166.093,165.511,166.263,165.494,166.113
9,GBP_JPY,2022-11-16T03:00:00.000000000Z,14823,166.076,166.236,165.909,166.071,166.098,166.259,165.932,166.092,166.119,166.282,165.955,166.113
10,GBP_JPY,2022-11-16T04:00:00.000000000Z,13475,166.069,166.092,165.760,165.773,166.089,166.113,165.780,165.796,166.109,166.134,165.801,165.819
11,GBP_JPY,2022-11-16T05:00:00.000000000Z,16724,165.775,166.067,165.722,165.836,165.797,166.087,165.744,165.856,165.819,166.108,165.766,165.876
12,GBP_JPY,2022-11-16T06:00:00.000000000Z,13195,165.835,166.149,165.721,165.900,165.858,166.168,165.754,165.936,165.882,166.190,165.786,165.971
13,GBP_JPY,2022-11-16T07:00:00.000000000Z,21161,165.935,166.193,165.512,165.743,165.970,166.228,165.531,165.762,166.005,166.263,165.550,165.781
14,GBP_JPY,2022-11-16T08:00:00.000000000Z,21545,165.742,165.960,165.437,165.941,165.760,165.976,165.456,165.956,165.778,165.993,165.474,165.971
15,GBP_JPY,2022-11-16T09:00:00.000000000Z,14864,165.941,165.944,165.527,165.804,165.955,165.960,165.545,165.820,165.969,165.977,165.562,165.837
16,GBP_JPY,2022-11-16T10:00:00.000000000Z,15584,165.804,166.322,165.777,166.185,165.822,166.340,165.796,166.200,165.839,166.358,165.813,166.216
17,GBP_JPY,2022-11-16T11:00:00.000000000Z,14671,166.188,166.199,165.819,165.943,166.204,166.214,165.838,165.961,166.221,166.230,165.855,165.979
18,GBP_JPY,2022-11-16T12:00:00.000000000Z,16468,165.942,166.074,165.781,166.039,165.960,166.090,165.801,166.056,165.979,166.105,165.821,166.072
19,GBP_JPY,2022-11-16T13:00:00.000000000Z,24153,166.039,166.363,165.782,165.938,166.057,166.399,165.798,165.955,166.075,166.435,165.814,165.972
20,GBP_JPY,2022-11-16T14:00:00.000000000Z,28711,165.937,165.942,165.129,165.207,165.955,165.958,165.148,165.224,165.973,165.976,165.165,165.240
21,GBP_JPY,2022-11-16T15:00:00.000000000Z,22686,165.210,165.750,165.029,165.702,165.226,165.764,165.048,165.715,165.241,165.779,165.066,165.728
22,GBP_JPY,2022-11-16T16:00:00.000000000Z,16897,165.696,166.012,165.526,165.937,165.712,166.028,165.544,165.953,165.727,166.044,165.560,165.969
23,GBP_JPY,2022-11-16T17:00:00.000000000Z,14434,165.941,165.977,165.792,165.815,165.956,165.992,165.806,165.834,165.972,166.007,165.821,165.854
24,GBP_JPY,2022-11-16T18:00:00.000000000Z,13432,165.813,165.963,165.706,165.953,165.834,165.981,165.726,165.968,165.854,165.999,165.745,165.984
25,GBP_JPY,2022-11-16T19:00:00.000000000Z,12169,165.953,166.064,165.899,165.929,165.970,166.079,165.916,165.946,165.986,166.095,165.934,165.963
26,GBP_JPY,2022-11-16T20:00:00.000000000Z,11005,165.925,166.191,165.906,166.143,165.942,166.206,165.923,166.159,165.959,166.222,165.940,166.175
27,GBP_JPY,2022-11-16T21:00:00.000000000Z,8108,166.141,166.294,166.097,166.237,166.158,166.318,166.118,166.267,166.176,166.343,166.138,166.297
28,GBP_JPY,2022-11-16T22:00:00.000000000Z,3457,166.126,166.270,166.069,166.138,166.201,166.322,166.144,166.202,166.276,166.374,166.219,166.267
29,GBP_JPY,2022-11-16T23:00:00.000000000Z,7664,166.125,166.212,165.966,165.982,166.190,166.271,165.989,166.003,166.256,166.337,166.009,166.024
30,GBP_JPY,2022-11-17T00:00:00.000000000Z,9669,165.978,166.142,165.905,166.020,165.999,166.159,165.926,166.038,166.020,166.177,165.947,166.057
31,GBP_JPY,2022-11-17T01:00:00.000000000Z,11923,166.023,166.078,165.729,165.845,166.042,166.098,165.749,165.865,166.060,166.119,165.768,165.885
32,GBP_JPY,2022-11-17T02:00:00.000000000Z,13296,165.844,165.881,165.682,165.771,165.863,165.900,165.700,165.790,165.882,165.919,165.717,165.809
33,GBP_JPY,2022-11-17T03:00:00.000000000Z,11733,165.772,165.905,165.732,165.801,165.790,165.924,165.752,165.819,165.808,165.944,165.770,165.837
34,GBP_JPY,2022-11-17T04:00:00.000000000Z,9869,165.804,165.886,165.735,165.843,165.822,165.905,165.755,165.864,165.840,165.928,165.775,165.884
35,GBP_JPY,2022-11-17T05:00:00.000000000Z,10365,165.844,165.984,165.779,165.876,165.863,166.005,165.800,165.894,165.882,166.026,165.817,165.913
36,GBP_JPY,2022-11-17T06:00:00.000000000Z,12329,165.874,166.172,165.836,166.125,165.892,166.191,165.852,166.142,165.911,166.211,165.869,166.159
37,GBP_JPY,2022-11-17T07:00:00.000000000Z,13930,166.125,166.280,165.978,166.260,166.141,166.296,165.996,166.276,166.157,166.316,166.011,166.291
38,GBP_JPY,2022-11-17T08:00:00.000000000Z,20653,166.260,166.310,165.983,166.239,166.277,166.324,166.005,166.256,166.294,166.340,166.027,166.274
39,GBP_JPY,2022-11-17T09:00:00.000000000Z,16541,166.239,166.312,165.726,165.949,166.256,166.328,165.743,165.967,166.273,166.345,165.760,165.985
40,GBP_JPY,2022-11-17T10:00:00.000000000Z,16670,165.948,166.066,165.761,166.051,165.967,166.082,165.778,166.068,165.986,166.099,165.796,166.084
41,GBP_JPY,2022-11-17T11:00:00.000000000Z,19705,166.055,166.072,165.313,165.776,166.072,166.088,165.332,165.792,166.088,166.105,165.352,165.808
42,GBP_JPY,2022-11-17T12:00:00.000000000Z,22682,165.773,165.975,165.258,165.638,165.790,165.992,165.275,165.655,165.808,166.012,165.292,165.672
43,GBP_JPY,2022-11-17T13:00:00.000000000Z,25528,165.639,165.744,165.165,165.299,165.654,165.760,165.196,165.316,165.670,165.777,165.226,165.332
