,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,GBP_JPY,2023-04-20T17:00:00.000000000Z,17163,167.000,167.250,166.913,167.030,167.014,167.262,166.928,167.046,167.028,167.276,166.941,167.062,,
1,GBP_JPY,2023-04-20T21:00:00.000000000Z,19363,166.930,167.066,166.635,166.884,167.005,167.094,166.654,166.900,167.080,167.123,166.670,166.915,,
2,GBP_JPY,2023-04-21T01:00:00.000000000Z,20023,166.880,166.934,166.318,166.430,166.896,166.950,166.334,166.446,166.913,166.966,166.349,166.461,,
3,GBP_JPY,2023-04-21T05:00:00.000000000Z,35812,166.431,166.444,165.785,165.868,166.446,166.457,165.800,165.882,166.460,166.472,165.814,165.897,,
4,GBP_JPY,2023-04-21T09:00:00.000000000Z,30714,165.866,166.013,165.504,165.880,165.880,166.026,165.516,165.894,165.894,166.040,165.527,165.907,,
5,GBP_JPY,2023-04-21T13:00:00.000000000Z,50270,165.876,166.792,165.773,166.715,165.890,166.806,165.786,166.728,165.903,166.821,165.799,166.742,,
6,GBP_JPY,2023-04-21T17:00:00.000000000Z,16463,166.713,166.915,166.642,166.847,166.726,166.931,166.655,166.886,166.740,166.962,166.668,166.926,,
7,GBP_JPY,2023-04-23T21:00:00.000000000Z,12121,166.740,166.891,166.588,166.767,166.815,166.911,166.604,166.780,166.890,166.980,166.618,166.793,166.57025,
8,GBP_JPY,2023-04-24T01:00:00.000000000Z,20882,166.764,167.217,166.692,167.068,166.778,167.232,166.707,167.083,166.792,167.247,166.721,167.098,166.574875,
9,GBP_JPY,2023-04-24T05:00:00.000000000Z,32632,167.067,167.237,166.529,167.205,167.082,167.250,166.544,167.219,167.098,167.264,166.559,167.233,166.61475000000002,
10,GBP_JPY,2023-04-24T09:00:00.000000000Z,34211,167.205,167.616,167.023,167.493,167.220,167.628,167.038,167.506,167.235,167.641,167.053,167.518,166.74725,
11,GBP_JPY,2023-04-24T13:00:00.000000000Z,34732,167.496,167.678,167.278,167.530,167.508,167.692,167.291,167.542,167.521,167.707,167.304,167.555,166.95475,
12,GBP_JPY,2023-04-24T17:00:00.000000000Z,13826,167.529,167.712,167.449,167.603,167.542,167.725,167.462,167.619,167.556,167.739,167.475,167.635,167.170375,
13,GBP_JPY,2023-04-24T21:00:00.000000000Z,18861,167.594,167.913,167.301,167.823,167.669,167.928,167.322,167.840,167.744,167.943,167.343,167.856,167.30937500000002,
14,GBP_JPY,2023-04-25T01:00:00.000000000Z,19657,167.826,167.947,167.549,167.609,167.842,167.962,167.566,167.625,167.857,167.977,167.581,167.641,167.40175000000002,
15,GBP_JPY,2023-04-25T05:00:00.000000000Z,38333,167.612,167.775,167.015,167.284,167.628,167.791,167.029,167.297,167.644,167.807,167.043,167.310,167.46637500000003,
16,GBP_JPY,2023-04-25T09:00:00.000000000Z,36692,167.285,167.312,166.307,166.377,167.299,167.326,166.322,166.390,167.313,167.342,166.335,166.404,167.37975,
17,GBP_JPY,2023-04-25T13:00:00.000000000Z,43945,166.388,166.435,165.847,165.938,166.404,166.449,165.862,165.952,166.419,166.463,165.877,165.965,167.221375,
18,GBP_JPY,2023-04-25T17:00:00.000000000Z,23916,165.938,166.017,165.413,165.950,165.952,166.030,165.428,165.969,165.966,166.043,165.442,165.988,167.02925,
19,GBP_JPY,2023-04-25T21:00:00.000000000Z,18185,165.936,166.168,165.744,165.922,166.011,166.218,165.759,165.938,166.086,166.269,165.773,165.953,166.82874999999999,
20,GBP_JPY,2023-04-26T01:00:00.000000000Z,25600,165.924,165.978,165.641,165.959,165.938,165.993,165.656,165.974,165.953,166.008,165.671,165.989,166.62312500000002,
21,GBP_JPY,2023-04-26T05:00:00.000000000Z,38811,165.960,166.635,165.935,166.629,165.976,166.646,165.950,166.642,165.991,166.660,165.964,166.655,166.47337499999998,
22,GBP_JPY,2023-04-26T09:00:00.000000000Z,50687,166.631,166.979,166.193,166.646,166.644,166.995,166.206,166.659,166.656,167.012,166.219,166.672,166.352625,
23,GBP_JPY,2023-04-26T13:00:00.000000000Z,54969,166.653,167.003,166.015,166.824,166.666,167.015,166.028,166.837,166.679,167.029,166.041,166.850,166.29512499999998,
24,GBP_JPY,2023-04-26T17:00:00.000000000Z,21286,166.823,166.918,166.257,166.660,166.836,166.932,166.272,166.680,166.850,166.946,166.287,166.700,166.33137499999998,
25,GBP_JPY,2023-04-26T21:00:00.000000000Z,17291,166.477,166.664,166.330,166.509,166.552,166.678,166.349,166.524,166.627,166.732,166.368,166.539,166.402875,
26,GBP_JPY,2023-04-27T01:00:00.000000000Z,23855,166.507,166.813,166.402,166.784,166.524,166.828,166.418,166.801,166.540,166.844,166.435,166.818,166.50687499999998,
27,GBP_JPY,2023-04-27T05:00:00.000000000Z,35699,166.785,167.020,166.571,166.938,166.801,167.033,166.586,166.952,166.817,167.048,166.599,166.967,166.633625,
28,GBP_JPY,2023-04-27T09:00:00.000000000Z,43314,166.940,166.960,166.303,166.654,166.954,166.974,166.318,166.669,166.968,166.989,166.331,166.684,166.7205,
29,GBP_JPY,2023-04-27T13:00:00.000000000Z,47333,166.660,167.346,166.618,167.004,166.675,167.360,166.632,167.016,166.690,167.375,166.646,167.028,166.76725,
30,GBP_JPY,2023-04-27T17:00:00.000000000Z,21646,167.005,167.490,166.922,167.395,167.016,167.508,166.936,167.430,167.027,167.527,166.949,167.465,166.86362499999998,
31,GBP_JPY,2023-04-27T21:00:00.000000000Z,23554,167.090,167.380,166.919,167.341,167.165,167.397,166.984,167.358,167.240,167.414,167.002,167.375,166.92874999999998,
