,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,GBP_NZD,2023-06-29T17:00:00.000000000Z,7643,2.08002,2.08096,2.07934,2.08081,2.08026,2.08122,2.07956,2.08105,2.08049,2.08149,2.07979,2.08129,,
1,GBP_NZD,2023-06-29T18:00:00.000000000Z,6443,2.08080,2.08154,2.07893,2.07960,2.08104,2.08176,2.07916,2.07984,2.08129,2.08199,2.07935,2.08008,,
2,GBP_NZD,2023-06-29T19:00:00.000000000Z,6025,2.07956,2.07996,2.07841,2.07851,2.07978,2.08022,2.07864,2.07878,2.07999,2.08049,2.07886,2.07905,,
3,GBP_NZD,2023-06-29T20:00:00.000000000Z,2780,2.07861,2.07861,2.07620,2.07731,2.07886,2.07886,2.07644,2.07760,2.07912,2.07912,2.07669,2.07789,,
4,GBP_NZD,2023-06-29T21:00:00.000000000Z,325,2.07490,2.07761,2.07476,2.07691,2.07674,2.07852,2.07659,2.07816,2.07859,2.07964,2.07823,2.07940,,
5,GBP_NZD,2023-06-29T22:00:00.000000000Z,1028,2.07691,2.07881,2.07603,2.07813,2.07802,2.07916,2.07730,2.07844,2.07913,2.07952,2.07793,2.07876,,
6,GBP_NZD,2023-06-29T23:00:00.000000000Z,1395,2.07811,2.07962,2.07688,2.07951,2.07842,2.07989,2.07715,2.07976,2.07872,2.08016,2.07739,2.08002,,
7,GBP_NZD,2023-06-30T00:00:00.000000000Z,9081,2.07948,2.08148,2.07854,2.07921,2.07975,2.08173,2.07878,2.07948,2.08002,2.08199,2.07897,2.07976,2.07913875,
8,GBP_NZD,2023-06-30T01:00:00.000000000Z,10642,2.07920,2.07947,2.07617,2.07642,2.07950,2.07966,2.07644,2.07670,2.07979,2.07986,2.07669,2.07699,2.078595,
9,GBP_NZD,2023-06-30T02:00:00.000000000Z,9857,2.07640,2.07647,2.07181,2.07422,2.07670,2.07673,2.07205,2.07448,2.07699,2.07699,2.07226,2.07474,2.077925,
10,GBP_NZD,2023-06-30T03:00:00.000000000Z,10745,2.07416,2.07515,2.07191,2.07278,2.07445,2.07537,2.07217,2.07300,2.07474,2.07559,2.07241,2.07322,2.0772025,
11,GBP_NZD,2023-06-30T04:00:00.000000000Z,7250,2.07279,2.07392,2.07212,2.07221,2.07300,2.07412,2.07236,2.07246,2.07322,2.07434,2.07260,2.07272,2.0765599999999997,
12,GBP_NZD,2023-06-30T05:00:00.000000000Z,8292,2.07220,2.07321,2.07073,2.07291,2.07244,2.07340,2.07096,2.07325,2.07267,2.07368,2.07116,2.07359,2.07594625,
13,GBP_NZD,2023-06-30T06:00:00.000000000Z,8603,2.07271,2.07437,2.07154,2.07311,2.07310,2.07463,2.07178,2.07335,2.07349,2.07489,2.07199,2.07359,2.07531,
14,GBP_NZD,2023-06-30T07:00:00.000000000Z,9449,2.07321,2.07811,2.07131,2.07596,2.07340,2.07835,2.07151,2.07618,2.07359,2.07859,2.07171,2.07639,2.0748625,
15,GBP_NZD,2023-06-30T08:00:00.000000000Z,8547,2.07591,2.07676,2.07413,2.07503,2.07612,2.07692,2.07436,2.07521,2.07633,2.07709,2.07459,2.07539,2.07432875,
