,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,GBP_PLN,2023-07-11T18:00:00.000000000Z,2044,5.20940,5.21730,5.20940,5.21390,5.21060,5.21815,5.21060,5.21490,5.21180,5.21930,5.21180,5.21590,,
1,GBP_PLN,2023-07-11T19:00:00.000000000Z,1772,5.21390,5.21410,5.20930,5.21090,5.21480,5.21490,5.21060,5.21218,5.21570,5.21590,5.21150,5.21345,,
2,GBP_PLN,2023-07-11T20:00:00.000000000Z,1514,5.21090,5.21680,5.21020,5.21100,5.21214,5.21847,5.21160,5.21425,5.21337,5.22123,5.21300,5.21750,,
3,GBP_PLN,2023-07-11T21:00:00.000000000Z,101,5.20912,5.21008,5.20450,5.20600,5.21581,5.21714,5.21125,5.21400,5.22250,5.22450,5.21550,5.22200,,
4,GBP_PLN,2023-07-11T22:00:00.000000000Z,1019,5.20650,5.21500,5.20600,5.21300,5.21200,5.22146,5.21100,5.21550,5.21750,5.23035,5.21450,5.21800,,
5,GBP_PLN,2023-07-11T23:00:00.000000000Z,345,5.21300,5.21750,5.21013,5.21053,5.21575,5.21881,5.21122,5.21176,5.21850,5.22412,5.21200,5.21300,,
6,GBP_PLN,2023-07-12T00:00:00.000000000Z,1515,5.21055,5.21550,5.21015,5.21400,5.21178,5.21724,5.21108,5.21525,5.21300,5.21924,5.21200,5.21650,,
7,GBP_PLN,2023-07-12T01:00:00.000000000Z,1419,5.21367,5.21600,5.21304,5.21500,5.21484,5.21731,5.21475,5.21625,5.21600,5.21912,5.21600,5.21750,5.21426125,
8,GBP_PLN,2023-07-12T02:00:00.000000000Z,1076,5.21519,5.21600,5.21350,5.21400,5.21634,5.21770,5.21450,5.21525,5.21750,5.21950,5.21550,5.21650,5.2143049999999995,
9,GBP_PLN,2023-07-12T03:00:00.000000000Z,642,5.21400,5.21550,5.21205,5.21323,5.21500,5.21616,5.21328,5.21436,5.21600,5.21786,5.21450,5.21550,5.2145775,
10,GBP_PLN,2023-07-12T04:00:00.000000000Z,720,5.21302,5.21450,5.21117,5.21288,5.21426,5.21525,5.21258,5.21419,5.21550,5.21676,5.21400,5.21550,5.214569999999999,
11,GBP_PLN,2023-07-12T05:00:00.000000000Z,1777,5.21250,5.21500,5.21080,5.21390,5.21400,5.21581,5.21215,5.21495,5.21550,5.21752,5.21350,5.21600,5.21468875,
12,GBP_PLN,2023-07-12T06:00:00.000000000Z,2350,5.21395,5.22000,5.21300,5.21470,5.21498,5.22086,5.21375,5.21610,5.21600,5.22171,5.21450,5.21750,5.2147637499999995,
13,GBP_PLN,2023-07-12T07:00:00.000000000Z,3453,5.21470,5.22027,5.21172,5.21580,5.21585,5.22114,5.21257,5.21640,5.21700,5.22200,5.21342,5.21700,5.215343750000001,
14,GBP_PLN,2023-07-12T08:00:00.000000000Z,2621,5.21600,5.22160,5.21450,5.21700,5.21650,5.22230,5.21525,5.21775,5.21700,5.22300,5.21600,5.21850,5.21565625,
15,GBP_PLN,2023-07-12T09:00:00.000000000Z,2714,5.21702,5.21840,5.20729,5.21290,5.21776,5.21915,5.20814,5.21385,5.21850,5.22000,5.20900,5.21480,5.21535625,
16,GBP_PLN,2023-07-12T10:00:00.000000000Z,3366,5.21320,5.21980,5.21200,5.21400,5.21400,5.22055,5.21275,5.21440,5.21480,5.22130,5.21350,5.21480,5.215249999999999,
17,GBP_PLN,2023-07-12T11:00:00.000000000Z,3608,5.21350,5.21960,5.20940,5.21430,5.21415,5.22025,5.21015,5.21499,5.21480,5.22100,5.21090,5.21568,5.215328749999999,
18,GBP_PLN,2023-07-12T12:00:00.000000000Z,8883,5.21420,5.21430,5.19900,5.20295,5.21494,5.21825,5.20070,5.20372,5.21568,5.22725,5.20151,5.20450,5.2140200000000005,
19,GBP_PLN,2023-07-12T13:00:00.000000000Z,7019,5.20298,5.20802,5.19713,5.19790,5.20370,5.20871,5.19786,5.19875,5.20442,5.20950,5.19847,5.19960,5.211995,
20,GBP_PLN,2023-07-12T14:00:00.000000000Z,6060,5.19790,5.20197,5.18460,5.18586,5.19872,5.20244,5.18552,5.18653,5.19955,5.20300,5.18643,5.18720,5.208298750000001,
21,GBP_PLN,2023-07-12T15:00:00.000000000Z,4722,5.18589,5.19110,5.18280,5.18800,5.18654,5.19185,5.18294,5.18875,5.18720,5.19280,5.18307,5.18950,5.2048425,
22,GBP_PLN,2023-07-12T16:00:00.000000000Z,5242,5.18750,5.18850,5.17700,5.18000,5.18825,5.18925,5.17794,5.18100,5.18900,5.19000,5.17889,5.18200,5.20024875,
23,GBP_PLN,2023-07-12T17:00:00.000000000Z,4987,5.18010,5.18220,5.17512,5.17650,5.18105,5.18260,5.17594,5.17725,5.18200,5.18350,5.17675,5.17800,5.19567375,
24,GBP_PLN,2023-07-12T18:00:00.000000000Z,2599,5.17610,5.17840,5.17540,5.17750,5.17705,5.17925,5.17625,5.17825,5.17800,5.18022,5.17700,5.17900,5.191155,
25,GBP_PLN,2023-07-12T19:00:00.000000000Z,2210,5.17760,5.17790,5.17020,5.17266,5.17830,5.17890,5.17155,5.17393,5.17900,5.18000,5.17280,5.17520,5.1860225,
26,GBP_PLN,2023-07-12T20:00:00.000000000Z,1439,5.17240,5.17500,5.17131,5.17400,5.17370,5.17620,5.17256,5.17550,5.17500,5.17800,5.17380,5.17700,5.182495,
27,GBP_PLN,2023-07-12T21:00:00.000000000Z,78,5.18050,5.18050,5.17400,5.17850,5.18625,5.18675,5.18175,5.18500,5.19200,5.19300,5.18900,5.19150,5.18077625,
28,GBP_PLN,2023-07-12T22:00:00.000000000Z,397,5.17900,5.18100,5.17264,5.18050,5.18525,5.18525,5.17826,5.18279,5.19150,5.19150,5.18200,5.18508,5.18030875,
29,GBP_PLN,2023-07-12T23:00:00.000000000Z,397,5.18050,5.18100,5.17533,5.17533,5.18283,5.18350,5.17692,5.17692,5.18516,5.18600,5.17850,5.17850,5.17883,
30,GBP_PLN,2023-07-13T00:00:00.000000000Z,813,5.17533,5.17676,5.17350,5.17500,5.17716,5.17863,5.17512,5.17638,5.17900,5.18065,5.17673,5.17776,5.1782525,
31,GBP_PLN,2023-07-13T01:00:00.000000000Z,1065,5.17460,5.17750,5.17450,5.17700,5.17618,5.17896,5.17605,5.17845,5.17776,5.18041,5.17760,5.17990,5.1784025,
32,GBP_PLN,2023-07-13T02:00:00.000000000Z,961,5.17700,5.18170,5.17700,5.18150,5.17854,5.18338,5.17842,5.18292,5.18008,5.18507,5.17950,5.18435,5.17898625,
33,GBP_PLN,2023-07-13T03:00:00.000000000Z,712,5.18150,5.18250,5.17987,5.17987,5.18292,5.18414,5.18165,5.18174,5.18434,5.18577,5.18300,5.18362,5.179962499999999,
34,GBP_PLN,2023-07-13T04:00:00.000000000Z,724,5.18037,5.18150,5.17950,5.18000,5.18210,5.18329,5.18154,5.18188,5.18383,5.18508,5.18300,5.18376,5.180759999999999,
35,GBP_PLN,2023-07-13T05:00:00.000000000Z,1707,5.17950,5.18150,5.17500,5.17650,5.18163,5.18280,5.17675,5.18025,5.18376,5.18471,5.17850,5.18400,5.18016625,
36,GBP_PLN,2023-07-13T06:00:00.000000000Z,3872,5.17724,5.18600,5.17264,5.17405,5.18006,5.18717,5.17354,5.17494,5.18288,5.18877,5.17444,5.17583,5.1791849999999995,
37,GBP_PLN,2023-07-13T07:00:00.000000000Z,3654,5.17400,5.18015,5.17264,5.17680,5.17490,5.18092,5.17343,5.17760,5.17581,5.18170,5.17419,5.17840,5.17927,
