,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,GBP_USD,2023-07-11T18:00:00.000000000Z,2544,1.29197,1.29287,1.29140,1.29281,1.29204,1.29295,1.29149,1.29290,1.29212,1.29304,1.29158,1.29299,,
1,GBP_USD,2023-07-11T19:00:00.000000000Z,2768,1.29285,1.29313,1.29244,1.29307,1.29294,1.29322,1.29252,1.29316,1.29302,1.29331,1.29261,1.29324,,
2,GBP_USD,2023-07-11T20:00:00.000000000Z,1198,1.29308,1.29332,1.29281,1.29310,1.29316,1.29340,1.29289,1.29319,1.29324,1.29349,1.29297,1.29328,,
3,GBP_USD,2023-07-11T21:00:00.000000000Z,291,1.29300,1.29307,1.29281,1.29287,1.29326,1.29328,1.29307,1.29310,1.29351,1.29352,1.29320,1.29333,,
4,GBP_USD,2023-07-11T22:00:00.000000000Z,817,1.29286,1.29375,1.29279,1.29349,1.29303,1.29385,1.29299,1.29358,1.29320,1.29395,1.29310,1.29368,,
5,GBP_USD,2023-07-11T23:00:00.000000000Z,1267,1.29357,1.29385,1.29329,1.29329,1.29366,1.29396,1.29338,1.29338,1.29376,1.29407,1.29347,1.29348,,
6,GBP_USD,2023-07-12T00:00:00.000000000Z,3779,1.29329,1.29529,1.29311,1.29461,1.29338,1.29536,1.29321,1.29470,1.29347,1.29544,1.29329,1.29479,,
7,GBP_USD,2023-07-12T01:00:00.000000000Z,4289,1.29460,1.29644,1.29450,1.29597,1.29470,1.29652,1.29460,1.29604,1.29479,1.29659,1.29469,1.29612,1.29375625,
8,GBP_USD,2023-07-12T02:00:00.000000000Z,3755,1.29596,1.29689,1.29555,1.29629,1.29604,1.29697,1.29562,1.29638,1.29612,1.29706,1.29570,1.29646,1.2941912500000001,
9,GBP_USD,2023-07-12T03:00:00.000000000Z,2794,1.29630,1.29634,1.29556,1.29585,1.29638,1.29642,1.29564,1.29592,1.29646,1.29651,1.29571,1.29600,1.29453625,
10,GBP_USD,2023-07-12T04:00:00.000000000Z,2517,1.29585,1.29665,1.29558,1.29658,1.29593,1.29674,1.29567,1.29667,1.29601,1.29682,1.29576,1.29676,1.29497125,
11,GBP_USD,2023-07-12T05:00:00.000000000Z,3864,1.29659,1.29663,1.29511,1.29543,1.29667,1.29670,1.29520,1.29553,1.29675,1.29679,1.29529,1.29563,1.295275,
12,GBP_USD,2023-07-12T06:00:00.000000000Z,4896,1.29545,1.29660,1.29413,1.29435,1.29554,1.29668,1.29423,1.29444,1.29564,1.29676,1.29433,1.29453,1.2953825,
13,GBP_USD,2023-07-12T07:00:00.000000000Z,5291,1.29436,1.29511,1.29342,1.29393,1.29446,1.29520,1.29352,1.29403,1.29455,1.29530,1.29361,1.29413,1.2954637500000001,
14,GBP_USD,2023-07-12T08:00:00.000000000Z,4312,1.29392,1.29448,1.29314,1.29317,1.29402,1.29456,1.29324,1.29326,1.29413,1.29464,1.29332,1.29334,1.29528375,
15,GBP_USD,2023-07-12T09:00:00.000000000Z,4167,1.29315,1.29346,1.29218,1.29282,1.29324,1.29356,1.29226,1.29292,1.29333,1.29365,1.29235,1.29301,1.2948937500000002,
16,GBP_USD,2023-07-12T10:00:00.000000000Z,3570,1.29282,1.29283,1.29151,1.29157,1.29291,1.29292,1.29161,1.29166,1.29300,1.29302,1.29171,1.29174,1.29430375,
17,GBP_USD,2023-07-12T11:00:00.000000000Z,4127,1.29155,1.29237,1.29054,1.29104,1.29164,1.29244,1.29062,1.29112,1.29174,1.29252,1.29071,1.29121,1.2937037500000002,
18,GBP_USD,2023-07-12T12:00:00.000000000Z,12787,1.29104,1.29755,1.29033,1.29474,1.29112,1.29763,1.29042,1.29482,1.29120,1.29771,1.29051,1.29491,1.2934725,
19,GBP_USD,2023-07-12T13:00:00.000000000Z,11555,1.29476,1.29948,1.29459,1.29908,1.29484,1.29956,1.29468,1.29916,1.29491,1.29963,1.29476,1.29924,1.2939262500000002,
20,GBP_USD,2023-07-12T14:00:00.000000000Z,10110,1.29902,1.29999,1.29765,1.29959,1.29910,1.30006,1.29774,1.29967,1.29918,1.30015,1.29782,1.29975,1.2945799999999998,
21,GBP_USD,2023-07-12T15:00:00.000000000Z,6541,1.29960,1.29980,1.29807,1.29897,1.29968,1.29988,1.29816,1.29904,1.29975,1.29995,1.29824,1.29912,1.2952062500000001,
22,GBP_USD,2023-07-12T16:00:00.000000000Z,5108,1.29894,1.29984,1.29851,1.29956,1.29902,1.29993,1.29860,1.29965,1.29911,1.30002,1.29867,1.29974,1.296005,
23,GBP_USD,2023-07-12T17:00:00.000000000Z,3821,1.29951,1.29960,1.29758,1.29793,1.29960,1.29968,1.29767,1.29802,1.29968,1.29975,1.29776,1.29811,1.2966425,
24,GBP_USD,2023-07-12T18:00:00.000000000Z,3527,1.29796,1.29927,1.29782,1.29926,1.29806,1.29936,1.29790,1.29935,1.29815,1.29945,1.29798,1.29944,1.29760375,
25,GBP_USD,2023-07-12T19:00:00.000000000Z,3841,1.29927,1.29932,1.29869,1.29922,1.29935,1.29940,1.29878,1.29932,1.29943,1.29948,1.29886,1.29941,1.29862875,
26,GBP_USD,2023-07-12T20:00:00.000000000Z,1537,1.29920,1.29923,1.29873,1.29880,1.29928,1.29932,1.29880,1.29890,1.29937,1.29940,1.29888,1.29900,1.29913875,
27,GBP_USD,2023-07-12T21:00:00.000000000Z,589,1.29839,1.29895,1.29828,1.29860,1.29876,1.29918,1.29864,1.29886,1.29912,1.29951,1.29888,1.29913,1.2991012499999999,
28,GBP_USD,2023-07-12T22:00:00.000000000Z,1037,1.29861,1.29920,1.29859,1.29907,1.29888,1.29930,1.29886,1.29918,1.29916,1.29941,1.29900,1.29929,1.2990399999999998,
29,GBP_USD,2023-07-12T23:00:00.000000000Z,1345,1.29907,1.29960,1.29898,1.29950,1.29919,1.29968,1.29909,1.29960,1.29931,1.29978,1.29918,1.29969,1.29911,
