,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,HK33_HKD,2023-06-16T17:00:00.000000000Z,2434,20022.8,20024.8,19988.8,20002.3,20025.3,20027.3,19991.3,20004.8,20027.8,20029.8,19993.8,20007.3,,
1,HK33_HKD,2023-06-16T18:00:00.000000000Z,2315,20001.8,20011.3,19983.3,19988.8,20004.3,20013.8,19985.8,19991.3,20006.8,20016.3,19988.3,19993.8,,
2,HK33_HKD,2023-06-19T01:00:00.000000000Z,10693,19969.3,20025.8,19899.8,19936.8,19971.8,20028.3,19902.3,19939.3,19974.3,20030.8,19904.8,19941.8,,
3,HK33_HKD,2023-06-19T02:00:00.000000000Z,9532,19936.3,19945.3,19840.3,19865.8,19938.8,19947.8,19842.8,19868.3,19941.3,19950.3,19845.3,19870.8,,
4,HK33_HKD,2023-06-19T03:00:00.000000000Z,7072,19864.8,19878.3,19720.3,19728.8,19867.3,19880.8,19722.8,19731.3,19869.8,19883.3,19725.3,19733.8,,
5,HK33_HKD,2023-06-19T05:00:00.000000000Z,8055,19733.3,19829.3,19723.8,19814.8,19735.8,19831.8,19726.3,19817.3,19738.3,19834.3,19728.8,19819.8,,
6,HK33_HKD,2023-06-19T06:00:00.000000000Z,6159,19813.8,19846.8,19783.3,19843.3,19816.3,19849.3,19785.8,19845.8,19818.8,19851.8,19788.3,19848.3,,
7,HK33_HKD,2023-06-19T07:00:00.000000000Z,7334,19842.8,19973.8,19818.8,19894.8,19845.3,19976.3,19821.3,19897.3,19847.8,19978.8,19823.8,19899.8,19886.925,
8,HK33_HKD,2023-06-19T08:00:00.000000000Z,2414,19893.8,19924.8,19879.8,19896.8,19896.3,19927.3,19882.3,19899.3,19898.8,19929.8,19884.8,19901.8,19873.7375,
9,HK33_HKD,2023-06-19T09:00:00.000000000Z,1612,19901.3,19975.8,19901.3,19949.3,19905.4,19978.3,19905.4,19951.8,19909.4,19980.8,19909.4,19954.3,19868.8,
10,HK33_HKD,2023-06-19T10:00:00.000000000Z,1072,19948.8,19954.3,19921.8,19928.3,19951.3,19956.8,19924.3,19930.8,19953.8,19959.3,19926.8,19933.3,19867.7375,
11,HK33_HKD,2023-06-19T11:00:00.000000000Z,1027,19929.3,19937.3,19915.8,19918.8,19931.8,19939.8,19918.3,19921.3,19934.3,19942.3,19920.8,19923.8,19874.362499999996,
12,HK33_HKD,2023-06-19T12:00:00.000000000Z,1050,19917.8,19921.3,19899.8,19914.3,19920.3,19923.8,19902.3,19916.8,19922.8,19926.3,19904.8,19919.3,19897.55,
13,HK33_HKD,2023-06-19T13:00:00.000000000Z,2003,19913.8,19936.3,19883.3,19898.3,19916.3,19938.8,19885.8,19900.8,19918.8,19941.3,19888.3,19903.3,19907.9875,
14,HK33_HKD,2023-06-19T14:00:00.000000000Z,1391,19899.3,19922.8,19888.3,19911.8,19901.8,19925.3,19890.8,19914.3,19904.3,19927.8,19893.3,19916.8,19916.55,
