,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,HKD_JPY,2023-06-29T17:00:00.000000000Z,2589,18.47841,18.47930,18.46851,18.47713,18.47899,18.47988,18.46897,18.47769,18.47957,18.48046,18.46943,18.47825,,
1,HKD_JPY,2023-06-29T18:00:00.000000000Z,1865,18.47700,18.48563,18.47587,18.48486,18.47750,18.48615,18.47645,18.48537,18.47799,18.48667,18.47697,18.48588,,
2,HKD_JPY,2023-06-29T19:00:00.000000000Z,1810,18.48550,18.48576,18.47310,18.47810,18.48601,18.48628,18.47374,18.47870,18.48652,18.48680,18.47433,18.47929,,
3,HKD_JPY,2023-06-29T20:00:00.000000000Z,1153,18.47798,18.47798,18.47036,18.47150,18.47851,18.47851,18.47104,18.47260,18.47904,18.47904,18.47165,18.47371,,
4,HKD_JPY,2023-06-29T21:00:00.000000000Z,278,18.46432,18.46781,18.46052,18.46370,18.46862,18.47010,18.46418,18.46644,18.47293,18.47542,18.46732,18.46917,,
5,HKD_JPY,2023-06-29T22:00:00.000000000Z,2176,18.46420,18.47317,18.46267,18.46737,18.46706,18.47446,18.46419,18.46829,18.46993,18.47576,18.46479,18.46921,,
6,HKD_JPY,2023-06-29T23:00:00.000000000Z,2247,18.46712,18.47612,18.45664,18.47191,18.46804,18.47676,18.45802,18.47257,18.46896,18.47740,18.45923,18.47323,,
7,HKD_JPY,2023-06-30T00:00:00.000000000Z,5727,18.47191,18.49117,18.45989,18.48579,18.47244,18.49186,18.46044,18.48641,18.47297,18.49254,18.46100,18.48703,18.47600875,
8,HKD_JPY,2023-06-30T01:00:00.000000000Z,6995,18.48540,18.50992,18.47315,18.47427,18.48602,18.51044,18.47393,18.47480,18.48664,18.51096,18.47465,18.47532,18.4756475,
9,HKD_JPY,2023-06-30T02:00:00.000000000Z,6021,18.47478,18.48573,18.46516,18.47123,18.47530,18.48641,18.46578,18.47194,18.47583,18.48710,18.46641,18.47265,18.47396875,
10,HKD_JPY,2023-06-30T03:00:00.000000000Z,4202,18.47111,18.48146,18.46955,18.47709,18.47194,18.48199,18.47042,18.47764,18.47278,18.48252,18.47105,18.47818,18.47383625,
