,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,JP225Y_JPY,2023-06-28T16:00:00.000000000Z,1745,33326.8,33371.8,33238.8,33266.8,33330.3,33375.3,33242.8,33270.3,33333.8,33378.8,33246.8,33273.8,,
1,JP225Y_JPY,2023-06-28T17:00:00.000000000Z,1258,33263.8,33336.8,33238.8,33296.8,33267.8,33340.3,33242.8,33300.3,33271.8,33343.8,33246.8,33303.8,,
2,JP225Y_JPY,2023-06-28T18:00:00.000000000Z,939,33298.8,33331.8,33286.8,33298.8,33302.8,33335.3,33290.3,33302.8,33306.8,33338.8,33293.8,33306.8,,
3,JP225Y_JPY,2023-06-28T19:00:00.000000000Z,1257,33301.8,33308.8,33241.8,33296.8,33305.3,33312.8,33245.3,33300.3,33308.8,33316.8,33248.8,33303.8,,
4,JP225Y_JPY,2023-06-28T20:00:00.000000000Z,305,33291.8,33328.8,33286.8,33291.8,33295.3,33332.8,33290.3,33295.3,33298.8,33336.8,33293.8,33298.8,,
5,JP225Y_JPY,2023-06-28T22:00:00.000000000Z,78,33271.5,33306.5,33248.5,33303.5,33275.0,33310.0,33255.0,33307.5,33278.5,33313.5,33261.5,33311.5,,
6,JP225Y_JPY,2023-06-28T23:00:00.000000000Z,480,33306.5,33351.5,33261.5,33276.5,33310.0,33355.0,33265.0,33280.0,33313.5,33358.5,33268.5,33283.5,,
7,JP225Y_JPY,2023-06-29T00:00:00.000000000Z,2601,33281.5,33486.5,33278.5,33426.5,33285.0,33490.0,33282.5,33430.0,33288.5,33493.5,33286.5,33433.5,33310.8125,
8,JP225Y_JPY,2023-06-29T01:00:00.000000000Z,2126,33428.5,33536.5,33381.5,33503.5,33432.5,33540.0,33385.0,33507.5,33436.5,33543.5,33388.5,33511.5,33340.4625,
9,JP225Y_JPY,2023-06-29T02:00:00.000000000Z,2229,33506.5,33521.5,33258.5,33333.5,33510.0,33525.0,33262.5,33337.5,33513.5,33528.5,33266.5,33341.5,33345.1125,
10,JP225Y_JPY,2023-06-29T03:00:00.000000000Z,1771,33331.5,33351.5,33191.5,33321.5,33335.0,33355.0,33195.0,33325.0,33338.5,33358.5,33198.5,33328.5,33347.887500000004,
11,JP225Y_JPY,2023-06-29T04:00:00.000000000Z,1106,33318.5,33353.5,33271.5,33321.5,33322.5,33357.5,33275.0,33325.0,33326.5,33361.5,33278.5,33328.5,33350.975,
12,JP225Y_JPY,2023-06-29T05:00:00.000000000Z,1935,33316.5,33396.5,33181.5,33248.5,33320.0,33400.0,33185.0,33252.5,33323.5,33403.5,33188.5,33256.5,33345.625,
13,JP225Y_JPY,2023-06-29T06:00:00.000000000Z,511,33251.5,33256.5,33161.5,33171.5,33255.0,33260.0,33165.0,33175.0,33258.5,33263.5,33168.5,33178.5,33329.0625,
14,JP225Y_JPY,2023-06-29T07:00:00.000000000Z,951,33173.5,33236.5,33098.5,33161.5,33177.5,33240.0,33102.5,33165.0,33181.5,33243.5,33106.5,33168.5,33314.6875,
15,JP225Y_JPY,2023-06-29T08:00:00.000000000Z,901,33163.5,33248.5,33151.5,33231.5,33167.5,33252.5,33155.0,33235.0,33171.5,33256.5,33158.5,33238.5,33290.3125,
16,JP225Y_JPY,2023-06-29T09:00:00.000000000Z,612,33233.5,33251.5,33196.5,33241.5,33237.5,33255.0,33200.0,33245.0,33241.5,33258.5,33203.5,33248.5,33257.5,
17,JP225Y_JPY,2023-06-29T10:00:00.000000000Z,492,33238.5,33281.5,33226.5,33236.5,33242.5,33285.0,33230.0,33240.0,33246.5,33288.5,33233.5,33243.5,33245.3125,
18,JP225Y_JPY,2023-06-29T11:00:00.000000000Z,457,33238.5,33251.5,33201.5,33223.5,33242.5,33255.0,33205.0,33227.5,33246.5,33258.5,33208.5,33231.5,33233.125,
19,JP225Y_JPY,2023-06-29T12:00:00.000000000Z,989,33221.5,33308.5,33211.5,33231.5,33225.0,33312.5,33215.0,33235.0,33228.5,33316.5,33218.5,33238.5,33221.875,
20,JP225Y_JPY,2023-06-29T13:00:00.000000000Z,1383,33236.5,33251.5,33158.5,33228.5,33240.0,33255.0,33162.5,33232.5,33243.5,33258.5,33166.5,33236.5,33219.375,
21,JP225Y_JPY,2023-06-29T14:00:00.000000000Z,2084,33231.5,33236.5,33101.5,33126.5,33235.0,33240.0,33105.0,33130.0,33238.5,33243.5,33108.5,33133.5,33213.75,
22,JP225Y_JPY,2023-06-29T15:00:00.000000000Z,1100,33123.5,33193.5,33121.5,33173.5,33127.5,33197.5,33125.0,33177.5,33131.5,33201.5,33128.5,33181.5,33215.3125,
23,JP225Y_JPY,2023-06-29T16:00:00.000000000Z,789,33176.5,33206.5,33163.5,33176.5,33180.0,33210.0,33167.5,33180.0,33183.5,33213.5,33171.5,33183.5,33208.4375,
24,JP225Y_JPY,2023-06-29T17:00:00.000000000Z,782,33173.5,33173.5,33113.5,33126.5,33177.5,33177.5,33117.5,33130.0,33181.5,33181.5,33121.5,33133.5,33194.0625,
