,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,JP225_USD,2023-07-11T01:00:00.000000000Z,853,32181.0,32181.0,32071.0,32099.0,32185.0,32185.0,32075.0,32102.5,32189.0,32189.0,32079.0,32106.0,,
1,JP225_USD,2023-07-11T02:00:00.000000000Z,754,32101.0,32101.0,31981.0,32014.0,32105.0,32105.0,31985.0,32017.5,32109.0,32109.0,31989.0,32021.0,,
2,JP225_USD,2023-07-11T03:00:00.000000000Z,618,32016.0,32086.0,31996.0,32039.0,32020.0,32090.0,32000.0,32042.5,32024.0,32094.0,32004.0,32046.0,,
3,JP225_USD,2023-07-11T04:00:00.000000000Z,918,32036.0,32046.0,31891.0,31951.0,32040.0,32050.0,31895.0,31955.0,32044.0,32054.0,31899.0,31959.0,,
4,JP225_USD,2023-07-11T05:00:00.000000000Z,1073,31946.0,32024.0,31821.0,31976.0,31952.5,32027.5,31825.0,31980.0,31959.0,32031.0,31829.0,31984.0,,
5,JP225_USD,2023-07-11T06:00:00.000000000Z,413,31979.0,32041.0,31961.0,31976.0,31982.5,32045.0,31965.0,31982.5,31986.0,32049.0,31969.0,31989.0,,
6,JP225_USD,2023-07-11T07:00:00.000000000Z,894,31974.0,31999.0,31856.0,31861.0,31977.5,32002.5,31860.0,31865.0,31981.0,32006.0,31864.0,31869.0,,
7,JP225_USD,2023-07-11T08:00:00.000000000Z,988,31864.0,31949.0,31804.0,31846.0,31867.5,31952.5,31807.5,31850.0,31871.0,31956.0,31811.0,31854.0,31974.375,
8,JP225_USD,2023-07-11T09:00:00.000000000Z,837,31844.0,31914.0,31816.0,31884.0,31847.5,31917.5,31820.0,31887.5,31851.0,31921.0,31824.0,31891.0,31947.5,
9,JP225_USD,2023-07-11T10:00:00.000000000Z,575,31881.0,31894.0,31819.0,31854.0,31885.0,31897.5,31822.5,31857.5,31889.0,31901.0,31826.0,31861.0,31927.5,
10,JP225_USD,2023-07-11T11:00:00.000000000Z,388,31856.0,31889.0,31854.0,31879.0,31860.0,31892.5,31857.5,31882.5,31864.0,31896.0,31861.0,31886.0,31907.5,
11,JP225_USD,2023-07-11T12:00:00.000000000Z,618,31881.0,31949.0,31864.0,31944.0,31885.0,31952.5,31867.5,31947.5,31889.0,31956.0,31871.0,31951.0,31906.5625,
12,JP225_USD,2023-07-11T13:00:00.000000000Z,1354,31946.0,31991.0,31909.0,31961.0,31950.0,31995.0,31912.5,31965.0,31954.0,31999.0,31916.0,31969.0,31904.6875,
13,JP225_USD,2023-07-11T14:00:00.000000000Z,1260,31959.0,31994.0,31901.0,31976.0,31962.5,31997.5,31905.0,31980.0,31966.0,32001.0,31909.0,31984.0,31904.375,
14,JP225_USD,2023-07-11T15:00:00.000000000Z,924,31979.0,32006.0,31944.0,31994.0,31982.5,32010.0,31947.5,31997.5,31986.0,32014.0,31951.0,32001.0,31920.9375,
15,JP225_USD,2023-07-11T16:00:00.000000000Z,781,31996.0,32009.0,31939.0,31979.0,32000.0,32012.5,31942.5,31982.5,32004.0,32016.0,31946.0,31986.0,31937.5,
16,JP225_USD,2023-07-11T17:00:00.000000000Z,876,31981.0,31989.0,31951.0,31971.0,31985.0,31992.5,31955.0,31975.0,31989.0,31996.0,31959.0,31979.0,31948.4375,
17,JP225_USD,2023-07-11T18:00:00.000000000Z,600,31969.0,31996.0,31929.0,31996.0,31972.5,32000.0,31932.5,32000.0,31976.0,32004.0,31936.0,32004.0,31966.25,
18,JP225_USD,2023-07-11T19:00:00.000000000Z,851,31999.0,32074.0,31989.0,32064.0,32002.5,32077.5,31992.5,32067.5,32006.0,32081.0,31996.0,32071.0,31989.375,
19,JP225_USD,2023-07-11T20:00:00.000000000Z,214,32059.0,32079.0,32054.0,32079.0,32062.5,32082.5,32057.5,32082.5,32066.0,32086.0,32061.0,32086.0,32006.25,
20,JP225_USD,2023-07-11T22:00:00.000000000Z,46,32046.0,32071.0,32046.0,32069.0,32057.5,32075.0,32057.5,32072.5,32069.0,32079.0,32066.0,32076.0,32019.6875,
21,JP225_USD,2023-07-11T23:00:00.000000000Z,384,32066.0,32156.0,32059.0,32086.0,32070.0,32160.0,32062.5,32092.5,32074.0,32164.0,32066.0,32099.0,32033.75,
22,JP225_USD,2023-07-12T00:00:00.000000000Z,2835,32086.0,32086.0,31616.0,31684.0,32090.0,32090.0,31620.0,31687.5,32094.0,32094.0,31624.0,31691.0,31995.0,
23,JP225_USD,2023-07-12T01:00:00.000000000Z,1941,31681.0,31699.0,31519.0,31634.0,31685.0,31702.5,31522.5,31637.5,31689.0,31706.0,31526.0,31641.0,31951.875,
24,JP225_USD,2023-07-12T02:00:00.000000000Z,1292,31629.0,31756.0,31606.0,31746.0,31632.5,31760.0,31610.0,31750.0,31636.0,31764.0,31614.0,31754.0,31923.75,
