,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,NAS100_USD,2023-04-20T05:00:00.000000000Z,4398,13047.3,13051.0,12939.5,12949.0,13048.2,13051.8,12940.4,12949.8,13049.0,13052.7,12941.2,12950.7,,
1,NAS100_USD,2023-04-20T09:00:00.000000000Z,4012,12948.3,12989.0,12942.5,12982.7,12949.2,12990.2,12943.4,12983.6,12950.0,12991.5,12944.2,12984.4,,
2,NAS100_USD,2023-04-20T13:00:00.000000000Z,28548,12983.4,13090.6,12960.4,13089.3,12984.2,13090.8,12961.2,13089.6,12985.1,13091.1,12961.6,13089.8,,
3,NAS100_USD,2023-04-20T17:00:00.000000000Z,20409,13090.1,13114.1,12936.8,13004.4,13090.4,13114.4,12937.0,13005.2,13090.6,13114.6,12937.3,13006.1,,
4,NAS100_USD,2023-04-20T21:00:00.000000000Z,941,13003.2,13020.0,12990.8,13020.0,13004.0,13020.8,12991.8,13020.8,13004.9,13021.7,12992.6,13021.7,,
5,NAS100_USD,2023-04-21T01:00:00.000000000Z,1283,13019.3,13021.5,12994.8,12996.5,13020.2,13022.4,12995.6,12997.4,13021.0,13023.2,12996.5,12998.2,,
6,NAS100_USD,2023-04-21T05:00:00.000000000Z,5114,12995.8,13005.0,12951.6,12998.4,12996.6,13005.8,12952.6,12999.2,12997.5,13006.7,12953.5,13000.1,,
7,NAS100_USD,2023-04-21T09:00:00.000000000Z,5951,12997.7,13005.2,12919.4,12969.2,12998.6,13006.0,12920.2,12970.0,12999.4,13007.2,12921.1,12970.9,13001.95,
8,NAS100_USD,2023-04-21T13:00:00.000000000Z,36010,12968.5,13015.6,12897.5,12991.6,12969.4,13015.8,12897.8,12991.8,12970.2,13016.1,12898.0,12992.1,13007.199999999999,
9,NAS100_USD,2023-04-21T17:00:00.000000000Z,15147,12991.9,13041.4,12976.6,12995.6,12992.2,13041.6,12976.8,12996.8,12992.4,13041.9,12977.1,12998.0,13008.85,
10,NAS100_USD,2023-04-23T21:00:00.000000000Z,1168,12988.5,12993.3,12965.8,12976.5,12989.8,12994.2,12966.8,12977.4,12991.2,12995.2,12967.7,12978.2,12994.825,
11,NAS100_USD,2023-04-24T01:00:00.000000000Z,952,12975.8,12984.0,12961.2,12964.8,12976.6,12984.8,12962.0,12965.6,12977.5,12985.7,12962.9,12966.5,12989.875,
12,NAS100_USD,2023-04-24T05:00:00.000000000Z,4299,12964.0,12965.8,12933.7,12953.3,12964.8,12966.6,12934.6,12954.2,12965.7,12967.5,12935.4,12955.0,12981.55,
13,NAS100_USD,2023-04-24T09:00:00.000000000Z,2694,12953.3,13018.3,12949.6,13013.0,12954.2,13019.2,12950.6,13013.8,12955.2,13020.0,12951.5,13014.7,12983.6,
14,NAS100_USD,2023-04-24T13:00:00.000000000Z,29942,13013.8,13053.5,12891.1,12936.6,13014.6,13053.8,12891.6,12936.8,13015.5,13054.0,12891.9,12937.1,12975.8,
15,NAS100_USD,2023-04-24T17:00:00.000000000Z,13714,12937.0,12991.4,12926.5,12972.3,12937.2,12991.6,12926.8,12973.2,12937.5,12992.5,12927.0,12974.0,12976.199999999999,
16,NAS100_USD,2023-04-24T21:00:00.000000000Z,582,12970.3,12983.5,12963.5,12965.4,12971.2,12984.4,12964.4,12966.2,12972.2,12985.2,12965.2,12967.1,12973.0,
17,NAS100_USD,2023-04-25T01:00:00.000000000Z,813,12966.3,12971.8,12929.0,12933.5,12967.2,12972.6,12929.8,12934.4,12968.0,12973.5,12930.7,12935.2,12965.2,
18,NAS100_USD,2023-04-25T05:00:00.000000000Z,6530,12932.8,12951.3,12891.3,12917.0,12933.6,12952.2,12892.2,12917.8,12934.5,12953.0,12893.0,12918.7,12957.75,
19,NAS100_USD,2023-04-25T09:00:00.000000000Z,2433,12917.6,12941.8,12908.5,12922.8,12918.6,12942.6,12909.6,12923.6,12919.5,12943.5,12910.4,12924.5,12952.5,
20,NAS100_USD,2023-04-25T13:00:00.000000000Z,28012,12923.7,12939.9,12812.3,12831.0,12924.6,12940.2,12812.6,12831.2,12925.4,12940.4,12812.8,12831.5,12937.125,
21,NAS100_USD,2023-04-25T17:00:00.000000000Z,26439,12831.4,12866.3,12726.4,12840.4,12831.6,12867.2,12727.2,12841.2,12831.9,12868.2,12728.1,12842.1,12915.550000000001,
22,NAS100_USD,2023-04-25T21:00:00.000000000Z,3583,12872.6,12916.3,12847.1,12905.8,12873.4,12917.2,12848.2,12906.6,12874.3,12918.0,12849.3,12907.5,12911.775,
23,NAS100_USD,2023-04-26T01:00:00.000000000Z,998,12904.9,12920.2,12889.6,12896.1,12905.8,12921.0,12890.4,12897.0,12906.6,12922.0,12891.3,12897.8,12902.25,
24,NAS100_USD,2023-04-26T05:00:00.000000000Z,4086,12895.4,12916.6,12865.4,12896.4,12896.2,12917.4,12866.2,12897.2,12897.1,12918.3,12867.1,12898.1,12893.625,
25,NAS100_USD,2023-04-26T09:00:00.000000000Z,9307,12896.8,12900.8,12809.6,12872.2,12897.8,12901.6,12810.6,12873.0,12898.7,12902.5,12811.4,12873.9,12885.95,
26,NAS100_USD,2023-04-26T13:00:00.000000000Z,37535,12871.3,12936.9,12821.1,12880.2,12872.2,12937.2,12821.4,12880.4,12873.0,12937.4,12821.6,12880.7,12881.275000000001,
27,NAS100_USD,2023-04-26T17:00:00.000000000Z,24469,12879.9,12895.1,12788.8,12884.6,12880.2,12896.0,12789.0,12885.4,12880.4,12896.8,12789.3,12886.3,12876.5,
28,NAS100_USD,2023-04-26T21:00:00.000000000Z,1356,12886.3,12892.9,12864.6,12870.2,12887.2,12893.8,12865.4,12871.0,12888.0,12894.7,12866.3,12871.9,12881.475,
29,NAS100_USD,2023-04-27T01:00:00.000000000Z,689,12870.9,12896.6,12860.1,12896.6,12871.8,12897.4,12861.4,12897.4,12872.6,12898.3,12862.3,12898.3,12888.5,
30,NAS100_USD,2023-04-27T05:00:00.000000000Z,3481,12895.8,12939.8,12887.2,12915.6,12896.6,12940.6,12888.0,12916.4,12897.5,12941.5,12888.9,12917.3,12889.725,
31,NAS100_USD,2023-04-27T09:00:00.000000000Z,5316,12916.3,12968.1,12896.1,12945.6,12917.2,12969.3,12897.0,12946.4,12918.0,12973.0,12897.8,12947.3,12895.9,
32,NAS100_USD,2023-04-27T13:00:00.000000000Z,28901,12946.8,13098.6,12938.2,13097.1,12947.6,13098.8,12938.4,13097.4,12948.5,13099.1,12938.7,13097.6,12920.925000000001,
33,NAS100_USD,2023-04-27T17:00:00.000000000Z,18424,13097.6,13254.9,13088.2,13185.1,13097.8,13255.8,13088.4,13186.0,13098.1,13257.0,13088.7,13186.8,12960.05,
34,NAS100_USD,2023-04-27T21:00:00.000000000Z,2549,13129.6,13149.5,13116.2,13131.5,13130.7,13150.4,13117.0,13132.4,13131.8,13151.2,13117.9,13133.2,12991.55,
35,NAS100_USD,2023-04-28T01:00:00.000000000Z,3178,13130.7,13154.0,13114.5,13131.1,13131.6,13154.8,13115.4,13132.0,13132.4,13155.8,13116.2,13132.8,13022.375,
36,NAS100_USD,2023-04-28T05:00:00.000000000Z,5981,13130.1,13159.1,13104.6,13113.3,13131.0,13160.0,13105.4,13114.2,13131.8,13160.8,13106.3,13115.0,13052.775,
37,NAS100_USD,2023-04-28T09:00:00.000000000Z,6448,13112.6,13146.8,13093.3,13133.1,13113.4,13147.6,13094.6,13134.0,13114.3,13148.5,13095.7,13134.8,13082.349999999999,
38,NAS100_USD,2023-04-28T13:00:00.000000000Z,36164,13134.3,13217.4,13096.9,13212.6,13135.2,13217.6,13097.2,13212.8,13136.0,13217.9,13097.4,13213.1,13119.4,
39,NAS100_USD,2023-04-28T17:00:00.000000000Z,17611,13212.3,13265.8,13185.4,13256.3,13212.6,13266.6,13185.6,13257.2,13212.8,13267.5,13185.9,13258.0,13158.25,
40,NAS100_USD,2023-04-30T21:00:00.000000000Z,3669,13249.6,13253.2,13226.4,13244.1,13250.4,13254.0,13227.4,13245.0,13251.3,13255.0,13228.3,13245.8,13176.699999999999,
41,NAS100_USD,2023-05-01T01:00:00.000000000Z,1244,13244.8,13273.8,13235.9,13262.5,13245.6,13274.6,13236.8,13263.4,13246.5,13275.5,13237.8,13264.2,13186.375,
42,NAS100_USD,2023-05-01T05:00:00.000000000Z,3752,13261.8,13295.9,13227.1,13243.4,13262.6,13298.2,13228.0,13244.4,13263.5,13301.5,13228.8,13245.3,13200.375,
43,NAS100_USD,2023-05-01T09:00:00.000000000Z,3157,13243.0,13263.6,13215.6,13233.3,13243.8,13264.6,13216.4,13234.2,13244.7,13265.5,13217.3,13235.0,13213.15,
44,NAS100_USD,2023-05-01T13:00:00.000000000Z,30327,13234.1,13281.2,13189.4,13277.1,13235.0,13281.4,13189.6,13277.4,13235.8,13281.7,13189.9,13277.6,13233.550000000001,
45,NAS100_USD,2023-05-01T17:00:00.000000000Z,16077,13276.8,13293.1,13214.7,13217.6,13277.0,13293.4,13215.6,13218.4,13277.3,13293.6,13216.4,13219.3,13244.1,
46,NAS100_USD,2023-05-01T21:00:00.000000000Z,983,13210.6,13227.3,13198.0,13206.2,13211.7,13228.2,13198.8,13207.0,13212.8,13229.0,13199.7,13207.9,13243.375,
47,NAS100_USD,2023-05-02T01:00:00.000000000Z,1041,13205.3,13236.1,13204.1,13228.8,13206.2,13237.0,13205.0,13229.6,13207.0,13237.8,13205.8,13230.5,13239.925000000001,
48,NAS100_USD,2023-05-02T05:00:00.000000000Z,3250,13228.0,13263.7,13227.3,13231.6,13228.8,13264.6,13228.2,13232.4,13229.7,13265.8,13229.0,13233.3,13238.35,
49,NAS100_USD,2023-05-02T09:00:00.000000000Z,2618,13230.6,13254.2,13213.3,13226.7,13232.0,13255.0,13214.2,13227.6,13233.3,13255.9,13215.0,13228.4,13233.875,
50,NAS100_USD,2023-05-02T13:00:00.000000000Z,39802,13227.5,13243.6,13042.2,13103.4,13228.4,13243.8,13042.4,13103.6,13229.2,13244.1,13042.7,13103.9,13216.275,
51,NAS100_USD,2023-05-02T17:00:00.000000000Z,19124,13103.1,13151.9,13094.8,13098.8,13103.4,13152.2,13095.6,13099.6,13103.6,13152.4,13096.5,13100.5,13199.45,
52,NAS100_USD,2023-05-02T21:00:00.000000000Z,1041,13088.1,13124.5,13088.1,13120.8,13089.0,13125.4,13089.0,13121.6,13090.0,13126.2,13090.0,13122.5,13179.975,
53,NAS100_USD,2023-05-03T01:00:00.000000000Z,616,13120.0,13123.1,13103.3,13116.3,13120.8,13124.0,13104.2,13117.2,13121.7,13124.8,13105.0,13118.0,13167.325,
54,NAS100_USD,2023-05-03T05:00:00.000000000Z,4171,13116.6,13142.5,13108.6,13136.1,13117.6,13143.4,13109.4,13137.0,13118.5,13144.3,13110.3,13137.8,13158.575,
55,NAS100_USD,2023-05-03T09:00:00.000000000Z,3086,13135.2,13161.2,13126.8,13132.2,13136.0,13162.0,13127.6,13133.0,13136.9,13162.9,13128.5,13133.9,13146.5,
56,NAS100_USD,2023-05-03T13:00:00.000000000Z,28822,13131.4,13172.2,13108.1,13157.6,13132.4,13172.4,13108.4,13157.8,13133.3,13172.7,13108.6,13158.1,13137.175000000001,
57,NAS100_USD,2023-05-03T17:00:00.000000000Z,53289,13158.1,13238.2,13010.3,13018.3,13158.4,13238.4,13011.2,13019.2,13158.6,13238.7,13012.0,13020.0,13111.125,
58,NAS100_USD,2023-05-03T21:00:00.000000000Z,3761,12996.0,13044.5,12976.2,13034.6,12997.4,13045.4,12977.0,13035.4,12998.7,13046.4,12977.9,13036.3,13102.6,
59,NAS100_USD,2023-05-04T01:00:00.000000000Z,1055,13033.5,13095.9,13030.2,13087.7,13034.4,13096.8,13031.0,13088.6,13035.2,13097.6,13031.9,13089.4,13101.225,
60,NAS100_USD,2023-05-04T05:00:00.000000000Z,7381,13088.7,13100.0,13030.7,13061.3,13089.6,13101.2,13031.6,13062.2,13090.4,13103.2,13032.4,13063.2,13093.8,
61,NAS100_USD,2023-05-04T09:00:00.000000000Z,7593,13061.1,13072.0,12991.0,13007.5,13062.0,13072.8,12991.8,13008.4,13062.8,13073.7,12992.7,13009.2,13080.2,
62,NAS100_USD,2023-05-04T13:00:00.000000000Z,44109,13006.7,13036.2,12931.3,13024.8,13007.6,13036.4,12931.6,13025.0,13008.4,13036.7,12931.8,13025.3,13066.2,
63,NAS100_USD,2023-05-04T17:00:00.000000000Z,28290,13025.8,13066.0,12966.7,12983.9,13026.0,13066.2,12967.6,12984.8,13026.3,13066.5,12968.4,12985.6,13047.675,13046.08125
64,NAS100_USD,2023-05-04T21:00:00.000000000Z,2166,12999.3,13052.1,12994.8,13047.6,13000.2,13053.0,12995.8,13048.4,13001.0,13053.8,12996.7,13049.3,13034.0,13047.621874999999
65,NAS100_USD,2023-05-05T01:00:00.000000000Z,1058,13046.9,13052.8,13033.3,13046.9,13047.8,13053.6,13034.4,13047.8,13048.6,13054.5,13035.5,13048.6,13037.574999999999,13048.625
66,NAS100_USD,2023-05-05T05:00:00.000000000Z,5382,13046.1,13051.9,13015.6,13046.1,13047.0,13052.8,13016.6,13047.0,13047.8,13053.6,13017.5,13047.8,13039.025,13047.959375
67,NAS100_USD,2023-05-05T09:00:00.000000000Z,6285,13046.3,13086.6,13024.6,13052.9,13047.2,13088.3,13027.8,13053.8,13048.2,13090.0,13028.9,13054.6,13034.675,13048.71875
68,NAS100_USD,2023-05-05T13:00:00.000000000Z,26353,13051.9,13216.2,13051.3,13209.8,13052.8,13216.4,13052.2,13210.0,13053.6,13216.7,13053.0,13210.3,13053.15,13051.675
69,NAS100_USD,2023-05-05T17:00:00.000000000Z,12949,13210.1,13298.1,13207.7,13250.1,13210.4,13298.4,13208.0,13251.0,13210.6,13298.6,13208.2,13251.8,13083.474999999999,13055.637499999999
70,NAS100_USD,2023-05-07T21:00:00.000000000Z,1914,13250.1,13271.5,13233.4,13244.8,13251.4,13272.4,13234.4,13245.6,13252.8,13273.2,13235.3,13246.5,13111.05,13059.487500000001
71,NAS100_USD,2023-05-08T01:00:00.000000000Z,820,13243.8,13268.5,13236.1,13251.8,13244.6,13269.4,13237.0,13252.6,13245.5,13270.2,13237.8,13253.5,13144.525,13063.903125
72,NAS100_USD,2023-05-08T05:00:00.000000000Z,1986,13251.1,13273.7,13237.3,13240.7,13252.0,13274.6,13238.2,13241.6,13252.8,13275.4,13239.0,13242.4,13168.675,13067.80625
73,NAS100_USD,2023-05-08T09:00:00.000000000Z,1327,13241.1,13263.1,13227.3,13234.0,13242.0,13264.0,13228.2,13234.8,13243.0,13264.8,13229.0,13235.7,13192.050000000001,13071.525000000001
74,NAS100_USD,2023-05-08T13:00:00.000000000Z,23567,13232.8,13271.6,13194.3,13269.1,13233.6,13271.8,13194.6,13269.4,13234.5,13272.1,13194.8,13269.6,13219.85,13076.0875
75,NAS100_USD,2023-05-08T17:00:00.000000000Z,13617,13269.5,13313.5,13232.0,13280.8,13269.8,13313.8,13232.2,13281.6,13270.0,13314.0,13232.5,13282.5,13248.325,13081.025000000001
