,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,NATGAS_USD,2023-06-28T22:00:00.000000000Z,48,2.549,2.553,2.546,2.551,2.555,2.558,2.552,2.556,2.561,2.564,2.558,2.562,,
1,NATGAS_USD,2023-06-28T23:00:00.000000000Z,20,2.551,2.555,2.547,2.555,2.557,2.562,2.554,2.560,2.563,2.568,2.559,2.566,,
2,NATGAS_USD,2023-06-29T00:00:00.000000000Z,70,2.555,2.567,2.555,2.567,2.561,2.571,2.558,2.570,2.567,2.575,2.562,2.574,,
3,NATGAS_USD,2023-06-29T01:00:00.000000000Z,19,2.565,2.568,2.563,2.567,2.568,2.572,2.566,2.570,2.571,2.575,2.569,2.573,,
4,NATGAS_USD,2023-06-29T02:00:00.000000000Z,25,2.566,2.567,2.564,2.566,2.570,2.570,2.567,2.570,2.573,2.574,2.570,2.573,,
5,NATGAS_USD,2023-06-29T03:00:00.000000000Z,16,2.568,2.568,2.563,2.566,2.571,2.571,2.566,2.569,2.574,2.574,2.570,2.572,,
6,NATGAS_USD,2023-06-29T04:00:00.000000000Z,21,2.565,2.568,2.559,2.562,2.569,2.572,2.562,2.566,2.573,2.575,2.565,2.569,,
7,NATGAS_USD,2023-06-29T05:00:00.000000000Z,7,2.560,2.564,2.560,2.564,2.563,2.567,2.563,2.567,2.566,2.570,2.566,2.570,2.566,
8,NATGAS_USD,2023-06-29T06:00:00.000000000Z,77,2.562,2.569,2.560,2.564,2.565,2.572,2.563,2.567,2.568,2.576,2.566,2.570,2.5673749999999997,
9,NATGAS_USD,2023-06-29T07:00:00.000000000Z,110,2.562,2.572,2.553,2.562,2.565,2.576,2.556,2.566,2.568,2.579,2.560,2.569,2.568125,
10,NATGAS_USD,2023-06-29T08:00:00.000000000Z,80,2.558,2.571,2.553,2.566,2.561,2.575,2.556,2.569,2.564,2.579,2.559,2.572,2.568,
11,NATGAS_USD,2023-06-29T09:00:00.000000000Z,41,2.563,2.565,2.555,2.559,2.566,2.568,2.558,2.562,2.569,2.572,2.561,2.565,2.5669999999999997,
12,NATGAS_USD,2023-06-29T10:00:00.000000000Z,81,2.558,2.575,2.552,2.555,2.562,2.578,2.555,2.558,2.565,2.581,2.558,2.561,2.5654999999999997,
13,NATGAS_USD,2023-06-29T11:00:00.000000000Z,155,2.554,2.576,2.546,2.560,2.558,2.580,2.550,2.564,2.561,2.583,2.553,2.567,2.564875,
14,NATGAS_USD,2023-06-29T12:00:00.000000000Z,547,2.560,2.575,2.516,2.522,2.563,2.578,2.519,2.526,2.566,2.582,2.522,2.530,2.559875,
15,NATGAS_USD,2023-06-29T13:00:00.000000000Z,439,2.519,2.557,2.514,2.539,2.522,2.560,2.518,2.542,2.526,2.564,2.521,2.546,2.55675,
16,NATGAS_USD,2023-06-29T14:00:00.000000000Z,793,2.537,2.637,2.537,2.602,2.540,2.640,2.540,2.605,2.544,2.644,2.544,2.608,2.5615,
17,NATGAS_USD,2023-06-29T15:00:00.000000000Z,375,2.605,2.619,2.576,2.616,2.608,2.622,2.579,2.619,2.611,2.626,2.582,2.622,2.568125,
18,NATGAS_USD,2023-06-29T16:00:00.000000000Z,347,2.616,2.632,2.585,2.599,2.620,2.635,2.588,2.602,2.623,2.638,2.591,2.605,2.57225,
19,NATGAS_USD,2023-06-29T17:00:00.000000000Z,205,2.598,2.621,2.592,2.614,2.602,2.624,2.595,2.618,2.605,2.628,2.598,2.621,2.57925,
20,NATGAS_USD,2023-06-29T18:00:00.000000000Z,309,2.611,2.619,2.584,2.584,2.615,2.622,2.587,2.587,2.619,2.626,2.590,2.590,2.582875,
21,NATGAS_USD,2023-06-29T19:00:00.000000000Z,113,2.584,2.603,2.582,2.586,2.588,2.606,2.586,2.590,2.591,2.609,2.589,2.593,2.586125,
22,NATGAS_USD,2023-06-29T20:00:00.000000000Z,69,2.583,2.583,2.564,2.567,2.589,2.589,2.570,2.573,2.595,2.595,2.576,2.579,2.592,
23,NATGAS_USD,2023-06-29T22:00:00.000000000Z,25,2.569,2.579,2.569,2.576,2.575,2.584,2.574,2.582,2.581,2.590,2.580,2.587,2.597,
24,NATGAS_USD,2023-06-29T23:00:00.000000000Z,22,2.574,2.575,2.570,2.572,2.580,2.581,2.576,2.578,2.585,2.587,2.582,2.583,2.593625,
25,NATGAS_USD,2023-06-30T00:00:00.000000000Z,35,2.572,2.577,2.569,2.574,2.578,2.580,2.572,2.578,2.583,2.584,2.576,2.581,2.5885,
26,NATGAS_USD,2023-06-30T01:00:00.000000000Z,21,2.575,2.576,2.571,2.576,2.578,2.580,2.574,2.580,2.581,2.583,2.577,2.583,2.58575,
