,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,NL25_EUR,2023-06-13T15:00:00.000000000Z,399,767.545,769.045,767.095,767.260,767.645,769.145,767.195,767.395,767.745,769.245,767.295,767.530,,
1,NL25_EUR,2023-06-13T16:00:00.000000000Z,418,767.245,768.445,766.710,768.210,767.370,768.570,766.845,768.370,767.495,768.695,766.980,768.530,,
2,NL25_EUR,2023-06-13T17:00:00.000000000Z,221,768.210,768.595,767.710,768.060,768.395,768.720,767.845,768.220,768.580,768.845,767.980,768.380,,
3,NL25_EUR,2023-06-13T18:00:00.000000000Z,435,768.010,768.570,767.410,767.910,768.195,768.695,767.545,768.145,768.380,768.820,767.680,768.380,,
4,NL25_EUR,2023-06-13T19:00:00.000000000Z,264,767.910,768.595,767.710,767.910,768.120,768.720,767.920,768.470,768.330,769.030,768.130,769.030,,
5,NL25_EUR,2023-06-14T06:00:00.000000000Z,283,767.910,769.160,767.860,768.345,768.170,769.345,768.095,768.470,768.430,769.530,768.280,768.595,,
6,NL25_EUR,2023-06-14T07:00:00.000000000Z,1672,768.310,769.470,766.085,769.470,768.445,769.570,766.220,769.570,768.580,769.670,766.320,769.670,,
7,NL25_EUR,2023-06-14T08:00:00.000000000Z,652,769.435,771.635,768.735,771.620,769.545,771.745,768.845,771.720,769.655,771.855,768.955,771.820,768.7950000000001,
8,NL25_EUR,2023-06-14T09:00:00.000000000Z,438,771.785,772.170,771.135,771.520,771.895,772.270,771.245,771.620,772.005,772.370,771.355,771.720,769.323125,
9,NL25_EUR,2023-06-14T10:00:00.000000000Z,276,771.585,773.135,771.320,772.920,771.695,773.245,771.420,773.020,771.805,773.355,771.520,773.120,769.904375,
10,NL25_EUR,2023-06-14T11:00:00.000000000Z,390,772.835,773.170,771.685,772.045,772.945,773.270,771.795,772.145,773.055,773.370,771.905,772.245,770.3950000000001,
11,NL25_EUR,2023-06-14T12:00:00.000000000Z,382,771.870,772.435,770.770,770.820,771.970,772.670,770.870,770.920,772.070,772.905,770.970,771.020,770.7418749999999,
12,NL25_EUR,2023-06-14T13:00:00.000000000Z,297,770.735,772.370,770.520,771.695,770.845,772.470,770.620,771.795,770.955,772.570,770.720,771.895,771.1574999999999,
13,NL25_EUR,2023-06-14T14:00:00.000000000Z,122,771.545,772.070,770.845,771.345,771.645,772.170,770.945,771.445,771.745,772.270,771.045,771.545,771.5293750000001,
