,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c
0,NZD_CAD,2022-11-15T18:00:00.000000000Z,20227,0.81987,0.82014,0.81704,0.81734,0.81996,0.82022,0.81714,0.81744,0.82005,0.82032,0.81724,0.81755
1,NZD_CAD,2022-11-15T19:00:00.000000000Z,23878,0.81732,0.81971,0.81639,0.81969,0.81744,0.81981,0.81652,0.81980,0.81755,0.81991,0.81662,0.81990
2,NZD_CAD,2022-11-15T20:00:00.000000000Z,11905,0.81968,0.81993,0.81796,0.81834,0.81979,0.82004,0.81806,0.81844,0.81990,0.82014,0.81815,0.81853
3,NZD_CAD,2022-11-15T21:00:00.000000000Z,4407,0.81837,0.81856,0.81723,0.81734,0.81846,0.81868,0.81741,0.81746,0.81856,0.81879,0.81753,0.81759
4,NZD_CAD,2022-11-15T22:00:00.000000000Z,1421,0.81648,0.81739,0.81426,0.81735,0.81728,0.81780,0.81574,0.81762,0.81807,0.81845,0.81711,0.81788
5,NZD_CAD,2022-11-15T23:00:00.000000000Z,5608,0.81734,0.81838,0.81690,0.81825,0.81766,0.81850,0.81718,0.81837,0.81799,0.81863,0.81739,0.81849
6,NZD_CAD,2022-11-16T00:00:00.000000000Z,7486,0.81824,0.81843,0.81503,0.81590,0.81838,0.81854,0.81512,0.81600,0.81851,0.81864,0.81522,0.81611
7,NZD_CAD,2022-11-16T01:00:00.000000000Z,10568,0.81590,0.81713,0.81530,0.81697,0.81602,0.81726,0.81542,0.81708,0.81615,0.81739,0.81553,0.81719
8,NZD_CAD,2022-11-16T02:00:00.000000000Z,9827,0.81694,0.81876,0.81690,0.81745,0.81706,0.81886,0.81701,0.81756,0.81718,0.81897,0.81712,0.81768
9,NZD_CAD,2022-11-16T03:00:00.000000000Z,5932,0.81745,0.81763,0.81584,0.81594,0.81758,0.81774,0.81595,0.81604,0.81770,0.81787,0.81606,0.81615
10,NZD_CAD,2022-11-16T04:00:00.000000000Z,5295,0.81593,0.81694,0.81544,0.81652,0.81603,0.81705,0.81556,0.81664,0.81613,0.81717,0.81566,0.81676
