,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,NZD_CAD,2023-06-29T17:00:00.000000000Z,2324,0.80397,0.80410,0.80319,0.80335,0.80406,0.80418,0.80328,0.80344,0.80416,0.80427,0.80338,0.80352,,
1,NZD_CAD,2023-06-29T18:00:00.000000000Z,1953,0.80335,0.80358,0.80294,0.80330,0.80344,0.80366,0.80303,0.80339,0.80354,0.80375,0.80312,0.80348,,
2,NZD_CAD,2023-06-29T19:00:00.000000000Z,1834,0.80325,0.80388,0.80322,0.80374,0.80334,0.80396,0.80332,0.80383,0.80342,0.80405,0.80340,0.80392,,
3,NZD_CAD,2023-06-29T20:00:00.000000000Z,1089,0.80371,0.80449,0.80371,0.80448,0.80380,0.80460,0.80380,0.80458,0.80389,0.80472,0.80389,0.80468,,
4,NZD_CAD,2023-06-29T21:00:00.000000000Z,494,0.80281,0.80434,0.80271,0.80400,0.80446,0.80470,0.80406,0.80424,0.80611,0.80623,0.80428,0.80447,,
5,NZD_CAD,2023-06-29T22:00:00.000000000Z,746,0.80400,0.80430,0.80377,0.80406,0.80422,0.80446,0.80387,0.80414,0.80445,0.80462,0.80397,0.80423,,
6,NZD_CAD,2023-06-29T23:00:00.000000000Z,681,0.80407,0.80440,0.80352,0.80357,0.80416,0.80449,0.80360,0.80366,0.80425,0.80458,0.80369,0.80374,,
7,NZD_CAD,2023-06-30T00:00:00.000000000Z,1556,0.80361,0.80439,0.80311,0.80420,0.80370,0.80448,0.80320,0.80428,0.80378,0.80456,0.80328,0.80437,0.803945,
8,NZD_CAD,2023-06-30T01:00:00.000000000Z,1954,0.80423,0.80530,0.80412,0.80501,0.80432,0.80539,0.80420,0.80510,0.80440,0.80548,0.80429,0.80518,0.8041525,
9,NZD_CAD,2023-06-30T02:00:00.000000000Z,1998,0.80504,0.80664,0.80498,0.80568,0.80512,0.80672,0.80506,0.80577,0.80521,0.80681,0.80515,0.80586,0.80445,
10,NZD_CAD,2023-06-30T03:00:00.000000000Z,1608,0.80569,0.80651,0.80531,0.80633,0.80578,0.80660,0.80540,0.80642,0.80586,0.80669,0.80548,0.80651,0.8047737500000001,
11,NZD_CAD,2023-06-30T04:00:00.000000000Z,1040,0.80630,0.80683,0.80617,0.80675,0.80638,0.80692,0.80626,0.80684,0.80647,0.80700,0.80634,0.80692,0.80505625,
12,NZD_CAD,2023-06-30T05:00:00.000000000Z,1213,0.80679,0.80784,0.80665,0.80724,0.80688,0.80792,0.80674,0.80733,0.80696,0.80801,0.80682,0.80742,0.8054425000000001,
13,NZD_CAD,2023-06-30T06:00:00.000000000Z,1842,0.80724,0.80742,0.80623,0.80698,0.80732,0.80750,0.80632,0.80707,0.80741,0.80759,0.80640,0.80716,0.80580875,
14,NZD_CAD,2023-06-30T07:00:00.000000000Z,2333,0.80696,0.80762,0.80650,0.80731,0.80704,0.80771,0.80659,0.80740,0.80713,0.80780,0.80668,0.80748,0.80627625,
15,NZD_CAD,2023-06-30T08:00:00.000000000Z,1798,0.80729,0.80741,0.80582,0.80582,0.80738,0.80750,0.80590,0.80590,0.80746,0.80758,0.80599,0.80599,0.80647875,
16,NZD_CAD,2023-06-30T09:00:00.000000000Z,1354,0.80584,0.80671,0.80584,0.80598,0.80592,0.80680,0.80592,0.80606,0.80601,0.80688,0.80601,0.80615,0.8065987499999999,
17,NZD_CAD,2023-06-30T10:00:00.000000000Z,1431,0.80602,0.80740,0.80576,0.80701,0.80610,0.80748,0.80584,0.80710,0.80619,0.80757,0.80593,0.80718,0.806765,
18,NZD_CAD,2023-06-30T11:00:00.000000000Z,1368,0.80703,0.80723,0.80637,0.80640,0.80712,0.80732,0.80646,0.80648,0.80720,0.80740,0.80654,0.80657,0.8067725,
