,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c
0,NZD_CHF,2022-11-15T18:00:00.000000000Z,15543,0.58310,0.58365,0.58045,0.58051,0.58318,0.58372,0.58054,0.58060,0.58325,0.58380,0.58063,0.58068
1,NZD_CHF,2022-11-15T19:00:00.000000000Z,18397,0.58050,0.58215,0.57972,0.58159,0.58060,0.58225,0.57980,0.58166,0.58069,0.58235,0.57989,0.58174
2,NZD_CHF,2022-11-15T20:00:00.000000000Z,8694,0.58158,0.58210,0.58111,0.58159,0.58166,0.58218,0.58122,0.58167,0.58174,0.58228,0.58131,0.58175
3,NZD_CHF,2022-11-15T21:00:00.000000000Z,3309,0.58157,0.58210,0.58134,0.58147,0.58165,0.58218,0.58142,0.58159,0.58173,0.58227,0.58151,0.58171
4,NZD_CHF,2022-11-15T22:00:00.000000000Z,1330,0.57946,0.58121,0.57897,0.58116,0.58044,0.58180,0.58025,0.58166,0.58141,0.58241,0.58136,0.58215
5,NZD_CHF,2022-11-15T23:00:00.000000000Z,4623,0.58115,0.58155,0.58081,0.58127,0.58168,0.58178,0.58099,0.58135,0.58222,0.58228,0.58115,0.58143
6,NZD_CHF,2022-11-16T00:00:00.000000000Z,5829,0.58126,0.58170,0.57906,0.57964,0.58135,0.58178,0.57915,0.57973,0.58144,0.58186,0.57924,0.57982
7,NZD_CHF,2022-11-16T01:00:00.000000000Z,7449,0.57962,0.58092,0.57934,0.58074,0.57972,0.58101,0.57943,0.58083,0.57982,0.58111,0.57952,0.58092
8,NZD_CHF,2022-11-16T02:00:00.000000000Z,7588,0.58072,0.58170,0.58036,0.58110,0.58080,0.58177,0.58046,0.58119,0.58089,0.58184,0.58054,0.58128
9,NZD_CHF,2022-11-16T03:00:00.000000000Z,4161,0.58114,0.58131,0.58047,0.58070,0.58122,0.58139,0.58054,0.58078,0.58130,0.58149,0.58062,0.58085
10,NZD_CHF,2022-11-16T04:00:00.000000000Z,3898,0.58069,0.58087,0.58027,0.58083,0.58078,0.58095,0.58036,0.58092,0.58086,0.58104,0.58044,0.58101
11,NZD_CHF,2022-11-16T05:00:00.000000000Z,5562,0.58083,0.58197,0.58065,0.58176,0.58091,0.58206,0.58072,0.58185,0.58099,0.58215,0.58080,0.58194
12,NZD_CHF,2022-11-16T06:00:00.000000000Z,5863,0.58173,0.58187,0.58089,0.58129,0.58182,0.58196,0.58098,0.58138,0.58191,0.58205,0.58107,0.58147
13,NZD_CHF,2022-11-16T07:00:00.000000000Z,7789,0.58130,0.58219,0.58102,0.58165,0.58138,0.58228,0.58114,0.58174,0.58147,0.58237,0.58123,0.58182
14,NZD_CHF,2022-11-16T08:00:00.000000000Z,7500,0.58168,0.58176,0.58019,0.58090,0.58177,0.58184,0.58028,0.58098,0.58186,0.58191,0.58035,0.58106
15,NZD_CHF,2022-11-16T09:00:00.000000000Z,4516,0.58090,0.58216,0.58075,0.58189,0.58098,0.58223,0.58083,0.58196,0.58105,0.58231,0.58090,0.58203
16,NZD_CHF,2022-11-16T10:00:00.000000000Z,4184,0.58185,0.58223,0.58011,0.58012,0.58192,0.58230,0.58018,0.58020,0.58199,0.58238,0.58026,0.58027
17,NZD_CHF,2022-11-16T11:00:00.000000000Z,4171,0.58012,0.58053,0.57914,0.57945,0.58020,0.58060,0.57922,0.57952,0.58028,0.58068,0.57929,0.57960
18,NZD_CHF,2022-11-16T12:00:00.000000000Z,4345,0.57942,0.58028,0.57901,0.57967,0.57950,0.58036,0.57908,0.57976,0.57958,0.58044,0.57916,0.57984
19,NZD_CHF,2022-11-16T13:00:00.000000000Z,11512,0.57967,0.58135,0.57897,0.58021,0.57974,0.58143,0.57959,0.58028,0.57982,0.58151,0.57966,0.58036
20,NZD_CHF,2022-11-16T14:00:00.000000000Z,9585,0.58017,0.58172,0.58013,0.58139,0.58026,0.58179,0.58020,0.58146,0.58034,0.58186,0.58028,0.58154
21,NZD_CHF,2022-11-16T15:00:00.000000000Z,7251,0.58135,0.58176,0.58015,0.58062,0.58142,0.58184,0.58024,0.58070,0.58149,0.58191,0.58033,0.58077
22,NZD_CHF,2022-11-16T16:00:00.000000000Z,3862,0.58060,0.58076,0.57963,0.58027,0.58067,0.58084,0.57970,0.58034,0.58074,0.58091,0.57977,0.58042
23,NZD_CHF,2022-11-16T17:00:00.000000000Z,3003,0.58029,0.58086,0.57969,0.58053,0.58036,0.58094,0.57976,0.58060,0.58044,0.58103,0.57984,0.58068
24,NZD_CHF,2022-11-16T18:00:00.000000000Z,4053,0.58031,0.58099,0.57953,0.58010,0.58038,0.58106,0.57960,0.58017,0.58046,0.58113,0.57968,0.58024
25,NZD_CHF,2022-11-16T19:00:00.000000000Z,3512,0.58012,0.58098,0.58010,0.58082,0.58019,0.58104,0.58018,0.58088,0.58026,0.58111,0.58025,0.58095
26,NZD_CHF,2022-11-16T20:00:00.000000000Z,4491,0.58084,0.58115,0.58032,0.58090,0.58090,0.58124,0.58040,0.58098,0.58097,0.58135,0.58047,0.58107
27,NZD_CHF,2022-11-16T21:00:00.000000000Z,1731,0.58090,0.58112,0.58056,0.58089,0.58098,0.58120,0.58064,0.58104,0.58105,0.58129,0.58072,0.58120
28,NZD_CHF,2022-11-16T22:00:00.000000000Z,1888,0.58007,0.58045,0.57963,0.57980,0.58094,0.58102,0.58023,0.58028,0.58182,0.58182,0.58074,0.58076
29,NZD_CHF,2022-11-16T23:00:00.000000000Z,2654,0.57981,0.58090,0.57977,0.58068,0.58028,0.58098,0.58024,0.58077,0.58075,0.58115,0.58061,0.58086
30,NZD_CHF,2022-11-17T00:00:00.000000000Z,2397,0.58072,0.58087,0.57943,0.57981,0.58080,0.58096,0.57951,0.57988,0.58088,0.58105,0.57959,0.57995
31,NZD_CHF,2022-11-17T01:00:00.000000000Z,2651,0.57979,0.58039,0.57966,0.58005,0.57986,0.58048,0.57976,0.58014,0.57992,0.58056,0.57986,0.58022
32,NZD_CHF,2022-11-17T02:00:00.000000000Z,4168,0.58002,0.58043,0.57962,0.57976,0.58010,0.58053,0.57971,0.57985,0.58019,0.58063,0.57978,0.57994
33,NZD_CHF,2022-11-17T03:00:00.000000000Z,3329,0.57976,0.58006,0.57899,0.57986,0.57984,0.58014,0.57908,0.57994,0.57993,0.58022,0.57915,0.58003
34,NZD_CHF,2022-11-17T04:00:00.000000000Z,2148,0.57988,0.58046,0.57977,0.57982,0.57996,0.58056,0.57986,0.57991,0.58003,0.58065,0.57994,0.58000
35,NZD_CHF,2022-11-17T05:00:00.000000000Z,2826,0.57984,0.58050,0.57936,0.57989,0.57993,0.58058,0.57944,0.57998,0.58002,0.58067,0.57952,0.58006
36,NZD_CHF,2022-11-17T06:00:00.000000000Z,4240,0.57988,0.58063,0.57987,0.58059,0.57997,0.58072,0.57996,0.58067,0.58006,0.58081,0.58005,0.58075
37,NZD_CHF,2022-11-17T07:00:00.000000000Z,4141,0.58068,0.58143,0.58034,0.58116,0.58076,0.58150,0.58043,0.58124,0.58084,0.58158,0.58051,0.58133
38,NZD_CHF,2022-11-17T08:00:00.000000000Z,6475,0.58118,0.58247,0.58095,0.58115,0.58126,0.58255,0.58103,0.58124,0.58135,0.58263,0.58111,0.58133
39,NZD_CHF,2022-11-17T09:00:00.000000000Z,4322,0.58114,0.58133,0.57968,0.57996,0.58124,0.58140,0.57975,0.58004,0.58133,0.58147,0.57982,0.58011
40,NZD_CHF,2022-11-17T10:00:00.000000000Z,4198,0.57994,0.58020,0.57837,0.57893,0.58002,0.58028,0.57844,0.57900,0.58009,0.58035,0.57850,0.57907
41,NZD_CHF,2022-11-17T11:00:00.000000000Z,5594,0.57890,0.57940,0.57834,0.57881,0.57898,0.57948,0.57842,0.57888,0.57905,0.57955,0.57850,0.57895
42,NZD_CHF,2022-11-17T12:00:00.000000000Z,7391,0.57882,0.57950,0.57693,0.57718,0.57890,0.57957,0.57700,0.57726,0.57897,0.57964,0.57707,0.57734
43,NZD_CHF,2022-11-17T13:00:00.000000000Z,9078,0.57721,0.57878,0.57698,0.57793,0.57729,0.57896,0.57705,0.57800,0.57737,0.57918,0.57712,0.57808
44,NZD_CHF,2022-11-17T14:00:00.000000000Z,6869,0.57791,0.57984,0.57770,0.57934,0.57798,0.57991,0.57777,0.57941,0.57805,0.57999,0.57784,0.57948
45,NZD_CHF,2022-11-17T15:00:00.000000000Z,5835,0.57935,0.58108,0.57868,0.58101,0.57942,0.58116,0.57875,0.58108,0.57948,0.58123,0.57882,0.58115
46,NZD_CHF,2022-11-17T16:00:00.000000000Z,3870,0.58100,0.58219,0.58050,0.58180,0.58108,0.58226,0.58057,0.58186,0.58116,0.58232,0.58064,0.58193
47,NZD_CHF,2022-11-17T17:00:00.000000000Z,3504,0.58175,0.58291,0.58100,0.58288,0.58183,0.58298,0.58108,0.58295,0.58191,0.58306,0.58115,0.58302
48,NZD_CHF,2022-11-17T18:00:00.000000000Z,2767,0.58301,0.58361,0.58249,0.58286,0.58308,0.58368,0.58258,0.58292,0.58316,0.58376,0.58267,0.58299
49,NZD_CHF,2022-11-17T19:00:00.000000000Z,2458,0.58285,0.58304,0.58241,0.58276,0.58292,0.58311,0.58248,0.58284,0.58299,0.58318,0.58254,0.58291
50,NZD_CHF,2022-11-17T20:00:00.000000000Z,2450,0.58277,0.58341,0.58242,0.58332,0.58284,0.58348,0.58249,0.58340,0.58291,0.58355,0.58256,0.58347
51,NZD_CHF,2022-11-17T21:00:00.000000000Z,1227,0.58334,0.58359,0.58316,0.58347,0.58341,0.58368,0.58325,0.58358,0.58348,0.58377,0.58333,0.58368
52,NZD_CHF,2022-11-17T22:00:00.000000000Z,1330,0.58084,0.58340,0.58054,0.58258,0.58226,0.58384,0.58196,0.58305,0.58367,0.58486,0.58320,0.58352
53,NZD_CHF,2022-11-17T23:00:00.000000000Z,5087,0.58255,0.58401,0.58208,0.58377,0.58301,0.58411,0.58298,0.58385,0.58347,0.58434,0.58346,0.58393
54,NZD_CHF,2022-11-18T00:00:00.000000000Z,2000,0.58375,0.58449,0.58375,0.58441,0.58384,0.58457,0.58384,0.58449,0.58393,0.58465,0.58393,0.58457
