,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,NZD_HKD,2023-07-11T06:00:00.000000000Z,5091,4.85595,4.86245,4.85045,4.86185,4.85665,4.86321,4.85118,4.86260,4.85735,4.86397,4.85192,4.86335,,
1,NZD_HKD,2023-07-11T07:00:00.000000000Z,5402,4.86195,4.86275,4.84596,4.84645,4.86270,4.86348,4.84664,4.84720,4.86344,4.86424,4.84731,4.84794,,
2,NZD_HKD,2023-07-11T08:00:00.000000000Z,3806,4.84647,4.85185,4.84007,4.84105,4.84721,4.85260,4.84076,4.84172,4.84795,4.85335,4.84145,4.84239,,
3,NZD_HKD,2023-07-11T09:00:00.000000000Z,3333,4.84108,4.84386,4.83891,4.84345,4.84178,4.84454,4.83960,4.84419,4.84249,4.84532,4.84028,4.84493,,
4,NZD_HKD,2023-07-11T10:00:00.000000000Z,3392,4.84355,4.84964,4.83911,4.83977,4.84424,4.85030,4.83993,4.84052,4.84492,4.85105,4.84075,4.84128,,
5,NZD_HKD,2023-07-11T11:00:00.000000000Z,3709,4.83975,4.84420,4.83438,4.83965,4.84050,4.84492,4.83512,4.84040,4.84125,4.84565,4.83585,4.84115,,
6,NZD_HKD,2023-07-11T12:00:00.000000000Z,4675,4.83965,4.84365,4.83181,4.83445,4.84035,4.84440,4.83253,4.83516,4.84105,4.84515,4.83325,4.83587,,
7,NZD_HKD,2023-07-11T13:00:00.000000000Z,5077,4.83445,4.83815,4.82655,4.83045,4.83510,4.83886,4.82725,4.83120,4.83576,4.83956,4.82795,4.83195,4.84287375,
8,NZD_HKD,2023-07-11T14:00:00.000000000Z,5060,4.83050,4.84115,4.82665,4.83855,4.83122,4.84189,4.82745,4.83915,4.83195,4.84263,4.82825,4.83975,4.839942499999999,
9,NZD_HKD,2023-07-11T15:00:00.000000000Z,3767,4.83855,4.83915,4.83125,4.83645,4.83924,4.83985,4.83195,4.83715,4.83992,4.84055,4.83265,4.83785,4.838686249999999,
10,NZD_HKD,2023-07-11T16:00:00.000000000Z,2711,4.83645,4.84325,4.83575,4.84301,4.83720,4.84405,4.83655,4.84378,4.83794,4.84485,4.83735,4.84455,4.83894375,
11,NZD_HKD,2023-07-11T17:00:00.000000000Z,2106,4.84305,4.84621,4.84235,4.84355,4.84385,4.84701,4.84310,4.84430,4.84465,4.84785,4.84385,4.84505,4.838957499999999,
12,NZD_HKD,2023-07-11T18:00:00.000000000Z,1897,4.84385,4.84875,4.83975,4.84855,4.84455,4.84955,4.84055,4.84925,4.84525,4.85035,4.84135,4.84995,4.84004875,
13,NZD_HKD,2023-07-11T19:00:00.000000000Z,615,4.84875,4.84985,4.84735,4.84845,4.84965,4.85070,4.84815,4.84935,4.85055,4.85155,4.84895,4.85025,4.841167499999999,
14,NZD_HKD,2023-07-11T20:00:00.000000000Z,479,4.84825,4.85025,4.84655,4.84875,4.84915,4.85115,4.84765,4.85035,4.85005,4.85225,4.84875,4.85195,4.843066250000001,
15,NZD_HKD,2023-07-11T21:00:00.000000000Z,194,4.84487,4.84697,4.83790,4.84470,4.85331,4.85331,4.84610,4.84948,4.86175,4.86175,4.85138,4.85427,4.84535125,
16,NZD_HKD,2023-07-11T22:00:00.000000000Z,744,4.84552,4.84950,4.84461,4.84620,4.84986,4.85157,4.84665,4.84831,4.85421,4.85506,4.84869,4.85042,4.8464962499999995,
