,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,NZD_JPY,2023-07-11T18:00:00.000000000Z,2622,86.851,87.013,86.826,87.009,86.866,87.023,86.836,87.019,86.881,87.033,86.846,87.029,,
1,NZD_JPY,2023-07-11T19:00:00.000000000Z,2100,86.960,86.974,86.902,86.910,86.970,86.984,86.916,86.922,86.980,86.995,86.928,86.934,,
2,NZD_JPY,2023-07-11T20:00:00.000000000Z,1390,86.909,86.928,86.857,86.902,86.920,86.940,86.871,86.920,86.931,86.956,86.885,86.937,,
3,NZD_JPY,2023-07-11T21:00:00.000000000Z,920,86.840,86.901,86.743,86.857,86.940,86.965,86.823,86.910,87.040,87.065,86.884,86.962,,
4,NZD_JPY,2023-07-11T22:00:00.000000000Z,2107,86.867,86.893,86.791,86.800,86.916,86.932,86.806,86.813,86.965,86.976,86.820,86.826,,
5,NZD_JPY,2023-07-11T23:00:00.000000000Z,2526,86.803,86.979,86.776,86.798,86.816,86.992,86.790,86.810,86.829,87.006,86.803,86.823,,
6,NZD_JPY,2023-07-12T00:00:00.000000000Z,8949,86.793,86.871,86.592,86.809,86.806,86.883,86.610,86.822,86.819,86.896,86.625,86.835,,
7,NZD_JPY,2023-07-12T01:00:00.000000000Z,8141,86.808,86.839,86.656,86.681,86.820,86.852,86.672,86.702,86.833,86.865,86.686,86.722,86.86475,
8,NZD_JPY,2023-07-12T02:00:00.000000000Z,8135,86.678,87.052,86.497,86.974,86.698,87.066,86.513,86.986,86.719,87.080,86.529,86.999,86.860625,
9,NZD_JPY,2023-07-12T03:00:00.000000000Z,5133,86.974,86.987,86.772,86.871,86.987,87.000,86.784,86.884,87.000,87.013,86.797,86.896,86.855875,
10,NZD_JPY,2023-07-12T04:00:00.000000000Z,3986,86.869,86.947,86.780,86.827,86.882,86.960,86.792,86.839,86.896,86.973,86.803,86.851,86.84575000000001,
11,NZD_JPY,2023-07-12T05:00:00.000000000Z,5529,86.826,86.831,86.588,86.610,86.838,86.844,86.602,86.620,86.851,86.858,86.616,86.631,86.80950000000001,
12,NZD_JPY,2023-07-12T06:00:00.000000000Z,5900,86.610,86.746,86.545,86.599,86.619,86.759,86.558,86.612,86.628,86.772,86.570,86.624,86.784375,
13,NZD_JPY,2023-07-12T07:00:00.000000000Z,6913,86.597,86.640,86.511,86.548,86.610,86.652,86.524,86.560,86.623,86.665,86.537,86.572,86.753125,
14,NZD_JPY,2023-07-12T08:00:00.000000000Z,4753,86.544,86.597,86.458,86.474,86.556,86.609,86.470,86.486,86.567,86.621,86.481,86.497,86.711125,
15,NZD_JPY,2023-07-12T09:00:00.000000000Z,4023,86.472,86.523,86.443,86.498,86.484,86.534,86.455,86.510,86.495,86.546,86.466,86.521,86.68712500000001,
16,NZD_JPY,2023-07-12T10:00:00.000000000Z,3741,86.498,86.498,86.274,86.303,86.509,86.510,86.284,86.314,86.520,86.521,86.295,86.326,86.603125,
17,NZD_JPY,2023-07-12T11:00:00.000000000Z,4234,86.301,86.333,86.233,86.247,86.314,86.344,86.244,86.258,86.327,86.355,86.254,86.269,86.524875,
18,NZD_JPY,2023-07-12T12:00:00.000000000Z,15833,86.248,86.754,86.178,86.664,86.258,86.766,86.242,86.679,86.269,86.778,86.253,86.694,86.504875,
19,NZD_JPY,2023-07-12T13:00:00.000000000Z,15045,86.666,87.212,86.666,87.026,86.682,87.224,86.681,87.038,86.697,87.236,86.695,87.050,86.55712500000001,
20,NZD_JPY,2023-07-12T14:00:00.000000000Z,12723,87.028,87.162,86.877,87.075,87.039,87.174,86.890,87.086,87.050,87.187,86.902,87.097,86.61637499999999,
21,NZD_JPY,2023-07-12T15:00:00.000000000Z,8310,87.073,87.074,86.816,86.895,87.085,87.086,86.828,86.908,87.097,87.097,86.841,86.920,86.659875,
22,NZD_JPY,2023-07-12T16:00:00.000000000Z,5606,86.893,87.182,86.879,87.145,86.906,87.193,86.890,87.156,86.920,87.205,86.901,87.168,86.74362500000001,
23,NZD_JPY,2023-07-12T17:00:00.000000000Z,4335,87.146,87.233,87.052,87.093,87.157,87.245,87.064,87.104,87.168,87.257,87.076,87.116,86.817875,
24,NZD_JPY,2023-07-12T18:00:00.000000000Z,2781,87.093,87.175,87.082,87.173,87.104,87.185,87.094,87.184,87.115,87.195,87.106,87.195,86.926625,
25,NZD_JPY,2023-07-12T19:00:00.000000000Z,2876,87.169,87.174,87.003,87.072,87.182,87.186,87.015,87.085,87.194,87.198,87.027,87.098,87.03,
26,NZD_JPY,2023-07-12T20:00:00.000000000Z,2170,87.072,87.207,87.063,87.164,87.086,87.218,87.076,87.176,87.099,87.229,87.088,87.188,87.092125,
27,NZD_JPY,2023-07-12T21:00:00.000000000Z,1171,87.064,87.148,87.037,87.040,87.149,87.218,87.082,87.089,87.234,87.306,87.114,87.138,87.0985,
28,NZD_JPY,2023-07-12T22:00:00.000000000Z,2161,87.055,87.211,87.051,87.129,87.094,87.222,87.069,87.142,87.132,87.234,87.081,87.156,87.1055,
29,NZD_JPY,2023-07-12T23:00:00.000000000Z,2613,87.131,87.296,87.096,87.198,87.144,87.308,87.108,87.211,87.157,87.320,87.121,87.224,87.143375,
30,NZD_JPY,2023-07-13T00:00:00.000000000Z,7460,87.195,87.391,87.091,87.364,87.208,87.401,87.102,87.378,87.221,87.414,87.111,87.392,87.17112499999999,
31,NZD_JPY,2023-07-13T01:00:00.000000000Z,7383,87.362,87.516,87.327,87.462,87.376,87.529,87.342,87.474,87.389,87.542,87.356,87.486,87.217375,
32,NZD_JPY,2023-07-13T02:00:00.000000000Z,5602,87.461,87.623,87.455,87.588,87.474,87.635,87.466,87.600,87.486,87.647,87.476,87.611,87.269375,
33,NZD_JPY,2023-07-13T03:00:00.000000000Z,4430,87.587,87.672,87.544,87.666,87.598,87.684,87.556,87.677,87.608,87.695,87.567,87.688,87.34337500000001,
34,NZD_JPY,2023-07-13T04:00:00.000000000Z,4581,87.664,87.734,87.620,87.686,87.674,87.745,87.634,87.698,87.685,87.757,87.645,87.711,87.408625,
35,NZD_JPY,2023-07-13T05:00:00.000000000Z,5765,87.686,87.866,87.675,87.812,87.698,87.878,87.687,87.824,87.709,87.893,87.699,87.835,87.5005,
36,NZD_JPY,2023-07-13T06:00:00.000000000Z,7797,87.804,87.923,87.762,87.853,87.816,87.934,87.774,87.864,87.829,87.945,87.785,87.875,87.59075,
37,NZD_JPY,2023-07-13T07:00:00.000000000Z,7678,87.850,87.941,87.742,87.875,87.862,87.954,87.753,87.888,87.874,87.967,87.764,87.900,87.675375,
38,NZD_JPY,2023-07-13T08:00:00.000000000Z,6953,87.876,87.991,87.817,87.931,87.888,88.003,87.830,87.942,87.900,88.017,87.841,87.953,87.74587500000001,
39,NZD_JPY,2023-07-13T09:00:00.000000000Z,5233,87.933,88.040,87.891,88.017,87.945,88.053,87.902,88.028,87.957,88.067,87.913,88.039,87.815125,
40,NZD_JPY,2023-07-13T10:00:00.000000000Z,4391,88.019,88.067,87.965,88.051,88.030,88.078,87.976,88.062,88.042,88.091,87.986,88.073,87.872875,
41,NZD_JPY,2023-07-13T11:00:00.000000000Z,4147,88.056,88.075,87.974,88.031,88.066,88.086,87.984,88.040,88.077,88.100,87.994,88.049,87.91825,
42,NZD_JPY,2023-07-13T12:00:00.000000000Z,12886,88.029,88.252,88.016,88.245,88.038,88.264,88.036,88.256,88.047,88.277,88.045,88.266,87.988,
43,NZD_JPY,2023-07-13T13:00:00.000000000Z,10917,88.243,88.339,88.133,88.314,88.254,88.348,88.144,88.326,88.265,88.358,88.155,88.338,88.05075000000001,
44,NZD_JPY,2023-07-13T14:00:00.000000000Z,9354,88.314,88.325,88.149,88.249,88.325,88.337,88.160,88.262,88.336,88.349,88.171,88.274,88.1005,
45,NZD_JPY,2023-07-13T15:00:00.000000000Z,7099,88.248,88.267,87.934,87.993,88.262,88.280,87.946,88.003,88.275,88.293,87.957,88.013,88.114875,
46,NZD_JPY,2023-07-13T16:00:00.000000000Z,5738,87.995,88.108,87.981,88.108,88.004,88.120,87.993,88.120,88.014,88.132,88.003,88.132,88.13712500000001,
47,NZD_JPY,2023-07-13T17:00:00.000000000Z,3825,88.106,88.226,88.091,88.210,88.118,88.236,88.102,88.221,88.131,88.247,88.114,88.232,88.16125000000001,
48,NZD_JPY,2023-07-13T18:00:00.000000000Z,3449,88.210,88.273,88.158,88.228,88.222,88.285,88.170,88.238,88.233,88.297,88.181,88.249,88.18325,
49,NZD_JPY,2023-07-13T19:00:00.000000000Z,2182,88.194,88.248,88.179,88.214,88.205,88.260,88.190,88.230,88.216,88.273,88.201,88.245,88.207,
50,NZD_JPY,2023-07-13T20:00:00.000000000Z,1174,88.213,88.266,88.202,88.234,88.228,88.278,88.213,88.248,88.243,88.291,88.224,88.263,88.206,
51,NZD_JPY,2023-07-13T21:00:00.000000000Z,628,88.210,88.210,88.043,88.187,88.255,88.266,88.135,88.232,88.300,88.326,88.221,88.278,88.19425,
52,NZD_JPY,2023-07-13T22:00:00.000000000Z,1769,88.170,88.276,88.152,88.236,88.212,88.287,88.192,88.249,88.255,88.301,88.213,88.262,88.192625,
53,NZD_JPY,2023-07-13T23:00:00.000000000Z,2364,88.237,88.254,88.139,88.236,88.250,88.267,88.152,88.248,88.264,88.280,88.163,88.259,88.22325,
54,NZD_JPY,2023-07-14T00:00:00.000000000Z,8032,88.233,88.286,87.911,87.924,88.246,88.300,87.926,87.937,88.258,88.313,87.939,87.950,88.200375,
55,NZD_JPY,2023-07-14T01:00:00.000000000Z,9009,87.923,87.986,87.805,87.958,87.936,87.999,87.818,87.970,87.950,88.013,87.831,87.983,88.169,
56,NZD_JPY,2023-07-14T02:00:00.000000000Z,5908,87.960,88.179,87.960,88.104,87.972,88.192,87.972,88.116,87.984,88.204,87.984,88.129,88.15375,
57,NZD_JPY,2023-07-14T03:00:00.000000000Z,4757,88.104,88.192,88.039,88.076,88.118,88.204,88.052,88.088,88.131,88.216,88.065,88.100,88.136,
58,NZD_JPY,2023-07-14T04:00:00.000000000Z,4265,88.074,88.183,87.987,88.150,88.087,88.196,88.000,88.163,88.100,88.209,88.012,88.176,88.12537499999999,
59,NZD_JPY,2023-07-14T05:00:00.000000000Z,5881,88.148,88.194,88.069,88.177,88.161,88.205,88.081,88.187,88.174,88.217,88.093,88.197,88.11975,
60,NZD_JPY,2023-07-14T06:00:00.000000000Z,7995,88.171,88.238,88.085,88.176,88.182,88.249,88.097,88.187,88.193,88.261,88.109,88.198,88.112,
61,NZD_JPY,2023-07-14T07:00:00.000000000Z,7558,88.176,88.306,88.140,88.192,88.188,88.318,88.150,88.205,88.199,88.330,88.161,88.218,88.10662500000001,
62,NZD_JPY,2023-07-14T08:00:00.000000000Z,5734,88.194,88.261,88.127,88.156,88.208,88.274,88.139,88.168,88.221,88.286,88.151,88.179,88.13550000000001,
63,NZD_JPY,2023-07-14T09:00:00.000000000Z,5323,88.156,88.328,88.127,88.293,88.168,88.340,88.139,88.306,88.181,88.352,88.150,88.318,88.1775,87.48875
